,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6660122,1995-08-18,RAND,7.0,7.0,7.0,7.0,7.0,3200
6660123,1995-08-21,RAND,7.0,7.0,7.0,7.0,7.0,0
6660124,1995-08-22,RAND,7.0,7.0,7.0,7.0,7.0,0
6660125,1995-08-23,RAND,7.0,7.0,7.0,7.0,7.0,0
6660126,1995-08-24,RAND,7.0,7.0,7.0,7.0,7.0,0
6660127,1995-08-25,RAND,7.0,7.0,7.0,7.0,7.0,0
6660128,1995-08-28,RAND,7.0,7.0,7.0,7.0,7.0,0
6660129,1995-08-29,RAND,7.0,7.0,7.0,7.0,7.0,0
6660130,1995-08-30,RAND,7.0,7.0,7.0,7.0,7.0,0
6660131,1995-08-31,RAND,7.13,7.13,7.13,7.13,7.13,800
6660132,1995-09-01,RAND,7.13,7.13,7.13,7.13,7.13,0
6660133,1995-09-05,RAND,7.0,7.0,7.0,7.0,7.0,7500
6660134,1995-09-06,RAND,7.0,7.0,7.0,7.0,7.0,500
6660135,1995-09-07,RAND,7.0,7.0,7.0,7.0,7.0,0
6660136,1995-09-08,RAND,7.0,7.0,7.0,7.0,7.0,0
6660137,1995-09-11,RAND,6.75,7.0,6.75,7.0,7.0,4900
6660138,1995-09-12,RAND,7.25,7.25,7.0,7.0,7.0,4500
6660139,1995-09-13,RAND,7.0,7.0,7.0,7.0,7.0,0
6660140,1995-09-14,RAND,7.0,7.0,7.0,7.0,7.0,0
6660141,1995-09-15,RAND,7.0,7.0,7.0,7.0,7.0,0
6660142,1995-09-18,RAND,7.25,7.25,7.25,7.25,7.25,100
6660143,1995-09-19,RAND,6.5,6.5,6.5,6.5,6.5,1000
6660144,1995-09-20,RAND,6.5,6.5,6.5,6.5,6.5,0
6660145,1995-09-21,RAND,6.5,6.5,6.5,6.5,6.5,0
6660146,1995-09-22,RAND,6.5,6.5,6.5,6.5,6.5,0
6660147,1995-09-25,RAND,6.5,6.5,6.5,6.5,6.5,1200
6660148,1995-09-26,RAND,6.5,6.5,6.5,6.5,6.5,0
6660149,1995-09-27,RAND,6.5,6.5,6.5,6.5,6.5,0
6660150,1995-09-28,RAND,6.5,6.5,6.5,6.5,6.5,0
6660151,1995-09-29,RAND,7.13,7.13,7.13,7.13,7.13,2000
6660152,1995-10-02,RAND,6.5,6.5,6.5,6.5,6.5,1100
6660153,1995-10-03,RAND,6.5,6.5,6.5,6.5,6.5,0
6660154,1995-10-04,RAND,6.5,6.5,6.5,6.5,6.5,500
6660155,1995-10-05,RAND,6.5,6.5,6.5,6.5,6.5,4800
6660156,1995-10-06,RAND,6.5,6.5,6.5,6.5,6.5,0
6660157,1995-10-09,RAND,6.5,6.5,6.5,6.5,6.5,0
6660158,1995-10-10,RAND,6.0,6.0,6.0,6.0,6.0,2500
6660159,1995-10-11,RAND,6.0,6.0,6.0,6.0,6.0,0
6660160,1995-10-12,RAND,6.0,6.25,6.0,6.25,6.25,7000
6660161,1995-10-13,RAND,5.75,5.75,5.5,5.5,5.5,5700
6660162,1995-10-16,RAND,5.5,5.75,5.5,5.75,5.75,900
6660163,1995-10-17,RAND,5.75,5.75,5.75,5.75,5.75,1000
6660164,1995-10-18,RAND,5.5,5.5,5.5,5.5,5.5,1000
6660165,1995-10-19,RAND,5.5,5.5,5.5,5.5,5.5,0
6660166,1995-10-20,RAND,5.5,5.5,5.5,5.5,5.5,0
6660167,1995-10-23,RAND,5.5,5.5,5.5,5.5,5.5,0
6660168,1995-10-24,RAND,5.5,5.75,5.38,5.75,5.75,6200
6660169,1995-10-25,RAND,5.0,5.38,5.0,5.38,5.38,4000
6660170,1995-10-26,RAND,4.75,4.75,4.75,4.75,4.75,200
6660171,1995-10-27,RAND,5.75,5.75,5.75,5.75,5.75,3500
6660172,1995-10-30,RAND,5.75,5.75,5.75,5.75,5.75,0
6660173,1995-10-31,RAND,5.25,5.25,5.25,5.25,5.25,75000
6660174,1995-11-01,RAND,5.5,5.5,5.5,5.5,5.5,1700
6660175,1995-11-02,RAND,4.75,5.75,4.75,5.75,5.75,2700
6660176,1995-11-03,RAND,4.75,5.75,4.75,5.75,5.75,3000
6660177,1995-11-06,RAND,4.75,4.75,4.75,4.75,4.75,4000
6660178,1995-11-07,RAND,5.25,5.25,5.25,5.25,5.25,500
6660179,1995-11-08,RAND,5.25,5.25,5.25,5.25,5.25,0
6660180,1995-11-09,RAND,5.25,5.25,5.25,5.25,5.25,0
6660181,1995-11-10,RAND,5.25,5.25,5.25,5.25,5.25,0
6660182,1995-11-13,RAND,4.25,4.75,4.25,4.38,4.38,5300
6660183,1995-11-14,RAND,4.0,4.0,4.0,4.0,4.0,1000
6660184,1995-11-15,RAND,4.13,4.13,4.13,4.13,4.13,1700
6660185,1995-11-16,RAND,4.0,4.0,3.5,3.5,3.5,3500
6660186,1995-11-17,RAND,3.25,3.75,3.25,3.75,3.75,3100
6660187,1995-11-20,RAND,3.75,3.75,3.25,3.5,3.5,25400
6660188,1995-11-21,RAND,3.5,3.5,3.25,3.25,3.25,3700
6660189,1995-11-22,RAND,3.5,3.75,3.25,3.5,3.5,5600
6660190,1995-11-24,RAND,3.75,3.75,3.38,3.75,3.75,4500
6660191,1995-11-27,RAND,3.75,3.75,3.25,3.25,3.25,2200
