,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6892091,2015-07-17,RPD,26.75,27.45,24.02,25.28,25.28,10609300
6892092,2015-07-20,RPD,26.0,26.19,22.71,23.1,23.1,1660900
6892093,2015-07-21,RPD,22.8,23.1,22.09,22.94,22.94,856200
6892094,2015-07-22,RPD,22.67,24.35,22.57,23.95,23.95,810600
6892095,2015-07-23,RPD,24.7,24.85,23.92,24.1,24.1,459300
6892096,2015-07-24,RPD,24.34,24.88,23.76,24.0,24.0,257900
6892097,2015-07-27,RPD,23.3,24.2,22.56,23.7,23.7,259000
6892098,2015-07-28,RPD,23.8,25.03,23.51,25.02,25.02,367500
6892099,2015-07-29,RPD,25.09,25.49,23.0,23.35,23.35,351200
6892100,2015-07-30,RPD,23.1,24.0,22.8,23.85,23.85,111600
6892101,2015-07-31,RPD,23.94,24.13,22.89,22.98,22.98,119900
6892102,2015-08-03,RPD,22.91,23.5,20.22,20.43,20.43,426900
6892103,2015-08-04,RPD,20.53,21.45,19.19,19.8,19.8,454200
6892104,2015-08-05,RPD,20.49,21.21,19.5,21.19,21.19,327300
6892105,2015-08-06,RPD,21.48,21.55,19.52,19.9,19.9,186800
6892106,2015-08-07,RPD,20.0,20.95,19.85,20.95,20.95,204800
6892107,2015-08-10,RPD,21.23,22.23,21.0,22.09,22.09,169100
6892108,2015-08-11,RPD,22.07,22.07,20.08,21.6,21.6,232000
6892109,2015-08-12,RPD,21.17,21.72,20.68,20.92,20.92,177000
6892110,2015-08-13,RPD,20.89,21.83,20.7,21.48,21.48,98800
6892111,2015-08-14,RPD,21.57,21.99,20.88,21.96,21.96,78700
6892112,2015-08-17,RPD,21.71,23.1,21.71,22.91,22.91,184800
6892113,2015-08-18,RPD,22.66,24.55,22.51,24.38,24.38,467800
6892114,2015-08-19,RPD,23.65,25.38,23.02,24.72,24.72,847100
6892115,2015-08-20,RPD,24.68,24.89,22.77,23.76,23.76,252500
6892116,2015-08-21,RPD,23.03,23.6,21.04,21.11,21.11,360300
6892117,2015-08-24,RPD,18.0,23.85,16.5,20.49,20.49,518900
6892118,2015-08-25,RPD,22.01,22.78,20.75,20.86,20.86,259700
6892119,2015-08-26,RPD,21.47,22.64,20.27,22.36,22.36,243700
6892120,2015-08-27,RPD,22.76,22.87,21.44,21.76,21.76,171000
6892121,2015-08-28,RPD,21.7,21.99,21.0,21.63,21.63,137300
6892122,2015-08-31,RPD,21.58,21.58,20.5,21.09,21.09,134400
6892123,2015-09-01,RPD,20.59,20.82,20.01,20.27,20.27,214400
6892124,2015-09-02,RPD,20.5,20.94,20.0,20.82,20.82,134000
6892125,2015-09-03,RPD,20.71,21.32,20.07,20.38,20.38,191800
6892126,2015-09-04,RPD,20.2,20.4,19.75,19.96,19.96,101200
6892127,2015-09-08,RPD,20.54,20.86,20.35,20.43,20.43,131500
6892128,2015-09-09,RPD,20.82,20.82,19.89,20.28,20.28,132800
6892129,2015-09-10,RPD,20.42,21.37,20.22,21.05,21.05,131200
6892130,2015-09-11,RPD,21.02,21.27,20.25,20.59,20.59,238700
6892131,2015-09-14,RPD,20.45,21.41,20.26,20.31,20.31,202600
6892132,2015-09-15,RPD,20.5,20.78,19.92,20.5,20.5,157200
6892133,2015-09-16,RPD,20.64,20.98,20.15,20.67,20.67,142000
6892134,2015-09-17,RPD,20.56,22.2,20.42,21.73,21.73,1003700
6892135,2015-09-18,RPD,21.5,23.42,21.5,22.51,22.51,1133800
6892136,2015-09-21,RPD,22.54,25.17,22.54,25.01,25.01,631600
6892137,2015-09-22,RPD,24.66,24.71,24.01,24.67,24.67,343300
6892138,2015-09-23,RPD,24.64,25.19,24.36,24.63,24.63,479000
6892139,2015-09-24,RPD,24.33,24.96,24.01,24.65,24.65,252600
6892140,2015-09-25,RPD,24.8,24.9,23.95,24.33,24.33,145900
6892141,2015-09-28,RPD,24.05,24.4,22.82,23.5,23.5,260600
6892142,2015-09-29,RPD,23.5,24.0,23.05,23.36,23.36,475800
6892143,2015-09-30,RPD,23.66,23.9,22.42,22.75,22.75,1646500
6892144,2015-10-01,RPD,22.85,23.16,21.37,22.26,22.26,270700
6892145,2015-10-02,RPD,21.97,22.29,21.56,22.21,22.21,192700
6892146,2015-10-05,RPD,22.27,22.27,20.57,21.24,21.24,424500
6892147,2015-10-06,RPD,21.27,21.56,20.55,21.07,21.07,171700
6892148,2015-10-07,RPD,21.29,22.26,21.11,22.26,22.26,228400
6892149,2015-10-08,RPD,22.21,23.32,22.08,23.28,23.28,243700
6892150,2015-10-09,RPD,24.15,24.76,22.78,23.58,23.58,273300
6892151,2015-10-12,RPD,23.48,23.56,22.65,23.27,23.27,73400
6892152,2015-10-13,RPD,23.17,23.62,22.9,23.01,23.01,108000
6892153,2015-10-14,RPD,22.84,22.84,20.36,20.58,20.58,374100
6892154,2015-10-15,RPD,20.84,21.39,20.58,20.75,20.75,213300
6892155,2015-10-16,RPD,20.85,21.03,20.52,20.99,20.99,255900
6892156,2015-10-19,RPD,20.96,21.08,20.65,20.83,20.83,176800
6892157,2015-10-20,RPD,20.75,21.4,20.5,20.73,20.73,319500
6892158,2015-10-21,RPD,20.84,21.28,18.01,18.26,18.26,546900
6892159,2015-10-22,RPD,18.5,19.4,18.25,18.72,18.72,487500
6892160,2015-10-23,RPD,18.8,19.45,18.21,18.69,18.69,379800
6892161,2015-10-26,RPD,18.84,18.93,18.3,18.74,18.74,223700
6892162,2015-10-27,RPD,18.77,18.94,18.41,18.69,18.69,202600
6892163,2015-10-28,RPD,18.62,20.44,18.62,20.36,20.36,183800
6892164,2015-10-29,RPD,20.36,21.15,19.83,20.5,20.5,188700
6892165,2015-10-30,RPD,20.54,20.98,20.18,20.56,20.56,173000
6892166,2015-11-02,RPD,20.58,21.23,20.41,21.15,21.15,86000
6892167,2015-11-03,RPD,21.07,22.14,21.07,21.75,21.75,139400
6892168,2015-11-04,RPD,21.91,22.0,21.56,21.98,21.98,78900
6892169,2015-11-05,RPD,21.66,21.75,20.35,20.87,20.87,308300
6892170,2015-11-06,RPD,20.9,21.52,20.5,21.48,21.48,188200
6892171,2015-11-09,RPD,21.6,21.6,20.7,21.06,21.06,194000
6892172,2015-11-10,RPD,20.7,21.18,19.95,21.05,21.05,415400
6892173,2015-11-11,RPD,21.03,21.43,20.62,21.08,21.08,466100
6892174,2015-11-12,RPD,20.92,21.27,20.53,20.9,20.9,361700
6892175,2015-11-13,RPD,20.56,21.23,18.56,19.97,19.97,511400
6892176,2015-11-16,RPD,19.82,20.33,19.0,20.21,20.21,221300
6892177,2015-11-17,RPD,20.33,20.98,19.83,20.7,20.7,214000
6892178,2015-11-18,RPD,20.87,20.87,19.62,20.31,20.31,241800
6892179,2015-11-19,RPD,20.36,20.39,19.08,19.2,19.2,145900
6892180,2015-11-20,RPD,19.34,19.34,18.37,18.51,18.51,183500
6892181,2015-11-23,RPD,18.56,18.76,18.13,18.17,18.17,168100
