,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7676913,2011-04-28,SVVC,19.52,20.24,19.52,20.0,15.18,9000
7676914,2011-04-29,SVVC,19.9,20.19,19.11,19.89,15.1,15000
7676915,2011-05-02,SVVC,19.01,19.27,17.71,18.07,13.71,11000
7676916,2011-05-03,SVVC,15.53,18.07,15.33,16.99,12.89,29000
7676917,2011-05-04,SVVC,17.0,20.0,16.8,18.98,14.4,14600
7676918,2011-05-05,SVVC,17.88,20.0,17.0,18.75,14.23,3400
7676919,2011-05-06,SVVC,18.74,19.75,18.0,18.0,13.66,7100
7676920,2011-05-09,SVVC,18.5,19.59,18.0,18.0,13.66,7900
7676921,2011-05-10,SVVC,18.05,18.12,17.16,17.17,13.03,4800
7676922,2011-05-11,SVVC,17.16,18.51,17.01,17.02,12.92,14200
7676923,2011-05-12,SVVC,17.06,17.45,16.6,17.24,13.08,5900
7676924,2011-05-13,SVVC,16.94,17.21,16.6,16.68,12.66,6500
7676925,2011-05-16,SVVC,16.26,17.1,16.0,16.0,12.14,19000
7676926,2011-05-17,SVVC,16.0,16.6,15.98,16.57,12.58,3900
7676927,2011-05-18,SVVC,16.5,17.0,16.5,17.0,12.9,2700
7676928,2011-05-19,SVVC,16.4,17.73,16.4,16.62,12.61,7400
7676929,2011-05-20,SVVC,16.6,17.14,16.6,16.64,12.63,7300
7676930,2011-05-23,SVVC,16.3,16.9,16.3,16.75,12.71,2600
7676931,2011-05-24,SVVC,16.61,16.74,16.6,16.74,12.7,1000
7676932,2011-05-25,SVVC,16.6,17.8,16.6,16.65,12.64,2500
7676933,2011-05-26,SVVC,16.65,16.88,16.65,16.88,12.81,900
7676934,2011-05-27,SVVC,16.65,17.79,16.61,16.63,12.62,2600
7676935,2011-05-31,SVVC,16.3,17.5,16.3,17.0,12.9,7200
7676936,2011-06-01,SVVC,16.36,16.56,16.34,16.5,12.52,700
7676937,2011-06-02,SVVC,16.5,16.5,16.3,16.3,12.37,3300
7676938,2011-06-03,SVVC,16.3,16.3,16.11,16.27,12.35,900
