,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8019377,2012-06-28,TSRO,14.0,14.0,12.82,13.69,13.69,1266200
8019378,2012-06-29,TSRO,13.65,14.15,13.5,13.99,13.99,40400
8019379,2012-07-02,TSRO,13.9,14.0,13.54,14.0,14.0,16400
8019380,2012-07-03,TSRO,13.56,13.7,13.53,13.61,13.61,2500
8019381,2012-07-05,TSRO,13.61,13.91,13.6,13.81,13.81,61300
8019382,2012-07-06,TSRO,13.72,13.99,13.66,13.89,13.89,4200
8019383,2012-07-09,TSRO,14.0,14.0,13.68,13.83,13.83,13700
8019384,2012-07-10,TSRO,13.56,13.96,13.56,13.85,13.85,12300
8019385,2012-07-11,TSRO,13.98,14.0,13.51,13.73,13.73,9900
8019386,2012-07-12,TSRO,13.56,13.7,13.5,13.7,13.7,13100
8019387,2012-07-13,TSRO,13.79,13.94,13.52,13.74,13.74,30200
8019388,2012-07-16,TSRO,13.6,14.0,13.6,14.0,14.0,37000
8019389,2012-07-17,TSRO,14.0,14.18,13.62,13.88,13.88,22900
8019390,2012-07-18,TSRO,13.65,14.08,13.65,13.93,13.93,49600
8019391,2012-07-19,TSRO,13.97,14.05,13.8,14.0,14.0,29300
8019392,2012-07-20,TSRO,14.11,14.12,13.5,13.5,13.5,34100
8019393,2012-07-23,TSRO,13.7,14.0,13.7,13.9,13.9,37200
8019394,2012-07-24,TSRO,14.0,14.09,13.75,14.0,14.0,107100
8019395,2012-07-25,TSRO,14.0,14.02,13.84,14.0,14.0,6900
8019396,2012-07-26,TSRO,14.0,14.0,13.6,13.61,13.61,28300
8019397,2012-07-27,TSRO,13.61,13.75,13.59,13.59,13.59,3300
8019398,2012-07-30,TSRO,13.6,13.79,13.59,13.6,13.6,1800
8019399,2012-07-31,TSRO,13.7,13.79,13.2,13.26,13.26,18500
8019400,2012-08-01,TSRO,13.13,13.5,13.06,13.5,13.5,16100
8019401,2012-08-02,TSRO,13.53,13.6,13.1,13.17,13.17,24900
8019402,2012-08-03,TSRO,13.22,13.88,13.0,13.28,13.28,28900
8019403,2012-08-06,TSRO,13.64,13.64,13.0,13.05,13.05,31900
8019404,2012-08-07,TSRO,13.16,13.53,13.02,13.53,13.53,29000
8019405,2012-08-08,TSRO,13.3,13.47,13.02,13.06,13.06,36700
8019406,2012-08-09,TSRO,13.5,13.79,13.13,13.79,13.79,45600
8019407,2012-08-10,TSRO,13.63,13.73,13.25,13.42,13.42,51600
8019408,2012-08-13,TSRO,13.46,13.66,13.11,13.4,13.4,61900
8019409,2012-08-14,TSRO,13.39,13.56,12.89,13.0,13.0,60400
8019410,2012-08-15,TSRO,12.99,13.65,12.2,13.2,13.2,14800
8019411,2012-08-16,TSRO,13.12,13.12,12.3,13.0,13.0,15400
8019412,2012-08-17,TSRO,12.88,12.93,12.73,12.93,12.93,15900
8019413,2012-08-20,TSRO,12.88,12.92,12.8,12.92,12.92,8300
