,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8468212,2009-10-07,VRSK,27.0,28.97,26.41,27.22,27.22,63739500
8468213,2009-10-08,VRSK,27.33,27.44,26.5,26.6,26.6,6906700
8468214,2009-10-09,VRSK,26.83,27.49,26.38,26.4,26.4,3361300
8468215,2009-10-12,VRSK,27.29,27.9,26.1,26.25,26.25,7177000
8468216,2009-10-13,VRSK,26.67,27.26,26.54,27.19,27.19,3296000
8468217,2009-10-14,VRSK,27.25,28.24,27.0,27.99,27.99,3222400
8468218,2009-10-15,VRSK,28.28,28.8,27.75,28.31,28.31,3181300
8468219,2009-10-16,VRSK,28.45,28.6,27.55,28.57,28.57,3974100
8468220,2009-10-19,VRSK,28.52,28.89,27.5,27.5,27.5,1892100
8468221,2009-10-20,VRSK,27.5,28.1,27.35,28.06,28.06,3387000
8468222,2009-10-21,VRSK,28.0,28.35,27.86,28.0,28.0,1079000
8468223,2009-10-22,VRSK,27.76,28.48,27.32,27.89,27.89,1172500
8468224,2009-10-23,VRSK,28.0,28.39,27.51,28.37,28.37,2385700
8468225,2009-10-26,VRSK,27.83,28.6,27.76,28.45,28.45,834400
8468226,2009-10-27,VRSK,28.54,29.25,27.93,28.56,28.56,1578700
8468227,2009-10-28,VRSK,28.21,28.55,27.56,27.69,27.69,1153500
8468228,2009-10-29,VRSK,27.88,28.0,27.75,27.89,27.89,563500
8468229,2009-10-30,VRSK,28.0,28.07,27.3,27.43,27.43,819600
8468230,2009-11-02,VRSK,27.38,27.65,26.6,27.37,27.37,978000
8468231,2009-11-03,VRSK,27.43,27.49,26.85,27.36,27.36,696500
8468232,2009-11-04,VRSK,27.33,27.48,26.95,26.96,26.96,461200
8468233,2009-11-05,VRSK,27.02,27.6,26.97,27.3,27.3,470400
8468234,2009-11-06,VRSK,27.15,27.34,26.95,27.1,27.1,310800
8468235,2009-11-09,VRSK,27.25,27.69,27.05,27.58,27.58,615600
8468236,2009-11-10,VRSK,27.25,28.26,27.25,27.67,27.67,287300
8468237,2009-11-11,VRSK,27.93,29.12,27.63,28.98,28.98,1174600
8468238,2009-11-12,VRSK,28.78,30.0,28.43,28.9,28.9,1211600
8468239,2009-11-13,VRSK,28.78,29.08,28.51,28.9,28.9,414900
8468240,2009-11-16,VRSK,28.75,29.01,28.25,28.85,28.85,1424300
8468241,2009-11-17,VRSK,28.55,28.96,27.4,27.85,27.85,2496000
8468242,2009-11-18,VRSK,28.39,29.0,28.16,28.5,28.5,730900
8468243,2009-11-19,VRSK,28.81,28.89,27.94,28.54,28.54,1223600
8468244,2009-11-20,VRSK,28.5,28.64,28.42,28.55,28.55,875700
8468245,2009-11-23,VRSK,28.68,28.68,27.67,28.4,28.4,447600
8468246,2009-11-24,VRSK,28.18,28.18,27.65,27.78,27.78,685400
8468247,2009-11-25,VRSK,27.72,27.81,27.17,27.3,27.3,892800
8468248,2009-11-27,VRSK,26.96,27.18,26.66,26.99,26.99,264600
8468249,2009-11-30,VRSK,27.34,27.4,26.73,26.91,26.91,888700
8468250,2009-12-01,VRSK,26.91,28.05,26.91,27.78,27.78,617200
8468251,2009-12-02,VRSK,27.76,27.81,27.35,27.51,27.51,820900
8468252,2009-12-03,VRSK,27.81,27.94,27.5,27.72,27.72,491800
8468253,2009-12-04,VRSK,27.85,28.44,27.85,28.43,28.43,535500
8468254,2009-12-07,VRSK,28.2,28.98,27.94,28.74,28.74,361500
8468255,2009-12-08,VRSK,28.41,28.92,27.9,28.61,28.61,398200
8468256,2009-12-09,VRSK,28.33,28.7,28.18,28.65,28.65,449600
8468257,2009-12-10,VRSK,28.57,28.7,28.13,28.4,28.4,435200
8468258,2009-12-11,VRSK,28.02,28.81,28.0,28.66,28.66,590700
8468259,2009-12-14,VRSK,28.56,29.04,28.56,28.99,28.99,502300
8468260,2009-12-15,VRSK,28.93,29.47,28.77,29.3,29.3,891900
8468261,2009-12-16,VRSK,29.27,30.97,29.15,30.39,30.39,1572400
8468262,2009-12-17,VRSK,30.25,30.64,30.0,30.4,30.4,929200
8468263,2009-12-18,VRSK,30.38,31.0,29.73,30.56,30.56,8298500
8468264,2009-12-21,VRSK,30.78,30.78,29.89,30.5,30.5,885900
8468265,2009-12-22,VRSK,30.34,30.85,30.1,30.58,30.58,420900
8468266,2009-12-23,VRSK,30.68,30.94,30.21,30.68,30.68,845700
8468267,2009-12-24,VRSK,30.79,31.18,30.68,30.8,30.8,170800
8468268,2009-12-28,VRSK,30.89,31.12,30.62,30.96,30.96,250100
8468269,2009-12-29,VRSK,30.92,31.14,30.7,31.0,31.0,283400
8468270,2009-12-30,VRSK,30.91,31.0,30.45,31.0,31.0,175200
8468271,2009-12-31,VRSK,30.86,31.0,30.21,30.28,30.28,154600
8468272,2010-01-04,VRSK,30.41,30.5,29.67,29.85,29.85,390000
8468273,2010-01-05,VRSK,29.85,30.07,29.49,30.05,30.05,430000
8468274,2010-01-06,VRSK,30.0,30.87,30.0,30.44,30.44,848900
8468275,2010-01-07,VRSK,30.36,30.68,29.8,30.39,30.39,426600
8468276,2010-01-08,VRSK,30.21,30.27,29.98,30.0,30.0,253200
8468277,2010-01-11,VRSK,30.03,30.11,29.75,29.93,29.93,676500
8468278,2010-01-12,VRSK,29.99,30.38,29.84,30.16,30.16,742000
8468279,2010-01-13,VRSK,30.1,30.29,30.1,30.15,30.15,394400
8468280,2010-01-14,VRSK,30.09,30.1,29.89,29.91,29.91,301100
8468281,2010-01-15,VRSK,29.77,29.92,28.66,28.95,28.95,766000
8468282,2010-01-19,VRSK,28.84,28.84,27.81,27.95,27.95,1531700
8468283,2010-01-20,VRSK,27.81,28.1,27.69,27.99,27.99,957600
8468284,2010-01-21,VRSK,27.99,28.4,27.91,28.04,28.04,681800
8468285,2010-01-22,VRSK,28.2,28.37,27.93,28.01,28.01,595600
8468286,2010-01-25,VRSK,27.98,28.24,27.91,27.95,27.95,256500
8468287,2010-01-26,VRSK,27.83,28.75,27.83,28.35,28.35,302600
