,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8749979,2014-11-05,XENE,10.02,11.55,9.21,10.5,10.5,698052
8749980,2014-11-06,XENE,10.35,12.63,10.35,11.97,11.97,258300
8749981,2014-11-07,XENE,13.0,13.29,12.5,13.29,13.29,126200
8749982,2014-11-10,XENE,13.48,16.71,13.25,16.0,16.0,172800
8749983,2014-11-11,XENE,17.5,18.48,16.0,16.47,16.47,187000
8749984,2014-11-12,XENE,16.5,16.99,13.1,13.41,13.41,136200
8749985,2014-11-13,XENE,13.27,13.42,12.0,13.42,13.42,140400
8749986,2014-11-14,XENE,13.0,13.41,12.51,12.7,12.7,43800
8749987,2014-11-17,XENE,13.2,13.99,13.08,13.45,13.45,33200
8749988,2014-11-18,XENE,13.51,14.0,13.45,14.0,14.0,59100
8749989,2014-11-19,XENE,14.0,14.0,13.6,13.66,13.66,34300
8749990,2014-11-20,XENE,13.61,13.65,12.84,13.17,13.17,66000
8749991,2014-11-21,XENE,13.3,13.7,12.55,12.65,12.65,45500
8749992,2014-11-24,XENE,12.75,12.75,12.5,12.52,12.52,28500
8749993,2014-11-25,XENE,12.6,12.91,12.51,12.68,12.68,22200
8749994,2014-11-26,XENE,12.62,12.67,12.5,12.54,12.54,25300
8749995,2014-11-28,XENE,12.51,13.4,12.51,13.2,13.2,28900
8749996,2014-12-01,XENE,13.05,13.18,12.06,12.21,12.21,43400
8749997,2014-12-02,XENE,12.5,13.85,12.3,13.15,13.15,46600
8749998,2014-12-03,XENE,13.5,15.05,13.5,14.47,14.47,90200
8749999,2014-12-04,XENE,14.7,14.82,13.62,13.74,13.74,37700
8750000,2014-12-05,XENE,13.6,14.55,13.01,13.96,13.96,39400
8750001,2014-12-08,XENE,13.6,14.42,13.6,14.24,14.24,18000
8750002,2014-12-09,XENE,13.61,14.61,13.6,14.6,14.6,23500
8750003,2014-12-10,XENE,14.26,16.62,14.06,16.07,16.07,128200
8750004,2014-12-11,XENE,16.21,18.0,15.75,17.14,17.14,99400
8750005,2014-12-12,XENE,16.71,17.6,16.06,17.05,17.05,37000
8750006,2014-12-15,XENE,17.69,18.0,15.03,15.48,15.48,79300
8750007,2014-12-16,XENE,15.67,15.98,14.69,15.39,15.39,43800
8750008,2014-12-17,XENE,15.23,15.49,14.72,15.26,15.26,31600
8750009,2014-12-18,XENE,15.91,16.64,15.3,16.01,16.01,49300
8750010,2014-12-19,XENE,16.0,17.15,15.58,15.6,15.6,31200
8750011,2014-12-22,XENE,15.5,15.85,14.6,15.24,15.24,79400
8750012,2014-12-23,XENE,15.62,15.98,14.99,15.31,15.31,16600
8750013,2014-12-24,XENE,15.12,15.49,15.12,15.49,15.49,5000
8750014,2014-12-26,XENE,15.88,17.5,15.83,17.05,17.05,64400
8750015,2014-12-29,XENE,17.49,20.55,17.25,19.91,19.91,213000
8750016,2014-12-30,XENE,20.4,21.95,19.75,19.79,19.79,161300
8750017,2014-12-31,XENE,19.86,21.23,19.5,19.75,19.75,42200
8750018,2015-01-02,XENE,19.79,20.6,18.5,18.7,18.7,38600
8750019,2015-01-05,XENE,19.18,20.49,18.5,19.15,19.15,50400
8750020,2015-01-06,XENE,19.1,19.83,18.58,18.84,18.84,36900
8750021,2015-01-07,XENE,19.42,21.88,19.05,20.9,20.9,95700
