,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
289737,2017-07-05,AKCA,1.05,1.05,1.05,1.05,1.05,0
289738,2017-07-06,AKCA,1.05,1.05,1.05,1.05,1.05,0
289739,2017-07-07,AKCA,1.05,1.05,1.05,1.05,1.05,0
289740,2017-07-10,AKCA,1.05,1.05,1.05,1.05,1.05,0
289741,2017-07-11,AKCA,1.05,1.05,1.05,1.05,1.05,0
289742,2017-07-12,AKCA,1.05,1.05,1.05,1.05,1.05,0
289743,2017-07-14,AKCA,8.13,9.53,8.1,9.48,9.48,5535200
289744,2017-07-17,AKCA,9.7,10.5,9.65,10.48,10.48,1741500
289745,2017-07-18,AKCA,10.25,10.32,9.8,10.1,10.1,656500
289746,2017-07-19,AKCA,10.06,11.28,9.9,11.11,11.11,783100
289747,2017-07-20,AKCA,11.05,12.8,11.0,12.4,12.4,963700
289748,2017-07-21,AKCA,12.3,14.0,12.25,13.53,13.53,946500
289749,2017-07-24,AKCA,13.67,15.24,13.0,14.9,14.9,812600
289750,2017-07-25,AKCA,14.9,16.3,13.35,13.77,13.77,912100
289751,2017-07-26,AKCA,13.58,14.81,13.36,14.48,14.48,310400
289752,2017-07-27,AKCA,15.07,15.85,14.55,14.88,14.88,408400
289753,2017-07-28,AKCA,14.9,15.03,13.35,13.36,13.36,298900
289754,2017-07-31,AKCA,13.36,14.69,13.36,14.39,14.39,158200
289755,2017-08-01,AKCA,14.39,15.1,13.87,14.96,14.96,253600
289756,2017-08-02,AKCA,14.8,15.8,14.49,15.43,15.43,347300
289757,2017-08-03,AKCA,15.42,15.57,13.95,13.95,13.95,248800
289758,2017-08-04,AKCA,14.02,15.12,13.76,14.99,14.99,264900
289759,2017-08-07,AKCA,14.77,14.98,13.93,14.9,14.9,96100
289760,2017-08-08,AKCA,15.62,15.8,14.58,14.7,14.7,345100
289761,2017-08-09,AKCA,14.96,15.14,13.7,14.65,14.65,333500
289762,2017-08-10,AKCA,14.83,15.08,14.26,14.65,14.65,247100
289763,2017-08-11,AKCA,14.57,14.98,13.85,14.21,14.21,271000
289764,2017-08-14,AKCA,14.2,14.64,13.86,14.04,14.04,129300
289765,2017-08-15,AKCA,14.0,14.32,13.75,14.13,14.13,348400
289766,2017-08-16,AKCA,14.06,14.48,14.03,14.35,14.35,85900
289767,2017-08-17,AKCA,14.21,14.74,13.92,14.31,14.31,71700
289768,2017-08-18,AKCA,14.19,14.52,13.85,14.1,14.1,221400
289769,2017-08-21,AKCA,14.09,15.38,13.94,15.08,15.08,407000
289770,2017-08-22,AKCA,15.15,17.55,15.03,17.33,17.33,472100
289771,2017-08-23,AKCA,17.01,17.76,16.86,17.44,17.44,298100
289772,2017-08-24,AKCA,17.33,19.5,16.9,18.87,18.87,437500
289773,2017-08-25,AKCA,19.03,19.34,18.01,18.38,18.38,170600
289774,2017-08-28,AKCA,18.34,19.75,18.2,19.59,19.59,283800
289775,2017-08-29,AKCA,19.46,21.63,19.0,20.52,20.52,437700
289776,2017-08-30,AKCA,20.19,21.1,19.8,20.75,20.75,216100
289777,2017-08-31,AKCA,21.23,22.48,18.02,18.65,18.65,713000
289778,2017-09-01,AKCA,18.71,19.63,18.11,19.34,19.34,291900
289779,2017-09-05,AKCA,19.53,23.22,19.35,22.74,22.74,627500
289780,2017-09-06,AKCA,22.52,24.68,21.57,24.36,24.36,503900
289781,2017-09-07,AKCA,24.44,25.63,20.8,21.39,21.39,876600
289782,2017-09-08,AKCA,21.56,22.92,21.0,21.77,21.77,421100
289783,2017-09-11,AKCA,21.99,23.11,21.99,22.53,22.53,476400
289784,2017-09-12,AKCA,22.59,23.48,22.07,22.83,22.83,426100
289785,2017-09-13,AKCA,23.24,23.93,22.97,23.67,23.67,494100
289786,2017-09-14,AKCA,23.24,23.93,22.93,23.73,23.73,617500
289787,2017-09-15,AKCA,23.95,25.73,23.23,23.87,23.87,2803900
289788,2017-09-18,AKCA,23.83,24.46,23.55,24.0,24.0,458200
289789,2017-09-19,AKCA,24.2,25.37,24.19,24.68,24.68,502900
289790,2017-09-20,AKCA,24.97,25.23,24.56,25.21,25.21,324500
289791,2017-09-21,AKCA,25.3,26.76,25.2,26.41,26.41,310100
289792,2017-09-22,AKCA,26.62,26.94,25.7,26.62,26.62,330500
289793,2017-09-25,AKCA,26.83,28.78,26.83,28.05,28.05,495300
289794,2017-09-26,AKCA,27.86,28.46,27.5,28.24,28.24,417700
289795,2017-09-27,AKCA,28.49,29.98,27.67,29.83,29.83,463400
289796,2017-09-28,AKCA,29.76,31.23,27.51,28.33,28.33,647200
289797,2017-09-29,AKCA,28.0,28.87,27.27,27.67,27.67,602100
289798,2017-10-02,AKCA,27.96,28.53,27.3,28.08,28.08,797100
289799,2017-10-03,AKCA,28.22,28.4,27.0,28.03,28.03,501000
289800,2017-10-04,AKCA,28.1,30.2,28.0,29.18,29.18,636800
289801,2017-10-05,AKCA,29.39,30.06,27.45,28.72,28.72,372700
289802,2017-10-06,AKCA,28.7,28.76,27.52,27.96,27.96,218500
289803,2017-10-09,AKCA,28.05,28.2,25.46,25.71,25.71,690200
289804,2017-10-10,AKCA,26.15,26.68,23.8,24.05,24.05,424500
289805,2017-10-11,AKCA,23.86,24.24,22.56,22.78,22.78,373400
289806,2017-10-12,AKCA,22.61,23.67,22.29,23.0,23.0,281200
289807,2017-10-13,AKCA,22.97,24.0,22.82,23.04,23.04,191600
289808,2017-10-16,AKCA,23.04,23.68,22.26,22.39,22.39,214400
289809,2017-10-17,AKCA,22.48,22.58,20.18,20.63,20.63,275200
289810,2017-10-18,AKCA,20.82,21.09,18.9,19.0,19.0,412200
289811,2017-10-19,AKCA,19.02,19.65,17.42,19.21,19.21,760500
289812,2017-10-20,AKCA,19.4,19.92,18.21,18.44,18.44,280600
289813,2017-10-23,AKCA,18.49,19.45,18.2,19.27,19.27,235900
289814,2017-10-24,AKCA,19.27,20.48,18.54,19.38,19.38,297000
289815,2017-10-25,AKCA,19.43,19.44,17.08,17.44,17.44,289000
