,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
671287,2009-08-06,ASPS,5.6,7.0,5.6,7.0,7.0,1800
671288,2009-08-07,ASPS,10.0,18.0,9.5,16.0,16.0,78300
671289,2009-08-10,ASPS,11.05,13.0,11.05,12.2,12.2,282800
671290,2009-08-11,ASPS,11.16,16.0,11.16,11.91,11.91,112100
671291,2009-08-12,ASPS,11.26,11.99,10.59,10.9,10.9,398800
671292,2009-08-13,ASPS,10.82,11.95,10.66,10.66,10.66,166200
671293,2009-08-14,ASPS,10.75,11.1,10.02,10.1,10.1,442300
671294,2009-08-17,ASPS,10.33,10.35,9.54,10.27,10.27,932000
671295,2009-08-18,ASPS,10.35,12.54,10.27,12.54,12.54,791800
671296,2009-08-19,ASPS,12.24,12.24,11.0,11.68,11.68,200600
671297,2009-08-20,ASPS,11.3,13.09,11.3,12.76,12.76,153300
671298,2009-08-21,ASPS,12.77,14.22,12.55,13.44,13.44,214100
671299,2009-08-24,ASPS,13.6,14.29,13.43,14.04,14.04,330600
671300,2009-08-25,ASPS,14.05,14.84,13.56,14.51,14.51,114100
671301,2009-08-26,ASPS,14.59,14.6,14.0,14.2,14.2,189800
671302,2009-08-27,ASPS,14.6,14.6,14.05,14.33,14.33,176400
671303,2009-08-28,ASPS,14.57,14.57,14.02,14.39,14.39,76000
671304,2009-08-31,ASPS,14.03,14.61,14.03,14.35,14.35,97800
671305,2009-09-01,ASPS,14.0,14.49,13.71,13.89,13.89,164100
671306,2009-09-02,ASPS,13.58,14.0,13.5,13.6,13.6,165200
671307,2009-09-03,ASPS,13.63,13.71,13.53,13.64,13.64,82500
671308,2009-09-04,ASPS,13.54,14.06,13.54,13.62,13.62,43800
671309,2009-09-08,ASPS,13.68,13.68,13.5,13.62,13.62,107400
671310,2009-09-09,ASPS,13.79,13.79,13.28,13.58,13.58,243700
671311,2009-09-10,ASPS,13.31,13.65,13.31,13.57,13.57,175300
671312,2009-09-11,ASPS,13.49,13.75,13.38,13.68,13.68,77000
671313,2009-09-14,ASPS,13.63,13.65,13.56,13.6,13.6,105600
671314,2009-09-15,ASPS,13.54,13.73,13.47,13.66,13.66,67400
671315,2009-09-16,ASPS,13.63,13.75,13.6,13.69,13.69,52600
671316,2009-09-17,ASPS,13.36,13.94,13.3,13.91,13.91,52900
671317,2009-09-18,ASPS,13.83,14.25,13.83,14.0,14.0,99300
671318,2009-09-21,ASPS,13.72,14.12,13.28,14.05,14.05,79000
671319,2009-09-22,ASPS,14.28,14.28,14.04,14.15,14.15,68600
671320,2009-09-23,ASPS,14.05,14.33,14.05,14.22,14.22,172900
671321,2009-09-24,ASPS,13.99,14.49,13.93,14.01,14.01,82200
671322,2009-09-25,ASPS,14.11,14.16,13.64,14.0,14.0,41300
671323,2009-09-28,ASPS,13.73,14.05,13.7,13.9,13.9,156100
671324,2009-09-29,ASPS,14.04,14.43,13.72,14.33,14.33,162100
671325,2009-09-30,ASPS,14.33,14.59,14.3,14.44,14.44,182700
671326,2009-10-01,ASPS,14.52,14.81,14.43,14.63,14.63,144800
671327,2009-10-02,ASPS,14.38,14.73,14.38,14.71,14.71,143900
671328,2009-10-05,ASPS,14.73,14.74,14.48,14.6,14.6,64800
671329,2009-10-06,ASPS,14.53,14.67,14.5,14.55,14.55,99000
671330,2009-10-07,ASPS,14.36,14.62,14.36,14.57,14.57,27500
671331,2009-10-08,ASPS,14.59,14.59,14.46,14.48,14.48,60600
671332,2009-10-09,ASPS,14.49,14.71,14.41,14.71,14.71,54600
671333,2009-10-12,ASPS,14.65,14.68,14.44,14.62,14.62,35100
671334,2009-10-13,ASPS,14.55,14.87,14.49,14.78,14.78,30100
671335,2009-10-14,ASPS,14.93,14.93,14.65,14.9,14.9,73000
671336,2009-10-15,ASPS,15.0,16.1,14.99,15.83,15.83,215100
671337,2009-10-16,ASPS,15.65,16.13,15.52,16.08,16.08,127400
671338,2009-10-19,ASPS,16.25,16.25,15.92,16.13,16.13,42400
671339,2009-10-20,ASPS,16.2,16.49,15.95,16.4,16.4,118900
671340,2009-10-21,ASPS,16.39,16.89,16.39,16.57,16.57,63300
671341,2009-10-22,ASPS,16.44,16.72,16.29,16.61,16.61,116700
671342,2009-10-23,ASPS,16.6,16.69,16.46,16.46,16.46,48900
671343,2009-10-26,ASPS,16.27,16.35,15.93,16.05,16.05,30600
671344,2009-10-27,ASPS,15.97,15.97,14.9,15.1,15.1,234500
671345,2009-10-28,ASPS,15.1,15.18,14.53,14.85,14.85,58600
671346,2009-10-29,ASPS,15.0,15.06,14.6,14.92,14.92,92900
671347,2009-10-30,ASPS,14.79,15.32,14.59,15.25,15.25,53500
671348,2009-11-02,ASPS,15.19,15.44,14.56,14.76,14.76,90300
671349,2009-11-03,ASPS,14.65,14.92,14.43,14.56,14.56,87100
671350,2009-11-04,ASPS,14.41,14.76,14.16,14.41,14.41,81000
671351,2009-11-05,ASPS,14.75,14.92,14.31,14.85,14.85,383000
671352,2009-11-06,ASPS,14.72,15.46,14.5,15.21,15.21,147700
671353,2009-11-09,ASPS,15.34,16.82,15.34,16.7,16.7,132200
671354,2009-11-10,ASPS,16.74,16.96,15.17,16.95,16.95,112300
671355,2009-11-11,ASPS,17.25,17.27,16.77,17.09,17.09,346800
671356,2009-11-12,ASPS,17.07,17.45,17.05,17.15,17.15,194800
671357,2009-11-13,ASPS,17.22,17.31,16.58,17.16,17.16,104600
671358,2009-11-16,ASPS,17.21,17.29,16.31,17.27,17.27,125000
671359,2009-11-17,ASPS,17.3,17.3,17.05,17.26,17.26,59000
671360,2009-11-18,ASPS,17.39,17.39,16.75,16.88,16.88,58000
671361,2009-11-19,ASPS,16.92,17.05,16.56,16.89,16.89,82500
671362,2009-11-20,ASPS,16.88,17.14,16.6,16.6,16.6,32800
671363,2009-11-23,ASPS,16.68,16.82,16.5,16.5,16.5,49200
671364,2009-11-24,ASPS,16.34,16.65,16.34,16.45,16.45,33700
671365,2009-11-25,ASPS,16.5,16.56,16.44,16.45,16.45,95200
671366,2009-11-27,ASPS,16.13,17.15,14.96,16.4,16.4,145000
671367,2009-11-30,ASPS,16.39,16.47,15.92,16.14,16.14,164700
671368,2009-12-01,ASPS,16.17,16.17,15.48,15.7,15.7,160900
