,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
717522,1990-01-02,ATAX,9.25,9.25,8.5,8.5,0.76,12100
717523,1990-01-03,ATAX,8.5,9.25,8.5,8.5,0.76,22700
717524,1990-01-04,ATAX,8.5,9.25,8.5,9.25,0.82,11100
717525,1990-01-05,ATAX,9.25,9.5,9.0,9.5,0.84,3100
717526,1990-01-08,ATAX,9.5,9.75,9.0,9.0,0.8,9700
717527,1990-01-09,ATAX,9.0,9.75,9.0,9.25,0.82,2800
717528,1990-01-10,ATAX,9.25,10.0,9.25,9.5,0.84,8100
717529,1990-01-11,ATAX,9.5,10.25,9.5,9.88,0.88,13600
717530,1990-01-12,ATAX,9.88,10.25,9.5,10.25,0.91,23600
717531,1990-01-15,ATAX,10.25,10.25,9.75,10.0,0.89,10200
717532,1990-01-16,ATAX,10.0,10.25,9.75,9.75,0.87,24500
717533,1990-01-17,ATAX,10.0,10.75,10.0,10.75,0.96,62300
717534,1990-01-18,ATAX,10.75,10.75,10.25,10.38,0.92,50100
717535,1990-01-19,ATAX,10.38,10.75,10.25,10.38,0.92,19000
717536,1990-01-22,ATAX,10.38,11.0,10.25,10.5,0.93,39200
717537,1990-01-23,ATAX,10.5,11.0,10.5,10.5,0.93,20100
717538,1990-01-24,ATAX,10.5,11.0,10.5,11.0,0.98,32500
717539,1990-01-25,ATAX,11.0,11.0,10.5,10.5,0.94,19200
717540,1990-01-26,ATAX,10.5,11.0,10.5,10.5,0.94,16400
717541,1990-01-29,ATAX,10.5,11.0,10.5,10.5,0.94,18000
717542,1990-01-30,ATAX,10.5,11.0,10.5,11.0,0.98,19900
717543,1990-01-31,ATAX,11.0,11.0,10.5,10.5,0.94,9800
717544,1990-02-01,ATAX,10.5,11.0,10.5,10.5,0.94,9900
717545,1990-02-02,ATAX,10.5,11.0,10.5,10.5,0.94,7900
717546,1990-02-05,ATAX,10.5,11.0,10.5,11.0,0.98,6200
717547,1990-02-06,ATAX,11.0,11.0,10.25,10.25,0.92,16700
717548,1990-02-07,ATAX,10.25,11.0,10.25,10.25,0.92,27500
717549,1990-02-08,ATAX,10.25,11.0,10.25,11.0,0.98,27500
717550,1990-02-09,ATAX,11.0,11.0,10.25,11.0,0.98,4600
717551,1990-02-12,ATAX,11.0,11.0,10.25,10.25,0.92,7200
717552,1990-02-13,ATAX,10.25,10.75,10.25,10.25,0.92,17000
717553,1990-02-14,ATAX,10.25,10.5,9.0,9.75,0.87,23300
717554,1990-02-15,ATAX,9.75,9.75,9.25,9.75,0.87,19300
717555,1990-02-16,ATAX,9.75,9.75,9.25,9.38,0.84,8300
717556,1990-02-20,ATAX,9.38,9.75,9.25,9.5,0.85,6600
717557,1990-02-21,ATAX,9.5,9.75,9.25,9.75,0.87,9800
717558,1990-02-22,ATAX,9.75,9.75,9.0,9.75,0.88,29000
717559,1990-02-23,ATAX,9.75,9.75,9.0,9.0,0.81,3500
717560,1990-02-26,ATAX,9.0,9.75,9.0,9.0,0.81,5500
717561,1990-02-27,ATAX,9.0,9.75,9.0,9.75,0.88,7100
717562,1990-02-28,ATAX,9.75,9.75,9.0,9.75,0.88,18300
717563,1990-03-01,ATAX,9.75,9.75,9.0,9.0,0.81,5900
717564,1990-03-02,ATAX,9.0,9.75,9.0,9.75,0.88,14900
