,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
914163,2000-02-11,BBGI,15.0,15.5,13.88,14.13,10.8,7089100
914164,2000-02-14,BBGI,14.13,14.13,13.38,13.5,10.32,846200
914165,2000-02-15,BBGI,13.5,13.56,13.0,13.13,10.04,602500
914166,2000-02-16,BBGI,13.13,14.0,13.13,13.31,10.18,182300
914167,2000-02-17,BBGI,13.31,14.0,13.0,13.0,9.94,300800
914168,2000-02-18,BBGI,13.0,13.13,11.94,12.13,9.27,272700
914169,2000-02-22,BBGI,12.13,12.25,11.75,11.88,9.08,451500
914170,2000-02-23,BBGI,11.88,13.0,11.88,12.81,9.8,181000
914171,2000-02-24,BBGI,12.88,13.5,12.5,12.63,9.65,74400
914172,2000-02-25,BBGI,12.63,13.06,12.25,13.0,9.94,151400
914173,2000-02-28,BBGI,13.0,13.0,12.25,12.25,9.37,162600
914174,2000-02-29,BBGI,12.25,12.44,12.0,12.0,9.18,152800
914175,2000-03-01,BBGI,12.75,12.75,11.88,12.06,9.22,112300
914176,2000-03-02,BBGI,12.09,13.63,12.0,12.88,9.84,120600
914177,2000-03-03,BBGI,13.38,13.38,12.25,12.44,9.51,73100
914178,2000-03-06,BBGI,12.25,13.25,12.25,13.19,10.08,59700
914179,2000-03-07,BBGI,13.06,13.63,12.75,12.88,9.84,64400
914180,2000-03-08,BBGI,13.63,13.63,12.13,12.5,9.56,111900
914181,2000-03-09,BBGI,13.0,13.0,12.38,12.63,9.65,30700
914182,2000-03-10,BBGI,12.38,12.5,12.25,12.25,9.37,31200
914183,2000-03-13,BBGI,12.38,12.44,12.0,12.19,9.32,37000
914184,2000-03-14,BBGI,12.25,12.5,11.75,12.13,9.27,59200
914185,2000-03-15,BBGI,11.81,12.13,11.56,11.63,8.89,153600
914186,2000-03-16,BBGI,11.63,11.88,11.0,11.0,8.41,402800
914187,2000-03-17,BBGI,11.38,11.75,11.38,11.5,8.79,346800
914188,2000-03-20,BBGI,11.44,12.25,11.38,12.25,9.37,43500
914189,2000-03-21,BBGI,12.13,12.31,11.88,11.88,9.08,30600
914190,2000-03-22,BBGI,12.13,12.13,11.88,11.88,9.08,45300
914191,2000-03-23,BBGI,11.88,12.69,11.88,12.5,9.56,147300
914192,2000-03-24,BBGI,12.25,12.5,11.5,12.13,9.27,87700
914193,2000-03-27,BBGI,12.13,12.13,11.69,11.69,8.94,34000
914194,2000-03-28,BBGI,11.69,12.13,11.69,11.75,8.98,82100
914195,2000-03-29,BBGI,11.69,11.75,11.0,11.0,8.41,105100
914196,2000-03-30,BBGI,11.0,11.56,10.0,10.56,8.08,1494800
914197,2000-03-31,BBGI,10.0,10.5,8.13,9.25,7.07,435700
914198,2000-04-03,BBGI,9.25,10.88,9.19,10.38,7.93,46300
914199,2000-04-04,BBGI,10.38,11.0,9.0,9.0,6.88,71500
914200,2000-04-05,BBGI,9.0,9.63,8.75,8.81,6.74,14700
