,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
949154,1990-01-02,BCPC,0.16,0.16,0.16,0.16,0.09,54600
949155,1990-01-03,BCPC,0.16,0.17,0.16,0.17,0.1,129600
949156,1990-01-04,BCPC,0.17,0.17,0.17,0.17,0.1,0
949157,1990-01-05,BCPC,0.17,0.17,0.17,0.17,0.1,0
949158,1990-01-08,BCPC,0.17,0.17,0.17,0.17,0.1,0
949159,1990-01-09,BCPC,0.17,0.17,0.17,0.17,0.1,0
949160,1990-01-10,BCPC,0.17,0.17,0.16,0.17,0.1,23100
949161,1990-01-11,BCPC,0.16,0.16,0.16,0.16,0.09,100
949162,1990-01-12,BCPC,0.16,0.16,0.16,0.16,0.09,0
949163,1990-01-15,BCPC,0.16,0.16,0.16,0.16,0.09,0
949164,1990-01-16,BCPC,0.16,0.16,0.16,0.16,0.09,0
949165,1990-01-17,BCPC,0.16,0.18,0.16,0.18,0.1,59500
949166,1990-01-18,BCPC,0.16,0.16,0.16,0.16,0.09,1900
949167,1990-01-19,BCPC,0.18,0.18,0.18,0.18,0.1,63600
949168,1990-01-22,BCPC,0.18,0.18,0.18,0.18,0.1,0
949169,1990-01-23,BCPC,0.19,0.19,0.19,0.19,0.11,18100
949170,1990-01-24,BCPC,0.19,0.19,0.19,0.19,0.11,100
949171,1990-01-25,BCPC,0.19,0.19,0.19,0.19,0.11,0
949172,1990-01-26,BCPC,0.17,0.17,0.17,0.17,0.1,18100
949173,1990-01-29,BCPC,0.17,0.17,0.17,0.17,0.1,0
949174,1990-01-30,BCPC,0.17,0.17,0.17,0.17,0.1,0
949175,1990-01-31,BCPC,0.18,0.18,0.18,0.18,0.11,36600
949176,1990-02-01,BCPC,0.17,0.17,0.17,0.17,0.1,6300
949177,1990-02-02,BCPC,0.17,0.17,0.17,0.17,0.1,0
949178,1990-02-05,BCPC,0.18,0.22,0.18,0.18,0.11,91300
949179,1990-02-06,BCPC,0.2,0.22,0.2,0.22,0.12,132400
949180,1990-02-07,BCPC,0.22,0.22,0.22,0.22,0.12,0
949181,1990-02-08,BCPC,0.22,0.22,0.22,0.22,0.12,0
949182,1990-02-09,BCPC,0.22,0.22,0.22,0.22,0.12,0
949183,1990-02-12,BCPC,0.22,0.22,0.22,0.22,0.12,0
949184,1990-02-13,BCPC,0.22,0.22,0.22,0.22,0.12,0
949185,1990-02-14,BCPC,0.2,0.2,0.2,0.2,0.12,15400
