,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1392410,2015-06-25,CATB,12.74,13.49,12.25,13.0,13.0,2013600
1392411,2015-06-26,CATB,13.08,13.47,12.85,13.47,13.47,112200
1392412,2015-06-29,CATB,14.0,14.0,11.66,11.7,11.7,46500
1392413,2015-06-30,CATB,11.51,12.21,11.51,12.21,12.21,33800
1392414,2015-07-01,CATB,11.96,13.6,11.79,13.2,13.2,102300
1392415,2015-07-02,CATB,12.73,14.34,12.22,12.4,12.4,107100
1392416,2015-07-06,CATB,13.49,16.96,12.61,13.64,13.64,225400
1392417,2015-07-07,CATB,13.9,14.72,13.02,13.42,13.42,51400
1392418,2015-07-08,CATB,13.24,13.99,12.51,13.0,13.0,36000
1392419,2015-07-09,CATB,13.28,13.38,12.3,12.55,12.55,35000
1392420,2015-07-10,CATB,12.67,14.57,12.67,14.38,14.38,99000
1392421,2015-07-13,CATB,14.69,14.95,12.5,12.95,12.95,47300
1392422,2015-07-14,CATB,12.77,14.12,12.77,13.97,13.97,26700
1392423,2015-07-15,CATB,14.23,14.23,13.14,13.37,13.37,29700
1392424,2015-07-16,CATB,13.2,13.6,13.02,13.3,13.3,33200
1392425,2015-07-17,CATB,13.42,14.2,13.24,14.05,14.05,49500
1392426,2015-07-20,CATB,14.3,14.79,13.21,13.76,13.76,130500
1392427,2015-07-21,CATB,14.01,14.32,13.87,14.0,14.0,237300
1392428,2015-07-22,CATB,14.0,14.41,13.9,14.14,14.14,86400
1392429,2015-07-23,CATB,14.4,14.64,14.28,14.5,14.5,93800
1392430,2015-07-24,CATB,14.6,14.75,13.9,13.9,13.9,64600
1392431,2015-07-27,CATB,13.9,13.92,12.0,12.0,12.0,173700
1392432,2015-07-28,CATB,12.0,13.74,12.0,13.09,13.09,79300
1392433,2015-07-29,CATB,12.52,13.59,12.52,13.5,13.5,30300
1392434,2015-07-30,CATB,13.34,14.09,13.0,13.96,13.96,33100
1392435,2015-07-31,CATB,13.83,14.1,13.0,13.0,13.0,65000
1392436,2015-08-03,CATB,13.0,13.23,12.26,12.41,12.41,31600
1392437,2015-08-04,CATB,13.21,13.4,12.51,13.05,13.05,57800
1392438,2015-08-05,CATB,13.23,13.55,12.65,13.27,13.27,60400
1392439,2015-08-06,CATB,13.68,13.68,12.76,12.87,12.87,38100
1392440,2015-08-07,CATB,13.0,13.26,12.45,12.66,12.66,37000
1392441,2015-08-10,CATB,12.85,13.0,12.51,12.84,12.84,53900
1392442,2015-08-11,CATB,13.0,13.0,12.2,12.23,12.23,13900
1392443,2015-08-12,CATB,12.38,12.39,10.9,11.42,11.42,44800
1392444,2015-08-13,CATB,11.45,12.49,11.45,11.99,11.99,27700
1392445,2015-08-14,CATB,12.48,12.51,11.4,11.99,11.99,29300
1392446,2015-08-17,CATB,11.5,12.38,11.0,12.07,12.07,51400
1392447,2015-08-18,CATB,11.9,12.36,11.58,11.89,11.89,59300
1392448,2015-08-19,CATB,11.79,12.3,11.74,11.94,11.94,61400
1392449,2015-08-20,CATB,11.83,12.35,11.34,11.87,11.87,33800
1392450,2015-08-21,CATB,11.87,12.07,11.08,11.26,11.26,129400
1392451,2015-08-24,CATB,10.47,11.17,10.05,11.17,11.17,37500
1392452,2015-08-25,CATB,11.28,11.77,10.96,11.05,11.05,9500
1392453,2015-08-26,CATB,11.1,11.75,10.75,11.13,11.13,28900
1392454,2015-08-27,CATB,11.16,12.0,11.1,11.93,11.93,33100
1392455,2015-08-28,CATB,12.05,12.6,11.94,12.29,12.29,23000
1392456,2015-08-31,CATB,12.1,12.39,11.02,11.39,11.39,26600
1392457,2015-09-01,CATB,11.87,11.87,10.36,10.68,10.68,24700
1392458,2015-09-02,CATB,10.8,12.15,10.8,11.98,11.98,42500
1392459,2015-09-03,CATB,12.05,12.26,11.13,11.5,11.5,31500
1392460,2015-09-04,CATB,11.25,11.99,10.96,11.19,11.19,21300
1392461,2015-09-08,CATB,11.3,11.6,10.7,10.81,10.81,50300
