,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1482172,2002-02-05,CCOI,107.0,110.0,100.0,101.0,82.45,400
1482173,2002-02-06,CCOI,100.0,100.0,55.2,63.4,51.76,6000
1482174,2002-02-07,CCOI,65.0,67.0,60.0,62.0,50.62,500
1482175,2002-02-08,CCOI,61.0,64.0,61.0,63.0,51.43,300
1482176,2002-02-11,CCOI,65.0,66.0,63.0,65.4,53.39,600
1482177,2002-02-12,CCOI,66.0,66.0,63.0,63.2,51.59,100
1482178,2002-02-13,CCOI,65.0,66.0,65.0,65.4,53.39,0
1482179,2002-02-14,CCOI,66.0,66.0,65.0,65.0,53.06,800
1482180,2002-02-15,CCOI,66.6,68.6,65.0,68.6,56.0,200
1482181,2002-02-19,CCOI,68.6,68.6,67.0,67.0,54.7,200
1482182,2002-02-20,CCOI,65.0,65.0,63.0,65.0,53.06,300
1482183,2002-02-21,CCOI,63.0,66.0,61.0,63.0,51.43,200
1482184,2002-02-22,CCOI,63.0,64.0,57.0,58.0,47.35,400
1482185,2002-02-25,CCOI,60.0,60.0,54.2,54.2,44.25,100
1482186,2002-02-26,CCOI,54.2,55.2,54.2,55.2,45.06,100
1482187,2002-02-27,CCOI,57.0,58.0,54.0,54.0,44.08,300
1482188,2002-02-28,CCOI,57.8,59.0,56.0,57.8,47.19,100
1482189,2002-03-01,CCOI,60.0,67.8,60.0,66.6,54.37,700
1482190,2002-03-04,CCOI,66.6,68.0,64.0,66.0,53.88,200
1482191,2002-03-05,CCOI,67.8,70.0,66.0,68.0,55.51,400
1482192,2002-03-06,CCOI,66.0,67.6,65.0,66.6,54.37,300
1482193,2002-03-07,CCOI,67.6,67.6,66.0,66.0,53.88,100
1482194,2002-03-08,CCOI,66.0,67.0,66.0,67.0,54.7,100
1482195,2002-03-11,CCOI,68.8,68.8,67.4,67.4,55.02,0
1482196,2002-03-12,CCOI,68.0,70.0,68.0,68.0,55.51,100
1482197,2002-03-13,CCOI,70.0,70.0,68.2,69.2,56.49,0
1482198,2002-03-14,CCOI,69.2,71.0,69.2,70.8,57.8,100
1482199,2002-03-15,CCOI,73.0,75.0,73.0,74.0,60.41,0
1482200,2002-03-18,CCOI,75.0,75.8,74.0,74.0,60.41,300
1482201,2002-03-19,CCOI,75.0,75.8,75.0,75.0,61.23,100
1482202,2002-03-20,CCOI,73.2,76.0,73.2,75.0,61.23,700
1482203,2002-03-21,CCOI,76.0,76.0,75.0,75.0,61.23,100
1482204,2002-03-22,CCOI,75.0,75.0,73.6,73.6,60.09,0
1482205,2002-03-25,CCOI,72.0,72.0,68.2,68.2,55.68,100
1482206,2002-03-26,CCOI,68.2,68.2,68.0,68.0,55.51,0
1482207,2002-03-27,CCOI,66.0,66.0,60.2,60.2,49.15,300
1482208,2002-03-28,CCOI,62.2,62.8,60.2,62.6,51.11,100
1482209,2002-04-01,CCOI,64.0,64.0,62.0,63.0,51.43,300
1482210,2002-04-02,CCOI,64.0,64.0,63.0,64.0,52.25,1600
1482211,2002-04-03,CCOI,63.2,64.0,56.2,56.2,45.88,1300
1482212,2002-04-04,CCOI,57.0,57.0,54.0,55.0,44.9,1100
1482213,2002-04-05,CCOI,56.0,56.0,52.2,52.2,42.61,100
1482214,2002-04-08,CCOI,52.2,53.0,49.0,52.8,43.1,700
1482215,2002-04-09,CCOI,52.8,53.0,48.0,48.0,39.19,300
1482216,2002-04-10,CCOI,49.0,49.8,48.0,49.8,40.66,100
1482217,2002-04-11,CCOI,48.0,49.6,48.0,48.8,39.84,200
1482218,2002-04-12,CCOI,47.0,52.0,47.0,52.0,42.45,600
1482219,2002-04-15,CCOI,52.0,55.0,52.0,54.0,44.08,100
1482220,2002-04-16,CCOI,56.0,58.6,55.0,57.0,46.53,400
1482221,2002-04-17,CCOI,57.2,58.6,57.0,58.0,47.35,200
1482222,2002-04-18,CCOI,58.0,58.0,58.0,58.0,47.35,0
1482223,2002-04-19,CCOI,57.6,57.6,56.2,56.2,45.88,100
1482224,2002-04-22,CCOI,56.0,56.0,55.0,55.2,45.06,0
1482225,2002-04-23,CCOI,58.0,58.0,56.0,56.0,45.72,0
1482226,2002-04-24,CCOI,56.0,56.0,55.0,55.0,44.9,300
1482227,2002-04-25,CCOI,51.0,54.0,51.0,52.0,42.45,800
1482228,2002-04-26,CCOI,54.0,59.0,54.0,57.0,46.53,600
1482229,2002-04-29,CCOI,57.0,61.0,57.0,60.0,48.98,300
1482230,2002-04-30,CCOI,60.0,60.0,60.0,60.0,48.98,0
1482231,2002-05-01,CCOI,59.0,60.0,56.0,56.8,46.37,500
1482232,2002-05-02,CCOI,55.0,55.0,52.2,52.2,42.61,100
1482233,2002-05-03,CCOI,53.0,53.0,50.0,52.0,42.45,100
1482234,2002-05-06,CCOI,51.0,51.0,51.0,51.0,41.64,0
1482235,2002-05-07,CCOI,52.0,56.0,52.0,55.0,44.9,200
1482236,2002-05-08,CCOI,55.0,56.0,55.0,56.0,45.72,0
1482237,2002-05-09,CCOI,56.0,58.0,55.0,55.0,44.9,100
1482238,2002-05-10,CCOI,53.0,53.0,51.0,51.0,41.64,300
1482239,2002-05-13,CCOI,51.2,52.0,50.0,52.0,42.45,300
1482240,2002-05-14,CCOI,50.2,54.0,50.2,53.0,43.27,0
1482241,2002-05-15,CCOI,54.0,54.0,51.2,51.2,41.8,0
1482242,2002-05-16,CCOI,51.0,53.0,51.0,53.0,43.27,100
1482243,2002-05-17,CCOI,53.0,56.0,53.0,54.0,44.08,0
1482244,2002-05-20,CCOI,54.0,57.0,54.0,57.0,46.53,0
1482245,2002-05-21,CCOI,55.0,55.0,54.0,55.0,44.9,0
1482246,2002-05-22,CCOI,54.2,56.0,54.2,54.2,44.25,0
1482247,2002-05-23,CCOI,54.4,56.0,54.2,54.2,44.25,0
1482248,2002-05-24,CCOI,52.2,54.4,52.2,54.2,44.25,0
1482249,2002-05-28,CCOI,54.4,54.4,53.0,53.0,43.27,0
1482250,2002-05-29,CCOI,53.0,53.0,53.0,53.0,43.27,0
1482251,2002-05-30,CCOI,53.8,53.8,52.8,53.0,43.27,0
1482252,2002-05-31,CCOI,52.4,52.4,52.0,52.0,42.45,0
1482253,2002-06-03,CCOI,50.0,51.0,50.0,51.0,41.64,100
1482254,2002-06-04,CCOI,50.0,50.0,47.0,47.0,38.37,300
1482255,2002-06-05,CCOI,46.0,46.0,46.0,46.0,37.55,0
1482256,2002-06-06,CCOI,44.0,44.4,42.0,44.4,36.25,100
1482257,2002-06-07,CCOI,44.4,44.4,44.4,44.4,36.25,0
1482258,2002-06-10,CCOI,40.0,44.0,40.0,42.0,34.29,100
1482259,2002-06-11,CCOI,41.8,41.8,40.8,40.8,33.31,0
1482260,2002-06-12,CCOI,40.0,40.0,37.0,37.0,30.21,300
1482261,2002-06-13,CCOI,35.0,35.0,33.6,33.6,27.43,300
1482262,2002-06-14,CCOI,33.6,34.8,33.4,34.8,28.41,0
1482263,2002-06-17,CCOI,33.6,33.6,32.0,33.4,27.27,300
1482264,2002-06-18,CCOI,34.0,34.0,32.0,32.0,26.12,0
1482265,2002-06-19,CCOI,32.8,32.8,32.0,32.0,26.12,100
1482266,2002-06-20,CCOI,32.0,32.2,32.0,32.0,26.12,600
1482267,2002-06-21,CCOI,32.0,32.0,32.0,32.0,26.12,200
1482268,2002-06-24,CCOI,32.2,32.2,28.0,31.0,25.31,800
1482269,2002-06-25,CCOI,30.0,31.4,30.0,31.0,25.31,200
1482270,2002-06-26,CCOI,28.0,31.0,24.0,26.0,21.23,400
1482271,2002-06-27,CCOI,26.4,26.4,26.2,26.2,21.39,0
1482272,2002-06-28,CCOI,28.0,28.0,26.2,26.2,21.39,100
1482273,2002-07-01,CCOI,27.0,28.6,27.0,28.6,23.35,0
1482274,2002-07-02,CCOI,28.4,28.4,27.0,27.0,22.04,600
1482275,2002-07-03,CCOI,28.0,28.0,28.0,28.0,22.86,0
1482276,2002-07-05,CCOI,28.0,28.0,28.0,28.0,22.86,0
1482277,2002-07-08,CCOI,28.0,28.0,27.0,27.0,22.04,0
1482278,2002-07-09,CCOI,26.0,26.0,25.0,26.0,21.23,0
1482279,2002-07-10,CCOI,26.0,27.0,25.0,25.0,20.41,800
1482280,2002-07-11,CCOI,25.0,25.0,25.0,25.0,20.41,100
1482281,2002-07-12,CCOI,25.0,25.0,25.0,25.0,20.41,0
1482282,2002-07-15,CCOI,25.0,25.0,25.0,25.0,20.41,0
1482283,2002-07-16,CCOI,25.0,25.0,25.0,25.0,20.41,0
1482284,2002-07-17,CCOI,24.2,24.2,24.2,24.2,19.76,0
1482285,2002-07-18,CCOI,25.0,26.0,24.2,24.2,19.76,0
1482286,2002-07-19,CCOI,24.2,24.2,24.2,24.2,19.76,0
1482287,2002-07-22,CCOI,25.4,25.4,25.4,25.4,20.74,0
1482288,2002-07-23,CCOI,26.6,26.6,24.0,25.0,20.41,0
1482289,2002-07-24,CCOI,25.0,25.0,25.0,25.0,20.41,0
1482290,2002-07-25,CCOI,24.0,24.0,24.0,24.0,19.59,0
1482291,2002-07-26,CCOI,24.8,24.8,23.6,23.6,19.27,0
1482292,2002-07-29,CCOI,24.0,26.0,24.0,25.0,20.41,0
1482293,2002-07-30,CCOI,25.8,26.8,25.8,25.8,21.06,0
1482294,2002-07-31,CCOI,25.6,25.8,23.0,23.0,18.78,400
1482295,2002-08-01,CCOI,25.0,25.0,25.0,25.0,20.41,0
1482296,2002-08-02,CCOI,26.0,26.0,24.2,24.2,19.76,0
