,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
1715489,2017-08-08,CIFS,13.0,13.0,11.5,12.3,12.3,154600
1715490,2017-08-09,CIFS,12.34,12.36,11.9,11.98,11.98,99700
1715491,2017-08-10,CIFS,11.44,11.78,10.81,11.13,11.13,54600
1715492,2017-08-11,CIFS,11.1,12.15,11.1,12.09,12.09,66900
1715493,2017-08-14,CIFS,12.15,13.1,12.1,12.26,12.26,79000
1715494,2017-08-15,CIFS,12.3,13.27,12.02,13.18,13.18,153400
1715495,2017-08-16,CIFS,12.85,13.23,12.8,12.86,12.86,98600
1715496,2017-08-17,CIFS,12.98,12.98,12.76,12.89,12.89,54400
1715497,2017-08-18,CIFS,12.97,12.97,12.79,12.9,12.9,61700
1715498,2017-08-21,CIFS,12.9,12.91,12.71,12.81,12.81,45100
1715499,2017-08-22,CIFS,12.86,12.86,12.06,12.5,12.5,56300
1715500,2017-08-23,CIFS,12.6,12.7,12.23,12.54,12.54,28900
1715501,2017-08-24,CIFS,12.56,12.57,12.12,12.52,12.52,91500
1715502,2017-08-25,CIFS,12.55,12.75,12.2,12.5,12.5,117500
1715503,2017-08-28,CIFS,12.32,12.52,12.3,12.37,12.37,72400
1715504,2017-08-29,CIFS,12.34,12.48,12.2,12.34,12.34,70100
1715505,2017-08-30,CIFS,12.4,12.49,12.27,12.39,12.39,83100
1715506,2017-08-31,CIFS,12.46,12.47,12.39,12.4,12.4,64600
1715507,2017-09-01,CIFS,12.46,12.46,12.3,12.35,12.35,60500
1715508,2017-09-05,CIFS,12.3,12.38,12.25,12.32,12.32,74200
1715509,2017-09-06,CIFS,12.36,13.48,12.31,12.69,12.69,132300
1715510,2017-09-07,CIFS,12.78,12.78,12.36,12.7,12.7,75000
1715511,2017-09-08,CIFS,12.73,12.73,12.36,12.73,12.73,59400
1715512,2017-09-11,CIFS,12.6,12.78,12.5,12.77,12.77,59500
1715513,2017-09-12,CIFS,12.8,12.92,12.7,12.81,12.81,70500
1715514,2017-09-13,CIFS,12.83,13.65,12.79,13.62,13.62,184700
1715515,2017-09-14,CIFS,13.72,13.8,13.56,13.7,13.7,111500
1715516,2017-09-15,CIFS,13.79,14.26,13.77,14.26,14.26,172500
1715517,2017-09-18,CIFS,14.2,14.72,14.15,14.72,14.72,178800
1715518,2017-09-19,CIFS,14.73,15.06,14.7,15.02,15.02,172000
1715519,2017-09-20,CIFS,15.16,15.16,14.55,15.0,15.0,167300
1715520,2017-09-21,CIFS,15.09,15.11,14.85,15.04,15.04,134400
1715521,2017-09-22,CIFS,15.0,15.15,14.74,14.96,14.96,183400
1715522,2017-09-25,CIFS,15.0,16.63,14.99,15.98,15.98,216000
1715523,2017-09-26,CIFS,16.23,18.94,16.23,18.12,18.12,247500
1715524,2017-09-27,CIFS,17.51,20.04,17.51,20.04,20.04,237600
1715525,2017-09-28,CIFS,19.85,20.05,19.47,20.04,20.04,244100
1715526,2017-09-29,CIFS,19.89,19.98,19.48,19.96,19.96,150300
1715527,2017-10-02,CIFS,19.91,21.31,19.71,21.05,21.05,174900
1715528,2017-10-03,CIFS,20.94,21.4,18.46,20.85,20.85,173500
1715529,2017-10-04,CIFS,21.0,23.27,19.45,23.2,23.2,314900
1715530,2017-10-05,CIFS,23.02,23.25,19.98,23.11,23.11,292900
1715531,2017-10-06,CIFS,22.76,24.75,22.03,22.9,22.9,169600
1715532,2017-10-09,CIFS,23.01,23.98,22.54,23.67,23.67,223600
1715533,2017-10-10,CIFS,23.55,23.84,22.5,23.51,23.51,243600
1715534,2017-10-11,CIFS,23.45,23.63,22.55,23.48,23.48,182900
1715535,2017-10-12,CIFS,23.47,23.6,22.1,22.8,22.8,154500
1715536,2017-10-13,CIFS,22.71,23.01,22.4,22.55,22.55,83400
1715537,2017-10-16,CIFS,22.73,22.95,22.2,22.9,22.9,148200
1715538,2017-10-17,CIFS,22.98,22.98,22.36,22.46,22.46,130100
1715539,2017-10-18,CIFS,22.62,30.0,21.02,28.9,28.9,335200
1715540,2017-10-19,CIFS,29.0,30.63,25.52,29.2,29.2,291000
1715541,2017-10-20,CIFS,29.1,30.1,27.7,29.51,29.51,295100
1715542,2017-10-23,CIFS,29.51,33.0,28.86,31.47,31.47,394500
1715543,2017-10-24,CIFS,31.01,33.4,30.49,32.11,32.11,376500
1715544,2017-10-25,CIFS,31.72,33.67,31.5,33.01,33.01,473100
1715545,2017-10-26,CIFS,33.2,38.41,33.2,37.35,37.35,450000
1715546,2017-10-27,CIFS,37.85,41.88,35.54,40.14,40.14,538800
1715547,2017-10-30,CIFS,40.15,42.5,38.0,41.3,41.3,640600
1715548,2017-10-31,CIFS,41.3,43.3,39.13,41.4,41.4,594700
1715549,2017-11-01,CIFS,41.35,41.36,30.0,30.2,30.2,664100
1715550,2017-11-02,CIFS,33.0,37.89,33.0,37.89,37.89,221600
1715551,2017-11-03,CIFS,37.57,39.76,36.55,38.95,38.95,302500
1715552,2017-11-06,CIFS,38.48,40.78,38.2,40.38,40.38,511000
1715553,2017-11-07,CIFS,40.52,48.0,40.35,47.7,47.7,439600
1715554,2017-11-08,CIFS,47.31,48.5,46.38,48.44,48.44,412900
1715555,2017-11-09,CIFS,47.87,48.3,42.06,48.23,48.23,378200
1715556,2017-11-10,CIFS,47.48,49.49,47.48,49.3,49.3,311700
1715557,2017-11-13,CIFS,48.1,49.3,48.1,48.41,48.41,343500
1715558,2017-11-14,CIFS,47.93,50.67,46.98,49.79,49.79,347800
1715559,2017-11-15,CIFS,50.52,55.85,49.59,55.2,55.2,398700
1715560,2017-11-16,CIFS,55.36,58.41,54.68,57.54,57.54,344100
1715561,2017-11-17,CIFS,57.54,59.18,57.2,59.1,59.1,359900
1715562,2017-11-20,CIFS,59.0,62.15,58.56,60.62,60.62,465500
1715563,2017-11-21,CIFS,58.99,61.73,55.8,59.58,59.58,603000
1715564,2017-11-22,CIFS,59.6,59.95,58.35,58.66,58.66,283600
1715565,2017-11-24,CIFS,58.2,61.0,57.81,59.3,59.3,214100
1715566,2017-11-27,CIFS,59.78,60.37,57.7,58.48,58.48,314000
1715567,2017-11-28,CIFS,59.25,66.1,59.25,61.0,61.0,505500
1715568,2017-11-29,CIFS,62.5,62.9,55.05,58.13,58.13,271500
1715569,2017-11-30,CIFS,58.78,59.45,51.93,58.14,58.14,476600
1715570,2017-12-01,CIFS,56.75,58.9,54.51,58.79,58.79,205700
1715571,2017-12-04,CIFS,59.01,59.19,57.04,58.35,58.35,160900
1715572,2017-12-05,CIFS,57.47,59.22,57.4,59.0,59.0,184900
1715573,2017-12-06,CIFS,58.99,61.0,58.22,58.53,58.53,247500
1715574,2017-12-07,CIFS,58.63,61.41,57.6,57.93,57.93,168000
1715575,2017-12-08,CIFS,58.1,59.5,56.68,57.51,57.51,249100
1715576,2017-12-11,CIFS,57.34,58.5,55.02,55.76,55.76,201600
1715577,2017-12-12,CIFS,55.35,56.68,50.58,51.08,51.08,212500
1715578,2017-12-13,CIFS,51.7,51.7,48.02,50.2,50.2,310900
1715579,2017-12-14,CIFS,50.1,50.1,47.12,47.82,47.82,81200
1715580,2017-12-15,CIFS,46.81,46.89,40.71,42.95,42.95,282500
1715581,2017-12-18,CIFS,44.5,45.07,41.26,41.91,41.91,183800
1715582,2017-12-19,CIFS,40.27,40.27,37.78,38.32,38.32,327700
1715583,2017-12-20,CIFS,38.0,43.44,32.11,41.87,41.87,981000
1715584,2017-12-21,CIFS,40.01,44.28,40.01,42.5,42.5,226400
1715585,2017-12-22,CIFS,42.07,43.41,40.81,42.74,42.74,184900
1715586,2017-12-26,CIFS,42.39,44.0,42.01,42.79,42.79,83800
1715587,2017-12-27,CIFS,42.96,43.08,42.01,42.4,42.4,128900
1715588,2017-12-28,CIFS,42.2,43.23,41.47,42.4,42.4,137700
1715589,2017-12-29,CIFS,43.08,43.08,41.31,41.95,41.95,70400
1715590,2018-01-02,CIFS,41.42,45.87,41.2,42.84,42.84,244200
1715591,2018-01-03,CIFS,42.95,43.91,41.2,43.51,43.51,188500
1715592,2018-01-04,CIFS,43.65,43.8,41.7,42.07,42.07,121100
1715593,2018-01-05,CIFS,41.59,43.23,40.26,42.15,42.15,198100
1715594,2018-01-08,CIFS,42.18,43.99,41.23,42.6,42.6,237700
1715595,2018-01-09,CIFS,42.1,43.79,41.0,42.78,42.78,318400
1715596,2018-01-10,CIFS,41.72,43.5,41.72,43.2,43.2,311200
1715597,2018-01-11,CIFS,42.95,43.23,42.25,42.93,42.93,190400
1715598,2018-01-12,CIFS,42.83,43.26,41.73,41.85,41.85,107800
1715599,2018-01-16,CIFS,41.47,43.23,37.42,37.99,37.99,361700
1715600,2018-01-17,CIFS,37.82,39.44,35.89,37.17,37.17,335900
1715601,2018-01-18,CIFS,37.2,37.5,34.8,35.76,35.76,252700
1715602,2018-01-19,CIFS,35.87,35.87,34.33,35.29,35.29,47200
1715603,2018-01-22,CIFS,34.62,35.59,34.62,35.45,35.45,64800
1715604,2018-01-23,CIFS,35.7,37.55,35.14,37.25,37.25,188600
1715605,2018-01-24,CIFS,36.58,37.47,36.44,36.95,36.95,145400
1715606,2018-01-25,CIFS,36.31,38.5,36.3,37.96,37.96,146200
1715607,2018-01-26,CIFS,37.61,38.54,37.61,38.11,38.11,133500
1715608,2018-01-29,CIFS,37.92,40.99,37.1,40.14,40.14,257500
1715609,2018-01-30,CIFS,38.81,41.0,38.6,40.27,40.27,173200
1715610,2018-01-31,CIFS,39.79,40.79,38.46,38.79,38.79,167600
1715611,2018-02-01,CIFS,39.0,44.2,38.9,43.66,43.66,336600
1715612,2018-02-02,CIFS,43.88,47.0,43.4,46.59,46.59,285600
1715613,2018-02-05,CIFS,46.18,47.43,44.8,46.6,46.6,166500
1715614,2018-02-06,CIFS,46.25,47.0,44.75,46.06,46.06,124400
1715615,2018-02-07,CIFS,46.05,47.98,45.9,46.39,46.39,207400
1715616,2018-02-08,CIFS,46.73,47.1,42.79,44.21,44.21,167800
1715617,2018-02-09,CIFS,44.29,45.2,43.26,44.23,44.23,225300
1715618,2018-02-12,CIFS,44.53,46.09,44.5,45.34,45.34,138900
1715619,2018-02-13,CIFS,45.25,45.62,44.01,44.46,44.46,68300
1715620,2018-02-14,CIFS,44.77,45.2,43.78,44.11,44.11,39200
1715621,2018-02-15,CIFS,44.99,44.99,44.19,44.77,44.77,56700
1715622,2018-02-16,CIFS,44.6,45.2,44.0,45.06,45.06,41900
1715623,2018-02-20,CIFS,45.31,47.0,43.0,43.43,43.43,114200
1715624,2018-02-21,CIFS,43.58,44.96,43.2,44.8,44.8,96000
1715625,2018-02-22,CIFS,44.83,44.92,42.8,42.99,42.99,59300
1715626,2018-02-23,CIFS,43.45,44.17,43.1,43.5,43.5,52500
1715627,2018-02-26,CIFS,43.68,43.68,39.51,39.73,39.73,86500
1715628,2018-02-27,CIFS,39.25,39.94,37.65,37.96,37.96,75200
1715629,2018-02-28,CIFS,38.61,38.61,37.58,37.58,37.58,103600
1715630,2018-03-01,CIFS,38.09,39.5,35.99,36.54,36.54,117200
1715631,2018-03-02,CIFS,36.97,37.0,35.35,36.5,36.5,53700
1715632,2018-03-05,CIFS,36.63,36.72,35.24,35.65,35.65,51300
1715633,2018-03-06,CIFS,35.57,36.44,35.32,35.59,35.59,59300
1715634,2018-03-07,CIFS,35.3,36.0,35.0,35.78,35.78,56200
1715635,2018-03-08,CIFS,35.93,36.0,35.28,35.28,35.28,49500
1715636,2018-03-09,CIFS,35.63,36.7,34.0,34.4,34.4,52400
1715637,2018-03-12,CIFS,34.59,34.99,34.1,34.52,34.52,62300
1715638,2018-03-13,CIFS,34.61,34.7,34.12,34.39,34.39,50200
1715639,2018-03-14,CIFS,34.23,34.68,32.27,32.34,32.34,43400
1715640,2018-03-15,CIFS,32.34,33.5,32.3,32.79,32.79,87400
1715641,2018-03-16,CIFS,32.9,33.06,32.38,32.9,32.9,104400
1715642,2018-03-19,CIFS,32.82,32.82,31.9,32.43,32.43,67400
1715643,2018-03-20,CIFS,32.36,32.88,32.2,32.33,32.33,46900
1715644,2018-03-21,CIFS,32.44,32.85,32.43,32.43,32.43,41700
1715645,2018-03-22,CIFS,32.73,32.92,31.8,32.01,32.01,55500
1715646,2018-03-23,CIFS,32.0,32.76,31.97,32.76,32.76,56700
1715647,2018-03-26,CIFS,32.76,33.49,32.73,33.06,33.06,49100
1715648,2018-03-27,CIFS,33.06,33.06,31.57,32.13,32.13,86400
1715649,2018-03-28,CIFS,32.01,32.86,32.0,32.4,32.4,53300
1715650,2018-03-29,CIFS,32.4,32.5,31.63,32.11,32.11,54000
1715651,2018-04-02,CIFS,32.01,32.54,32.0,32.41,32.41,51700
1715652,2018-04-03,CIFS,32.41,32.46,31.83,32.14,32.14,40100
1715653,2018-04-04,CIFS,32.12,32.41,32.0,32.1,32.1,45200
1715654,2018-04-05,CIFS,32.1,32.54,30.0,31.95,31.95,119600
1715655,2018-04-06,CIFS,31.95,31.95,26.26,29.2,29.2,207800
1715656,2018-04-09,CIFS,28.83,28.97,21.06,21.06,21.06,239600
1715657,2018-04-10,CIFS,21.12,21.2,18.26,19.89,19.89,153000
1715658,2018-04-11,CIFS,19.62,19.99,18.83,19.14,19.14,87600
1715659,2018-04-12,CIFS,19.31,19.5,17.18,18.78,18.78,170100
1715660,2018-04-13,CIFS,18.73,18.75,17.0,17.33,17.33,97700
1715661,2018-04-16,CIFS,17.08,18.04,17.08,17.79,17.79,136000
1715662,2018-04-17,CIFS,17.85,23.5,17.79,21.82,21.82,462000
1715663,2018-04-18,CIFS,21.61,23.18,19.85,21.11,21.11,195900
1715664,2018-04-19,CIFS,21.02,23.55,20.76,22.81,22.81,154600
1715665,2018-04-20,CIFS,22.83,24.5,22.65,22.68,22.68,149700
1715666,2018-04-23,CIFS,22.52,26.0,22.52,25.58,25.58,171400
1715667,2018-04-24,CIFS,25.58,26.97,24.35,24.68,24.68,251400
1715668,2018-04-25,CIFS,24.63,27.27,24.63,26.58,26.58,142500
1715669,2018-04-26,CIFS,26.92,28.48,26.92,27.74,27.74,127200
1715670,2018-04-27,CIFS,27.8,29.2,27.0,28.96,28.96,127500
1715671,2018-04-30,CIFS,30.0,33.32,29.97,31.99,31.99,184500
1715672,2018-05-01,CIFS,32.3,33.25,31.03,31.63,31.63,159500
1715673,2018-05-02,CIFS,31.94,33.29,31.94,32.72,32.72,124300
1715674,2018-05-03,CIFS,32.99,34.5,32.99,33.7,33.7,96400
1715675,2018-05-04,CIFS,33.81,34.85,33.76,34.34,34.34,82600
1715676,2018-05-07,CIFS,34.11,34.38,31.45,33.87,33.87,199900
1715677,2018-05-08,CIFS,33.67,33.78,32.71,33.4,33.4,46700
1715678,2018-05-09,CIFS,33.36,34.3,32.7,33.02,33.02,112400
1715679,2018-05-10,CIFS,32.83,33.14,31.88,32.15,32.15,74800
1715680,2018-05-11,CIFS,32.25,32.25,30.3,30.62,30.62,108100
1715681,2018-05-14,CIFS,30.74,31.22,30.17,30.4,30.4,95000
1715682,2018-05-15,CIFS,30.5,31.99,29.6,30.19,30.19,121500
1715683,2018-05-16,CIFS,30.65,33.24,28.51,28.82,28.82,363200
1715684,2018-05-17,CIFS,28.67,28.94,24.22,24.82,24.82,258200
1715685,2018-05-18,CIFS,24.68,25.76,24.01,24.53,24.53,74500
1715686,2018-05-21,CIFS,24.49,24.65,21.28,21.88,21.88,150200
1715687,2018-05-22,CIFS,21.6,21.94,21.11,21.58,21.58,87600
1715688,2018-05-23,CIFS,21.28,22.23,21.28,22.15,22.15,57400
1715689,2018-05-25,CIFS,23.56,25.1,23.56,24.9,24.9,116000
1715690,2018-05-29,CIFS,24.99,25.8,24.23,25.69,25.69,130100
1715691,2018-05-30,CIFS,25.52,26.21,24.06,24.33,24.33,201800
1715692,2018-05-31,CIFS,24.32,24.7,23.16,23.84,23.84,182900
1715693,2018-06-01,CIFS,23.84,23.84,23.08,23.4,23.4,46000
1715694,2018-06-04,CIFS,23.5,23.5,21.16,21.95,21.95,211000
1715695,2018-06-05,CIFS,21.99,22.32,21.51,21.97,21.97,89600
1715696,2018-06-06,CIFS,22.0,22.02,20.53,20.95,20.95,160700
1715697,2018-06-07,CIFS,20.95,20.95,19.05,19.52,19.52,106900
1715698,2018-06-08,CIFS,19.35,19.69,18.9,19.17,19.17,128200
1715699,2018-06-11,CIFS,19.48,20.45,19.24,20.15,20.15,86400
1715700,2018-06-12,CIFS,20.37,20.39,19.2,19.42,19.42,123500
1715701,2018-06-13,CIFS,19.36,19.49,17.62,18.39,18.39,175800
1715702,2018-06-14,CIFS,18.4,18.65,17.37,17.56,17.56,95600
1715703,2018-06-15,CIFS,17.5,17.62,16.06,16.9,16.9,137300
1715704,2018-06-25,CIFS,17.58,17.58,15.91,16.32,16.32,161100
1715705,2018-06-26,CIFS,16.33,16.64,16.15,16.44,16.44,56100
1715706,2018-06-27,CIFS,16.53,16.53,14.95,15.09,15.09,125200
1715707,2018-06-28,CIFS,15.32,16.48,15.32,16.2,16.2,65100
1715708,2018-06-29,CIFS,16.17,16.82,16.16,16.62,16.62,60200
1715709,2018-07-02,CIFS,16.59,16.65,16.23,16.31,16.31,32200
1715710,2018-07-03,CIFS,16.22,16.6,16.05,16.24,16.24,49100
1715711,2018-07-05,CIFS,16.25,16.6,15.92,16.25,16.25,42200
1715712,2018-07-06,CIFS,16.25,16.25,15.01,16.07,16.07,60100
1715713,2018-07-09,CIFS,15.97,16.33,15.96,16.28,16.28,54100
1715714,2018-07-10,CIFS,16.09,16.28,15.2,15.25,15.25,59000
1715715,2018-07-11,CIFS,15.02,15.21,13.85,14.62,14.62,66600
1715716,2018-07-12,CIFS,14.81,14.81,13.03,14.75,14.75,78300
1715717,2018-07-13,CIFS,14.67,14.95,14.19,14.82,14.82,31400
1715718,2018-07-16,CIFS,14.71,15.0,14.53,15.0,15.0,30600
1715719,2018-07-17,CIFS,14.75,15.97,14.75,15.53,15.53,63200
1715720,2018-07-18,CIFS,15.73,15.73,15.36,15.49,15.49,31100
1715721,2018-07-19,CIFS,15.52,16.25,14.66,14.86,14.86,46500
1715722,2018-07-20,CIFS,14.63,15.2,14.25,14.43,14.43,42300
1715723,2018-07-23,CIFS,14.4,14.87,14.35,14.53,14.53,33100
1715724,2018-07-24,CIFS,14.54,14.84,14.29,14.5,14.5,51900
1715725,2018-07-25,CIFS,14.47,14.9,13.73,14.59,14.59,45700
1715726,2018-07-26,CIFS,14.6,14.68,14.34,14.51,14.51,29500
1715727,2018-07-27,CIFS,14.57,14.81,14.0,14.08,14.08,39900
1715728,2018-07-30,CIFS,14.21,14.51,14.13,14.29,14.29,21500
1715729,2018-07-31,CIFS,14.31,14.64,14.31,14.42,14.42,41400
1715730,2018-08-01,CIFS,14.11,14.7,14.05,14.22,14.22,62800
1715731,2018-08-02,CIFS,14.2,14.5,13.8,14.21,14.21,47000
1715732,2018-08-03,CIFS,14.36,14.52,14.02,14.39,14.39,25900
1715733,2018-08-06,CIFS,14.44,14.6,14.38,14.48,14.48,54100
1715734,2018-08-07,CIFS,14.49,14.82,14.17,14.43,14.43,51300
1715735,2018-08-08,CIFS,14.33,14.75,14.3,14.74,14.74,47400
1715736,2018-08-09,CIFS,14.61,15.02,14.5,14.83,14.83,34000
1715737,2018-08-10,CIFS,14.95,15.14,14.7,15.14,15.14,41900
1715738,2018-08-13,CIFS,15.15,15.47,14.7,14.94,14.94,42600
1715739,2018-08-14,CIFS,15.1,15.17,14.68,14.75,14.75,40300
1715740,2018-08-15,CIFS,14.85,14.9,14.2,14.45,14.45,36600
1715741,2018-08-16,CIFS,14.39,14.96,14.1,14.56,14.56,38500
1715742,2018-08-17,CIFS,14.54,14.85,14.4,14.59,14.59,49200
1715743,2018-08-20,CIFS,14.55,14.55,13.67,14.09,14.09,32800
1715744,2018-08-21,CIFS,14.09,14.3,13.86,14.13,14.13,36600
1715745,2018-08-22,CIFS,14.02,14.3,14.02,14.06,14.06,23400
1715746,2018-08-23,CIFS,13.73,13.96,12.91,13.28,13.28,93600
1715747,2018-08-24,CIFS,13.08,13.67,12.0,13.5,13.5,108100
1715748,2018-08-27,CIFS,13.47,13.5,12.6,12.8,12.8,78300
1715749,2018-08-28,CIFS,12.9,12.92,11.86,12.08,12.08,39100
1715750,2018-08-29,CIFS,12.2,12.4,11.82,12.09,12.09,32700
1715751,2018-08-30,CIFS,11.9,12.19,11.0,11.1,11.1,52600
1715752,2018-08-31,CIFS,11.01,11.29,9.92,10.01,10.01,113600
1715753,2018-09-04,CIFS,10.0,10.86,9.85,10.21,10.21,84900
1715754,2018-09-05,CIFS,10.12,10.28,9.39,9.5,9.5,106400
1715755,2018-09-06,CIFS,9.7,9.78,8.5,9.24,9.24,97200
1715756,2018-09-07,CIFS,9.1,9.39,8.94,9.29,9.29,54500
1715757,2018-09-10,CIFS,9.13,9.49,8.8,8.85,8.85,75400
1715758,2018-09-11,CIFS,8.9,9.09,7.99,8.18,8.18,92100
1715759,2018-09-12,CIFS,8.07,10.85,8.07,9.8,9.8,372500
1715760,2018-09-13,CIFS,9.77,11.3,9.77,11.04,11.04,341500
1715761,2018-09-14,CIFS,11.09,12.92,11.04,12.79,12.79,391700
1715762,2018-09-17,CIFS,12.99,14.75,10.37,11.2,11.2,646200
1715763,2018-09-18,CIFS,11.83,11.94,8.87,9.0,9.0,380700
1715764,2018-09-19,CIFS,9.0,9.62,8.09,9.56,9.56,307400
1715765,2018-09-20,CIFS,9.43,9.91,9.33,9.64,9.64,92300
1715766,2018-09-21,CIFS,9.63,9.71,8.65,8.96,8.96,167978
1715767,2018-09-24,CIFS,8.94,8.95,8.52,8.77,8.77,51200
1715768,2018-09-25,CIFS,8.77,8.82,8.27,8.51,8.51,71000
1715769,2018-09-26,CIFS,8.52,9.11,8.52,8.97,8.97,70900
1715770,2018-09-27,CIFS,8.9,9.3,8.9,9.05,9.05,58500
1715771,2018-09-28,CIFS,9.04,9.25,8.42,8.58,8.58,67500
1715772,2018-10-01,CIFS,8.55,8.55,7.57,7.73,7.73,163200
1715773,2018-10-02,CIFS,7.51,7.55,6.91,7.01,7.01,148800
1715774,2018-10-03,CIFS,7.03,7.79,6.91,7.1,7.1,108100
1715775,2018-10-04,CIFS,7.08,7.35,6.07,6.31,6.31,112400
1715776,2018-10-05,CIFS,6.21,6.36,5.72,6.02,6.02,41500
