,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2090284,1990-01-02,CSPI,4.32,4.51,4.32,4.32,2.94,13300
2090285,1990-01-03,CSPI,4.32,4.32,4.32,4.32,2.94,1300
2090286,1990-01-04,CSPI,4.7,4.7,4.7,4.7,3.19,100
2090287,1990-01-05,CSPI,4.7,4.7,4.7,4.7,3.19,13300
2090288,1990-01-08,CSPI,4.32,4.32,4.32,4.32,2.94,600
2090289,1990-01-09,CSPI,4.32,4.32,4.32,4.32,2.94,0
2090290,1990-01-10,CSPI,4.32,4.32,4.32,4.32,2.94,0
2090291,1990-01-11,CSPI,4.32,4.7,4.32,4.7,3.19,200
2090292,1990-01-12,CSPI,4.51,4.51,4.51,4.51,3.07,200
2090293,1990-01-15,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090294,1990-01-16,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090295,1990-01-17,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090296,1990-01-18,CSPI,4.51,4.51,4.51,4.51,3.07,100
2090297,1990-01-19,CSPI,4.51,4.51,4.13,4.13,2.81,5700
2090298,1990-01-22,CSPI,4.13,4.32,4.13,4.13,2.81,8900
2090299,1990-01-23,CSPI,4.23,4.32,4.23,4.32,2.94,14000
2090300,1990-01-24,CSPI,4.23,4.23,4.13,4.23,2.87,13400
2090301,1990-01-25,CSPI,4.23,4.41,4.13,4.41,3.0,3100
2090302,1990-01-26,CSPI,4.32,4.32,4.32,4.32,2.94,1300
2090303,1990-01-29,CSPI,4.32,4.51,4.13,4.13,2.81,20900
2090304,1990-01-30,CSPI,4.13,4.13,4.13,4.13,2.81,300
2090305,1990-01-31,CSPI,4.32,4.7,4.32,4.7,3.19,42600
2090306,1990-02-01,CSPI,4.7,4.7,4.13,4.7,3.19,400
2090307,1990-02-02,CSPI,4.7,4.7,4.7,4.7,3.19,0
2090308,1990-02-05,CSPI,4.7,4.7,4.7,4.7,3.19,200
2090309,1990-02-06,CSPI,4.7,4.7,4.7,4.7,3.19,0
2090310,1990-02-07,CSPI,4.32,4.32,4.13,4.32,2.94,400
2090311,1990-02-08,CSPI,4.32,4.7,4.32,4.7,3.19,1900
2090312,1990-02-09,CSPI,4.51,4.51,4.32,4.32,2.94,9900
2090313,1990-02-12,CSPI,4.32,4.32,4.32,4.32,2.94,200
2090314,1990-02-13,CSPI,4.51,4.51,4.51,4.51,3.07,1300
2090315,1990-02-14,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090316,1990-02-15,CSPI,4.51,4.51,4.51,4.51,3.07,1300
2090317,1990-02-16,CSPI,4.51,4.51,4.32,4.32,2.94,13800
2090318,1990-02-20,CSPI,4.32,4.32,4.32,4.32,2.94,5000
2090319,1990-02-21,CSPI,4.32,4.32,4.32,4.32,2.94,0
2090320,1990-02-22,CSPI,4.51,4.51,4.51,4.51,3.07,100
2090321,1990-02-23,CSPI,4.32,4.32,4.13,4.32,2.94,86400
2090322,1990-02-26,CSPI,4.32,4.51,4.13,4.51,3.07,342600
2090323,1990-02-27,CSPI,4.51,4.51,4.32,4.51,3.07,2700
2090324,1990-02-28,CSPI,4.51,4.51,4.32,4.51,3.07,10800
2090325,1990-03-01,CSPI,4.51,4.7,4.32,4.7,3.19,2200
2090326,1990-03-02,CSPI,4.6,4.6,4.6,4.6,3.13,1300
2090327,1990-03-05,CSPI,4.6,4.6,4.51,4.6,3.13,5500
2090328,1990-03-06,CSPI,4.6,4.7,4.32,4.32,2.94,16200
2090329,1990-03-07,CSPI,4.41,4.7,4.41,4.41,3.0,31600
2090330,1990-03-08,CSPI,4.41,4.6,4.32,4.6,3.13,11200
2090331,1990-03-09,CSPI,4.6,4.88,4.6,4.7,3.19,11100
2090332,1990-03-12,CSPI,4.88,5.07,4.88,4.88,3.32,6100
2090333,1990-03-13,CSPI,5.07,5.07,5.07,5.07,3.45,5600
2090334,1990-03-14,CSPI,5.07,5.26,5.07,5.26,3.58,25800
2090335,1990-03-15,CSPI,5.26,5.63,5.26,5.45,3.7,4900
2090336,1990-03-16,CSPI,5.45,5.63,5.26,5.54,3.77,8400
2090337,1990-03-19,CSPI,5.45,5.45,5.07,5.07,3.45,35900
2090338,1990-03-20,CSPI,5.07,5.26,5.07,5.26,3.58,69400
2090339,1990-03-21,CSPI,5.26,5.26,5.26,5.26,3.58,1400
2090340,1990-03-22,CSPI,5.26,5.26,5.07,5.26,3.58,300
2090341,1990-03-23,CSPI,5.07,5.07,5.07,5.07,3.45,500
2090342,1990-03-26,CSPI,5.07,5.07,5.07,5.07,3.45,0
2090343,1990-03-27,CSPI,5.07,5.07,5.07,5.07,3.45,200
2090344,1990-03-28,CSPI,5.07,5.07,5.07,5.07,3.45,0
2090345,1990-03-29,CSPI,5.07,5.26,5.07,5.26,3.58,800
2090346,1990-03-30,CSPI,5.26,5.26,5.26,5.26,3.58,0
2090347,1990-04-02,CSPI,5.07,5.07,5.07,5.07,3.45,1300
2090348,1990-04-03,CSPI,5.07,5.26,5.07,5.26,3.58,3100
2090349,1990-04-04,CSPI,5.26,5.26,5.26,5.26,3.58,0
2090350,1990-04-05,CSPI,5.07,5.26,5.07,5.26,3.58,14000
2090351,1990-04-06,CSPI,5.07,5.07,5.07,5.07,3.45,1300
2090352,1990-04-09,CSPI,5.26,5.26,5.07,5.07,3.45,2000
2090353,1990-04-10,CSPI,5.07,5.07,5.07,5.07,3.45,1800
2090354,1990-04-11,CSPI,5.07,5.17,4.88,5.07,3.45,29000
2090355,1990-04-12,CSPI,5.17,5.17,5.17,5.17,3.51,1300
2090356,1990-04-16,CSPI,5.07,5.07,4.88,4.98,3.39,73100
2090357,1990-04-17,CSPI,5.07,5.07,4.88,4.88,3.32,800
2090358,1990-04-18,CSPI,4.88,5.26,4.88,5.26,3.58,600
2090359,1990-04-19,CSPI,5.26,5.26,5.26,5.26,3.58,100
2090360,1990-04-20,CSPI,4.88,5.07,4.88,4.98,3.39,900
2090361,1990-04-23,CSPI,4.98,4.98,4.98,4.98,3.39,0
2090362,1990-04-24,CSPI,5.07,5.07,5.07,5.07,3.45,1300
2090363,1990-04-25,CSPI,4.7,4.7,4.7,4.7,3.19,100
2090364,1990-04-26,CSPI,4.7,5.07,4.7,5.07,3.45,200
2090365,1990-04-27,CSPI,4.79,4.79,4.79,4.79,3.26,1800
2090366,1990-04-30,CSPI,4.79,4.79,4.79,4.79,3.26,0
2090367,1990-05-01,CSPI,4.88,4.88,4.7,4.7,3.19,4100
2090368,1990-05-02,CSPI,4.7,4.7,4.7,4.7,3.19,0
2090369,1990-05-03,CSPI,5.07,5.07,5.07,5.07,3.45,100
2090370,1990-05-04,CSPI,4.7,4.7,4.51,4.51,3.07,4000
2090371,1990-05-07,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090372,1990-05-08,CSPI,4.51,4.51,4.51,4.51,3.07,0
2090373,1990-05-09,CSPI,4.6,4.7,4.6,4.7,3.19,2600
