,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2722213,2015-06-11,ELECU,10.06,10.15,10.06,10.15,10.15,713300
2722214,2015-06-15,ELECU,10.07,10.1,10.07,10.08,10.08,65297
2722215,2015-06-17,ELECU,10.08,10.08,10.08,10.08,10.08,910
2722216,2015-06-18,ELECU,10.05,10.05,10.05,10.05,10.05,100
2722217,2015-06-19,ELECU,10.05,10.05,10.05,10.05,10.05,0
2722218,2015-06-23,ELECU,10.01,10.2,10.01,10.01,10.01,400
2722219,2015-06-26,ELECU,10.08,10.19,10.08,10.08,10.08,13500
2722220,2015-07-20,ELECU,10.1,10.1,10.1,10.1,10.1,0
2722221,2015-07-23,ELECU,10.09,10.09,10.09,10.09,10.09,100
2722222,2015-07-24,ELECU,10.07,10.08,10.07,10.08,10.08,900
2722223,2015-08-05,ELECU,10.08,10.08,10.08,10.08,10.08,0
2722224,2018-05-31,ELECU,10.8,10.8,10.8,10.8,10.8,0
