,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2866274,1990-01-02,ESND,2.0,2.03,1.97,2.02,0.39,418400
2866275,1990-01-03,ESND,2.02,2.03,1.97,1.97,0.38,635200
2866276,1990-01-04,ESND,1.97,2.0,1.92,1.94,0.38,466400
2866277,1990-01-05,ESND,1.94,1.95,1.91,1.91,0.37,496000
2866278,1990-01-08,ESND,1.91,1.94,1.89,1.91,0.37,191200
2866279,1990-01-09,ESND,1.91,1.92,1.69,1.7,0.33,2264800
2866280,1990-01-10,ESND,1.7,1.75,1.7,1.75,0.34,2630400
2866281,1990-01-11,ESND,1.75,1.77,1.73,1.75,0.34,276800
2866282,1990-01-12,ESND,1.72,1.72,1.59,1.59,0.31,600800
2866283,1990-01-15,ESND,1.59,1.66,1.58,1.66,0.32,1584000
2866284,1990-01-16,ESND,1.66,1.67,1.61,1.66,0.32,1633600
2866285,1990-01-17,ESND,1.66,1.69,1.66,1.67,0.32,474400
2866286,1990-01-18,ESND,1.67,1.67,1.59,1.59,0.31,1137600
2866287,1990-01-19,ESND,1.59,1.63,1.59,1.63,0.32,531200
2866288,1990-01-22,ESND,1.63,1.63,1.59,1.63,0.32,73600
2866289,1990-01-23,ESND,1.63,1.63,1.59,1.63,0.32,564800
2866290,1990-01-24,ESND,1.61,1.61,1.56,1.61,0.31,290400
2866291,1990-01-25,ESND,1.61,1.61,1.58,1.58,0.31,681600
2866292,1990-01-26,ESND,1.58,1.58,1.55,1.55,0.3,313600
2866293,1990-01-29,ESND,1.55,1.58,1.52,1.53,0.3,723200
2866294,1990-01-30,ESND,1.53,1.53,1.47,1.5,0.29,672800
2866295,1990-01-31,ESND,1.5,1.55,1.5,1.53,0.3,124800
2866296,1990-02-01,ESND,1.53,1.53,1.48,1.53,0.3,1060800
2866297,1990-02-02,ESND,1.53,1.53,1.5,1.5,0.29,59200
2866298,1990-02-05,ESND,1.5,1.52,1.42,1.47,0.29,613600
2866299,1990-02-06,ESND,1.47,1.5,1.45,1.5,0.29,1045600
2866300,1990-02-07,ESND,1.5,1.53,1.47,1.53,0.3,1632000
2866301,1990-02-08,ESND,1.53,1.53,1.5,1.52,0.29,32000
2866302,1990-02-09,ESND,1.52,1.56,1.5,1.52,0.29,171200
2866303,1990-02-12,ESND,1.52,1.55,1.5,1.53,0.3,318400
2866304,1990-02-13,ESND,1.53,1.53,1.5,1.53,0.3,56800
2866305,1990-02-14,ESND,1.53,1.53,1.5,1.53,0.3,206400
2866306,1990-02-15,ESND,1.53,1.53,1.5,1.5,0.29,356000
2866307,1990-02-16,ESND,1.52,1.53,1.52,1.52,0.29,481600
2866308,1990-02-20,ESND,1.52,1.53,1.5,1.53,0.3,508000
2866309,1990-02-21,ESND,1.52,1.52,1.5,1.5,0.29,72800
2866310,1990-02-22,ESND,1.5,1.52,1.48,1.5,0.29,129600
2866311,1990-02-23,ESND,1.5,1.53,1.48,1.52,0.29,191200
2866312,1990-02-26,ESND,1.52,1.53,1.5,1.53,0.3,122400
2866313,1990-02-27,ESND,1.53,1.53,1.5,1.53,0.3,50400
2866314,1990-02-28,ESND,1.53,1.61,1.52,1.58,0.31,500000
2866315,1990-03-01,ESND,1.59,1.64,1.59,1.61,0.31,620800
2866316,1990-03-02,ESND,1.61,1.64,1.59,1.59,0.31,8800
2866317,1990-03-05,ESND,1.59,1.64,1.59,1.59,0.31,104000
2866318,1990-03-06,ESND,1.59,1.64,1.59,1.61,0.31,220000
2866319,1990-03-07,ESND,1.63,1.66,1.63,1.63,0.32,232000
2866320,1990-03-08,ESND,1.63,1.63,1.59,1.63,0.32,615200
2866321,1990-03-09,ESND,1.63,1.66,1.63,1.64,0.32,268000
2866322,1990-03-12,ESND,1.64,1.64,1.63,1.64,0.32,44000
2866323,1990-03-13,ESND,1.64,1.64,1.63,1.64,0.32,50400
2866324,1990-03-14,ESND,1.63,1.63,1.59,1.63,0.32,67200
2866325,1990-03-15,ESND,1.63,1.66,1.59,1.63,0.32,142400
2866326,1990-03-16,ESND,1.63,1.66,1.63,1.63,0.32,82400
2866327,1990-03-19,ESND,1.63,1.67,1.63,1.67,0.32,124000
2866328,1990-03-20,ESND,1.67,1.69,1.64,1.64,0.32,14400
2866329,1990-03-21,ESND,1.69,1.69,1.69,1.69,0.33,18400
2866330,1990-03-22,ESND,1.69,1.69,1.64,1.66,0.32,290400
2866331,1990-03-23,ESND,1.66,1.69,1.66,1.69,0.33,208800
2866332,1990-03-26,ESND,1.69,1.75,1.69,1.75,0.36,345600
2866333,1990-03-27,ESND,1.75,1.75,1.72,1.72,0.35,100800
2866334,1990-03-28,ESND,1.72,1.75,1.72,1.73,0.36,244000
2866335,1990-03-29,ESND,1.72,1.73,1.72,1.72,0.35,204000
2866336,1990-03-30,ESND,1.73,1.77,1.7,1.75,0.36,1572800
2866337,1990-04-02,ESND,1.72,1.73,1.72,1.73,0.36,1010400
2866338,1990-04-03,ESND,1.72,1.75,1.72,1.72,0.35,648000
2866339,1990-04-04,ESND,1.72,1.72,1.66,1.69,0.35,371200
2866340,1990-04-05,ESND,1.69,1.72,1.69,1.72,0.35,214400
2866341,1990-04-06,ESND,1.7,1.77,1.7,1.75,0.36,400000
2866342,1990-04-09,ESND,1.73,1.75,1.73,1.75,0.36,52800
2866343,1990-04-10,ESND,1.73,1.73,1.72,1.73,0.36,408800
2866344,1990-04-11,ESND,1.72,1.73,1.72,1.72,0.35,208000
2866345,1990-04-12,ESND,1.72,1.77,1.72,1.75,0.36,233600
2866346,1990-04-16,ESND,1.77,1.77,1.73,1.75,0.36,723200
2866347,1990-04-17,ESND,1.75,1.75,1.72,1.73,0.36,595200
2866348,1990-04-18,ESND,1.75,1.75,1.73,1.73,0.36,218400
2866349,1990-04-19,ESND,1.7,1.73,1.69,1.72,0.35,5845600
2866350,1990-04-20,ESND,1.72,1.73,1.67,1.69,0.35,843200
