,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
2873518,2013-06-26,ESPR,17.0,17.4,14.45,14.5,14.5,3083900
2873519,2013-06-27,ESPR,14.49,14.72,13.73,14.0,14.0,527900
2873520,2013-06-28,ESPR,13.76,14.3,13.65,14.1,14.1,158200
2873521,2013-07-01,ESPR,14.21,14.25,13.55,14.01,14.01,127200
2873522,2013-07-02,ESPR,14.2,14.6,14.06,14.57,14.57,123000
2873523,2013-07-03,ESPR,14.75,14.75,14.61,14.61,14.61,70700
2873524,2013-07-05,ESPR,14.75,14.79,14.52,14.58,14.58,47600
2873525,2013-07-08,ESPR,14.88,14.99,14.57,14.94,14.94,73900
2873526,2013-07-09,ESPR,14.93,15.74,14.92,15.7,15.7,70700
2873527,2013-07-10,ESPR,15.52,16.24,15.52,16.05,16.05,57200
2873528,2013-07-11,ESPR,16.64,16.73,16.01,16.73,16.73,60200
2873529,2013-07-12,ESPR,16.9,17.1,16.5,17.05,17.05,41900
2873530,2013-07-15,ESPR,17.18,17.48,16.37,17.21,17.21,71700
2873531,2013-07-16,ESPR,17.57,18.95,16.85,17.31,17.31,55500
2873532,2013-07-17,ESPR,17.9,17.93,16.51,17.15,17.15,52200
2873533,2013-07-18,ESPR,17.45,17.45,16.77,17.28,17.28,85000
2873534,2013-07-19,ESPR,16.97,17.34,16.82,16.9,16.9,114200
2873535,2013-07-22,ESPR,17.74,17.89,16.87,17.05,17.05,350200
2873536,2013-07-23,ESPR,17.4,18.0,17.01,17.11,17.11,129000
2873537,2013-07-24,ESPR,17.25,17.5,16.92,16.96,16.96,50500
2873538,2013-07-25,ESPR,17.0,17.22,16.62,16.78,16.78,93700
2873539,2013-07-26,ESPR,16.78,17.11,16.64,17.07,17.07,58100
2873540,2013-07-29,ESPR,17.15,17.5,17.1,17.41,17.41,55600
2873541,2013-07-30,ESPR,17.5,17.7,17.16,17.65,17.65,57900
2873542,2013-07-31,ESPR,18.0,18.0,17.46,17.84,17.84,78000
2873543,2013-08-01,ESPR,18.0,18.88,17.62,17.79,17.79,80000
2873544,2013-08-02,ESPR,17.9,18.49,17.9,18.25,18.25,33600
2873545,2013-08-05,ESPR,18.12,18.86,18.12,18.44,18.44,20600
2873546,2013-08-06,ESPR,18.27,18.5,18.02,18.15,18.15,48500
2873547,2013-08-07,ESPR,18.0,18.75,17.61,17.73,17.73,38700
2873548,2013-08-08,ESPR,17.82,18.02,16.64,17.23,17.23,43200
2873549,2013-08-09,ESPR,17.03,17.49,16.19,16.69,16.69,65000
2873550,2013-08-12,ESPR,16.64,17.5,16.64,17.23,17.23,19400
2873551,2013-08-13,ESPR,20.1,20.1,17.14,17.44,17.44,89600
2873552,2013-08-14,ESPR,17.47,17.73,17.04,17.48,17.48,18300
2873553,2013-08-15,ESPR,17.22,17.35,17.05,17.06,17.06,17500
2873554,2013-08-16,ESPR,17.35,17.53,16.95,17.24,17.24,12100
2873555,2013-08-19,ESPR,17.4,17.54,16.9,16.93,16.93,7800
2873556,2013-08-20,ESPR,17.2,17.3,16.61,16.9,16.9,68700
2873557,2013-08-21,ESPR,17.07,17.07,16.0,16.64,16.64,54000
2873558,2013-08-22,ESPR,17.28,17.3,16.51,16.95,16.95,36000
2873559,2013-08-23,ESPR,17.01,17.16,16.35,16.8,16.8,47300
2873560,2013-08-26,ESPR,17.18,17.18,16.85,17.0,17.0,13900
2873561,2013-08-27,ESPR,17.18,17.19,16.76,16.76,16.76,35000
2873562,2013-08-28,ESPR,16.94,17.0,16.76,16.81,16.81,26300
2873563,2013-08-29,ESPR,16.77,17.18,16.77,16.87,16.87,67500
