,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3005665,1990-01-02,FBNC,3.0,3.0,2.78,3.0,0.48,900
3005666,1990-01-03,FBNC,3.0,3.0,3.0,3.0,0.48,400
3005667,1990-01-04,FBNC,3.0,3.0,2.89,3.0,0.48,18000
3005668,1990-01-05,FBNC,2.83,2.83,2.83,2.83,0.45,900
3005669,1990-01-08,FBNC,2.83,2.83,2.83,2.83,0.45,0
3005670,1990-01-09,FBNC,3.0,3.0,3.0,3.0,0.48,400
3005671,1990-01-10,FBNC,3.0,3.0,3.0,3.0,0.48,4500
3005672,1990-01-11,FBNC,3.0,3.06,2.89,2.89,0.46,1300
3005673,1990-01-12,FBNC,2.89,2.89,2.89,2.89,0.46,0
3005674,1990-01-15,FBNC,2.89,2.89,2.89,2.89,0.46,0
3005675,1990-01-16,FBNC,2.89,3.06,2.83,2.83,0.45,2700
3005676,1990-01-17,FBNC,2.83,2.94,2.83,2.83,0.45,2700
3005677,1990-01-18,FBNC,3.06,3.06,3.06,3.06,0.49,4000
3005678,1990-01-19,FBNC,3.06,3.06,3.06,3.06,0.49,0
3005679,1990-01-22,FBNC,3.06,3.06,3.06,3.06,0.49,0
3005680,1990-01-23,FBNC,3.06,3.06,3.06,3.06,0.49,0
3005681,1990-01-24,FBNC,3.06,3.06,3.06,3.06,0.49,0
3005682,1990-01-25,FBNC,3.06,3.06,3.06,3.06,0.49,0
3005683,1990-01-26,FBNC,2.89,2.89,2.89,2.89,0.46,400
3005684,1990-01-29,FBNC,2.89,3.06,2.89,2.89,0.46,8100
3005685,1990-01-30,FBNC,2.89,2.89,2.89,2.89,0.46,0
3005686,1990-01-31,FBNC,2.89,2.89,2.89,2.89,0.46,0
3005687,1990-02-01,FBNC,3.06,3.06,3.06,3.06,0.49,900
3005688,1990-02-02,FBNC,3.06,3.06,2.94,3.06,0.49,13900
3005689,1990-02-05,FBNC,3.06,3.06,2.89,3.06,0.49,29700
3005690,1990-02-06,FBNC,3.06,3.11,2.94,3.11,0.5,22500
3005691,1990-02-07,FBNC,3.11,3.11,2.89,3.11,0.5,900
3005692,1990-02-08,FBNC,3.11,3.11,3.11,3.11,0.5,1800
3005693,1990-02-09,FBNC,3.11,3.11,3.11,3.11,0.5,0
3005694,1990-02-12,FBNC,3.11,3.11,3.11,3.11,0.5,0
3005695,1990-02-13,FBNC,3.0,3.0,3.0,3.0,0.48,2700
3005696,1990-02-14,FBNC,3.0,3.0,3.0,3.0,0.48,0
3005697,1990-02-15,FBNC,3.0,3.0,3.0,3.0,0.48,0
3005698,1990-02-16,FBNC,3.0,3.0,3.0,3.0,0.48,0
3005699,1990-02-20,FBNC,3.11,3.11,3.11,3.11,0.5,5400
3005700,1990-02-21,FBNC,3.11,3.11,3.11,3.11,0.5,0
3005701,1990-02-22,FBNC,3.11,3.11,3.11,3.11,0.5,0
3005702,1990-02-23,FBNC,3.11,3.11,3.06,3.06,0.49,18900
3005703,1990-02-26,FBNC,3.06,3.17,3.06,3.17,0.51,7200
3005704,1990-02-27,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005705,1990-02-28,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005706,1990-03-01,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005707,1990-03-02,FBNC,3.17,3.28,3.17,3.17,0.51,2200
3005708,1990-03-05,FBNC,3.17,3.17,3.17,3.17,0.51,900
3005709,1990-03-06,FBNC,3.17,3.33,3.17,3.33,0.53,13500
3005710,1990-03-07,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005711,1990-03-08,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005712,1990-03-09,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005713,1990-03-12,FBNC,3.17,3.17,3.17,3.17,0.51,2700
3005714,1990-03-13,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005715,1990-03-14,FBNC,3.22,3.33,3.22,3.33,0.53,9000
3005716,1990-03-15,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005717,1990-03-16,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005718,1990-03-19,FBNC,3.33,3.33,3.33,3.33,0.53,0
3005719,1990-03-20,FBNC,3.17,3.17,3.17,3.17,0.51,400
3005720,1990-03-21,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005721,1990-03-22,FBNC,3.17,3.17,3.17,3.17,0.51,0
3005722,1990-03-23,FBNC,3.22,3.22,3.22,3.22,0.51,400
3005723,1990-03-26,FBNC,3.22,3.22,3.22,3.22,0.52,0
3005724,1990-03-27,FBNC,3.39,3.39,3.39,3.39,0.55,900
3005725,1990-03-28,FBNC,3.39,3.39,3.39,3.39,0.55,0
3005726,1990-03-29,FBNC,3.39,3.39,3.39,3.39,0.55,0
3005727,1990-03-30,FBNC,3.39,3.44,3.22,3.44,0.56,7600
3005728,1990-04-02,FBNC,3.44,3.44,3.44,3.44,0.56,1800
3005729,1990-04-03,FBNC,3.28,3.28,3.28,3.28,0.53,900
3005730,1990-04-04,FBNC,3.28,3.28,3.28,3.28,0.53,0
3005731,1990-04-05,FBNC,3.44,3.44,3.44,3.44,0.56,400
3005732,1990-04-06,FBNC,3.33,3.33,3.33,3.33,0.54,5400
3005733,1990-04-09,FBNC,3.33,3.33,3.33,3.33,0.54,0
3005734,1990-04-10,FBNC,3.42,3.5,3.42,3.5,0.57,9000
3005735,1990-04-11,FBNC,3.39,3.39,3.39,3.39,0.55,400
3005736,1990-04-12,FBNC,3.39,3.5,3.33,3.42,0.55,24300
3005737,1990-04-16,FBNC,3.33,3.33,3.33,3.33,0.54,900
3005738,1990-04-17,FBNC,3.33,3.56,3.33,3.56,0.58,17500
3005739,1990-04-18,FBNC,3.56,3.56,3.33,3.56,0.58,22500
3005740,1990-04-19,FBNC,3.56,3.56,3.56,3.56,0.58,0
3005741,1990-04-20,FBNC,3.56,3.56,3.56,3.56,0.58,0
3005742,1990-04-23,FBNC,3.56,3.56,3.56,3.56,0.58,0
3005743,1990-04-24,FBNC,3.33,3.33,3.33,3.33,0.54,2200
3005744,1990-04-25,FBNC,3.56,4.11,3.56,4.0,0.65,81400
3005745,1990-04-26,FBNC,3.94,3.94,3.67,3.94,0.64,2700
3005746,1990-04-27,FBNC,4.0,4.11,4.0,4.11,0.67,8100
3005747,1990-04-30,FBNC,4.11,4.11,4.11,4.11,0.67,0
3005748,1990-05-01,FBNC,4.11,4.11,4.11,4.11,0.67,0
3005749,1990-05-02,FBNC,3.33,3.33,3.33,3.33,0.54,6300
3005750,1990-05-03,FBNC,3.33,3.44,3.33,3.44,0.56,4900
3005751,1990-05-04,FBNC,3.44,3.56,3.44,3.44,0.56,2200
3005752,1990-05-07,FBNC,3.44,3.44,3.44,3.44,0.56,0
3005753,1990-05-08,FBNC,3.44,3.44,3.44,3.44,0.56,0
3005754,1990-05-09,FBNC,3.44,3.44,3.44,3.44,0.56,0
3005755,1990-05-10,FBNC,3.44,3.67,3.44,3.44,0.56,2200
3005756,1990-05-11,FBNC,3.56,3.56,3.56,3.56,0.58,400
3005757,1990-05-14,FBNC,3.61,3.61,3.61,3.61,0.59,900
3005758,1990-05-15,FBNC,3.61,3.61,3.61,3.61,0.59,0
3005759,1990-05-16,FBNC,3.61,3.61,3.61,3.61,0.59,0
3005760,1990-05-17,FBNC,3.44,3.44,3.44,3.44,0.56,1300
3005761,1990-05-18,FBNC,3.44,3.44,3.44,3.44,0.56,400
3005762,1990-05-21,FBNC,3.44,3.44,3.44,3.44,0.56,0
3005763,1990-05-22,FBNC,3.44,3.44,3.44,3.44,0.56,1300
3005764,1990-05-23,FBNC,3.44,3.67,3.44,3.44,0.56,11200
3005765,1990-05-24,FBNC,3.44,3.44,3.44,3.44,0.56,900
3005766,1990-05-25,FBNC,3.67,3.67,3.67,3.67,0.59,900
3005767,1990-05-29,FBNC,3.67,3.67,3.67,3.67,0.59,0
3005768,1990-05-30,FBNC,3.67,3.67,3.67,3.67,0.59,0
3005769,1990-05-31,FBNC,3.67,3.67,3.67,3.67,0.59,0
3005770,1990-06-01,FBNC,3.67,3.67,3.67,3.67,0.59,0
3005771,1990-06-04,FBNC,3.33,3.33,3.33,3.33,0.54,900
3005772,1990-06-05,FBNC,3.33,3.39,3.33,3.39,0.55,5400
3005773,1990-06-06,FBNC,3.39,3.39,3.39,3.39,0.55,0
3005774,1990-06-07,FBNC,3.33,3.33,3.33,3.33,0.54,400
3005775,1990-06-08,FBNC,3.33,3.33,3.33,3.33,0.54,0
3005776,1990-06-11,FBNC,3.22,3.22,3.22,3.22,0.52,3100
3005777,1990-06-12,FBNC,3.22,3.44,3.22,3.44,0.56,5800
3005778,1990-06-13,FBNC,3.44,3.44,3.44,3.44,0.56,0
3005779,1990-06-14,FBNC,3.22,3.22,3.11,3.11,0.5,22500
3005780,1990-06-15,FBNC,3.33,3.33,3.33,3.33,0.54,900
3005781,1990-06-18,FBNC,3.11,3.11,3.11,3.11,0.5,4500
3005782,1990-06-19,FBNC,3.11,3.11,3.11,3.11,0.5,0
3005783,1990-06-20,FBNC,2.89,2.89,2.89,2.89,0.47,2200
3005784,1990-06-21,FBNC,2.89,3.06,2.89,2.89,0.47,5800
3005785,1990-06-22,FBNC,2.89,2.89,2.89,2.89,0.47,0
3005786,1990-06-25,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005787,1990-06-26,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005788,1990-06-27,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005789,1990-06-28,FBNC,2.89,2.89,2.89,2.89,0.48,400
3005790,1990-06-29,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005791,1990-07-02,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005792,1990-07-03,FBNC,2.89,2.89,2.89,2.89,0.48,0
3005793,1990-07-05,FBNC,3.17,3.17,3.17,3.17,0.53,2700
3005794,1990-07-06,FBNC,3.17,3.17,3.17,3.17,0.53,0
3005795,1990-07-09,FBNC,3.17,3.17,3.17,3.17,0.53,0
3005796,1990-07-10,FBNC,3.17,3.17,3.17,3.17,0.53,0
3005797,1990-07-11,FBNC,3.17,3.17,3.17,3.17,0.53,0
