,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3173662,1993-06-22,FLIR,1.63,1.63,1.41,1.44,1.3,22363200
3173663,1993-06-23,FLIR,1.47,1.5,1.44,1.47,1.33,3168800
3173664,1993-06-24,FLIR,1.47,1.5,1.47,1.47,1.33,703200
3173665,1993-06-25,FLIR,1.47,1.53,1.47,1.5,1.36,1654400
3173666,1993-06-28,FLIR,1.5,1.53,1.5,1.5,1.36,1398400
3173667,1993-06-29,FLIR,1.53,1.53,1.47,1.53,1.39,756800
3173668,1993-06-30,FLIR,1.47,1.47,1.41,1.41,1.28,1027200
3173669,1993-07-01,FLIR,1.47,1.47,1.41,1.47,1.33,627200
3173670,1993-07-02,FLIR,1.47,1.47,1.41,1.41,1.28,213600
3173671,1993-07-06,FLIR,1.41,1.47,1.41,1.41,1.28,141600
3173672,1993-07-07,FLIR,1.34,1.38,1.25,1.33,1.2,1111200
3173673,1993-07-08,FLIR,1.28,1.38,1.28,1.31,1.19,648800
3173674,1993-07-09,FLIR,1.28,1.34,1.28,1.34,1.22,255200
3173675,1993-07-12,FLIR,1.28,1.34,1.28,1.31,1.19,828000
3173676,1993-07-13,FLIR,1.28,1.38,1.28,1.36,1.23,182400
3173677,1993-07-14,FLIR,1.34,1.5,1.34,1.47,1.33,583200
3173678,1993-07-15,FLIR,1.47,1.5,1.44,1.5,1.36,230400
3173679,1993-07-16,FLIR,1.5,1.5,1.44,1.44,1.3,128800
3173680,1993-07-19,FLIR,1.5,1.5,1.44,1.47,1.33,692000
3173681,1993-07-20,FLIR,1.44,1.5,1.44,1.47,1.33,68800
3173682,1993-07-21,FLIR,1.44,1.5,1.44,1.44,1.3,35200
3173683,1993-07-22,FLIR,1.47,1.5,1.47,1.47,1.33,448800
3173684,1993-07-23,FLIR,1.47,1.5,1.34,1.39,1.26,332800
3173685,1993-07-26,FLIR,1.34,1.34,1.28,1.34,1.22,286400
3173686,1993-07-27,FLIR,1.28,1.34,1.28,1.28,1.16,411200
3173687,1993-07-28,FLIR,1.31,1.34,1.28,1.28,1.16,70400
3173688,1993-07-29,FLIR,1.34,1.38,1.28,1.38,1.25,144800
3173689,1993-07-30,FLIR,1.31,1.38,1.3,1.34,1.22,984800
3173690,1993-08-02,FLIR,1.31,1.34,1.31,1.31,1.19,64000
3173691,1993-08-03,FLIR,1.31,1.34,1.31,1.31,1.19,64000
3173692,1993-08-04,FLIR,1.34,1.34,1.31,1.31,1.19,65600
3173693,1993-08-05,FLIR,1.31,1.34,1.31,1.31,1.19,39200
3173694,1993-08-06,FLIR,1.31,1.34,1.31,1.31,1.19,23200
3173695,1993-08-09,FLIR,1.31,1.34,1.31,1.31,1.19,51200
3173696,1993-08-10,FLIR,1.28,1.31,1.22,1.25,1.13,568800
3173697,1993-08-11,FLIR,1.22,1.22,1.06,1.19,1.08,1015200
3173698,1993-08-12,FLIR,1.19,1.19,1.13,1.14,1.03,1605600
3173699,1993-08-13,FLIR,1.13,1.19,1.13,1.13,1.02,319200
3173700,1993-08-16,FLIR,1.13,1.25,1.13,1.19,1.08,200000
3173701,1993-08-17,FLIR,1.19,1.25,1.19,1.19,1.08,459200
3173702,1993-08-18,FLIR,1.19,1.25,1.19,1.22,1.11,50400
3173703,1993-08-19,FLIR,1.19,1.22,1.13,1.2,1.09,548000
3173704,1993-08-20,FLIR,1.13,1.22,1.13,1.19,1.08,8000
3173705,1993-08-23,FLIR,1.22,1.22,1.17,1.17,1.06,49600
3173706,1993-08-24,FLIR,1.16,1.22,1.16,1.16,1.05,9600
3173707,1993-08-25,FLIR,1.19,1.22,1.16,1.16,1.05,48000
3173708,1993-08-26,FLIR,1.16,1.22,1.14,1.16,1.05,176800
3173709,1993-08-27,FLIR,1.16,1.22,1.16,1.16,1.05,64000
3173710,1993-08-30,FLIR,1.22,1.22,1.16,1.16,1.05,89600
3173711,1993-08-31,FLIR,1.16,1.22,1.16,1.22,1.11,23200
3173712,1993-09-01,FLIR,1.14,1.19,1.14,1.16,1.05,138400
3173713,1993-09-02,FLIR,1.22,1.22,1.16,1.19,1.08,479200
3173714,1993-09-03,FLIR,1.19,1.22,1.16,1.22,1.11,395200
3173715,1993-09-07,FLIR,1.22,1.22,1.13,1.19,1.08,280800
3173716,1993-09-08,FLIR,1.13,1.19,1.06,1.06,0.96,715200
3173717,1993-09-09,FLIR,1.13,1.16,1.06,1.16,1.05,97600
3173718,1993-09-10,FLIR,1.16,1.16,1.09,1.16,1.05,194400
3173719,1993-09-13,FLIR,1.13,1.16,1.09,1.16,1.05,52000
3173720,1993-09-14,FLIR,1.16,1.22,1.09,1.22,1.11,582400
3173721,1993-09-15,FLIR,1.19,1.34,1.19,1.34,1.22,358400
3173722,1993-09-16,FLIR,1.28,1.34,1.25,1.31,1.19,76000
3173723,1993-09-17,FLIR,1.25,1.34,1.25,1.25,1.13,145600
3173724,1993-09-20,FLIR,1.25,1.25,1.25,1.25,1.13,38400
3173725,1993-09-21,FLIR,1.25,1.25,1.13,1.14,1.03,268000
3173726,1993-09-22,FLIR,1.16,1.22,1.16,1.19,1.08,80000
3173727,1993-09-23,FLIR,1.22,1.25,1.19,1.19,1.08,360800
3173728,1993-09-24,FLIR,1.23,1.25,1.19,1.25,1.13,92000
3173729,1993-09-27,FLIR,1.25,1.34,1.22,1.34,1.22,378400
3173730,1993-09-28,FLIR,1.3,1.41,1.28,1.38,1.25,1453600
3173731,1993-09-29,FLIR,1.41,1.47,1.38,1.44,1.3,96000
3173732,1993-09-30,FLIR,1.47,1.53,1.47,1.5,1.36,468000
3173733,1993-10-01,FLIR,1.53,1.53,1.47,1.47,1.33,623200
3173734,1993-10-04,FLIR,1.53,1.53,1.47,1.47,1.33,53600
3173735,1993-10-05,FLIR,1.47,1.53,1.47,1.47,1.33,534400
3173736,1993-10-06,FLIR,1.47,1.53,1.47,1.47,1.33,162400
3173737,1993-10-07,FLIR,1.47,1.48,1.38,1.44,1.3,436000
3173738,1993-10-08,FLIR,1.44,1.44,1.34,1.41,1.28,52000
3173739,1993-10-11,FLIR,1.38,1.41,1.34,1.34,1.22,106400
3173740,1993-10-12,FLIR,1.41,1.41,1.34,1.38,1.25,139200
3173741,1993-10-13,FLIR,1.41,1.41,1.34,1.34,1.22,40800
3173742,1993-10-14,FLIR,1.41,1.41,1.34,1.34,1.22,179200
3173743,1993-10-15,FLIR,1.44,1.44,1.34,1.34,1.22,25600
3173744,1993-10-18,FLIR,1.44,1.44,1.34,1.44,1.3,120000
3173745,1993-10-19,FLIR,1.44,1.47,1.38,1.38,1.25,305600
3173746,1993-10-20,FLIR,1.47,1.64,1.41,1.63,1.47,825600
3173747,1993-10-21,FLIR,1.66,1.67,1.47,1.56,1.42,1156000
3173748,1993-10-22,FLIR,1.56,1.63,1.53,1.59,1.45,234400
3173749,1993-10-25,FLIR,1.53,1.59,1.53,1.55,1.4,237600
3173750,1993-10-26,FLIR,1.53,1.55,1.44,1.5,1.36,505600
3173751,1993-10-27,FLIR,1.5,1.5,1.38,1.39,1.26,288800
3173752,1993-10-28,FLIR,1.44,1.44,1.38,1.41,1.28,564800
3173753,1993-10-29,FLIR,1.47,1.47,1.31,1.38,1.25,344800
3173754,1993-11-01,FLIR,1.38,1.41,1.31,1.41,1.28,216000
3173755,1993-11-02,FLIR,1.41,1.41,1.31,1.38,1.25,727200
3173756,1993-11-03,FLIR,1.41,1.41,1.34,1.41,1.28,169600
3173757,1993-11-04,FLIR,1.41,1.41,1.31,1.31,1.19,283200
3173758,1993-11-05,FLIR,1.34,1.38,1.28,1.31,1.19,76000
3173759,1993-11-08,FLIR,1.25,1.28,1.25,1.28,1.16,32000
3173760,1993-11-09,FLIR,1.25,1.34,1.25,1.34,1.22,32000
3173761,1993-11-10,FLIR,1.34,1.41,1.25,1.41,1.28,302400
3173762,1993-11-11,FLIR,1.34,1.44,1.34,1.44,1.3,84000
3173763,1993-11-12,FLIR,1.44,1.44,1.34,1.38,1.25,41600
3173764,1993-11-15,FLIR,1.34,1.41,1.34,1.41,1.28,23200
3173765,1993-11-16,FLIR,1.44,1.44,1.34,1.34,1.22,93600
3173766,1993-11-17,FLIR,1.34,1.44,1.34,1.44,1.3,12000
3173767,1993-11-18,FLIR,1.44,1.44,1.34,1.34,1.22,7200
3173768,1993-11-19,FLIR,1.34,1.44,1.34,1.34,1.22,25600
3173769,1993-11-22,FLIR,1.34,1.34,1.34,1.34,1.22,12000
3173770,1993-11-23,FLIR,1.39,1.44,1.34,1.44,1.3,389600
3173771,1993-11-24,FLIR,1.38,1.38,1.34,1.38,1.25,31200
3173772,1993-11-26,FLIR,1.38,1.44,1.38,1.44,1.3,3200
3173773,1993-11-29,FLIR,1.44,1.44,1.34,1.44,1.3,4800
3173774,1993-11-30,FLIR,1.44,1.44,1.34,1.34,1.22,4800
3173775,1993-12-01,FLIR,1.34,1.39,1.34,1.38,1.25,42400
3173776,1993-12-02,FLIR,1.34,1.41,1.34,1.38,1.25,258400
3173777,1993-12-03,FLIR,1.41,1.44,1.34,1.41,1.28,431200
3173778,1993-12-06,FLIR,1.44,1.44,1.31,1.31,1.19,443200
3173779,1993-12-07,FLIR,1.38,1.38,1.25,1.25,1.13,152000
3173780,1993-12-08,FLIR,1.25,1.34,1.25,1.34,1.22,30400
3173781,1993-12-09,FLIR,1.28,1.34,1.2,1.28,1.16,386400
3173782,1993-12-10,FLIR,1.25,1.28,1.22,1.22,1.11,89600
3173783,1993-12-13,FLIR,1.22,1.28,1.22,1.28,1.16,4000
3173784,1993-12-14,FLIR,1.25,1.28,1.22,1.25,1.13,424000
3173785,1993-12-15,FLIR,1.22,1.25,1.22,1.25,1.13,419200
3173786,1993-12-16,FLIR,1.25,1.28,1.22,1.22,1.11,83200
3173787,1993-12-17,FLIR,1.25,1.28,1.22,1.25,1.13,267200
3173788,1993-12-20,FLIR,1.25,1.25,1.16,1.22,1.11,900000
3173789,1993-12-21,FLIR,1.16,1.25,1.16,1.2,1.09,115200
3173790,1993-12-22,FLIR,1.25,1.25,1.16,1.17,1.06,425600
3173791,1993-12-23,FLIR,1.22,1.22,1.16,1.22,1.11,84000
3173792,1993-12-27,FLIR,1.19,1.22,1.19,1.2,1.09,53600
3173793,1993-12-28,FLIR,1.22,1.22,1.19,1.22,1.11,119200
3173794,1993-12-29,FLIR,1.19,1.23,1.19,1.22,1.11,1266400
3173795,1993-12-30,FLIR,1.22,1.23,1.19,1.19,1.08,432800
3173796,1993-12-31,FLIR,1.19,1.25,1.19,1.22,1.11,1416000
3173797,1994-01-03,FLIR,1.22,1.28,1.19,1.25,1.13,138400
3173798,1994-01-04,FLIR,1.19,1.25,1.19,1.25,1.13,737600
3173799,1994-01-05,FLIR,1.25,1.25,1.2,1.25,1.13,579200
3173800,1994-01-06,FLIR,1.19,1.25,1.19,1.25,1.13,79200
3173801,1994-01-07,FLIR,1.25,1.28,1.22,1.28,1.16,406400
3173802,1994-01-10,FLIR,1.28,1.28,1.25,1.25,1.13,214400
3173803,1994-01-11,FLIR,1.31,1.47,1.28,1.44,1.3,1140000
3173804,1994-01-12,FLIR,1.47,1.5,1.41,1.5,1.36,240800
3173805,1994-01-13,FLIR,1.5,1.5,1.41,1.41,1.28,768000
3173806,1994-01-14,FLIR,1.5,1.59,1.44,1.53,1.39,483200
3173807,1994-01-17,FLIR,1.59,1.59,1.53,1.56,1.42,153600
3173808,1994-01-18,FLIR,1.59,1.63,1.53,1.56,1.42,301600
3173809,1994-01-19,FLIR,1.59,1.59,1.5,1.59,1.45,110400
3173810,1994-01-20,FLIR,1.59,1.59,1.5,1.5,1.36,49600
3173811,1994-01-21,FLIR,1.5,1.59,1.47,1.47,1.33,322400
3173812,1994-01-24,FLIR,1.5,1.53,1.44,1.53,1.39,289600
3173813,1994-01-25,FLIR,1.53,1.53,1.44,1.44,1.3,1208800
3173814,1994-01-26,FLIR,1.5,1.5,1.44,1.5,1.36,58400
3173815,1994-01-27,FLIR,1.5,1.53,1.47,1.53,1.39,50400
3173816,1994-01-28,FLIR,1.53,1.53,1.44,1.53,1.39,196800
3173817,1994-01-31,FLIR,1.44,1.53,1.44,1.53,1.39,35200
3173818,1994-02-01,FLIR,1.53,1.53,1.44,1.44,1.3,52000
