,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3579366,2006-10-25,GOODO,25.0,25.5,25.0,25.5,9.55,7900
3579367,2006-10-26,GOODO,25.49,25.49,25.11,25.11,9.41,900
3579368,2006-10-27,GOODO,25.25,25.51,25.25,25.51,9.56,3300
3579369,2006-10-30,GOODO,25.55,25.65,25.4,25.4,9.52,3000
3579370,2006-10-31,GOODO,25.4,25.5,25.36,25.5,9.55,1800
3579371,2006-11-01,GOODO,25.5,25.5,25.4,25.4,9.52,1400
3579372,2006-11-02,GOODO,25.4,25.41,25.38,25.38,9.51,3600
3579373,2006-11-03,GOODO,25.45,25.45,25.45,25.45,9.54,1400
3579374,2006-11-06,GOODO,25.45,25.55,25.45,25.5,9.55,3600
3579375,2006-11-07,GOODO,25.5,25.5,25.4,25.4,9.52,9000
3579376,2006-11-08,GOODO,25.45,25.45,25.45,25.45,9.54,800
3579377,2006-11-09,GOODO,25.45,25.45,25.45,25.45,9.54,1000
3579378,2006-11-10,GOODO,25.55,25.55,25.45,25.45,9.54,13200
3579379,2006-11-13,GOODO,25.55,25.55,25.45,25.45,9.54,1700
3579380,2006-11-14,GOODO,25.4,25.74,25.4,25.74,9.64,3900
3579381,2006-11-15,GOODO,25.74,25.74,25.74,25.74,9.64,0
3579382,2006-11-16,GOODO,25.5,25.65,25.5,25.65,9.61,900
3579383,2006-11-17,GOODO,26.0,26.0,25.21,25.35,9.57,22700
3579384,2006-11-20,GOODO,25.4,25.63,25.37,25.46,9.61,13300
3579385,2006-11-21,GOODO,25.45,25.73,25.44,25.65,9.68,9400
3579386,2006-11-22,GOODO,25.65,25.65,25.65,25.65,9.68,0
3579387,2006-11-24,GOODO,25.73,25.73,25.73,25.73,9.71,200
3579388,2006-11-27,GOODO,25.9,25.9,25.34,25.44,9.6,24600
3579389,2006-11-28,GOODO,25.44,25.44,25.44,25.44,9.6,200
3579390,2006-11-29,GOODO,25.44,25.45,25.4,25.4,9.59,1400
3579391,2006-11-30,GOODO,25.44,25.44,25.36,25.44,9.6,3200
3579392,2006-12-01,GOODO,25.4,25.68,25.4,25.44,9.6,5400
3579393,2006-12-04,GOODO,25.49,25.49,25.41,25.44,9.6,1600
3579394,2006-12-05,GOODO,25.44,25.49,25.44,25.47,9.61,2600
3579395,2006-12-06,GOODO,25.49,25.68,25.45,25.45,9.6,2600
3579396,2006-12-07,GOODO,25.4,25.45,25.4,25.45,9.6,2500
3579397,2006-12-08,GOODO,25.44,25.44,25.44,25.44,9.6,2900
3579398,2006-12-11,GOODO,25.44,25.44,25.44,25.44,9.6,400
3579399,2006-12-12,GOODO,25.4,25.68,25.4,25.41,9.59,3700
3579400,2006-12-13,GOODO,25.44,25.44,25.44,25.44,9.6,800
3579401,2006-12-14,GOODO,25.44,25.44,25.44,25.44,9.6,1000
3579402,2006-12-15,GOODO,25.45,25.45,25.45,25.45,9.6,700
3579403,2006-12-18,GOODO,25.5,25.5,25.41,25.41,9.65,2600
3579404,2006-12-19,GOODO,25.45,25.45,25.34,25.4,9.64,31200
3579405,2006-12-20,GOODO,25.4,25.4,25.4,25.4,9.64,300
3579406,2006-12-21,GOODO,25.4,25.44,25.4,25.44,9.66,1600
3579407,2006-12-22,GOODO,25.35,25.35,25.35,25.35,9.63,400
3579408,2006-12-26,GOODO,25.44,25.44,25.44,25.44,9.66,1000
3579409,2006-12-27,GOODO,25.44,25.44,25.44,25.44,9.66,900
3579410,2006-12-28,GOODO,25.44,25.44,25.44,25.44,9.66,1300
3579411,2006-12-29,GOODO,25.44,25.44,25.43,25.44,9.66,1000
3579412,2007-01-03,GOODO,25.43,25.43,25.43,25.43,9.66,600
3579413,2007-01-04,GOODO,25.41,25.44,25.4,25.4,9.64,4000
3579414,2007-01-05,GOODO,25.4,25.4,25.4,25.4,9.64,0
3579415,2007-01-08,GOODO,25.44,25.44,25.36,25.44,9.66,5200
3579416,2007-01-09,GOODO,25.44,25.49,25.21,25.21,9.57,4300
3579417,2007-01-10,GOODO,25.44,25.44,25.44,25.44,9.66,1100
3579418,2007-01-11,GOODO,25.44,25.44,25.0,25.0,9.49,2100
