,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4618345,2013-11-06,KPTI,17.86,19.09,15.61,16.05,16.05,5949400
4618346,2013-11-07,KPTI,16.0,16.05,15.81,15.98,15.98,246600
4618347,2013-11-08,KPTI,15.9,16.38,15.5,16.24,16.24,502700
4618348,2013-11-11,KPTI,16.62,16.62,16.0,16.07,16.07,58900
4618349,2013-11-12,KPTI,16.02,16.24,15.84,16.0,16.0,107900
4618350,2013-11-13,KPTI,16.0,16.2,15.8,16.01,16.01,149400
4618351,2013-11-14,KPTI,16.0,16.05,15.93,16.01,16.01,118100
4618352,2013-11-15,KPTI,16.05,16.61,16.0,16.0,16.0,177400
4618353,2013-11-18,KPTI,16.01,16.03,15.95,16.03,16.03,51300
4618354,2013-11-19,KPTI,16.03,16.56,15.87,16.0,16.0,103300
4618355,2013-11-20,KPTI,16.0,16.1,15.94,16.0,16.0,35300
4618356,2013-11-21,KPTI,16.09,16.19,16.0,16.0,16.0,144900
4618357,2013-11-22,KPTI,16.06,16.1,16.0,16.0,16.0,138500
4618358,2013-11-25,KPTI,16.02,16.19,16.0,16.0,16.0,47000
4618359,2013-11-26,KPTI,16.0,16.14,15.82,16.0,16.0,108200
4618360,2013-11-27,KPTI,16.0,16.21,16.0,16.21,16.21,230900
4618361,2013-11-29,KPTI,16.23,16.84,16.02,16.29,16.29,104900
4618362,2013-12-02,KPTI,16.62,17.05,16.02,16.18,16.18,247400
4618363,2013-12-03,KPTI,16.3,16.5,16.0,16.14,16.14,75800
4618364,2013-12-04,KPTI,16.2,16.2,15.96,16.11,16.11,72000
4618365,2013-12-05,KPTI,16.11,16.35,16.0,16.03,16.03,505700
4618366,2013-12-06,KPTI,16.09,16.98,16.05,16.91,16.91,61400
4618367,2013-12-09,KPTI,17.76,18.6,17.51,18.31,18.31,356900
4618368,2013-12-10,KPTI,18.51,18.79,17.76,18.21,18.21,133300
4618369,2013-12-11,KPTI,18.11,19.05,17.24,17.69,17.69,148200
4618370,2013-12-12,KPTI,17.79,18.76,16.82,18.2,18.2,208700
4618371,2013-12-13,KPTI,18.35,20.32,17.95,19.96,19.96,218500
4618372,2013-12-16,KPTI,20.17,21.43,19.58,21.05,21.05,191300
4618373,2013-12-17,KPTI,21.3,24.22,21.3,23.55,23.55,364400
