,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4788161,1997-08-14,LKFN,6.5,6.5,6.5,6.5,2.01,600
4788162,1997-08-15,LKFN,7.0,7.0,7.0,7.0,2.16,5400
4788163,1997-08-18,LKFN,7.33,8.17,7.33,8.08,2.49,9000
4788164,1997-08-19,LKFN,9.25,10.21,8.0,8.0,2.47,27000
4788165,1997-08-20,LKFN,8.0,8.0,8.0,8.0,2.47,0
4788166,1997-08-21,LKFN,8.0,8.0,7.67,7.67,2.37,4200
4788167,1997-08-22,LKFN,7.67,7.67,7.33,7.33,2.26,6600
4788168,1997-08-25,LKFN,7.54,7.54,7.54,7.54,2.33,6000
4788169,1997-08-26,LKFN,7.54,7.54,7.54,7.54,2.33,0
4788170,1997-08-27,LKFN,7.54,7.54,7.54,7.54,2.33,0
4788171,1997-08-28,LKFN,7.33,7.33,7.33,7.33,2.26,1200
4788172,1997-08-29,LKFN,7.67,7.67,7.67,7.67,2.37,1800
4788173,1997-09-02,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788174,1997-09-03,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788175,1997-09-04,LKFN,7.71,7.71,7.71,7.71,2.38,6000
4788176,1997-09-05,LKFN,7.67,7.75,7.67,7.75,2.39,6600
4788177,1997-09-08,LKFN,7.75,7.75,7.75,7.75,2.39,0
4788178,1997-09-09,LKFN,7.67,7.67,7.67,7.67,2.37,3600
4788179,1997-09-10,LKFN,8.17,8.17,8.17,8.17,2.52,3000
4788180,1997-09-11,LKFN,7.33,7.67,7.33,7.67,2.37,2400
4788181,1997-09-12,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788182,1997-09-15,LKFN,7.33,7.67,7.33,7.67,2.37,3600
4788183,1997-09-16,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788184,1997-09-17,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788185,1997-09-18,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788186,1997-09-19,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788187,1997-09-22,LKFN,7.67,7.67,7.67,7.67,2.37,0
4788188,1997-09-23,LKFN,7.75,7.75,7.75,7.75,2.39,6000
4788189,1997-09-24,LKFN,7.75,7.75,7.75,7.75,2.39,0
4788190,1997-09-25,LKFN,7.75,7.75,7.75,7.75,2.39,0
4788191,1997-09-26,LKFN,7.75,8.0,7.75,8.0,2.47,7200
4788192,1997-09-29,LKFN,8.0,8.0,8.0,8.0,2.47,0
