,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4972262,1995-08-18,MARPS,11.25,11.25,11.25,11.25,1.31,0
4972263,1995-08-21,MARPS,11.25,11.25,11.25,11.25,1.31,0
4972264,1995-08-22,MARPS,11.25,11.25,11.25,11.25,1.31,0
4972265,1995-08-23,MARPS,11.0,11.0,11.0,11.0,1.28,300
4972266,1995-08-24,MARPS,11.0,11.0,11.0,11.0,1.28,0
4972267,1995-08-25,MARPS,11.0,11.0,11.0,11.0,1.28,0
4972268,1995-08-28,MARPS,11.0,11.0,11.0,11.0,1.28,0
4972269,1995-08-29,MARPS,11.0,11.0,11.0,11.0,1.31,2000
4972270,1995-08-30,MARPS,11.13,11.13,11.06,11.06,1.32,4000
4972271,1995-08-31,MARPS,11.0,12.0,11.0,12.0,1.43,600
4972272,1995-09-01,MARPS,12.0,12.0,12.0,12.0,1.43,0
4972273,1995-09-05,MARPS,11.0,11.13,11.0,11.13,1.33,2000
4972274,1995-09-06,MARPS,11.0,11.0,11.0,11.0,1.31,100
4972275,1995-09-07,MARPS,11.0,11.0,11.0,11.0,1.31,300
4972276,1995-09-08,MARPS,11.0,11.13,11.0,11.13,1.33,900
4972277,1995-09-11,MARPS,11.0,11.13,11.0,11.13,1.33,1700
4972278,1995-09-12,MARPS,11.13,11.13,11.13,11.13,1.33,0
4972279,1995-09-13,MARPS,11.13,11.13,11.13,11.13,1.33,0
4972280,1995-09-14,MARPS,12.0,12.0,12.0,12.0,1.43,600
4972281,1995-09-15,MARPS,12.0,12.0,12.0,12.0,1.43,0
4972282,1995-09-18,MARPS,10.63,10.63,10.63,10.63,1.27,2500
4972283,1995-09-19,MARPS,10.75,10.75,10.75,10.75,1.28,300
4972284,1995-09-20,MARPS,10.5,10.5,10.5,10.5,1.25,200
4972285,1995-09-21,MARPS,11.75,11.75,11.75,11.75,1.4,300
4972286,1995-09-22,MARPS,10.5,10.63,10.5,10.63,1.27,900
4972287,1995-09-25,MARPS,10.63,10.63,10.63,10.63,1.27,0
4972288,1995-09-26,MARPS,10.63,10.63,10.63,10.63,1.27,0
4972289,1995-09-27,MARPS,10.5,11.75,10.5,11.75,1.4,300
4972290,1995-09-28,MARPS,10.5,10.5,10.5,10.5,1.25,200
4972291,1995-09-29,MARPS,11.75,11.75,11.75,11.75,1.4,100
4972292,1995-10-02,MARPS,10.5,10.5,10.5,10.5,1.25,1000
4972293,1995-10-03,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972294,1995-10-04,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972295,1995-10-05,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972296,1995-10-06,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972297,1995-10-09,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972298,1995-10-10,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972299,1995-10-11,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972300,1995-10-12,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972301,1995-10-13,MARPS,10.5,10.5,10.5,10.5,1.25,0
4972302,1995-10-16,MARPS,10.25,10.25,10.25,10.25,1.22,100
4972303,1995-10-17,MARPS,10.25,11.25,10.25,11.25,1.34,9200
4972304,1995-10-18,MARPS,11.25,11.25,11.25,11.25,1.34,0
4972305,1995-10-19,MARPS,10.63,11.0,10.25,11.0,1.31,1200
4972306,1995-10-20,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972307,1995-10-23,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972308,1995-10-24,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972309,1995-10-25,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972310,1995-10-26,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972311,1995-10-27,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972312,1995-10-30,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972313,1995-10-31,MARPS,10.25,11.25,10.25,11.25,1.34,700
4972314,1995-11-01,MARPS,11.25,11.25,11.25,11.25,1.34,0
4972315,1995-11-02,MARPS,10.25,11.0,10.25,10.88,1.3,4000
4972316,1995-11-03,MARPS,10.25,11.0,10.25,11.0,1.31,5000
4972317,1995-11-06,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972318,1995-11-07,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972319,1995-11-08,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972320,1995-11-09,MARPS,11.0,11.0,11.0,11.0,1.31,0
4972321,1995-11-10,MARPS,11.75,11.75,11.75,11.75,1.4,1000
4972322,1995-11-13,MARPS,11.75,11.75,11.75,11.75,1.4,0
4972323,1995-11-14,MARPS,11.75,11.75,11.75,11.75,1.4,0
4972324,1995-11-15,MARPS,10.25,10.25,10.25,10.25,1.22,1000
4972325,1995-11-16,MARPS,10.25,10.25,10.25,10.25,1.22,0
4972326,1995-11-17,MARPS,10.25,10.25,10.25,10.25,1.22,0
4972327,1995-11-20,MARPS,10.25,10.25,10.25,10.25,1.22,0
4972328,1995-11-21,MARPS,10.25,11.0,10.25,11.0,1.31,2900
4972329,1995-11-22,MARPS,10.88,11.0,10.88,11.0,1.31,1500
4972330,1995-11-24,MARPS,11.0,11.0,11.0,11.0,1.31,100
4972331,1995-11-27,MARPS,10.25,11.0,10.25,11.0,1.31,800
4972332,1995-11-28,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972333,1995-11-29,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972334,1995-11-30,MARPS,10.25,11.0,10.25,11.0,1.35,3500
4972335,1995-12-01,MARPS,10.25,10.25,10.25,10.25,1.26,500
4972336,1995-12-04,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972337,1995-12-05,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972338,1995-12-06,MARPS,11.0,11.0,11.0,11.0,1.35,300
4972339,1995-12-07,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972340,1995-12-08,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972341,1995-12-11,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972342,1995-12-12,MARPS,10.25,10.38,10.25,10.38,1.27,2100
4972343,1995-12-13,MARPS,10.38,10.38,10.38,10.38,1.27,0
4972344,1995-12-14,MARPS,10.25,11.0,10.25,11.0,1.35,300
4972345,1995-12-15,MARPS,10.25,10.25,10.25,10.25,1.26,100
4972346,1995-12-18,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972347,1995-12-19,MARPS,10.25,10.25,10.25,10.25,1.26,200
4972348,1995-12-20,MARPS,11.0,11.0,10.25,10.25,1.26,4000
4972349,1995-12-21,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972350,1995-12-22,MARPS,10.25,10.5,10.25,10.5,1.29,2700
4972351,1995-12-26,MARPS,10.25,11.5,10.25,11.5,1.41,2100
4972352,1995-12-27,MARPS,10.25,10.25,10.25,10.25,1.26,500
4972353,1995-12-28,MARPS,10.25,10.5,10.25,10.5,1.29,300
4972354,1995-12-29,MARPS,10.75,10.75,10.25,10.25,1.26,4100
4972355,1996-01-02,MARPS,10.25,10.5,10.25,10.5,1.29,5100
4972356,1996-01-03,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972357,1996-01-04,MARPS,10.25,10.25,10.25,10.25,1.26,200
4972358,1996-01-05,MARPS,11.5,11.5,11.5,11.5,1.41,3000
4972359,1996-01-08,MARPS,11.5,11.5,11.5,11.5,1.41,0
4972360,1996-01-09,MARPS,11.5,11.5,11.5,11.5,1.41,0
4972361,1996-01-10,MARPS,11.5,11.5,11.5,11.5,1.41,1000
4972362,1996-01-11,MARPS,11.5,11.5,11.5,11.5,1.41,0
4972363,1996-01-12,MARPS,11.5,11.5,11.5,11.5,1.41,0
4972364,1996-01-15,MARPS,10.5,10.5,10.5,10.5,1.29,3000
4972365,1996-01-16,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972366,1996-01-17,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972367,1996-01-18,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972368,1996-01-19,MARPS,10.5,10.5,10.5,10.5,1.29,200
4972369,1996-01-22,MARPS,10.5,10.5,10.5,10.5,1.29,400
4972370,1996-01-23,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972371,1996-01-24,MARPS,10.5,10.5,10.5,10.5,1.29,0
4972372,1996-01-25,MARPS,10.75,11.75,10.5,11.25,1.38,5100
4972373,1996-01-26,MARPS,11.25,11.25,11.25,11.25,1.38,0
4972374,1996-01-29,MARPS,10.5,10.63,10.5,10.63,1.3,2000
4972375,1996-01-30,MARPS,10.81,10.81,10.5,10.5,1.29,1300
4972376,1996-01-31,MARPS,10.5,11.75,10.5,11.75,1.44,1200
4972377,1996-02-01,MARPS,11.75,11.75,11.75,11.75,1.44,0
4972378,1996-02-02,MARPS,11.0,11.0,11.0,11.0,1.35,1000
4972379,1996-02-05,MARPS,11.0,11.0,11.0,11.0,1.35,0
4972380,1996-02-06,MARPS,11.0,11.0,11.0,11.0,1.35,3500
4972381,1996-02-07,MARPS,10.75,10.75,10.75,10.75,1.32,500
4972382,1996-02-08,MARPS,10.25,10.25,10.25,10.25,1.26,100
4972383,1996-02-09,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972384,1996-02-12,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972385,1996-02-13,MARPS,10.25,10.25,10.25,10.25,1.26,100
4972386,1996-02-14,MARPS,10.25,10.25,10.25,10.25,1.26,0
4972387,1996-02-15,MARPS,10.25,10.5,10.25,10.38,1.27,4500
4972388,1996-02-16,MARPS,10.38,10.38,10.38,10.38,1.27,0
4972389,1996-02-20,MARPS,10.38,10.38,10.38,10.38,1.27,0
4972390,1996-02-21,MARPS,10.38,10.38,10.38,10.38,1.27,0
4972391,1996-02-22,MARPS,10.75,10.75,10.75,10.75,1.32,2000
4972392,1996-02-23,MARPS,10.5,10.5,10.5,10.5,1.29,1000
4972393,1996-02-26,MARPS,10.5,10.5,10.25,10.5,1.29,3000
4972394,1996-02-27,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972395,1996-02-28,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972396,1996-02-29,MARPS,10.0,10.0,10.0,10.0,1.26,1100
4972397,1996-03-01,MARPS,10.0,10.0,10.0,10.0,1.26,0
4972398,1996-03-04,MARPS,10.0,10.0,10.0,10.0,1.26,400
4972399,1996-03-05,MARPS,10.75,10.75,10.75,10.75,1.36,300
4972400,1996-03-06,MARPS,10.75,10.75,10.75,10.75,1.36,0
4972401,1996-03-07,MARPS,10.75,10.75,10.75,10.75,1.36,0
4972402,1996-03-08,MARPS,10.75,10.75,10.75,10.75,1.36,0
4972403,1996-03-11,MARPS,10.75,10.75,10.75,10.75,1.36,0
4972404,1996-03-12,MARPS,10.5,10.63,10.5,10.63,1.34,2400
4972405,1996-03-13,MARPS,10.0,10.25,10.0,10.25,1.29,3400
4972406,1996-03-14,MARPS,10.25,10.25,10.25,10.25,1.29,0
4972407,1996-03-15,MARPS,10.25,10.25,10.25,10.25,1.29,0
4972408,1996-03-18,MARPS,10.25,10.25,10.25,10.25,1.29,0
4972409,1996-03-19,MARPS,10.0,10.0,10.0,10.0,1.26,1100
4972410,1996-03-20,MARPS,10.5,10.5,10.5,10.5,1.33,400
4972411,1996-03-21,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972412,1996-03-22,MARPS,10.5,10.5,10.5,10.5,1.33,100
4972413,1996-03-25,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972414,1996-03-26,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972415,1996-03-27,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972416,1996-03-28,MARPS,10.5,10.5,10.5,10.5,1.33,0
4972417,1996-03-29,MARPS,11.25,11.25,11.0,11.0,1.39,400
4972418,1996-04-01,MARPS,10.25,10.5,10.25,10.5,1.33,600
4972419,1996-04-02,MARPS,10.5,11.0,10.5,11.0,1.39,3000
4972420,1996-04-03,MARPS,11.0,11.0,11.0,11.0,1.39,0
4972421,1996-04-04,MARPS,11.0,11.0,11.0,11.0,1.39,0
