,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5078639,2003-12-18,MEIP,375.0,479.4,375.0,450.0,450.0,5500
5078640,2003-12-19,MEIP,471.0,594.0,450.0,456.0,456.0,3000
5078641,2003-12-22,MEIP,507.0,570.0,465.0,510.0,510.0,1300
5078642,2003-12-23,MEIP,546.0,771.0,510.0,720.0,720.0,3500
5078643,2003-12-24,MEIP,729.0,779.4,604.8,619.8,619.8,1600
5078644,2003-12-26,MEIP,676.2,684.0,639.0,645.6,645.6,500
5078645,2003-12-29,MEIP,681.6,702.6,646.2,660.0,660.0,600
5078646,2003-12-30,MEIP,700.8,700.8,606.0,660.6,660.6,800
5078647,2003-12-31,MEIP,661.2,729.6,639.0,706.2,706.2,500
5078648,2004-01-02,MEIP,705.0,738.0,654.0,738.0,738.0,500
5078649,2004-01-05,MEIP,771.0,774.6,690.0,707.4,707.4,500
5078650,2004-01-06,MEIP,775.8,779.4,705.0,736.2,736.2,400
5078651,2004-01-07,MEIP,748.2,754.8,735.0,750.0,750.0,400
5078652,2004-01-08,MEIP,777.0,780.0,750.0,765.0,765.0,400
5078653,2004-01-09,MEIP,786.0,786.0,727.8,729.6,729.6,400
5078654,2004-01-12,MEIP,723.0,783.0,666.0,720.0,720.0,700
5078655,2004-01-13,MEIP,720.0,720.0,684.0,704.4,704.4,300
5078656,2004-01-14,MEIP,690.0,726.0,690.0,705.0,705.0,200
5078657,2004-01-15,MEIP,675.0,702.0,675.0,701.4,701.4,300
5078658,2004-01-16,MEIP,701.4,726.0,672.0,726.0,726.0,100
5078659,2004-01-20,MEIP,722.4,750.0,696.0,723.0,723.0,300
5078660,2004-01-21,MEIP,762.0,762.0,690.0,729.0,729.0,100
5078661,2004-01-22,MEIP,735.0,735.0,709.2,711.0,711.0,100
5078662,2004-01-23,MEIP,720.0,734.4,690.0,703.2,703.2,200
5078663,2004-01-26,MEIP,690.0,732.0,684.0,705.6,705.6,1000
5078664,2004-01-27,MEIP,682.8,718.8,682.8,709.8,709.8,400
5078665,2004-01-28,MEIP,711.0,711.0,684.0,684.0,684.0,200
5078666,2004-01-29,MEIP,699.0,699.0,612.6,644.4,644.4,200
5078667,2004-01-30,MEIP,699.0,699.0,600.0,683.4,683.4,300
5078668,2004-02-02,MEIP,683.4,684.0,662.4,684.0,684.0,300
5078669,2004-02-03,MEIP,690.0,702.0,651.6,664.2,664.2,200
5078670,2004-02-04,MEIP,705.0,705.0,630.0,690.0,690.0,100
5078671,2004-02-05,MEIP,660.0,690.0,615.0,683.4,683.4,200
5078672,2004-02-06,MEIP,690.0,705.0,690.0,696.0,696.0,100
5078673,2004-02-09,MEIP,720.0,741.0,648.0,684.6,684.6,400
5078674,2004-02-10,MEIP,648.0,692.4,648.0,692.4,692.4,100
5078675,2004-02-11,MEIP,693.0,786.0,660.6,766.2,766.2,1000
5078676,2004-02-12,MEIP,699.0,786.0,699.0,751.2,751.2,300
5078677,2004-02-13,MEIP,771.0,771.0,639.6,695.4,695.4,300
5078678,2004-02-17,MEIP,703.8,708.0,655.2,655.2,655.2,200
5078679,2004-02-18,MEIP,666.6,675.0,661.2,668.4,668.4,100
5078680,2004-02-19,MEIP,680.4,680.4,636.0,644.4,644.4,0
5078681,2004-02-20,MEIP,644.4,654.0,612.0,624.0,624.0,100
5078682,2004-02-23,MEIP,649.8,649.8,552.0,552.0,552.0,600
5078683,2004-02-24,MEIP,552.6,584.4,457.8,491.4,491.4,1700
5078684,2004-02-25,MEIP,465.0,675.0,465.0,598.8,598.8,1300
5078685,2004-02-26,MEIP,603.0,678.0,603.0,635.4,635.4,800
5078686,2004-02-27,MEIP,612.0,690.0,612.0,660.6,660.6,400
5078687,2004-03-01,MEIP,660.0,680.4,630.0,680.4,680.4,200
