,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5177986,2016-06-14,MINDP,24.9,24.9,24.24,24.49,19.39,14375
5177987,2016-06-15,MINDP,24.5,24.5,24.45,24.45,19.36,650
5177988,2016-06-16,MINDP,24.5,24.5,24.36,24.4,19.32,2200
5177989,2016-06-17,MINDP,24.5,24.5,24.4,24.4,19.32,2800
5177990,2016-06-20,MINDP,24.4,24.55,24.4,24.55,19.44,1600
5177991,2016-06-21,MINDP,24.5,24.65,24.4,24.43,19.34,4400
5177992,2016-06-22,MINDP,24.99,24.99,24.52,24.65,19.52,3900
5177993,2016-06-23,MINDP,24.99,24.99,24.54,24.54,19.43,1900
5177994,2016-06-24,MINDP,24.99,24.99,22.22,24.65,19.52,2600
5177995,2016-06-27,MINDP,24.65,24.65,24.2,24.4,19.32,2200
5177996,2016-06-28,MINDP,24.94,24.96,24.57,24.57,19.46,600
5177997,2016-06-29,MINDP,24.5,24.5,24.5,24.5,19.4,400
5177998,2016-06-30,MINDP,24.5,24.5,24.5,24.5,19.4,100
5177999,2016-07-01,MINDP,24.41,24.41,24.34,24.34,19.27,1400
5178000,2016-07-05,MINDP,24.34,24.5,22.21,24.3,19.24,12600
5178001,2016-07-06,MINDP,24.1,24.3,24.08,24.3,19.24,3900
5178002,2016-07-07,MINDP,24.3,24.3,23.95,24.1,19.08,3300
5178003,2016-07-08,MINDP,24.15,24.15,24.15,24.15,19.12,100
5178004,2016-07-11,MINDP,24.03,24.03,23.76,23.96,18.97,3000
5178005,2016-07-12,MINDP,24.14,24.14,23.5,24.0,19.0,2100
5178006,2016-07-13,MINDP,24.01,24.01,22.95,22.95,18.45,2400
5178007,2016-07-14,MINDP,22.97,24.66,22.95,24.4,19.61,11400
5178008,2016-07-15,MINDP,24.2,24.25,23.99,23.99,19.28,1000
5178009,2016-07-18,MINDP,23.9,24.0,23.4,24.0,19.29,2200
5178010,2016-07-19,MINDP,23.64,23.99,23.3,23.7,19.05,2500
5178011,2016-07-20,MINDP,23.6,23.6,23.31,23.31,18.74,3600
5178012,2016-07-21,MINDP,23.3,23.5,23.01,23.49,18.88,3600
5178013,2016-07-22,MINDP,23.55,23.55,23.12,23.54,18.92,1400
5178014,2016-07-25,MINDP,23.6,24.05,23.0,23.25,18.69,6700
5178015,2016-07-26,MINDP,23.11,23.22,23.01,23.03,18.51,3500
5178016,2016-07-27,MINDP,23.06,23.06,23.0,23.0,18.49,300
5178017,2016-07-28,MINDP,23.25,23.25,23.2,23.2,18.65,1600
5178018,2016-07-29,MINDP,23.25,23.25,23.02,23.2,18.65,2000
5178019,2016-08-01,MINDP,23.25,24.3,23.25,23.79,19.12,8400
5178020,2016-08-02,MINDP,23.37,23.94,23.2,23.94,19.24,7700
5178021,2016-08-03,MINDP,24.14,24.14,23.93,23.93,19.23,200
5178022,2016-08-04,MINDP,23.9,24.23,23.9,23.97,19.27,2600
5178023,2016-08-05,MINDP,23.97,23.97,23.97,23.97,19.27,0
5178024,2016-08-08,MINDP,24.25,24.25,23.95,24.1,19.37,800
5178025,2016-08-09,MINDP,23.89,23.89,23.89,23.89,19.2,600
5178026,2016-08-10,MINDP,24.22,24.22,23.85,23.9,19.21,3100
5178027,2016-08-11,MINDP,24.01,24.01,23.95,23.95,19.25,600
5178028,2016-08-12,MINDP,23.86,23.86,23.7,23.7,19.05,900
5178029,2016-08-15,MINDP,23.5,23.5,23.5,23.5,18.89,600
5178030,2016-08-16,MINDP,23.5,23.5,23.5,23.5,18.89,0
5178031,2016-08-17,MINDP,24.03,24.03,23.95,23.95,19.25,1300
5178032,2016-08-18,MINDP,23.97,24.22,23.92,24.1,19.37,1300
5178033,2016-08-19,MINDP,24.0,24.0,23.9,23.99,19.28,1900
5178034,2016-08-22,MINDP,24.03,24.03,23.98,23.98,19.27,2800
5178035,2016-08-23,MINDP,23.9,23.95,23.9,23.95,19.25,800
5178036,2016-08-24,MINDP,23.95,23.95,23.95,23.95,19.25,100
5178037,2016-08-25,MINDP,24.0,24.0,24.0,24.0,19.29,900
5178038,2016-08-26,MINDP,24.0,24.0,24.0,24.0,19.29,0
5178039,2016-08-29,MINDP,23.78,24.03,23.78,24.03,19.31,200
5178040,2016-08-30,MINDP,23.99,23.99,23.99,23.99,19.28,100
5178041,2016-08-31,MINDP,23.99,23.99,23.9,23.9,19.21,900
5178042,2016-09-01,MINDP,23.3,23.97,23.3,23.97,19.27,600
5178043,2016-09-02,MINDP,23.87,23.9,23.69,23.9,19.21,800
5178044,2016-09-06,MINDP,23.8,23.8,23.75,23.75,19.09,400
5178045,2016-09-07,MINDP,23.58,23.58,23.58,23.58,18.96,300
5178046,2016-09-08,MINDP,23.84,23.84,23.41,23.41,18.82,600
5178047,2016-09-09,MINDP,23.89,23.89,23.89,23.89,19.2,200
5178048,2016-09-12,MINDP,23.89,23.89,23.89,23.89,19.2,0
5178049,2016-09-13,MINDP,23.89,23.89,23.89,23.89,19.2,0
5178050,2016-09-14,MINDP,23.9,23.9,23.74,23.74,19.08,500
5178051,2016-09-15,MINDP,23.72,23.72,23.72,23.72,19.06,700
5178052,2016-09-16,MINDP,23.81,23.81,23.8,23.8,19.13,500
5178053,2016-09-19,MINDP,23.22,23.58,23.02,23.58,18.95,1100
5178054,2016-09-20,MINDP,23.35,23.35,23.35,23.35,18.77,800
5178055,2016-09-21,MINDP,23.15,23.15,22.95,23.09,18.56,1800
5178056,2016-09-22,MINDP,23.02,23.02,23.02,23.02,18.5,1500
5178057,2016-09-23,MINDP,23.0,23.0,23.0,23.0,18.49,100
5178058,2016-09-26,MINDP,23.04,23.04,23.0,23.0,18.49,300
5178059,2016-09-27,MINDP,23.87,23.9,23.7,23.75,19.09,800
5178060,2016-09-28,MINDP,23.55,23.55,23.5,23.5,18.89,2200
5178061,2016-09-29,MINDP,23.5,23.75,23.5,23.75,19.09,900
5178062,2016-09-30,MINDP,23.05,23.58,23.0,23.58,18.96,1000
5178063,2016-10-03,MINDP,23.59,23.65,23.59,23.65,19.01,1300
5178064,2016-10-04,MINDP,23.5,23.64,23.03,23.55,18.93,3800
5178065,2016-10-05,MINDP,23.81,24.29,23.74,24.0,19.29,9100
5178066,2016-10-06,MINDP,24.0,24.0,24.0,24.0,19.29,0
5178067,2016-10-07,MINDP,23.91,23.91,23.91,23.91,19.21,100
5178068,2016-10-10,MINDP,24.18,24.19,24.04,24.04,19.32,800
5178069,2016-10-11,MINDP,23.9,23.9,23.9,23.9,19.21,900
5178070,2016-10-12,MINDP,23.9,23.9,23.9,23.9,19.67,0
5178071,2016-10-13,MINDP,23.26,23.75,23.26,23.7,19.51,1000
5178072,2016-10-14,MINDP,23.9,23.9,23.9,23.9,19.67,500
5178073,2016-10-17,MINDP,23.9,23.9,23.9,23.9,19.67,700
5178074,2016-10-18,MINDP,23.9,23.9,23.5,23.6,19.43,4800
5178075,2016-10-19,MINDP,23.7,23.7,23.5,23.5,19.34,1600
