,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5279552,2018-04-19,MOR,26.16,26.47,25.75,26.31,26.31,1748100
5279553,2018-04-20,MOR,25.8,26.18,25.67,25.82,25.82,142900
5279554,2018-04-23,MOR,25.94,26.19,25.8,25.8,25.8,71100
5279555,2018-04-24,MOR,25.77,25.79,24.9,25.15,25.15,99600
5279556,2018-04-25,MOR,25.08,25.88,24.97,25.34,25.34,100900
5279557,2018-04-26,MOR,25.5,26.68,25.32,26.47,26.47,96100
5279558,2018-04-27,MOR,26.23,26.91,26.05,26.7,26.7,141000
5279559,2018-04-30,MOR,26.65,26.65,26.11,26.18,26.18,66000
5279560,2018-05-01,MOR,26.18,26.91,25.97,26.35,26.35,72000
5279561,2018-05-02,MOR,26.55,27.24,26.38,26.95,26.95,39600
5279562,2018-05-03,MOR,26.54,27.79,26.27,26.43,26.43,25200
5279563,2018-05-04,MOR,26.29,26.88,26.11,26.51,26.51,21300
5279564,2018-05-07,MOR,26.63,27.08,26.63,26.92,26.92,12700
5279565,2018-05-08,MOR,26.66,26.72,26.3,26.7,26.7,49500
5279566,2018-05-09,MOR,26.33,26.6,26.33,26.6,26.6,4500
5279567,2018-05-10,MOR,27.18,27.64,27.0,27.12,27.12,32000
5279568,2018-05-11,MOR,26.86,27.4,26.31,27.4,27.4,17500
5279569,2018-05-14,MOR,27.22,27.22,26.83,27.05,27.05,109800
5279570,2018-05-15,MOR,26.66,27.58,26.27,27.15,27.15,22700
5279571,2018-05-16,MOR,27.01,27.01,26.02,26.59,26.59,32300
5279572,2018-05-17,MOR,26.65,26.92,26.38,26.63,26.63,6600
5279573,2018-05-18,MOR,27.02,27.15,26.06,26.5,26.5,104600
5279574,2018-05-21,MOR,26.91,27.1,25.74,26.08,26.08,134400
5279575,2018-05-22,MOR,26.92,27.48,26.9,26.92,26.92,27100
5279576,2018-05-23,MOR,26.75,27.5,26.5,27.5,27.5,96600
5279577,2018-05-25,MOR,26.62,26.83,26.57,26.81,26.81,33400
5279578,2018-05-29,MOR,25.85,26.28,25.73,26.02,26.02,102300
5279579,2018-05-30,MOR,26.78,27.17,26.42,27.09,27.09,8000
5279580,2018-05-31,MOR,26.83,27.11,25.88,26.49,26.49,32900
5279581,2018-06-01,MOR,26.59,27.03,26.43,26.66,26.66,43400
5279582,2018-06-04,MOR,27.16,27.24,26.44,26.99,26.99,69200
5279583,2018-06-05,MOR,27.1,27.41,26.68,27.01,27.01,93000
5279584,2018-06-06,MOR,27.34,27.4,27.01,27.01,27.01,65300
5279585,2018-06-07,MOR,27.29,27.29,26.76,27.2,27.2,61200
5279586,2018-06-08,MOR,26.81,27.42,26.75,27.04,27.04,282500
5279587,2018-06-11,MOR,27.7,28.37,27.47,27.8,27.8,41600
5279588,2018-06-12,MOR,27.97,28.44,27.9,28.14,28.14,56400
5279589,2018-06-13,MOR,28.11,29.0,27.92,28.64,28.64,80100
5279590,2018-06-14,MOR,28.29,29.08,27.95,28.71,28.71,130000
5279591,2018-06-15,MOR,28.12,29.48,27.8,29.27,29.27,147454
5279592,2018-06-25,MOR,30.65,30.71,30.2,30.41,30.41,86600
5279593,2018-06-26,MOR,30.43,30.61,29.89,30.28,30.28,117700
5279594,2018-06-27,MOR,30.68,30.68,29.77,30.13,30.13,36400
5279595,2018-06-28,MOR,29.42,29.88,29.31,29.45,29.45,34800
5279596,2018-06-29,MOR,30.22,30.7,30.2,30.34,30.34,34900
5279597,2018-07-02,MOR,30.3,30.57,30.15,30.28,30.28,34500
5279598,2018-07-03,MOR,30.86,31.1,30.23,30.73,30.73,48400
5279599,2018-07-05,MOR,30.9,30.9,30.31,30.43,30.43,31000
5279600,2018-07-06,MOR,31.11,31.54,31.1,31.54,31.54,25000
5279601,2018-07-09,MOR,32.0,32.0,31.6,31.75,31.75,12500
5279602,2018-07-10,MOR,31.87,32.02,31.73,31.9,31.9,10900
5279603,2018-07-11,MOR,31.61,32.08,31.52,31.53,31.53,16600
5279604,2018-07-12,MOR,31.27,31.65,30.89,31.08,31.08,40600
5279605,2018-07-13,MOR,31.29,31.51,31.26,31.45,31.45,20000
5279606,2018-07-16,MOR,32.05,32.19,31.34,31.49,31.49,57700
5279607,2018-07-17,MOR,32.25,32.68,32.19,32.68,32.68,65400
5279608,2018-07-18,MOR,32.76,32.93,32.63,32.93,32.93,152900
5279609,2018-07-19,MOR,34.12,34.29,33.81,33.89,33.89,49900
5279610,2018-07-20,MOR,35.1,35.73,34.87,35.33,35.33,65300
5279611,2018-07-23,MOR,35.35,35.74,34.86,35.66,35.66,88300
5279612,2018-07-24,MOR,35.89,35.9,34.82,34.96,34.96,71700
5279613,2018-07-25,MOR,35.35,35.66,35.04,35.66,35.66,59000
5279614,2018-07-26,MOR,34.95,35.11,34.25,34.3,34.3,51700
5279615,2018-07-27,MOR,34.45,34.6,34.31,34.48,34.48,20200
5279616,2018-07-30,MOR,33.58,33.85,32.92,33.16,33.16,95200
5279617,2018-07-31,MOR,32.58,32.96,32.43,32.69,32.69,35800
5279618,2018-08-01,MOR,33.65,33.7,32.8,32.8,32.8,32000
5279619,2018-08-02,MOR,31.24,32.19,31.17,32.19,32.19,99600
5279620,2018-08-03,MOR,30.46,30.87,30.15,30.36,30.36,58800
5279621,2018-08-06,MOR,30.79,31.05,30.73,30.97,30.97,28400
5279622,2018-08-07,MOR,30.97,31.15,30.78,31.07,31.07,14600
5279623,2018-08-08,MOR,30.74,30.77,30.45,30.7,30.7,25600
5279624,2018-08-09,MOR,30.84,30.88,30.54,30.69,30.69,28300
5279625,2018-08-10,MOR,30.27,30.65,29.85,30.65,30.65,49500
5279626,2018-08-13,MOR,30.3,30.33,29.85,29.88,29.88,16500
5279627,2018-08-14,MOR,29.1,29.18,28.46,28.58,28.58,19800
5279628,2018-08-15,MOR,27.88,28.37,27.49,28.14,28.14,42700
5279629,2018-08-16,MOR,28.3,28.5,28.11,28.46,28.46,46500
5279630,2018-08-17,MOR,28.25,28.63,28.08,28.29,28.29,74800
5279631,2018-08-20,MOR,28.67,28.8,28.56,28.56,28.56,21300
5279632,2018-08-21,MOR,29.03,29.07,28.84,28.87,28.87,14400
5279633,2018-08-22,MOR,29.03,29.3,29.0,29.19,29.19,24400
5279634,2018-08-23,MOR,29.52,29.6,29.29,29.45,29.45,19900
5279635,2018-08-24,MOR,29.38,29.41,29.09,29.13,29.13,5500
5279636,2018-08-27,MOR,29.51,29.8,29.29,29.5,29.5,16400
5279637,2018-08-29,MOR,29.61,30.0,29.47,29.52,29.52,30900
5279638,2018-08-30,MOR,29.65,29.76,29.44,29.44,29.44,53600
5279639,2018-08-31,MOR,29.27,29.57,29.18,29.57,29.57,8000
5279640,2018-09-04,MOR,28.82,28.86,28.36,28.39,28.39,51800
5279641,2018-09-05,MOR,28.27,28.35,27.93,27.96,27.96,57400
5279642,2018-09-06,MOR,27.91,27.91,27.26,27.26,27.26,22400
5279643,2018-09-07,MOR,27.31,27.58,27.13,27.41,27.41,94800
5279644,2018-09-10,MOR,27.68,27.68,27.15,27.16,27.16,98200
5279645,2018-09-11,MOR,27.82,28.01,27.75,27.97,27.97,150000
5279646,2018-09-12,MOR,27.99,28.12,27.51,27.51,27.51,101600
5279647,2018-09-13,MOR,28.05,28.06,27.5,27.54,27.54,86700
5279648,2018-09-14,MOR,27.81,28.4,27.68,27.68,27.68,95100
5279649,2018-09-17,MOR,28.23,28.27,27.61,27.72,27.72,33000
5279650,2018-09-18,MOR,27.16,27.5,27.05,27.07,27.07,55300
5279651,2018-09-19,MOR,26.83,27.36,26.83,27.36,27.36,18100
5279652,2018-09-20,MOR,27.51,27.72,27.48,27.72,27.72,14300
5279653,2018-09-21,MOR,27.54,27.54,26.81,26.81,26.81,71830
5279654,2018-09-24,MOR,26.62,26.93,26.62,26.81,26.81,21500
5279655,2018-09-25,MOR,26.98,27.25,26.98,27.01,27.01,49300
5279656,2018-09-26,MOR,26.93,27.38,26.93,27.19,27.19,10800
5279657,2018-09-27,MOR,26.5,26.68,26.5,26.64,26.64,6300
5279658,2018-09-28,MOR,26.45,26.85,26.43,26.7,26.7,13100
5279659,2018-10-01,MOR,27.54,27.7,27.27,27.34,27.34,42700
5279660,2018-10-02,MOR,26.46,26.68,26.33,26.4,26.4,45800
5279661,2018-10-03,MOR,26.65,26.65,26.26,26.26,26.26,12100
5279662,2018-10-04,MOR,26.14,26.14,24.99,25.09,25.09,44800
5279663,2018-10-05,MOR,24.7,24.85,24.42,24.59,24.59,18200
