,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5487749,2014-08-07,NBEV,2.5,2.5,1.75,1.75,1.75,1350
5487750,2014-08-11,NBEV,2.15,2.5,2.0,2.1,2.1,4460
5487751,2014-08-15,NBEV,2.0,2.4,1.9,1.9,1.9,5960
5487752,2014-08-27,NBEV,1.41,1.41,1.41,1.41,1.41,0
5487753,2014-09-03,NBEV,1.25,1.48,1.25,1.28,1.28,4200
5487754,2014-10-01,NBEV,0.61,0.61,0.3,0.33,0.33,2588466
5487755,2014-10-15,NBEV,0.33,0.34,0.3,0.34,0.34,34146
5487756,2014-10-16,NBEV,0.31,0.35,0.3,0.35,0.35,146415
5487757,2014-10-17,NBEV,0.36,0.38,0.36,0.38,0.38,30825
5487758,2014-10-20,NBEV,0.38,0.39,0.35,0.39,0.39,39538
5487759,2014-10-21,NBEV,0.39,0.46,0.37,0.44,0.44,235344
5487760,2014-10-22,NBEV,0.5,0.59,0.48,0.52,0.52,425900
5487761,2014-10-23,NBEV,0.55,0.55,0.5,0.52,0.52,42454
5487762,2014-10-24,NBEV,0.54,0.54,0.48,0.5,0.5,46904
5487763,2014-10-27,NBEV,0.49,0.5,0.46,0.46,0.46,38883
5487764,2014-10-28,NBEV,0.47,0.49,0.46,0.49,0.49,9149
5487765,2014-10-29,NBEV,0.5,0.55,0.49,0.5,0.5,76350
5487766,2014-10-30,NBEV,0.5,0.5,0.45,0.45,0.45,53000
5487767,2014-11-03,NBEV,0.46,0.46,0.42,0.46,0.46,21771
5487768,2014-11-04,NBEV,0.46,0.46,0.46,0.46,0.46,1200
5487769,2014-11-06,NBEV,0.47,0.47,0.47,0.47,0.47,199
5487770,2014-11-07,NBEV,0.43,0.43,0.43,0.43,0.43,7500
5487771,2014-11-10,NBEV,0.43,0.43,0.41,0.41,0.41,20002
5487772,2014-11-11,NBEV,0.45,0.45,0.44,0.44,0.44,13101
5487773,2014-11-12,NBEV,0.44,0.47,0.4,0.4,0.4,22294
5487774,2014-11-13,NBEV,0.4,0.46,0.4,0.46,0.46,23040
5487775,2014-11-14,NBEV,0.41,0.44,0.41,0.44,0.44,7801
5487776,2014-11-19,NBEV,0.39,0.44,0.39,0.42,0.42,19500
5487777,2014-11-20,NBEV,0.43,0.43,0.43,0.43,0.43,850
5487778,2014-11-21,NBEV,0.43,0.43,0.43,0.43,0.43,0
5487779,2014-12-09,NBEV,0.35,0.37,0.33,0.33,0.33,21850
5487780,2014-12-12,NBEV,0.37,0.37,0.36,0.36,0.36,6000
5487781,2014-12-23,NBEV,0.32,0.34,0.32,0.34,0.34,24285
5487782,2014-12-24,NBEV,0.34,0.34,0.34,0.34,0.34,4450
5487783,2015-01-07,NBEV,0.33,0.35,0.33,0.35,0.35,8600
5487784,2015-01-27,NBEV,0.31,0.34,0.31,0.34,0.34,6900
5487785,2015-01-28,NBEV,0.34,0.34,0.34,0.34,0.34,8194
5487786,2015-01-29,NBEV,0.31,0.31,0.31,0.31,0.31,4964
5487787,2015-01-30,NBEV,0.34,0.34,0.34,0.34,0.34,400
5487788,2015-02-02,NBEV,0.34,0.34,0.33,0.33,0.33,13300
5487789,2015-02-03,NBEV,0.31,0.31,0.31,0.31,0.31,5440
5487790,2015-02-04,NBEV,0.33,0.33,0.31,0.32,0.32,21700
5487791,2015-02-05,NBEV,0.32,0.32,0.32,0.32,0.32,4500
5487792,2015-02-06,NBEV,0.32,0.32,0.32,0.32,0.32,0
5487793,2015-02-09,NBEV,0.31,0.31,0.28,0.31,0.31,31020
5487794,2015-02-11,NBEV,0.31,0.31,0.31,0.31,0.31,4736
5487795,2015-02-12,NBEV,0.31,0.32,0.31,0.32,0.32,9500
5487796,2015-02-13,NBEV,0.3,0.3,0.3,0.3,0.3,3500
5487797,2015-02-19,NBEV,0.34,0.34,0.33,0.33,0.33,2000
5487798,2015-02-20,NBEV,0.34,0.36,0.34,0.36,0.36,13000
5487799,2015-02-23,NBEV,0.38,0.38,0.3,0.3,0.3,10466
5487800,2015-02-25,NBEV,0.34,0.34,0.34,0.34,0.34,2500
5487801,2015-02-26,NBEV,0.3,0.36,0.3,0.36,0.36,1340
5487802,2015-02-27,NBEV,0.36,0.36,0.33,0.33,0.33,19860
5487803,2015-03-02,NBEV,0.34,0.34,0.34,0.34,0.34,300
5487804,2015-03-10,NBEV,0.32,0.33,0.32,0.33,0.33,7500
5487805,2015-03-11,NBEV,0.33,0.33,0.33,0.33,0.33,5000
5487806,2015-03-12,NBEV,0.33,0.34,0.32,0.32,0.32,4804
5487807,2015-03-19,NBEV,0.33,0.33,0.33,0.33,0.33,0
5487808,2015-03-26,NBEV,0.33,0.33,0.33,0.33,0.33,215
5487809,2015-03-30,NBEV,0.32,0.38,0.33,0.38,0.38,55732
5487810,2015-04-07,NBEV,0.38,0.4,0.38,0.4,0.4,7500
5487811,2015-04-09,NBEV,0.42,0.51,0.42,0.51,0.51,106730
5487812,2015-05-14,NBEV,0.41,0.42,0.41,0.42,0.42,21238
5487813,2015-05-15,NBEV,0.41,0.42,0.41,0.42,0.42,27303
5487814,2015-05-18,NBEV,0.42,0.42,0.42,0.42,0.42,0
5487815,2015-05-19,NBEV,0.43,0.43,0.41,0.43,0.43,8300
5487816,2015-05-20,NBEV,0.42,0.43,0.42,0.43,0.43,22100
5487817,2015-05-21,NBEV,0.42,0.42,0.42,0.42,0.42,13500
5487818,2015-05-22,NBEV,0.42,0.42,0.41,0.41,0.41,3300
5487819,2015-05-26,NBEV,0.42,0.42,0.4,0.41,0.41,21000
5487820,2015-05-27,NBEV,0.41,0.41,0.41,0.41,0.41,4828
5487821,2015-05-28,NBEV,0.4,0.4,0.38,0.38,0.38,9100
5487822,2015-05-29,NBEV,0.38,0.38,0.38,0.38,0.38,0
5487823,2015-06-01,NBEV,0.41,0.41,0.4,0.4,0.4,3000
5487824,2015-06-02,NBEV,0.4,0.4,0.4,0.4,0.4,500
5487825,2015-06-04,NBEV,0.42,0.42,0.42,0.42,0.42,100
5487826,2015-06-05,NBEV,0.42,0.42,0.42,0.42,0.42,2770
5487827,2015-06-08,NBEV,0.42,0.42,0.4,0.4,0.4,3133
5487828,2015-06-09,NBEV,0.4,0.4,0.4,0.4,0.4,8300
5487829,2015-06-10,NBEV,0.4,0.4,0.4,0.4,0.4,0
5487830,2015-06-11,NBEV,0.42,0.42,0.38,0.42,0.42,20550
5487831,2015-06-12,NBEV,0.42,0.42,0.42,0.42,0.42,1611
5487832,2015-06-15,NBEV,0.42,0.42,0.38,0.39,0.39,21300
5487833,2015-06-17,NBEV,0.38,0.43,0.38,0.43,0.43,45080
5487834,2015-06-18,NBEV,0.42,0.43,0.4,0.43,0.43,34900
5487835,2015-06-19,NBEV,0.43,0.43,0.43,0.43,0.43,3650
5487836,2015-06-22,NBEV,0.45,0.45,0.44,0.45,0.45,7918
5487837,2015-06-25,NBEV,0.49,0.49,0.49,0.49,0.49,4040
5487838,2015-06-26,NBEV,0.49,0.5,0.46,0.46,0.46,5500
5487839,2015-06-29,NBEV,0.46,0.46,0.41,0.46,0.46,32532
5487840,2015-07-01,NBEV,0.46,0.46,0.46,0.46,0.46,0
5487841,2015-07-02,NBEV,0.47,0.47,0.45,0.45,0.45,21229
5487842,2015-07-06,NBEV,0.47,0.47,0.47,0.47,0.47,300
5487843,2015-07-07,NBEV,0.47,0.47,0.46,0.46,0.46,10076
5487844,2015-07-14,NBEV,0.44,0.44,0.38,0.39,0.39,35146
5487845,2015-07-15,NBEV,0.39,0.39,0.39,0.39,0.39,100
5487846,2015-07-16,NBEV,0.39,0.39,0.39,0.39,0.39,1500
5487847,2015-07-20,NBEV,0.39,0.39,0.39,0.39,0.39,0
5487848,2015-07-24,NBEV,0.4,0.4,0.39,0.4,0.4,3195
5487849,2015-07-27,NBEV,0.4,0.4,0.38,0.38,0.38,15400
5487850,2015-08-06,NBEV,0.35,0.35,0.35,0.35,0.35,150
5487851,2015-08-17,NBEV,0.34,0.36,0.33,0.35,0.35,62468
5487852,2015-08-24,NBEV,0.32,0.37,0.31,0.35,0.35,47987
5487853,2015-08-25,NBEV,0.31,0.41,0.31,0.41,0.41,46742
5487854,2015-08-26,NBEV,0.41,0.41,0.39,0.39,0.39,9600
5487855,2015-08-27,NBEV,0.39,0.39,0.38,0.38,0.38,11500
5487856,2015-08-28,NBEV,0.41,0.41,0.37,0.37,0.37,30305
5487857,2015-08-31,NBEV,0.38,0.38,0.35,0.35,0.35,52100
5487858,2015-09-01,NBEV,0.39,0.39,0.39,0.39,0.39,9050
5487859,2015-09-02,NBEV,0.39,0.39,0.39,0.39,0.39,16037
5487860,2015-09-03,NBEV,0.37,0.41,0.36,0.4,0.4,29387
5487861,2015-09-04,NBEV,0.41,0.46,0.41,0.46,0.46,22630
5487862,2015-09-08,NBEV,0.46,0.46,0.35,0.45,0.45,80551
5487863,2015-09-09,NBEV,0.45,0.45,0.45,0.45,0.45,20000
5487864,2015-09-10,NBEV,0.45,0.45,0.45,0.45,0.45,0
5487865,2015-09-11,NBEV,0.38,0.43,0.38,0.43,0.43,18387
5487866,2015-09-15,NBEV,0.43,0.43,0.41,0.43,0.43,2976
5487867,2015-09-17,NBEV,0.41,0.41,0.36,0.38,0.38,11136
5487868,2015-09-18,NBEV,0.38,0.38,0.38,0.38,0.38,0
5487869,2015-09-21,NBEV,0.38,0.39,0.36,0.39,0.39,21800
5487870,2015-09-22,NBEV,0.38,0.38,0.38,0.38,0.38,2500
5487871,2015-09-23,NBEV,0.38,0.38,0.38,0.38,0.38,0
5487872,2015-09-24,NBEV,0.38,0.44,0.38,0.44,0.44,8050
5487873,2015-09-25,NBEV,0.44,0.45,0.41,0.45,0.45,22136
5487874,2015-09-29,NBEV,0.41,0.41,0.41,0.41,0.41,0
5487875,2015-10-01,NBEV,0.4,0.44,0.4,0.44,0.44,8617
5487876,2015-10-05,NBEV,0.44,0.44,0.44,0.44,0.44,419
5487877,2015-10-07,NBEV,0.41,0.44,0.41,0.44,0.44,2665
5487878,2015-10-09,NBEV,0.42,0.44,0.42,0.44,0.44,11000
5487879,2015-10-13,NBEV,0.44,0.44,0.44,0.44,0.44,0
5487880,2015-10-14,NBEV,0.43,0.43,0.38,0.38,0.38,8050
5487881,2015-10-16,NBEV,0.38,0.38,0.38,0.38,0.38,0
5487882,2015-10-21,NBEV,0.39,0.39,0.37,0.37,0.37,39950
5487883,2015-10-26,NBEV,0.38,0.38,0.38,0.38,0.38,0
5487884,2015-10-27,NBEV,0.39,0.39,0.38,0.38,0.38,340
5487885,2015-10-29,NBEV,0.39,0.39,0.39,0.39,0.39,0
5487886,2015-11-09,NBEV,0.41,0.42,0.41,0.41,0.41,10700
5487887,2015-11-18,NBEV,0.37,0.37,0.37,0.37,0.37,0
5487888,2015-11-25,NBEV,0.34,0.34,0.34,0.34,0.34,400
5487889,2015-12-03,NBEV,0.35,0.35,0.35,0.35,0.35,0
5487890,2015-12-14,NBEV,0.31,0.35,0.31,0.35,0.35,20170
5487891,2015-12-21,NBEV,0.36,0.36,0.36,0.36,0.36,0
5487892,2015-12-24,NBEV,0.34,0.4,0.34,0.4,0.4,2750
5487893,2015-12-28,NBEV,0.4,0.4,0.4,0.4,0.4,500
5487894,2015-12-29,NBEV,0.4,0.4,0.4,0.4,0.4,0
5487895,2015-12-30,NBEV,0.33,0.39,0.33,0.39,0.39,3750
5487896,2015-12-31,NBEV,0.39,0.39,0.39,0.39,0.39,1000
5487897,2016-01-04,NBEV,0.32,0.39,0.32,0.39,0.39,2000
5487898,2016-01-05,NBEV,0.39,0.39,0.39,0.39,0.39,0
5487899,2016-01-06,NBEV,0.39,0.39,0.39,0.39,0.39,0
5487900,2016-01-07,NBEV,0.32,0.4,0.32,0.4,0.4,1400
5487901,2016-01-08,NBEV,0.35,0.35,0.35,0.35,0.35,4900
5487902,2016-01-11,NBEV,0.35,0.35,0.34,0.34,0.34,1430
5487903,2016-01-12,NBEV,0.32,0.34,0.31,0.31,0.31,8500
5487904,2016-01-13,NBEV,0.28,0.28,0.28,0.28,0.28,4700
5487905,2016-01-14,NBEV,0.29,0.29,0.29,0.29,0.29,4650
5487906,2016-01-15,NBEV,0.29,0.31,0.24,0.24,0.24,5000
5487907,2016-01-19,NBEV,0.25,0.25,0.25,0.25,0.25,2500
5487908,2016-01-22,NBEV,0.25,0.25,0.25,0.25,0.25,2500
5487909,2016-01-25,NBEV,0.25,0.25,0.25,0.25,0.25,0
5487910,2016-01-26,NBEV,0.25,0.27,0.25,0.26,0.26,4920
5487911,2016-01-27,NBEV,0.25,0.25,0.23,0.25,0.25,8583
5487912,2016-01-28,NBEV,0.26,0.26,0.26,0.26,0.26,10000
5487913,2016-02-01,NBEV,0.25,0.25,0.25,0.25,0.25,0
5487914,2016-02-02,NBEV,0.2,0.2,0.2,0.2,0.2,750
5487915,2016-02-03,NBEV,0.21,0.21,0.21,0.21,0.21,1000
5487916,2016-02-04,NBEV,0.21,0.21,0.21,0.21,0.21,0
5487917,2016-02-05,NBEV,0.21,0.22,0.21,0.22,0.22,10500
5487918,2016-02-09,NBEV,0.26,0.26,0.25,0.26,0.26,7200
5487919,2016-02-10,NBEV,0.25,0.25,0.25,0.25,0.25,150
5487920,2016-02-16,NBEV,0.25,0.26,0.25,0.26,0.26,2800
5487921,2016-02-19,NBEV,0.26,0.26,0.26,0.26,0.26,6000
5487922,2016-02-23,NBEV,0.26,0.26,0.22,0.22,0.22,1300
5487923,2016-02-25,NBEV,0.26,0.29,0.23,0.23,0.23,18950
5487924,2016-02-29,NBEV,0.22,0.22,0.22,0.22,0.22,15000
5487925,2016-03-02,NBEV,0.2,0.24,0.19,0.2,0.2,82200
5487926,2016-03-03,NBEV,0.2,0.21,0.2,0.21,0.21,315662
5487927,2016-03-04,NBEV,0.22,0.24,0.22,0.23,0.23,15726
5487928,2016-03-08,NBEV,0.31,0.34,0.3,0.31,0.31,81225
5487929,2016-03-10,NBEV,0.3,0.3,0.29,0.3,0.3,55000
5487930,2016-03-17,NBEV,0.28,0.29,0.27,0.29,0.29,13000
5487931,2016-03-24,NBEV,0.26,0.28,0.26,0.26,0.26,5225
5487932,2016-03-29,NBEV,0.32,0.35,0.32,0.35,0.35,8240
5487933,2016-04-26,NBEV,0.35,0.35,0.35,0.35,0.35,5711
5487934,2016-04-27,NBEV,0.35,0.41,0.35,0.41,0.41,19866
5487935,2016-04-28,NBEV,0.4,0.44,0.36,0.44,0.44,4350
5487936,2016-04-29,NBEV,0.43,0.45,0.38,0.4,0.4,98353
5487937,2016-05-02,NBEV,0.49,0.49,0.45,0.45,0.45,45250
5487938,2016-05-03,NBEV,0.45,0.47,0.44,0.44,0.44,50627
5487939,2016-05-04,NBEV,0.45,0.45,0.43,0.43,0.43,8640
5487940,2016-05-05,NBEV,0.44,0.44,0.44,0.44,0.44,5000
5487941,2016-05-06,NBEV,0.43,0.47,0.43,0.47,0.47,26850
5487942,2016-05-09,NBEV,0.45,0.45,0.43,0.44,0.44,26783
5487943,2016-05-10,NBEV,0.45,0.45,0.43,0.44,0.44,14400
5487944,2016-05-11,NBEV,0.45,0.47,0.45,0.47,0.47,21000
5487945,2016-05-12,NBEV,0.47,0.47,0.41,0.42,0.42,24100
5487946,2016-05-13,NBEV,0.45,0.46,0.45,0.46,0.46,49500
5487947,2016-05-16,NBEV,0.46,0.46,0.41,0.45,0.45,31211
5487948,2016-05-17,NBEV,0.45,0.45,0.43,0.45,0.45,10000
5487949,2016-05-18,NBEV,0.45,0.45,0.45,0.45,0.45,20650
5487950,2016-05-19,NBEV,0.44,0.45,0.44,0.45,0.45,21000
5487951,2016-05-20,NBEV,0.45,0.7,0.45,0.65,0.65,188972
5487952,2016-05-24,NBEV,0.99,1.51,0.98,1.35,1.35,517238
5487953,2016-05-25,NBEV,1.2,1.42,1.15,1.39,1.39,78865
5487954,2016-05-27,NBEV,1.38,1.42,1.27,1.38,1.38,103587
5487955,2016-05-31,NBEV,1.39,1.75,1.35,1.7,1.7,237494
5487956,2016-06-02,NBEV,1.78,1.78,1.52,1.66,1.66,88299
5487957,2016-06-03,NBEV,1.66,1.75,1.6,1.7,1.7,77342
5487958,2016-06-07,NBEV,1.73,1.9,1.72,1.88,1.88,115532
5487959,2016-06-09,NBEV,1.94,1.94,1.63,1.75,1.75,137802
5487960,2016-07-01,NBEV,1.65,1.65,1.51,1.55,1.55,62785
5487961,2016-07-05,NBEV,1.56,1.64,1.47,1.56,1.56,44934
