,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5548671,2015-09-28,NEWTZ,24.9,26.0,24.0,25.5,22.09,22100
5548672,2015-09-29,NEWTZ,25.65,25.65,25.4,25.45,22.05,1800
5548673,2015-09-30,NEWTZ,25.3,25.48,25.18,25.45,22.05,7500
5548674,2015-10-01,NEWTZ,25.49,25.7,25.35,25.5,22.09,5700
5548675,2015-10-02,NEWTZ,25.35,25.6,25.0,25.35,21.96,17700
5548676,2015-10-05,NEWTZ,25.4,25.55,25.4,25.45,22.05,4400
5548677,2015-10-06,NEWTZ,25.98,27.47,25.45,25.5,22.09,15700
5548678,2015-10-07,NEWTZ,25.5,27.45,25.45,25.55,22.13,6100
5548679,2015-10-08,NEWTZ,25.57,26.8,25.57,26.8,23.22,2100
5548680,2015-10-09,NEWTZ,26.8,26.8,26.8,26.8,23.22,0
5548681,2015-10-12,NEWTZ,26.8,26.8,26.8,26.8,23.22,0
5548682,2015-10-13,NEWTZ,26.8,26.8,26.8,26.8,23.22,0
5548683,2015-10-14,NEWTZ,25.6,25.68,25.53,25.65,22.22,9200
5548684,2015-10-15,NEWTZ,25.65,25.75,25.65,25.7,22.26,3100
5548685,2015-10-16,NEWTZ,25.8,26.12,25.76,26.0,22.52,2900
5548686,2015-10-19,NEWTZ,26.85,26.85,25.8,25.99,22.52,2700
5548687,2015-10-20,NEWTZ,25.82,26.12,25.53,26.12,22.63,5400
5548688,2015-10-21,NEWTZ,26.12,26.12,26.12,26.12,22.63,0
5548689,2015-10-22,NEWTZ,26.25,26.25,25.9,25.9,22.44,900
5548690,2015-10-23,NEWTZ,25.9,25.9,25.9,25.9,22.44,0
5548691,2015-10-26,NEWTZ,25.9,25.9,25.9,25.9,22.44,0
5548692,2015-10-27,NEWTZ,25.9,25.9,25.9,25.9,22.44,400
5548693,2015-10-28,NEWTZ,25.9,25.9,25.9,25.9,22.44,0
5548694,2015-10-29,NEWTZ,26.0,26.0,25.65,25.66,22.23,2200
5548695,2015-10-30,NEWTZ,25.65,25.65,25.65,25.65,22.22,100
5548696,2015-11-02,NEWTZ,25.68,25.68,25.67,25.67,22.24,400
5548697,2015-11-03,NEWTZ,25.67,25.67,25.67,25.67,22.24,0
5548698,2015-11-04,NEWTZ,25.7,25.7,25.69,25.69,22.26,200
5548699,2015-11-05,NEWTZ,25.69,25.69,25.69,25.69,22.26,0
5548700,2015-11-06,NEWTZ,25.74,25.75,25.74,25.75,22.31,700
5548701,2015-11-09,NEWTZ,25.75,25.75,25.75,25.75,22.31,0
5548702,2015-11-10,NEWTZ,26.15,26.15,26.15,26.15,22.65,100
5548703,2015-11-11,NEWTZ,26.15,26.15,26.15,26.15,22.65,0
5548704,2015-11-12,NEWTZ,26.15,26.15,26.15,26.15,22.65,0
5548705,2015-11-13,NEWTZ,26.15,26.15,26.15,26.15,22.65,0
5548706,2015-11-16,NEWTZ,25.89,25.89,25.65,25.65,22.22,1100
5548707,2015-11-17,NEWTZ,25.99,25.99,25.5,25.5,22.09,3800
5548708,2015-11-18,NEWTZ,25.5,25.5,25.45,25.5,22.09,1300
5548709,2015-11-19,NEWTZ,25.6,25.6,25.6,25.6,22.18,400
5548710,2015-11-20,NEWTZ,25.5,25.5,25.4,25.46,22.06,10800
5548711,2015-11-23,NEWTZ,25.51,25.65,25.41,25.41,22.01,2600
5548712,2015-11-24,NEWTZ,25.41,25.41,25.41,25.41,22.01,0
5548713,2015-11-25,NEWTZ,25.49,25.5,25.41,25.5,22.09,3400
5548714,2015-11-27,NEWTZ,25.42,25.47,25.42,25.43,22.03,300
5548715,2015-11-30,NEWTZ,25.43,25.43,25.43,25.43,22.03,0
5548716,2015-12-01,NEWTZ,25.52,25.55,25.45,25.5,22.09,1300
5548717,2015-12-02,NEWTZ,25.45,25.45,25.25,25.44,22.04,2500
