,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5561382,2014-02-20,NGHC,30.0,30.0,13.99,14.25,13.88,226800
5561383,2014-02-21,NGHC,14.25,14.45,14.06,14.22,13.85,230000
5561384,2014-02-24,NGHC,14.22,14.5,14.2,14.25,13.88,23700
5561385,2014-02-25,NGHC,14.1,14.45,14.05,14.05,13.69,6100
5561386,2014-02-26,NGHC,14.05,14.16,14.05,14.16,13.8,2900
5561387,2014-02-27,NGHC,14.1,14.1,14.05,14.08,13.72,20100
5561388,2014-02-28,NGHC,14.24,14.36,14.2,14.2,13.84,61300
5561389,2014-03-03,NGHC,14.15,14.3,14.15,14.2,13.84,36500
5561390,2014-03-04,NGHC,14.2,14.2,14.03,14.2,13.84,25800
5561391,2014-03-05,NGHC,14.09,14.12,14.05,14.12,13.76,1300
5561392,2014-03-06,NGHC,14.12,14.12,14.1,14.11,13.75,11100
5561393,2014-03-07,NGHC,14.12,14.2,14.12,14.2,13.84,1700
5561394,2014-03-10,NGHC,14.19,14.2,14.0,14.2,13.84,13700
5561395,2014-03-11,NGHC,14.2,14.25,14.11,14.2,13.84,7200
5561396,2014-03-12,NGHC,14.5,14.5,14.1,14.2,13.84,13400
5561397,2014-03-13,NGHC,14.2,14.2,14.0,14.2,13.84,21600
5561398,2014-03-14,NGHC,14.01,14.2,14.01,14.05,13.69,28800
5561399,2014-03-17,NGHC,14.0,14.0,13.8,14.0,13.64,5800
5561400,2014-03-18,NGHC,14.0,14.0,13.99,13.99,13.63,5500
5561401,2014-03-19,NGHC,14.15,14.15,13.96,13.97,13.61,5900
5561402,2014-03-20,NGHC,14.0,14.0,13.96,14.0,13.64,16700
5561403,2014-03-21,NGHC,14.0,14.0,13.58,13.58,13.23,31600
5561404,2014-03-24,NGHC,14.0,14.0,13.82,13.96,13.6,86200
5561405,2014-03-25,NGHC,14.0,14.25,13.86,14.0,13.64,24400
5561406,2014-03-26,NGHC,14.0,14.0,13.9,14.0,13.64,29600
5561407,2014-03-27,NGHC,13.92,13.99,13.92,13.96,13.6,2300
5561408,2014-03-28,NGHC,13.9,14.0,13.9,13.99,13.64,13500
5561409,2014-03-31,NGHC,14.0,14.0,13.92,14.0,13.65,15900
5561410,2014-04-01,NGHC,13.95,14.0,13.92,14.0,13.65,28800
5561411,2014-04-02,NGHC,13.93,14.0,13.93,14.0,13.65,54900
5561412,2014-04-03,NGHC,14.0,14.0,13.96,14.0,13.65,19100
5561413,2014-04-04,NGHC,14.0,14.0,13.8,13.99,13.64,7800
5561414,2014-04-07,NGHC,13.9,14.0,13.63,13.99,13.64,57500
5561415,2014-04-08,NGHC,13.97,14.0,13.79,14.0,13.65,22900
5561416,2014-04-09,NGHC,13.98,14.5,13.87,14.0,13.65,35400
5561417,2014-04-10,NGHC,14.0,14.0,13.76,13.95,13.6,56400
5561418,2014-04-11,NGHC,13.85,14.0,13.8,13.95,13.6,19900
5561419,2014-04-14,NGHC,14.0,14.0,13.91,13.98,13.63,40500
5561420,2014-04-15,NGHC,13.95,13.95,13.84,13.95,13.6,19700
5561421,2014-04-16,NGHC,13.76,14.0,13.76,13.99,13.64,25000
5561422,2014-04-17,NGHC,13.9,14.01,13.9,14.01,13.66,67700
5561423,2014-04-21,NGHC,14.0,14.0,13.8,13.97,13.62,20100
5561424,2014-04-22,NGHC,14.0,14.0,13.91,13.99,13.64,38200
5561425,2014-04-23,NGHC,13.95,14.0,13.95,14.0,13.65,13900
5561426,2014-04-24,NGHC,13.96,14.0,13.96,14.0,13.65,22400
5561427,2014-04-25,NGHC,14.0,14.0,13.8,14.0,13.65,10600
5561428,2014-04-28,NGHC,14.0,14.0,13.8,14.0,13.65,14900
5561429,2014-04-29,NGHC,14.0,14.0,13.88,14.0,13.65,19700
5561430,2014-04-30,NGHC,14.0,14.29,13.87,13.87,13.52,13700
5561431,2014-05-01,NGHC,14.0,14.4,13.95,14.0,13.65,556600
5561432,2014-05-02,NGHC,13.95,14.1,13.93,13.98,13.63,30700
5561433,2014-05-05,NGHC,13.99,14.0,13.95,13.99,13.64,93200
5561434,2014-05-06,NGHC,14.0,14.0,13.8,14.0,13.65,129800
5561435,2014-05-07,NGHC,14.0,14.0,13.83,13.99,13.64,1128300
5561436,2014-05-08,NGHC,14.0,14.0,13.96,13.99,13.64,142600
5561437,2014-05-09,NGHC,14.0,14.0,13.87,13.97,13.62,70500
5561438,2014-05-12,NGHC,14.0,14.25,13.86,14.0,13.65,60700
5561439,2014-05-13,NGHC,13.99,14.0,13.91,13.99,13.64,35700
