,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5878729,1996-04-11,OLED,5.0,5.13,4.5,5.13,5.12,325300
5878730,1996-04-12,OLED,4.88,5.13,4.5,4.5,4.49,186200
5878731,1996-04-15,OLED,4.5,5.0,4.5,4.5,4.49,38100
5878732,1996-04-16,OLED,4.38,4.88,4.13,4.38,4.37,70600
5878733,1996-04-17,OLED,4.13,4.63,4.13,4.63,4.62,70300
5878734,1996-04-18,OLED,4.38,4.38,4.38,4.38,4.37,5200
5878735,1996-04-19,OLED,4.5,4.5,4.38,4.38,4.37,2500
5878736,1996-04-22,OLED,4.38,4.75,4.25,4.5,4.49,32200
5878737,1996-04-23,OLED,4.5,4.75,4.0,4.38,4.37,49500
5878738,1996-04-24,OLED,4.13,4.31,4.13,4.13,4.12,44100
5878739,1996-04-25,OLED,4.25,4.25,4.13,4.13,4.12,7900
5878740,1996-04-26,OLED,4.13,4.5,4.13,4.5,4.49,13400
5878741,1996-04-29,OLED,4.5,4.5,4.13,4.25,4.24,14800
5878742,1996-04-30,OLED,4.5,4.75,4.25,4.75,4.74,75800
5878743,1996-05-01,OLED,4.75,5.0,4.5,4.75,4.74,50900
5878744,1996-05-02,OLED,4.88,5.0,4.69,4.88,4.87,115700
5878745,1996-05-03,OLED,4.94,5.75,4.69,5.5,5.49,108300
5878746,1996-05-06,OLED,5.38,5.75,5.25,5.25,5.24,21200
5878747,1996-05-07,OLED,5.25,5.75,5.25,5.75,5.74,53600
5878748,1996-05-08,OLED,5.25,5.5,5.13,5.38,5.37,49000
5878749,1996-05-09,OLED,5.5,5.63,5.25,5.63,5.62,44800
5878750,1996-05-10,OLED,5.25,5.63,5.25,5.63,5.62,35400
5878751,1996-05-13,OLED,5.63,5.63,5.38,5.38,5.37,86200
5878752,1996-05-14,OLED,5.5,5.63,5.25,5.5,5.49,111600
5878753,1996-05-15,OLED,5.5,7.0,5.5,7.0,6.99,83600
5878754,1996-05-16,OLED,7.0,8.38,6.75,8.25,8.24,248100
5878755,1996-05-17,OLED,8.25,8.25,6.44,7.25,7.24,154400
5878756,1996-05-20,OLED,7.25,7.25,6.63,7.0,6.99,62900
5878757,1996-05-21,OLED,7.0,7.38,6.63,6.75,6.74,103600
5878758,1996-05-22,OLED,6.75,7.25,6.63,6.81,6.8,63700
5878759,1996-05-23,OLED,7.13,7.94,6.94,7.13,7.11,116500
5878760,1996-05-24,OLED,7.38,9.13,7.13,8.5,8.49,199100
5878761,1996-05-28,OLED,8.5,8.88,7.5,7.63,7.61,98000
5878762,1996-05-29,OLED,7.63,8.0,7.38,7.5,7.49,52800
5878763,1996-05-30,OLED,8.0,8.38,7.5,8.38,8.36,36000
5878764,1996-05-31,OLED,8.38,8.5,7.75,7.75,7.74,64100
5878765,1996-06-03,OLED,7.75,7.88,7.25,7.5,7.49,51400
5878766,1996-06-04,OLED,7.88,8.13,7.5,8.13,8.11,34900
5878767,1996-06-05,OLED,8.06,10.25,7.88,9.5,9.49,257800
5878768,1996-06-06,OLED,9.38,9.75,9.0,9.75,9.74,107600
5878769,1996-06-07,OLED,8.88,9.5,8.5,8.88,8.86,34300
