,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7683411,2018-06-01,SWKS,99.28,101.0,98.6,100.97,100.97,1337900
7683412,2018-06-04,SWKS,100.72,100.96,99.5,100.35,100.35,1778500
7683413,2018-06-05,SWKS,100.73,101.26,99.07,99.51,99.51,2105600
7683414,2018-06-06,SWKS,99.79,100.38,98.82,100.31,100.31,1797200
7683415,2018-06-07,SWKS,100.47,104.2,100.21,102.49,102.49,2594700
7683416,2018-06-08,SWKS,99.07,100.35,98.18,99.81,99.81,3094200
7683417,2018-06-11,SWKS,99.81,100.26,99.11,99.66,99.66,1239100
7683418,2018-06-12,SWKS,99.99,101.13,99.3,100.88,100.88,1560400
7683419,2018-06-13,SWKS,101.1,101.63,100.31,100.44,100.44,1731100
7683420,2018-06-14,SWKS,100.82,102.28,100.54,101.97,101.97,1322200
7683421,2018-06-15,SWKS,101.86,102.78,100.39,102.7,102.7,2071000
7683422,2018-06-25,SWKS,97.96,98.15,95.81,97.38,97.38,1965600
7683423,2018-06-26,SWKS,97.49,98.86,96.87,97.8,97.8,1732100
7683424,2018-06-27,SWKS,98.29,98.92,95.94,96.01,96.01,1462300
7683425,2018-06-28,SWKS,95.99,97.04,95.33,96.56,96.56,1283400
7683426,2018-06-29,SWKS,96.84,97.81,96.59,96.65,96.65,1574300
7683427,2018-07-02,SWKS,95.46,97.2,95.05,97.06,97.06,2029100
7683428,2018-07-03,SWKS,97.2,97.86,95.3,95.46,95.46,1060600
7683429,2018-07-05,SWKS,96.5,99.75,96.5,99.66,99.66,2248500
7683430,2018-07-06,SWKS,99.42,100.45,98.59,100.13,100.13,1289500
7683431,2018-07-09,SWKS,100.51,100.64,99.27,100.43,100.43,994200
7683432,2018-07-10,SWKS,100.46,102.1,100.14,101.64,101.64,1217500
7683433,2018-07-11,SWKS,100.38,101.02,98.39,98.55,98.55,1252400
7683434,2018-07-12,SWKS,99.65,100.26,97.89,99.82,99.82,1762300
7683435,2018-07-13,SWKS,99.65,100.23,99.02,99.6,99.6,1118400
7683436,2018-07-16,SWKS,99.9,100.62,99.11,99.76,99.76,1476300
7683437,2018-07-17,SWKS,98.94,101.73,98.93,101.69,101.69,1942000
7683438,2018-07-18,SWKS,101.97,102.9,101.35,102.03,102.03,2163100
7683439,2018-07-19,SWKS,101.97,102.89,100.72,102.48,102.48,2113800
7683440,2018-07-20,SWKS,103.25,103.95,96.5,96.99,96.99,7018900
7683441,2018-07-23,SWKS,96.66,96.93,93.81,96.44,96.44,3257600
7683442,2018-07-24,SWKS,97.32,97.4,94.3,94.47,94.47,2330400
7683443,2018-07-25,SWKS,94.24,95.21,92.72,94.82,94.82,2559300
7683444,2018-07-26,SWKS,94.78,95.57,94.0,95.47,95.47,1829800
7683445,2018-07-27,SWKS,96.0,96.6,94.69,95.2,95.2,1126000
7683446,2018-07-30,SWKS,95.16,95.41,93.92,94.43,94.43,1199500
7683447,2018-07-31,SWKS,95.09,95.71,94.04,94.58,94.58,1176400
7683448,2018-08-01,SWKS,95.36,95.9,94.32,94.64,94.64,1459000
7683449,2018-08-02,SWKS,93.65,95.81,92.9,95.62,95.62,1219800
7683450,2018-08-03,SWKS,95.66,95.92,94.96,95.61,95.61,1278700
7683451,2018-08-06,SWKS,94.05,95.14,93.0,95.09,95.09,1742200
7683452,2018-08-07,SWKS,95.42,96.11,95.04,96.07,96.07,1345900
7683453,2018-08-08,SWKS,96.06,96.25,95.39,95.42,95.42,1062000
7683454,2018-08-09,SWKS,95.19,95.22,94.16,94.33,94.33,1731100
7683455,2018-08-10,SWKS,93.47,93.74,92.24,93.09,93.09,2565600
7683456,2018-08-13,SWKS,93.58,94.3,93.07,93.81,93.81,1563000
7683457,2018-08-14,SWKS,94.03,94.25,92.62,92.72,92.72,1437300
7683458,2018-08-15,SWKS,91.93,92.12,90.58,91.61,91.61,1698800
7683459,2018-08-16,SWKS,92.3,92.49,91.06,91.41,91.41,1400600
7683460,2018-08-17,SWKS,90.66,92.03,89.1,91.85,91.85,1708000
7683461,2018-08-20,SWKS,91.91,91.97,90.58,90.98,90.98,1102800
7683462,2018-08-21,SWKS,91.16,92.91,91.14,92.69,92.69,1358100
7683463,2018-08-22,SWKS,92.28,92.89,91.51,92.73,92.73,914000
7683464,2018-08-23,SWKS,92.52,93.47,92.16,92.31,92.31,904400
7683465,2018-08-24,SWKS,93.01,93.29,92.34,92.99,92.99,1416500
7683466,2018-08-27,SWKS,93.21,94.38,92.82,93.62,93.62,1381100
7683467,2018-08-28,SWKS,93.94,94.32,92.84,93.58,93.58,1156900
7683468,2018-08-29,SWKS,93.77,93.77,92.8,93.02,93.02,1399400
7683469,2018-08-30,SWKS,92.88,93.1,91.49,91.49,91.49,1694200
7683470,2018-08-31,SWKS,91.35,91.93,90.98,91.3,91.3,1597800
7683471,2018-09-04,SWKS,91.12,91.61,89.69,90.0,90.0,2133000
7683472,2018-09-05,SWKS,89.8,89.96,88.9,89.75,89.75,2438200
7683473,2018-09-06,SWKS,89.79,90.93,88.45,88.66,88.66,2226100
7683474,2018-09-07,SWKS,88.51,89.27,87.33,87.48,87.48,2529300
7683475,2018-09-10,SWKS,87.55,88.0,86.66,87.16,87.16,2382700
7683476,2018-09-11,SWKS,86.65,86.96,84.7,85.83,85.83,2892700
7683477,2018-09-12,SWKS,85.09,85.31,83.05,84.37,84.37,2418700
7683478,2018-09-13,SWKS,85.0,87.6,84.87,87.21,87.21,2907100
7683479,2018-09-14,SWKS,87.54,89.23,87.13,87.73,87.73,2127600
7683480,2018-09-17,SWKS,87.09,88.06,86.08,86.22,86.22,1913800
7683481,2018-09-18,SWKS,86.26,87.19,86.26,86.81,86.81,1547800
7683482,2018-09-19,SWKS,87.79,89.21,86.9,88.86,88.86,2304200
7683483,2018-09-20,SWKS,89.6,92.11,89.45,91.61,91.61,3297800
7683484,2018-09-21,SWKS,91.36,92.54,90.8,92.17,92.17,2116485
7683485,2018-09-24,SWKS,91.74,93.62,90.7,93.18,93.18,1780200
7683486,2018-09-25,SWKS,93.04,93.3,91.25,91.73,91.73,2022900
7683487,2018-09-26,SWKS,90.75,91.41,89.8,90.04,90.04,1779000
7683488,2018-09-27,SWKS,90.28,90.73,89.62,89.94,89.94,1051600
7683489,2018-09-28,SWKS,89.7,90.82,88.91,90.71,90.71,1108400
7683490,2018-10-01,SWKS,91.28,92.16,90.8,91.45,91.45,1182600
7683491,2018-10-02,SWKS,91.26,93.02,91.26,91.88,91.88,1076500
7683492,2018-10-03,SWKS,92.32,93.07,91.03,92.45,92.45,1611000
7683493,2018-10-04,SWKS,92.0,92.01,90.09,91.05,91.05,1296600
7683494,2018-10-05,SWKS,90.65,90.87,86.61,87.55,87.55,2129300
