,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7749291,2018-06-01,TAOP,1.76,1.84,1.72,1.76,1.76,144400
7749292,2018-06-04,TAOP,1.76,1.76,1.76,1.76,1.76,0
7749293,2018-06-05,TAOP,1.89,1.89,1.46,1.84,1.84,85500
7749294,2018-06-06,TAOP,1.76,1.84,1.76,1.77,1.77,48100
7749295,2018-06-07,TAOP,1.76,1.76,1.67,1.73,1.73,116900
7749296,2018-06-08,TAOP,1.71,1.74,1.69,1.71,1.71,94400
7749297,2018-06-11,TAOP,1.71,1.71,1.65,1.68,1.68,86900
7749298,2018-06-12,TAOP,1.66,1.68,1.65,1.67,1.67,70600
7749299,2018-06-13,TAOP,1.67,1.68,1.63,1.67,1.67,90600
7749300,2018-06-14,TAOP,1.67,1.69,1.6,1.65,1.65,86300
7749301,2018-06-15,TAOP,1.63,1.63,1.55,1.6,1.6,95500
7749302,2018-06-25,TAOP,1.45,1.48,1.36,1.41,1.41,105600
7749303,2018-06-26,TAOP,1.36,1.44,1.3,1.37,1.37,142900
7749304,2018-06-27,TAOP,1.4,1.42,1.26,1.28,1.28,113500
7749305,2018-06-28,TAOP,1.29,1.34,1.27,1.3,1.3,56700
7749306,2018-06-29,TAOP,1.3,1.33,1.27,1.3,1.3,26000
7749307,2018-07-02,TAOP,1.3,1.33,1.29,1.33,1.33,39000
7749308,2018-07-03,TAOP,1.33,1.36,1.3,1.33,1.33,15100
7749309,2018-07-05,TAOP,1.29,1.33,1.27,1.27,1.27,19600
7749310,2018-07-06,TAOP,1.27,1.33,1.27,1.29,1.29,49900
7749311,2018-07-09,TAOP,1.29,1.3,1.22,1.24,1.24,111600
7749312,2018-07-10,TAOP,1.24,1.28,1.2,1.24,1.24,91700
7749313,2018-07-11,TAOP,1.23,1.3,1.23,1.26,1.26,100700
7749314,2018-07-12,TAOP,1.27,1.33,1.25,1.26,1.26,91500
7749315,2018-07-13,TAOP,1.25,1.31,1.25,1.29,1.29,27800
7749316,2018-07-16,TAOP,1.29,1.3,1.26,1.29,1.29,34000
7749317,2018-07-17,TAOP,1.27,1.28,1.25,1.28,1.28,39300
7749318,2018-07-18,TAOP,1.26,1.29,1.25,1.28,1.28,30100
7749319,2018-07-19,TAOP,1.28,1.3,1.25,1.3,1.3,13300
7749320,2018-07-20,TAOP,1.3,1.3,1.27,1.27,1.27,28400
7749321,2018-07-23,TAOP,1.28,1.29,1.25,1.29,1.29,7300
7749322,2018-07-24,TAOP,1.31,1.31,1.26,1.28,1.28,88500
7749323,2018-07-25,TAOP,1.29,1.3,1.25,1.3,1.3,21700
7749324,2018-07-26,TAOP,1.54,1.7,1.31,1.37,1.37,3441700
7749325,2018-07-27,TAOP,1.33,1.39,1.26,1.29,1.29,272900
7749326,2018-07-30,TAOP,1.28,1.28,1.18,1.21,1.21,179100
7749327,2018-07-31,TAOP,1.22,1.24,1.14,1.23,1.23,140200
7749328,2018-08-01,TAOP,1.24,1.24,1.15,1.2,1.2,37000
7749329,2018-08-02,TAOP,1.19,1.19,1.1,1.16,1.16,110200
7749330,2018-08-03,TAOP,1.17,1.19,1.12,1.15,1.15,31700
7749331,2018-08-06,TAOP,1.1,1.19,1.1,1.16,1.16,69500
7749332,2018-08-07,TAOP,1.16,1.21,1.14,1.18,1.18,28000
7749333,2018-08-08,TAOP,1.17,1.18,1.14,1.14,1.14,42400
7749334,2018-08-09,TAOP,1.17,1.22,1.14,1.2,1.2,19300
7749335,2018-08-10,TAOP,1.2,1.22,1.18,1.22,1.22,37700
7749336,2018-08-13,TAOP,1.19,1.19,1.16,1.16,1.16,16700
7749337,2018-08-14,TAOP,1.16,1.33,1.16,1.26,1.26,287700
7749338,2018-08-15,TAOP,1.35,1.39,1.19,1.21,1.21,145300
7749339,2018-08-16,TAOP,1.28,1.28,1.22,1.22,1.22,12500
7749340,2018-08-17,TAOP,1.22,1.26,1.2,1.25,1.25,64900
7749341,2018-08-20,TAOP,1.23,1.29,1.23,1.28,1.28,29100
7749342,2018-08-21,TAOP,1.3,1.35,1.3,1.35,1.35,35500
7749343,2018-08-22,TAOP,1.35,1.39,1.33,1.35,1.35,32600
7749344,2018-08-23,TAOP,1.33,1.36,1.33,1.36,1.36,29000
7749345,2018-08-24,TAOP,1.33,1.4,1.33,1.35,1.35,48500
7749346,2018-08-27,TAOP,1.37,1.37,1.31,1.33,1.33,34800
7749347,2018-08-28,TAOP,1.33,1.37,1.31,1.36,1.36,26200
7749348,2018-08-29,TAOP,1.37,1.4,1.33,1.39,1.39,32700
7749349,2018-08-30,TAOP,1.38,1.38,1.32,1.33,1.33,36400
7749350,2018-08-31,TAOP,1.32,1.37,1.32,1.34,1.34,10800
7749351,2018-09-04,TAOP,1.33,1.34,1.32,1.32,1.32,34000
7749352,2018-09-05,TAOP,1.32,1.32,1.3,1.32,1.32,14200
7749353,2018-09-06,TAOP,1.29,1.32,1.29,1.32,1.32,94500
7749354,2018-09-07,TAOP,1.29,1.35,1.29,1.34,1.34,64300
7749355,2018-09-10,TAOP,1.34,1.37,1.29,1.3,1.3,123600
7749356,2018-09-11,TAOP,1.36,1.4,1.3,1.39,1.39,193000
7749357,2018-09-12,TAOP,1.35,1.4,1.33,1.37,1.37,153100
