,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8470473,1998-01-30,VRSN,5.19,6.56,5.13,6.38,5.41,18256800
8470474,1998-02-02,VRSN,6.84,9.31,6.63,7.75,6.58,10127200
8470475,1998-02-03,VRSN,8.25,8.78,8.0,8.25,7.01,6244800
8470476,1998-02-04,VRSN,8.22,8.28,7.63,7.91,6.71,2106800
8470477,1998-02-05,VRSN,8.06,8.25,7.63,7.64,6.49,890800
8470478,1998-02-06,VRSN,7.67,7.72,6.88,6.97,5.92,2846800
8470479,1998-02-09,VRSN,6.88,7.0,6.41,6.75,5.73,1944800
8470480,1998-02-10,VRSN,6.69,7.38,6.53,7.0,5.94,1001200
8470481,1998-02-11,VRSN,7.03,7.44,6.91,7.44,6.32,842400
8470482,1998-02-12,VRSN,7.41,7.91,7.28,7.78,6.61,1111600
8470483,1998-02-13,VRSN,7.84,8.0,7.69,7.75,6.58,544800
8470484,1998-02-17,VRSN,7.84,8.0,7.69,7.81,6.63,441600
8470485,1998-02-18,VRSN,7.84,7.88,7.72,7.81,6.63,246000
8470486,1998-02-19,VRSN,7.88,7.97,7.69,7.69,6.53,318400
8470487,1998-02-20,VRSN,7.69,8.0,7.69,7.97,6.77,349200
8470488,1998-02-23,VRSN,7.69,7.72,7.22,7.25,6.16,1409600
8470489,1998-02-24,VRSN,7.41,7.42,6.69,6.84,5.81,2599200
8470490,1998-02-25,VRSN,7.0,7.25,6.81,7.25,6.16,1143200
8470491,1998-02-26,VRSN,7.28,7.28,7.06,7.22,6.13,491200
8470492,1998-02-27,VRSN,7.13,7.22,7.13,7.16,6.08,573600
8470493,1998-03-02,VRSN,7.16,7.2,7.09,7.11,6.04,466400
8470494,1998-03-03,VRSN,7.13,7.13,7.0,7.13,6.05,642400
8470495,1998-03-04,VRSN,7.19,7.19,6.81,6.9,5.86,377600
8470496,1998-03-05,VRSN,6.72,6.88,6.63,6.67,5.67,836800
8470497,1998-03-06,VRSN,6.78,7.13,6.69,7.08,6.01,454000
8470498,1998-03-09,VRSN,6.97,7.94,6.97,7.56,6.42,1732400
8470499,1998-03-10,VRSN,7.69,8.28,7.56,8.27,7.02,1844000
8470500,1998-03-11,VRSN,8.41,9.19,8.34,8.97,7.62,2708000
8470501,1998-03-12,VRSN,9.09,9.66,9.0,9.63,8.17,1700000
8470502,1998-03-13,VRSN,9.69,9.94,9.03,9.47,8.04,1345600
8470503,1998-03-16,VRSN,9.56,11.44,9.47,11.19,9.5,3122800
8470504,1998-03-17,VRSN,11.13,11.72,10.61,11.09,9.41,1907200
8470505,1998-03-18,VRSN,10.88,11.13,10.66,10.77,9.14,800000
8470506,1998-03-19,VRSN,10.81,10.98,10.53,10.78,9.15,312400
8470507,1998-03-20,VRSN,10.66,10.88,10.14,10.3,8.74,405200
8470508,1998-03-23,VRSN,10.19,11.22,10.19,10.78,9.15,1090800
8470509,1998-03-24,VRSN,11.13,11.53,10.72,11.13,9.45,1063600
8470510,1998-03-25,VRSN,11.22,11.25,10.61,10.75,9.13,441600
8470511,1998-03-26,VRSN,10.75,10.88,10.38,10.5,8.92,473600
8470512,1998-03-27,VRSN,10.56,10.88,10.41,10.63,9.02,884400
8470513,1998-03-30,VRSN,10.63,11.19,10.5,10.88,9.23,868400
8470514,1998-03-31,VRSN,11.06,11.13,10.81,11.0,9.34,714400
8470515,1998-04-01,VRSN,11.09,12.13,11.0,12.0,10.19,1110000
8470516,1998-04-02,VRSN,11.81,12.25,11.03,11.06,9.39,1066400
8470517,1998-04-03,VRSN,11.44,11.59,10.59,10.63,9.02,1367200
8470518,1998-04-06,VRSN,10.78,10.78,10.22,10.22,8.68,656000
8470519,1998-04-07,VRSN,10.16,10.19,9.25,9.73,8.27,1047200
8470520,1998-04-08,VRSN,9.72,10.81,9.72,10.19,8.65,977200
