,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8607395,2014-05-01,WHLRP,24.53,25.25,24.53,24.56,16.54,22600
8607396,2014-05-02,WHLRP,24.5,25.06,24.25,24.4,16.44,14950
8607397,2014-05-05,WHLRP,24.95,25.1,24.2,24.65,16.6,15950
8607398,2014-05-06,WHLRP,24.94,24.95,24.8,24.8,16.71,2914
8607399,2014-05-07,WHLRP,24.7,24.85,24.61,24.74,16.67,3000
8607400,2014-05-08,WHLRP,24.8,25.0,24.7,24.7,16.64,2900
8607401,2014-05-09,WHLRP,24.75,24.97,24.7,24.82,16.72,22195
8607402,2014-05-12,WHLRP,24.95,24.97,24.9,24.95,16.81,5750
8607403,2014-05-13,WHLRP,24.75,24.95,24.74,24.95,16.81,2150
8607404,2014-05-14,WHLRP,24.9,25.05,24.9,24.99,16.83,1874
8607405,2014-05-15,WHLRP,25.25,25.25,25.2,25.25,17.01,4200
8607406,2014-05-16,WHLRP,24.91,25.25,24.91,25.22,16.99,2215
8607407,2014-05-19,WHLRP,25.5,25.5,25.0,25.3,17.04,6580
8607408,2014-05-20,WHLRP,25.38,25.38,24.7,25.09,16.9,28670
8607409,2014-05-21,WHLRP,25.06,25.06,24.5,24.97,16.82,18520
8607410,2014-05-22,WHLRP,25.0,25.25,25.0,25.1,16.91,4800
8607411,2014-05-23,WHLRP,25.25,25.25,24.9,24.9,16.77,3975
8607412,2014-05-28,WHLRP,24.9,25.24,24.75,25.24,17.0,2920
8607413,2014-05-29,WHLRP,24.97,25.2,24.8,25.2,16.98,3100
8607414,2014-05-30,WHLRP,25.15,27.43,25.13,26.83,18.07,13177
8607415,2014-06-02,WHLRP,25.75,25.75,25.01,25.75,17.35,1550
8607416,2014-06-03,WHLRP,25.25,25.25,25.25,25.25,17.01,245
8607417,2014-06-04,WHLRP,25.1,25.1,25.0,25.0,16.84,5628
8607418,2014-06-05,WHLRP,25.12,25.5,25.12,25.5,17.18,600
8607419,2014-06-06,WHLRP,25.55,25.55,25.2,25.25,17.01,1900
8607420,2014-06-09,WHLRP,25.22,25.45,25.1,25.41,17.12,1550
8607421,2014-06-10,WHLRP,25.07,25.52,25.07,25.5,17.18,9090
8607422,2014-06-11,WHLRP,25.36,25.41,25.15,25.38,17.1,1540
8607423,2014-06-12,WHLRP,25.22,25.35,25.22,25.35,17.08,700
8607424,2014-06-13,WHLRP,25.25,25.25,25.18,25.25,17.01,1300
8607425,2014-06-16,WHLRP,25.24,25.25,25.23,25.24,17.0,3236
8607426,2014-06-17,WHLRP,25.3,25.44,25.19,25.2,16.98,897
8607427,2014-06-18,WHLRP,25.34,25.35,25.1,25.15,16.94,9501
8607428,2014-06-19,WHLRP,25.25,25.35,25.1,25.1,16.91,713
8607429,2014-06-20,WHLRP,25.29,25.35,25.01,25.25,17.01,24086
8607430,2014-06-23,WHLRP,25.15,25.3,25.01,25.3,17.04,10586
8607431,2014-06-24,WHLRP,25.06,25.15,25.0,25.15,16.94,1100
8607432,2014-06-25,WHLRP,25.18,25.25,25.0,25.1,16.91,6080
8607433,2014-06-26,WHLRP,24.86,25.68,24.77,25.0,17.1,7000
8607434,2014-06-27,WHLRP,25.53,25.55,25.53,25.54,17.47,2000
8607435,2014-07-01,WHLRP,25.15,25.55,25.05,25.1,17.17,7315
8607436,2014-07-02,WHLRP,25.12,25.17,25.12,25.17,17.22,1200
8607437,2014-07-03,WHLRP,25.2,25.5,25.2,25.21,17.24,2195
8607438,2014-07-07,WHLRP,25.25,25.32,25.13,25.13,17.19,2500
8607439,2014-07-08,WHLRP,25.13,25.23,24.86,25.23,17.26,3380
8607440,2014-07-09,WHLRP,25.0,25.1,24.8,24.91,17.04,3225
8607441,2014-07-10,WHLRP,25.0,25.19,24.91,25.19,17.23,3140
8607442,2014-07-11,WHLRP,24.91,25.17,24.87,25.16,17.21,3650
8607443,2014-07-14,WHLRP,25.16,25.16,25.16,25.16,17.21,1575
8607444,2014-07-15,WHLRP,25.01,25.01,25.0,25.0,17.1,6778
8607445,2014-07-16,WHLRP,24.99,25.0,24.99,24.99,17.09,3537
8607446,2014-07-17,WHLRP,25.0,25.0,24.96,25.0,17.1,3240
8607447,2014-07-18,WHLRP,25.0,25.0,24.87,25.0,17.1,1200
8607448,2014-07-21,WHLRP,25.27,25.27,24.86,24.93,17.05,2775
8607449,2014-07-22,WHLRP,24.87,24.9,24.87,24.9,17.03,1475
8607450,2014-07-23,WHLRP,24.94,25.0,24.9,24.9,17.03,2200
8607451,2014-07-24,WHLRP,24.9,25.0,24.86,25.0,17.1,2100
8607452,2014-07-25,WHLRP,24.86,24.9,24.6,24.9,17.03,10125
8607453,2014-07-28,WHLRP,24.75,24.99,24.58,24.82,16.98,5680
8607454,2014-07-30,WHLRP,24.95,24.95,24.93,24.93,17.05,3130
8607455,2014-07-31,WHLRP,24.87,24.93,24.6,24.87,17.01,3150
8607456,2014-08-01,WHLRP,24.6,24.93,24.6,24.93,17.05,600
