,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8677236,1990-03-27,WSCI,8.5,8.5,8.5,8.5,5.24,4900
8677237,1990-03-28,WSCI,8.5,8.75,8.5,8.5,5.24,1000
8677238,1990-03-29,WSCI,8.5,8.5,8.5,8.5,5.24,3300
8677239,1990-03-30,WSCI,8.5,8.63,8.5,8.5,5.24,17000
8677240,1990-04-02,WSCI,8.5,8.5,8.0,8.0,4.93,7900
8677241,1990-04-03,WSCI,8.5,8.5,8.25,8.5,5.24,3500
8677242,1990-04-04,WSCI,8.5,8.75,8.25,8.5,5.24,46700
8677243,1990-04-05,WSCI,8.5,8.63,7.5,7.5,4.65,25300
8677244,1990-04-06,WSCI,7.5,7.75,7.25,7.38,4.57,24800
8677245,1990-04-09,WSCI,7.25,7.25,7.0,7.0,4.34,1900
8677246,1990-04-10,WSCI,7.0,7.0,7.0,7.0,4.34,600
8677247,1990-04-11,WSCI,7.38,7.5,7.25,7.5,4.65,7100
8677248,1990-04-12,WSCI,7.75,7.75,7.75,7.75,4.8,1000
8677249,1990-04-16,WSCI,7.75,7.75,7.75,7.75,4.8,2200
8677250,1990-04-17,WSCI,7.75,7.75,7.75,7.75,4.8,1300
8677251,1990-04-18,WSCI,7.25,7.25,7.25,7.25,4.49,100
8677252,1990-04-19,WSCI,7.25,7.75,7.25,7.25,4.49,800
8677253,1990-04-20,WSCI,7.25,7.75,7.25,7.63,4.72,5500
8677254,1990-04-23,WSCI,7.25,7.25,7.25,7.25,4.49,4000
8677255,1990-04-24,WSCI,7.63,7.63,7.25,7.25,4.49,1200
8677256,1990-04-25,WSCI,7.25,7.5,7.25,7.25,4.49,5700
8677257,1990-04-26,WSCI,7.0,7.5,7.0,7.38,4.57,19700
8677258,1990-04-27,WSCI,7.5,8.0,7.0,8.0,4.96,22800
8677259,1990-04-30,WSCI,8.25,8.25,7.75,7.75,4.8,2000
8677260,1990-05-01,WSCI,7.75,8.25,7.75,7.75,4.8,2200
8677261,1990-05-02,WSCI,7.75,8.0,7.75,7.75,4.8,2200
8677262,1990-05-03,WSCI,7.75,7.75,7.75,7.75,4.8,0
8677263,1990-05-04,WSCI,8.0,8.0,7.88,7.88,4.88,2500
8677264,1990-05-07,WSCI,7.88,7.88,7.88,7.88,4.88,0
8677265,1990-05-08,WSCI,7.88,7.88,7.88,7.88,4.88,0
8677266,1990-05-09,WSCI,7.88,7.88,7.88,7.88,4.88,0
8677267,1990-05-10,WSCI,7.5,7.5,7.5,7.5,4.65,600
8677268,1990-05-11,WSCI,7.5,7.5,7.38,7.38,4.57,6000
8677269,1990-05-14,WSCI,7.25,7.75,7.25,7.25,4.49,900
8677270,1990-05-15,WSCI,7.25,7.25,7.25,7.25,4.49,300
8677271,1990-05-16,WSCI,7.5,7.5,6.75,7.0,4.34,22300
8677272,1990-05-17,WSCI,7.25,7.25,6.75,6.75,4.18,800
8677273,1990-05-18,WSCI,7.25,7.25,6.75,6.75,4.18,400
8677274,1990-05-21,WSCI,7.25,7.25,6.75,6.75,4.18,1700
8677275,1990-05-22,WSCI,6.75,6.75,6.75,6.75,4.18,100
8677276,1990-05-23,WSCI,6.75,7.25,6.75,7.25,4.49,4200
8677277,1990-05-24,WSCI,6.75,6.75,6.75,6.75,4.18,1000
8677278,1990-05-25,WSCI,7.25,7.25,6.63,6.75,4.18,6000
8677279,1990-05-29,WSCI,6.75,6.88,6.5,6.75,4.18,11500
8677280,1990-05-30,WSCI,7.0,7.13,6.75,7.13,4.41,15300
8677281,1990-05-31,WSCI,6.25,6.75,6.25,6.63,4.1,15300
8677282,1990-06-01,WSCI,6.75,6.75,6.5,6.5,4.03,10100
8677283,1990-06-04,WSCI,6.75,7.0,6.5,6.5,4.03,4900
8677284,1990-06-05,WSCI,6.5,6.75,6.5,6.5,4.03,2400
8677285,1990-06-06,WSCI,6.5,6.75,6.5,6.5,4.03,1400
8677286,1990-06-07,WSCI,6.75,6.75,6.25,6.5,4.03,12000
8677287,1990-06-08,WSCI,6.25,6.5,6.0,6.5,4.03,11800
8677288,1990-06-11,WSCI,6.25,6.5,6.25,6.5,4.03,3800
8677289,1990-06-12,WSCI,6.25,6.5,6.25,6.25,3.87,2100
8677290,1990-06-13,WSCI,6.5,6.5,6.25,6.5,4.03,2100
8677291,1990-06-14,WSCI,6.5,6.5,6.25,6.25,3.87,2400
8677292,1990-06-15,WSCI,6.25,6.75,6.25,6.75,4.18,1000
8677293,1990-06-18,WSCI,6.75,6.75,6.0,6.25,3.87,14100
8677294,1990-06-19,WSCI,6.5,6.5,6.0,6.0,3.72,5800
8677295,1990-06-20,WSCI,6.0,6.0,6.0,6.0,3.72,200
8677296,1990-06-21,WSCI,6.0,6.5,6.0,6.5,4.03,2000
8677297,1990-06-22,WSCI,6.0,6.5,5.75,5.75,3.56,24200
8677298,1990-06-25,WSCI,6.5,6.5,5.88,5.88,3.64,700
8677299,1990-06-26,WSCI,6.25,6.25,5.75,6.0,3.72,19300
8677300,1990-06-27,WSCI,5.88,5.88,5.5,5.63,3.49,2800
8677301,1990-06-28,WSCI,5.5,6.0,5.5,6.0,3.72,4100
8677302,1990-06-29,WSCI,5.5,6.0,5.5,5.5,3.41,10200
8677303,1990-07-02,WSCI,6.0,6.0,5.75,6.0,3.72,2100
8677304,1990-07-03,WSCI,6.0,6.0,5.63,5.63,3.49,7400
8677305,1990-07-05,WSCI,5.63,5.63,5.63,5.63,3.52,0
8677306,1990-07-06,WSCI,5.63,6.0,5.63,6.0,3.75,7000
8677307,1990-07-09,WSCI,6.0,6.0,5.63,6.0,3.75,3600
8677308,1990-07-10,WSCI,6.0,6.5,5.88,6.5,4.06,11900
8677309,1990-07-11,WSCI,6.5,6.5,6.25,6.38,3.99,16700
8677310,1990-07-12,WSCI,6.5,6.75,6.5,6.75,4.22,9700
8677311,1990-07-13,WSCI,6.5,6.5,6.5,6.5,4.06,300
8677312,1990-07-16,WSCI,6.5,6.75,6.5,6.75,4.22,4100
8677313,1990-07-17,WSCI,6.5,6.75,6.25,6.5,4.06,15100
8677314,1990-07-18,WSCI,6.25,6.25,6.0,6.0,3.75,400
8677315,1990-07-19,WSCI,6.0,6.5,6.0,6.38,3.99,4200
8677316,1990-07-20,WSCI,6.38,6.5,6.38,6.38,3.99,7000
8677317,1990-07-23,WSCI,6.5,6.5,6.25,6.25,3.91,5500
8677318,1990-07-24,WSCI,6.25,6.5,6.0,6.5,4.06,6200
8677319,1990-07-25,WSCI,6.0,6.0,6.0,6.0,3.75,1000
8677320,1990-07-26,WSCI,6.0,6.0,6.0,6.0,3.75,0
8677321,1990-07-27,WSCI,6.0,6.0,6.0,6.0,3.75,0
8677322,1990-07-30,WSCI,6.5,6.5,6.0,6.5,4.06,2500
8677323,1990-07-31,WSCI,6.25,6.25,6.0,6.0,3.75,8900
8677324,1990-08-01,WSCI,6.0,6.5,6.0,6.5,4.06,2100
8677325,1990-08-02,WSCI,6.5,6.5,6.5,6.5,4.06,300
8677326,1990-08-03,WSCI,6.5,6.5,5.75,6.5,4.06,300
8677327,1990-08-06,WSCI,6.13,6.13,5.75,6.0,3.75,2700
8677328,1990-08-07,WSCI,5.75,5.75,5.75,5.75,3.59,5500
8677329,1990-08-08,WSCI,6.0,6.0,5.75,5.75,3.59,2000
8677330,1990-08-09,WSCI,5.75,5.75,5.75,5.75,3.59,1700
8677331,1990-08-10,WSCI,6.0,6.0,5.5,5.5,3.44,5300
8677332,1990-08-13,WSCI,5.5,5.5,5.5,5.5,3.44,200
8677333,1990-08-14,WSCI,5.75,6.0,5.75,6.0,3.75,700
8677334,1990-08-15,WSCI,6.0,6.25,6.0,6.0,3.75,2700
8677335,1990-08-16,WSCI,6.0,6.0,5.75,5.75,3.59,4000
8677336,1990-08-17,WSCI,5.25,5.75,5.0,5.0,3.13,6200
8677337,1990-08-20,WSCI,5.0,5.25,5.0,5.0,3.13,4000
8677338,1990-08-21,WSCI,5.0,5.0,5.0,5.0,3.13,0
8677339,1990-08-22,WSCI,4.75,4.75,4.75,4.75,2.97,1400
8677340,1990-08-23,WSCI,4.75,4.88,4.25,4.38,2.73,7700
8677341,1990-08-24,WSCI,4.75,4.75,4.5,4.75,2.97,2400
8677342,1990-08-27,WSCI,4.75,4.75,4.25,4.25,2.66,1900
8677343,1990-08-28,WSCI,4.75,5.0,4.63,5.0,3.13,16000
8677344,1990-08-29,WSCI,4.75,5.0,4.75,5.0,3.13,1100
8677345,1990-08-30,WSCI,5.0,5.0,4.5,4.5,2.81,600
8677346,1990-08-31,WSCI,4.5,5.0,4.5,5.0,3.13,800
8677347,1990-09-04,WSCI,4.5,4.5,4.5,4.5,2.81,500
8677348,1990-09-05,WSCI,4.5,5.0,4.5,5.0,3.13,1100
8677349,1990-09-06,WSCI,4.5,5.0,4.5,4.5,2.81,800
8677350,1990-09-07,WSCI,5.0,5.0,4.5,4.5,2.81,1100
8677351,1990-09-10,WSCI,5.0,5.0,5.0,5.0,3.13,500
8677352,1990-09-11,WSCI,5.0,5.0,5.0,5.0,3.13,0
8677353,1990-09-12,WSCI,5.0,5.0,5.0,5.0,3.13,0
8677354,1990-09-13,WSCI,4.5,4.5,4.5,4.5,2.81,1200
8677355,1990-09-14,WSCI,5.0,5.0,4.75,4.75,2.97,400
8677356,1990-09-17,WSCI,4.75,4.75,4.75,4.75,2.97,0
8677357,1990-09-18,WSCI,4.5,4.75,4.5,4.5,2.81,29100
