,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8752014,1990-06-12,XLNX,1.08,1.25,1.08,1.17,0.86,28022400
8752015,1990-06-13,XLNX,1.17,1.31,1.13,1.29,0.95,10702800
8752016,1990-06-14,XLNX,1.29,1.35,1.25,1.33,0.98,5994000
8752017,1990-06-15,XLNX,1.33,1.33,1.27,1.29,0.95,3896400
8752018,1990-06-18,XLNX,1.31,1.31,1.23,1.24,0.91,2242800
8752019,1990-06-19,XLNX,1.23,1.29,1.21,1.28,0.94,6829200
8752020,1990-06-20,XLNX,1.29,1.29,1.25,1.27,0.93,931200
8752021,1990-06-21,XLNX,1.25,1.27,1.23,1.27,0.93,842400
8752022,1990-06-22,XLNX,1.27,1.27,1.23,1.26,0.93,1428000
8752023,1990-06-25,XLNX,1.25,1.29,1.23,1.25,0.92,1849200
8752024,1990-06-26,XLNX,1.27,1.29,1.23,1.23,0.9,1482000
8752025,1990-06-27,XLNX,1.23,1.31,1.23,1.28,0.94,7206000
8752026,1990-06-28,XLNX,1.29,1.29,1.25,1.27,0.93,2084400
8752027,1990-06-29,XLNX,1.27,1.27,1.25,1.25,0.92,2312400
8752028,1990-07-02,XLNX,1.25,1.27,1.23,1.24,0.91,596400
8752029,1990-07-03,XLNX,1.25,1.25,1.21,1.25,0.92,1974000
8752030,1990-07-05,XLNX,1.23,1.25,1.23,1.23,0.9,1177200
8752031,1990-07-06,XLNX,1.25,1.25,1.21,1.25,0.92,396000
8752032,1990-07-09,XLNX,1.27,1.27,1.23,1.23,0.9,534000
8752033,1990-07-10,XLNX,1.23,1.33,1.23,1.29,0.95,3079200
8752034,1990-07-11,XLNX,1.29,1.33,1.27,1.27,0.93,1683600
8752035,1990-07-12,XLNX,1.31,1.31,1.25,1.27,0.93,4863600
8752036,1990-07-13,XLNX,1.31,1.33,1.27,1.33,0.98,3573600
8752037,1990-07-16,XLNX,1.35,1.38,1.27,1.33,0.98,4029600
8752038,1990-07-17,XLNX,1.33,1.35,1.31,1.33,0.98,2526000
8752039,1990-07-18,XLNX,1.35,1.42,1.33,1.38,1.01,3375600
8752040,1990-07-19,XLNX,1.38,1.4,1.35,1.36,1.0,943200
8752041,1990-07-20,XLNX,1.4,1.4,1.35,1.35,1.0,630000
8752042,1990-07-23,XLNX,1.35,1.38,1.25,1.27,0.93,1952400
8752043,1990-07-24,XLNX,1.29,1.31,1.21,1.24,0.91,1084800
8752044,1990-07-25,XLNX,1.25,1.31,1.23,1.29,0.95,1543200
8752045,1990-07-26,XLNX,1.31,1.31,1.27,1.27,0.93,447600
8752046,1990-07-27,XLNX,1.27,1.29,1.27,1.27,0.93,122400
8752047,1990-07-30,XLNX,1.25,1.27,1.15,1.23,0.9,1852800
8752048,1990-07-31,XLNX,1.23,1.27,1.19,1.21,0.89,1010400
8752049,1990-08-01,XLNX,1.23,1.23,1.19,1.23,0.9,411600
8752050,1990-08-02,XLNX,1.19,1.21,1.1,1.15,0.84,1917600
8752051,1990-08-03,XLNX,1.15,1.17,1.1,1.11,0.82,829200
8752052,1990-08-06,XLNX,1.1,1.1,1.0,1.04,0.77,1581600
8752053,1990-08-07,XLNX,1.1,1.13,1.06,1.1,0.81,1156800
8752054,1990-08-08,XLNX,1.1,1.19,1.1,1.19,0.87,824400
8752055,1990-08-09,XLNX,1.19,1.21,1.17,1.17,0.86,1260000
8752056,1990-08-10,XLNX,1.19,1.19,1.13,1.17,0.86,532800
8752057,1990-08-13,XLNX,1.1,1.13,1.08,1.11,0.82,454800
8752058,1990-08-14,XLNX,1.13,1.15,1.1,1.14,0.83,829200
8752059,1990-08-15,XLNX,1.17,1.19,1.17,1.19,0.87,282000
8752060,1990-08-16,XLNX,1.17,1.17,1.08,1.08,0.8,682800
8752061,1990-08-17,XLNX,1.08,1.13,1.02,1.13,0.83,1612800
8752062,1990-08-20,XLNX,1.1,1.13,1.08,1.1,0.81,337200
8752063,1990-08-21,XLNX,1.13,1.13,1.06,1.1,0.81,1185600
8752064,1990-08-22,XLNX,1.15,1.16,1.08,1.1,0.81,1306800
8752065,1990-08-23,XLNX,1.06,1.1,1.04,1.06,0.78,416400
