,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3491890,1997-04-04,GIFI,8.75,8.75,8.25,8.41,7.01,2463800
3491891,1997-04-07,GIFI,8.5,8.75,8.38,8.5,7.09,480400
3491892,1997-04-08,GIFI,8.63,8.63,8.19,8.25,6.88,445400
3491893,1997-04-09,GIFI,8.25,8.31,8.13,8.13,6.78,263000
3491894,1997-04-10,GIFI,8.25,8.25,8.06,8.19,6.83,121600
3491895,1997-04-11,GIFI,8.06,8.25,8.06,8.09,6.75,149800
3491896,1997-04-14,GIFI,8.25,8.25,7.88,7.94,6.62,180000
3491897,1997-04-15,GIFI,8.0,8.56,7.88,8.56,7.14,144400
3491898,1997-04-16,GIFI,8.63,9.0,8.38,8.69,7.25,206000
3491899,1997-04-17,GIFI,8.88,8.88,8.63,8.88,7.4,40200
3491900,1997-04-18,GIFI,8.63,8.88,8.56,8.63,7.19,64400
3491901,1997-04-21,GIFI,8.63,9.38,8.63,9.13,7.61,101200
3491902,1997-04-22,GIFI,9.25,9.75,9.0,9.5,7.92,114200
3491903,1997-04-23,GIFI,9.75,10.0,9.5,10.0,8.34,177200
3491904,1997-04-24,GIFI,10.0,10.81,10.0,10.5,8.76,313600
3491905,1997-04-25,GIFI,10.75,10.88,10.13,10.13,8.44,146000
3491906,1997-04-28,GIFI,10.0,10.38,9.25,9.5,7.92,293600
3491907,1997-04-29,GIFI,9.88,9.88,9.0,9.0,7.51,157800
3491908,1997-04-30,GIFI,9.81,10.56,9.63,10.5,8.76,438200
3491909,1997-05-01,GIFI,10.5,10.75,9.88,10.38,8.65,148400
3491910,1997-05-02,GIFI,10.38,10.38,9.88,9.88,8.24,59400
3491911,1997-05-05,GIFI,10.13,10.25,9.88,10.25,8.55,39000
3491912,1997-05-06,GIFI,10.0,10.38,10.0,10.0,8.34,89400
3491913,1997-05-07,GIFI,10.25,10.25,10.13,10.19,8.5,30600
3491914,1997-05-08,GIFI,10.0,10.25,10.0,10.06,8.39,29000
3491915,1997-05-09,GIFI,10.19,10.25,10.06,10.25,8.55,20200
3491916,1997-05-12,GIFI,10.38,10.38,10.13,10.25,8.55,20800
3491917,1997-05-13,GIFI,10.25,10.88,10.25,10.5,8.76,109000
3491918,1997-05-14,GIFI,10.63,11.13,10.56,10.88,9.07,172400
3491919,1997-05-15,GIFI,11.13,12.13,10.88,11.75,9.8,88200
3491920,1997-05-16,GIFI,11.75,11.88,11.38,11.63,9.7,101200
3491921,1997-05-19,GIFI,11.63,11.63,11.38,11.5,9.59,20200
3491922,1997-05-20,GIFI,11.63,11.63,11.0,11.25,9.38,34800
3491923,1997-05-21,GIFI,11.38,11.38,11.0,11.0,9.17,22000
3491924,1997-05-22,GIFI,11.38,12.13,11.0,11.88,9.9,90800
3491925,1997-05-23,GIFI,11.88,12.06,11.88,12.0,10.01,28000
3491926,1997-05-27,GIFI,11.88,12.06,11.88,11.88,9.9,73200
3491927,1997-05-28,GIFI,11.88,12.0,11.63,11.75,9.8,64800
