,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3542345,2007-03-22,GLUU,11.5,13.3,11.5,12.29,12.29,5237800
3542346,2007-03-23,GLUU,12.32,12.5,10.75,11.51,11.51,1870300
3542347,2007-03-26,GLUU,11.5,11.9,11.26,11.69,11.69,753300
3542348,2007-03-27,GLUU,11.84,11.84,11.32,11.5,11.5,252800
3542349,2007-03-28,GLUU,11.75,11.75,10.75,11.05,11.05,155700
3542350,2007-03-29,GLUU,11.01,11.11,10.02,10.31,10.31,410900
3542351,2007-03-30,GLUU,10.44,10.44,9.76,10.0,10.0,97200
3542352,2007-04-02,GLUU,10.0,10.3,10.0,10.03,10.03,256400
3542353,2007-04-03,GLUU,10.24,10.35,9.76,9.99,9.99,311200
3542354,2007-04-04,GLUU,9.91,9.91,9.75,9.78,9.78,185500
3542355,2007-04-05,GLUU,9.93,10.45,9.75,10.0,10.0,334200
3542356,2007-04-09,GLUU,10.0,10.04,9.75,9.92,9.92,70600
3542357,2007-04-10,GLUU,10.0,10.03,9.75,9.85,9.85,48900
3542358,2007-04-11,GLUU,9.87,10.77,9.8,10.14,10.14,48300
3542359,2007-04-12,GLUU,10.04,10.5,10.04,10.31,10.31,32400
3542360,2007-04-13,GLUU,10.3,10.95,10.24,10.89,10.89,160500
3542361,2007-04-16,GLUU,10.99,11.55,10.9,11.34,11.34,129100
3542362,2007-04-17,GLUU,11.55,11.8,11.45,11.79,11.79,117800
3542363,2007-04-18,GLUU,11.68,12.11,11.55,11.98,11.98,71700
3542364,2007-04-19,GLUU,11.77,11.99,11.57,11.95,11.95,77400
3542365,2007-04-20,GLUU,11.95,11.95,11.63,11.88,11.88,53600
3542366,2007-04-23,GLUU,11.72,11.8,11.28,11.56,11.56,135600
3542367,2007-04-24,GLUU,11.38,11.74,11.31,11.45,11.45,53300
3542368,2007-04-25,GLUU,11.38,11.68,11.31,11.68,11.68,48200
3542369,2007-04-26,GLUU,11.74,11.77,11.34,11.55,11.55,119000
3542370,2007-04-27,GLUU,11.43,11.55,11.32,11.4,11.4,78100
3542371,2007-04-30,GLUU,11.32,11.5,11.05,11.24,11.24,51500
3542372,2007-05-01,GLUU,11.57,11.9,11.25,11.29,11.29,293200
3542373,2007-05-02,GLUU,11.4,11.67,11.32,11.49,11.49,303300
3542374,2007-05-03,GLUU,11.76,12.29,11.51,12.19,12.19,293100
3542375,2007-05-04,GLUU,12.37,13.34,12.37,12.97,12.97,289600
3542376,2007-05-07,GLUU,12.91,13.2,12.7,12.92,12.92,162300
3542377,2007-05-08,GLUU,12.95,13.8,12.7,13.25,13.25,90200
3542378,2007-05-09,GLUU,13.25,14.2,13.25,13.6,13.6,152300
3542379,2007-05-10,GLUU,13.32,14.01,12.82,13.02,13.02,79100
3542380,2007-05-11,GLUU,12.96,13.06,12.78,12.94,12.94,36200
3542381,2007-05-14,GLUU,13.2,13.51,13.0,13.5,13.5,50400
3542382,2007-05-15,GLUU,13.51,13.79,13.51,13.79,13.79,120300
