,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3643728,2018-04-27,GSHD,12.0,17.54,10.78,15.75,15.75,2305400
3643729,2018-04-30,GSHD,15.25,15.5,14.0,14.8,14.8,205300
3643730,2018-05-01,GSHD,14.71,15.76,14.51,15.01,15.01,78000
3643731,2018-05-02,GSHD,15.02,15.5,14.35,14.95,14.95,70300
3643732,2018-05-03,GSHD,15.05,15.9,14.78,15.38,15.38,268300
3643733,2018-05-04,GSHD,15.14,15.55,15.0,15.35,15.35,89700
3643734,2018-05-07,GSHD,15.52,15.93,15.35,15.83,15.83,60500
3643735,2018-05-08,GSHD,16.01,17.7,15.39,16.65,16.65,213600
3643736,2018-05-09,GSHD,16.56,17.07,16.46,16.83,16.83,149800
3643737,2018-05-10,GSHD,17.29,17.29,16.85,16.93,16.93,82700
3643738,2018-05-11,GSHD,16.98,17.0,16.38,16.83,16.83,55200
3643739,2018-05-14,GSHD,16.75,16.78,13.22,16.57,16.57,104800
3643740,2018-05-15,GSHD,16.4,16.5,15.99,16.47,16.47,20800
3643741,2018-05-16,GSHD,16.4,16.56,16.03,16.25,16.25,71600
3643742,2018-05-17,GSHD,16.22,16.34,14.9,15.6,15.6,125700
3643743,2018-05-18,GSHD,15.72,16.31,15.3,16.2,16.2,77000
3643744,2018-05-21,GSHD,16.4,17.5,15.41,16.2,16.2,80400
3643745,2018-05-22,GSHD,16.3,16.57,15.45,16.09,16.09,158200
3643746,2018-05-23,GSHD,16.08,16.98,16.08,16.45,16.45,113400
3643747,2018-05-25,GSHD,16.85,16.85,16.35,16.41,16.41,137700
3643748,2018-05-29,GSHD,16.99,16.99,16.15,16.43,16.43,113900
3643749,2018-05-30,GSHD,16.56,16.75,16.33,16.54,16.54,111400
3643750,2018-05-31,GSHD,16.46,16.55,16.0,16.15,16.15,78100
3643751,2018-06-01,GSHD,16.47,16.52,16.11,16.23,16.23,100600
3643752,2018-06-04,GSHD,16.4,16.48,16.01,16.2,16.2,108300
3643753,2018-06-05,GSHD,16.37,17.7,16.08,17.4,17.4,272300
3643754,2018-06-06,GSHD,17.55,17.94,16.73,17.11,17.11,146600
3643755,2018-06-07,GSHD,17.25,18.99,16.97,18.74,18.74,386500
3643756,2018-06-08,GSHD,18.79,19.85,18.29,19.5,19.5,292300
3643757,2018-06-11,GSHD,19.5,21.89,19.21,21.14,21.14,243800
3643758,2018-06-12,GSHD,21.46,23.38,21.46,22.84,22.84,354300
3643759,2018-06-13,GSHD,23.0,23.0,21.92,22.27,22.27,225300
3643760,2018-06-14,GSHD,22.64,25.0,22.0,24.08,24.08,373500
3643761,2018-06-15,GSHD,24.12,24.49,23.25,23.77,23.77,434100
3643762,2018-06-25,GSHD,25.87,27.93,25.77,26.92,26.92,257700
3643763,2018-06-26,GSHD,27.0,28.71,26.31,28.2,28.2,267100
3643764,2018-06-27,GSHD,28.24,28.32,26.39,26.5,26.5,166100
3643765,2018-06-28,GSHD,26.48,27.11,25.83,26.05,26.05,138000
3643766,2018-06-29,GSHD,26.17,26.17,24.73,24.96,24.96,130700
3643767,2018-07-02,GSHD,25.13,25.69,23.69,23.76,23.76,161300
3643768,2018-07-03,GSHD,23.84,24.55,23.33,23.94,23.94,134000
3643769,2018-07-05,GSHD,24.0,24.98,23.93,24.66,24.66,101900
3643770,2018-07-06,GSHD,24.67,25.53,24.57,24.97,24.97,138766
3643771,2018-07-09,GSHD,25.01,26.66,25.01,26.61,26.61,138500
3643772,2018-07-10,GSHD,26.56,27.24,24.75,24.95,24.95,108700
3643773,2018-07-11,GSHD,24.86,25.53,24.62,24.99,24.99,42100
3643774,2018-07-12,GSHD,25.03,26.94,24.96,26.7,26.7,94300
3643775,2018-07-13,GSHD,26.72,26.77,25.77,26.06,26.06,57900
3643776,2018-07-16,GSHD,26.34,26.47,25.0,25.84,25.84,91000
3643777,2018-07-17,GSHD,25.79,28.31,25.79,28.24,28.24,232600
3643778,2018-07-18,GSHD,28.25,28.25,27.18,27.71,27.71,126800
3643779,2018-07-19,GSHD,27.63,29.73,27.13,29.08,29.08,188600
3643780,2018-07-20,GSHD,29.02,29.58,26.68,26.92,26.92,320000
3643781,2018-07-24,GSHD,26.73,27.25,26.07,26.41,26.41,151300
3643782,2018-07-25,GSHD,26.32,28.0,26.29,27.87,27.87,134500
3643783,2018-07-26,GSHD,27.83,28.72,27.01,27.62,27.62,77200
3643784,2018-07-27,GSHD,27.71,28.42,26.6,26.86,26.86,65600
3643785,2018-07-30,GSHD,27.04,29.18,26.35,26.72,26.72,78500
3643786,2018-07-31,GSHD,26.79,27.94,26.77,27.17,27.17,111700
