,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
3732668,2016-08-19,HBANN,23.0,25.87,23.0,25.61,23.85,1511
3732669,2016-08-22,HBANN,25.7,25.83,25.7,25.8,24.03,4850
3732670,2016-08-23,HBANN,25.73,26.5,25.73,26.25,24.45,12473
3732671,2016-08-24,HBANN,26.26,26.28,26.08,26.17,24.37,1957
3732672,2016-08-25,HBANN,25.94,25.96,25.77,25.85,24.08,4093
3732673,2016-08-26,HBANN,25.82,25.94,25.66,25.92,24.14,9918
3732674,2016-08-29,HBANN,25.79,25.82,25.79,25.82,24.05,400
3732675,2016-08-30,HBANN,25.9,26.12,25.86,26.04,24.25,17302
3732676,2016-08-31,HBANN,26.07,26.12,25.96,25.96,24.18,7348
3732677,2016-09-01,HBANN,25.98,26.27,25.86,26.27,24.47,4440
3732678,2016-09-02,HBANN,26.42,26.42,25.96,25.96,24.18,4878
3732679,2016-09-06,HBANN,25.8,26.0,25.8,25.94,24.16,8147
3732680,2016-09-07,HBANN,25.85,26.06,25.85,26.06,24.27,4259
3732681,2016-09-08,HBANN,26.08,26.4,26.08,26.4,24.59,851
3732682,2016-09-09,HBANN,25.9,25.9,25.85,25.85,24.08,1618
3732683,2016-09-12,HBANN,26.0,26.0,25.88,26.0,24.21,11254
3732684,2016-09-13,HBANN,25.74,25.74,25.3,25.45,23.7,16358
3732685,2016-09-14,HBANN,25.56,25.8,25.4,25.62,23.86,2986
3732686,2016-09-15,HBANN,25.87,25.9,25.76,25.76,24.0,3992
3732687,2016-09-16,HBANN,25.85,25.85,25.6,25.63,23.87,2321
3732688,2016-09-19,HBANN,25.55,25.9,25.55,25.9,24.12,2510
3732689,2016-09-20,HBANN,25.75,25.95,25.75,25.95,24.17,4170
3732690,2016-09-21,HBANN,25.95,26.1,25.92,26.1,24.31,6723
3732691,2016-09-22,HBANN,25.97,26.49,25.97,26.49,24.67,11179
3732692,2016-09-23,HBANN,26.26,26.48,26.23,26.36,24.55,15704
3732693,2016-09-26,HBANN,26.17,26.34,25.97,26.33,24.52,14413
3732694,2016-09-27,HBANN,26.08,26.42,25.81,26.42,24.61,9813
