,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
4234518,1993-08-10,INOD,1.75,1.88,1.47,1.75,1.75,332400
4234519,1993-08-11,INOD,1.69,1.94,1.5,1.94,1.94,1454400
4234520,1993-08-12,INOD,1.94,1.94,1.75,1.94,1.94,289200
4234521,1993-08-13,INOD,1.94,1.94,1.69,1.69,1.69,190800
4234522,1993-08-16,INOD,1.88,1.88,1.69,1.69,1.69,183600
4234523,1993-08-17,INOD,1.69,1.81,1.38,1.81,1.81,468000
4234524,1993-08-18,INOD,1.59,1.81,1.59,1.81,1.81,228000
4234525,1993-08-19,INOD,1.81,1.81,1.63,1.81,1.81,120000
4234526,1993-08-20,INOD,1.63,1.81,1.63,1.63,1.63,378000
4234527,1993-08-23,INOD,1.63,1.81,1.63,1.69,1.69,187200
4234528,1993-08-24,INOD,1.63,1.75,1.63,1.72,1.72,344400
4234529,1993-08-25,INOD,1.63,1.69,1.59,1.59,1.59,319200
4234530,1993-08-26,INOD,1.66,1.75,1.59,1.63,1.63,326400
4234531,1993-08-27,INOD,1.72,1.72,1.63,1.63,1.63,85200
4234532,1993-08-30,INOD,1.63,1.72,1.63,1.63,1.63,116400
4234533,1993-08-31,INOD,1.63,1.72,1.63,1.72,1.72,330000
4234534,1993-09-01,INOD,1.63,1.75,1.62,1.63,1.63,240000
4234535,1993-09-02,INOD,1.63,1.75,1.59,1.69,1.69,126000
4234536,1993-09-03,INOD,1.59,1.69,1.59,1.69,1.69,19200
4234537,1993-09-07,INOD,1.69,1.69,1.59,1.69,1.69,168000
4234538,1993-09-08,INOD,1.59,1.66,1.5,1.63,1.63,105600
4234539,1993-09-09,INOD,1.5,1.63,1.5,1.63,1.63,123600
4234540,1993-09-10,INOD,1.5,1.63,1.5,1.63,1.63,63600
4234541,1993-09-13,INOD,1.5,1.63,1.5,1.63,1.63,200400
4234542,1993-09-14,INOD,1.5,1.63,1.5,1.63,1.63,98400
4234543,1993-09-15,INOD,1.5,1.63,1.5,1.5,1.5,106800
4234544,1993-09-16,INOD,1.5,1.63,1.5,1.56,1.56,90000
4234545,1993-09-17,INOD,1.5,1.56,1.47,1.47,1.47,102000
4234546,1993-09-20,INOD,1.47,1.69,1.47,1.69,1.69,314400
4234547,1993-09-21,INOD,1.69,1.75,1.53,1.53,1.53,90000
4234548,1993-09-22,INOD,1.53,1.75,1.53,1.66,1.66,102000
4234549,1993-09-23,INOD,1.53,1.75,1.53,1.53,1.53,91200
4234550,1993-09-24,INOD,1.53,1.69,1.53,1.69,1.69,108000
4234551,1993-09-27,INOD,1.63,1.69,1.53,1.63,1.63,85200
4234552,1993-09-28,INOD,1.53,1.66,1.53,1.53,1.53,114000
4234553,1993-09-29,INOD,1.53,1.66,1.53,1.66,1.66,205200
4234554,1993-09-30,INOD,1.53,1.81,1.53,1.81,1.81,421200
4234555,1993-10-01,INOD,1.63,1.81,1.63,1.81,1.81,120000
4234556,1993-10-04,INOD,1.63,1.78,1.63,1.63,1.63,82800
4234557,1993-10-05,INOD,1.78,1.78,1.63,1.63,1.63,92400
4234558,1993-10-06,INOD,1.78,1.78,1.63,1.75,1.75,96000
4234559,1993-10-07,INOD,1.78,1.78,1.59,1.78,1.78,188400
4234560,1993-10-08,INOD,1.59,1.78,1.53,1.59,1.59,163200
4234561,1993-10-11,INOD,1.78,1.78,1.59,1.78,1.78,45600
4234562,1993-10-12,INOD,1.78,1.78,1.59,1.59,1.59,146400
4234563,1993-10-13,INOD,1.59,1.78,1.59,1.59,1.59,92400
4234564,1993-10-14,INOD,1.59,1.78,1.59,1.59,1.59,123600
4234565,1993-10-15,INOD,1.78,1.78,1.59,1.78,1.78,88800
4234566,1993-10-18,INOD,1.59,1.78,1.59,1.59,1.59,27600
4234567,1993-10-19,INOD,1.59,1.78,1.59,1.78,1.78,78000
4234568,1993-10-20,INOD,1.59,1.78,1.59,1.59,1.59,46800
4234569,1993-10-21,INOD,1.59,1.78,1.59,1.78,1.78,66000
4234570,1993-10-22,INOD,1.59,1.78,1.59,1.78,1.78,80400
4234571,1993-10-25,INOD,1.59,1.78,1.59,1.66,1.66,85200
4234572,1993-10-26,INOD,1.59,1.78,1.59,1.66,1.66,124800
4234573,1993-10-27,INOD,1.59,1.78,1.59,1.75,1.75,129600
4234574,1993-10-28,INOD,1.75,1.75,1.59,1.59,1.59,99600
4234575,1993-10-29,INOD,1.75,2.0,1.59,2.0,2.0,230400
4234576,1993-11-01,INOD,2.0,2.0,1.69,1.69,1.69,70800
4234577,1993-11-02,INOD,1.81,1.94,1.66,1.69,1.69,94800
4234578,1993-11-03,INOD,1.69,1.94,1.69,1.94,1.94,97200
4234579,1993-11-04,INOD,1.69,2.0,1.69,2.0,2.0,126000
4234580,1993-11-05,INOD,1.88,2.0,1.69,2.0,2.0,248400
4234581,1993-11-08,INOD,1.94,2.0,1.75,1.75,1.75,39600
4234582,1993-11-09,INOD,1.75,2.0,1.75,1.94,1.94,63600
4234583,1993-11-10,INOD,1.88,2.0,1.75,2.0,2.0,130800
4234584,1993-11-11,INOD,1.75,2.0,1.75,2.0,2.0,132000
4234585,1993-11-12,INOD,1.88,2.0,1.78,2.0,2.0,129600
4234586,1993-11-15,INOD,2.0,2.0,1.75,1.75,1.75,80400
4234587,1993-11-16,INOD,1.75,2.0,1.75,2.0,2.0,25200
4234588,1993-11-17,INOD,1.75,2.0,1.69,1.75,1.75,146400
4234589,1993-11-18,INOD,2.0,2.0,1.75,2.0,2.0,116400
4234590,1993-11-19,INOD,1.81,2.0,1.75,2.0,2.0,194400
4234591,1993-11-22,INOD,1.75,2.0,1.75,1.75,1.75,56400
4234592,1993-11-23,INOD,1.75,2.0,1.75,1.84,1.84,147600
4234593,1993-11-24,INOD,1.75,2.0,1.75,2.0,2.0,91200
4234594,1993-11-26,INOD,1.88,2.0,1.75,2.0,2.0,8400
4234595,1993-11-29,INOD,2.0,2.0,1.75,1.75,1.75,183600
4234596,1993-11-30,INOD,2.0,2.0,1.75,2.0,2.0,331200
4234597,1993-12-01,INOD,1.75,2.0,1.75,1.75,1.75,49200
4234598,1993-12-02,INOD,1.75,2.0,1.69,2.0,2.0,32400
4234599,1993-12-03,INOD,2.0,2.0,1.69,1.98,1.98,18000
4234600,1993-12-06,INOD,1.69,2.0,1.69,2.0,2.0,190800
4234601,1993-12-07,INOD,1.8,2.0,1.69,2.0,2.0,129600
4234602,1993-12-08,INOD,2.0,2.0,1.69,1.94,1.94,193200
4234603,1993-12-09,INOD,1.75,1.94,1.69,1.75,1.75,92400
4234604,1993-12-10,INOD,1.75,1.94,1.75,1.94,1.94,166800
4234605,1993-12-13,INOD,1.94,1.94,1.75,1.94,1.94,26400
4234606,1993-12-14,INOD,1.75,1.94,1.75,1.94,1.94,92400
4234607,1993-12-15,INOD,1.75,1.94,1.69,1.75,1.75,87600
4234608,1993-12-16,INOD,1.75,1.88,1.75,1.75,1.75,44400
4234609,1993-12-17,INOD,1.75,1.88,1.75,1.88,1.88,62400
4234610,1993-12-20,INOD,1.75,1.88,1.75,1.75,1.75,15600
4234611,1993-12-21,INOD,1.75,1.88,1.75,1.75,1.75,18000
4234612,1993-12-22,INOD,1.75,1.88,1.75,1.88,1.88,121200
4234613,1993-12-23,INOD,1.75,1.88,1.75,1.75,1.75,25200
4234614,1993-12-27,INOD,1.75,1.88,1.75,1.88,1.88,43200
4234615,1993-12-28,INOD,1.88,1.88,1.75,1.88,1.88,46800
4234616,1993-12-29,INOD,1.88,1.88,1.75,1.88,1.88,60000
4234617,1993-12-30,INOD,1.75,1.88,1.75,1.88,1.88,108000
4234618,1993-12-31,INOD,1.77,1.88,1.75,1.75,1.75,288000
4234619,1994-01-03,INOD,1.75,1.78,1.75,1.75,1.75,25200
4234620,1994-01-04,INOD,1.75,1.88,1.75,1.75,1.75,302400
4234621,1994-01-05,INOD,1.75,1.88,1.75,1.81,1.81,172800
4234622,1994-01-06,INOD,1.75,1.88,1.75,1.75,1.75,67200
4234623,1994-01-07,INOD,1.88,1.88,1.75,1.88,1.88,38400
4234624,1994-01-10,INOD,1.75,1.88,1.75,1.75,1.75,25200
4234625,1994-01-11,INOD,1.75,1.88,1.75,1.75,1.75,103200
4234626,1994-01-12,INOD,1.75,1.88,1.75,1.75,1.75,27600
4234627,1994-01-13,INOD,1.75,1.88,1.75,1.75,1.75,12000
4234628,1994-01-14,INOD,1.75,1.88,1.75,1.88,1.88,69600
4234629,1994-01-17,INOD,1.88,1.88,1.75,1.75,1.75,8400
4234630,1994-01-18,INOD,1.75,1.81,1.75,1.75,1.75,46800
4234631,1994-01-19,INOD,1.75,1.88,1.75,1.75,1.75,99600
4234632,1994-01-20,INOD,1.75,1.88,1.75,1.75,1.75,68400
4234633,1994-01-21,INOD,1.78,1.81,1.72,1.75,1.75,224400
4234634,1994-01-24,INOD,1.75,1.81,1.75,1.81,1.81,28800
4234635,1994-01-25,INOD,1.81,1.88,1.75,1.81,1.81,58800
4234636,1994-01-26,INOD,1.75,1.88,1.75,1.78,1.78,39600
4234637,1994-01-27,INOD,1.78,1.94,1.78,1.88,1.88,654000
4234638,1994-01-28,INOD,1.88,1.94,1.88,1.94,1.94,135600
4234639,1994-01-31,INOD,1.94,1.94,1.88,1.94,1.94,231600
4234640,1994-02-01,INOD,1.88,2.0,1.88,1.88,1.88,136800
4234641,1994-02-02,INOD,1.88,2.0,1.88,1.88,1.88,140400
4234642,1994-02-03,INOD,1.94,2.0,1.88,1.88,1.88,80400
4234643,1994-02-04,INOD,1.88,2.0,1.88,1.88,1.88,151200
4234644,1994-02-07,INOD,1.88,2.0,1.88,1.94,1.94,130800
4234645,1994-02-08,INOD,1.88,2.0,1.81,2.0,2.0,93600
4234646,1994-02-09,INOD,1.84,2.0,1.81,2.0,2.0,66000
4234647,1994-02-10,INOD,1.94,2.0,1.81,1.84,1.84,37200
4234648,1994-02-11,INOD,1.84,1.84,1.84,1.84,1.84,0
4234649,1994-02-14,INOD,1.81,2.0,1.81,1.81,1.81,118800
4234650,1994-02-15,INOD,1.81,2.0,1.81,1.81,1.81,128400
4234651,1994-02-16,INOD,1.81,2.06,1.81,1.84,1.84,182400
4234652,1994-02-17,INOD,2.06,2.06,1.84,2.06,2.06,78000
4234653,1994-02-18,INOD,1.84,2.0,1.84,1.88,1.88,75600
4234654,1994-02-22,INOD,1.88,2.06,1.88,2.06,2.06,18000
4234655,1994-02-23,INOD,2.0,2.06,1.88,2.06,2.06,76800
4234656,1994-02-24,INOD,2.06,2.06,1.88,2.06,2.06,60000
4234657,1994-02-25,INOD,1.88,2.06,1.88,2.06,2.06,135600
4234658,1994-02-28,INOD,1.88,2.06,1.88,2.0,2.0,195600
4234659,1994-03-01,INOD,1.88,1.88,1.88,1.88,1.88,22800
4234660,1994-03-02,INOD,1.88,2.0,1.88,1.88,1.88,91200
4234661,1994-03-03,INOD,1.88,2.0,1.88,1.91,1.91,74400
4234662,1994-03-04,INOD,2.0,2.0,1.84,2.0,2.0,82800
4234663,1994-03-07,INOD,1.84,2.0,1.84,2.0,2.0,51600
4234664,1994-03-08,INOD,2.0,2.0,1.75,2.0,2.0,195600
4234665,1994-03-09,INOD,1.84,2.0,1.84,2.0,2.0,43200
4234666,1994-03-10,INOD,1.84,2.0,1.84,1.85,1.85,67200
4234667,1994-03-11,INOD,1.84,2.0,1.84,1.84,1.84,66000
4234668,1994-03-14,INOD,1.84,1.94,1.84,1.84,1.84,21600
4234669,1994-03-15,INOD,1.84,1.94,1.84,1.84,1.84,69600
4234670,1994-03-16,INOD,1.84,1.94,1.81,1.84,1.84,132000
4234671,1994-03-17,INOD,1.85,1.88,1.84,1.84,1.84,33600
4234672,1994-03-18,INOD,1.84,1.88,1.75,1.75,1.75,85200
4234673,1994-03-21,INOD,1.75,1.81,1.75,1.81,1.81,80400
4234674,1994-03-22,INOD,1.75,1.81,1.75,1.81,1.81,38400
4234675,1994-03-23,INOD,1.81,1.81,1.75,1.81,1.81,46800
4234676,1994-03-24,INOD,1.81,1.81,1.75,1.81,1.81,43200
4234677,1994-03-25,INOD,1.81,1.81,1.75,1.81,1.81,36000
4234678,1994-03-28,INOD,1.75,1.81,1.72,1.75,1.75,58800
4234679,1994-03-29,INOD,1.81,1.81,1.75,1.75,1.75,84000
4234680,1994-03-30,INOD,1.75,1.81,1.75,1.81,1.81,42000
4234681,1994-03-31,INOD,1.75,1.81,1.75,1.81,1.81,52800
4234682,1994-04-04,INOD,1.75,1.81,1.75,1.81,1.81,9600
4234683,1994-04-05,INOD,1.75,1.81,1.75,1.81,1.81,10800
4234684,1994-04-06,INOD,1.75,1.81,1.75,1.78,1.78,46800
4234685,1994-04-07,INOD,1.75,1.75,1.75,1.75,1.75,4800
4234686,1994-04-08,INOD,1.75,1.81,1.75,1.75,1.75,45600
4234687,1994-04-11,INOD,1.75,1.81,1.75,1.81,1.81,33600
