,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5244806,2004-07-28,MNKD,77.5,79.95,69.95,70.4,70.4,894100
5244807,2004-07-29,MNKD,70.5,71.0,70.0,70.05,70.05,120600
5244808,2004-07-30,MNKD,70.4,70.75,69.9,70.75,70.75,47600
5244809,2004-08-02,MNKD,70.75,72.0,70.0,70.05,70.05,41500
5244810,2004-08-03,MNKD,70.5,70.55,70.0,70.2,70.2,64500
5244811,2004-08-04,MNKD,70.4,70.4,69.95,70.0,70.0,25100
5244812,2004-08-05,MNKD,71.0,71.0,58.0,59.0,59.0,248500
5244813,2004-08-06,MNKD,58.25,58.9,55.5,58.25,58.25,66200
5244814,2004-08-09,MNKD,58.5,58.5,55.1,57.0,57.0,34300
5244815,2004-08-10,MNKD,57.0,61.95,57.0,59.8,59.8,42600
5244816,2004-08-11,MNKD,60.3,60.3,58.55,59.8,59.8,15200
5244817,2004-08-12,MNKD,60.0,60.4,56.1,57.0,57.0,22300
5244818,2004-08-13,MNKD,59.9,59.9,53.55,54.9,54.9,50400
5244819,2004-08-16,MNKD,55.8,60.5,54.7,60.3,60.3,24500
5244820,2004-08-17,MNKD,60.3,62.2,60.1,62.2,62.2,27700
5244821,2004-08-18,MNKD,62.9,67.0,62.0,65.25,65.25,26800
5244822,2004-08-19,MNKD,66.95,68.25,66.0,67.25,67.25,56200
5244823,2004-08-20,MNKD,68.75,68.9,66.8,67.0,67.0,54800
5244824,2004-08-23,MNKD,68.9,69.0,66.55,67.1,67.1,26500
5244825,2004-08-24,MNKD,68.25,68.25,66.4,67.15,67.15,18100
5244826,2004-08-25,MNKD,67.0,69.0,66.75,67.5,67.5,10200
5244827,2004-08-26,MNKD,68.0,69.5,67.5,67.65,67.65,25300
5244828,2004-08-27,MNKD,69.65,69.65,66.85,67.55,67.55,31300
5244829,2004-08-30,MNKD,67.85,69.5,67.5,68.15,68.15,11500
5244830,2004-08-31,MNKD,69.2,69.75,68.1,69.75,69.75,8600
5244831,2004-09-01,MNKD,69.95,76.0,69.25,72.0,72.0,57200
5244832,2004-09-02,MNKD,72.0,75.0,70.8,72.7,72.7,11600
5244833,2004-09-03,MNKD,73.25,73.75,71.55,72.75,72.75,3400
5244834,2004-09-07,MNKD,73.75,77.1,72.5,76.25,76.25,23700
5244835,2004-09-08,MNKD,77.45,80.65,74.8,78.5,78.5,29300
5244836,2004-09-09,MNKD,79.5,79.9,78.75,79.85,79.85,18500
5244837,2004-09-10,MNKD,80.0,83.5,80.0,81.55,81.55,45400
5244838,2004-09-13,MNKD,84.6,91.25,83.5,85.85,85.85,71900
5244839,2004-09-14,MNKD,87.25,87.25,83.5,84.8,84.8,50000
5244840,2004-09-15,MNKD,85.0,85.35,84.0,84.85,84.85,15400
5244841,2004-09-16,MNKD,85.5,93.0,84.2,87.8,87.8,39300
5244842,2004-09-17,MNKD,88.0,93.0,88.0,90.95,90.95,30200
5244843,2004-09-20,MNKD,93.7,96.3,90.5,94.5,94.5,46500
5244844,2004-09-21,MNKD,98.0,112.15,96.15,107.7,107.7,141600
5244845,2004-09-22,MNKD,108.75,114.25,107.75,110.5,110.5,83400
5244846,2004-09-23,MNKD,113.25,118.55,108.05,118.55,118.55,89600
5244847,2004-09-24,MNKD,121.3,121.55,113.35,116.25,116.25,89600
5244848,2004-09-27,MNKD,117.8,117.8,113.25,114.75,114.75,40500
5244849,2004-09-28,MNKD,113.75,115.0,99.0,100.0,100.0,120700
5244850,2004-09-29,MNKD,109.0,109.3,101.0,107.65,107.65,69500
5244851,2004-09-30,MNKD,108.75,109.25,98.95,100.2,100.2,247300
5244852,2004-10-01,MNKD,98.5,102.0,92.8,98.1,98.1,172100
5244853,2004-10-04,MNKD,98.25,99.0,94.05,95.0,95.0,56000
5244854,2004-10-05,MNKD,88.75,90.5,85.25,88.4,88.4,140500
5244855,2004-10-06,MNKD,87.7,88.5,79.05,79.6,79.6,120000
5244856,2004-10-07,MNKD,79.0,85.0,76.5,82.3,82.3,78900
5244857,2004-10-08,MNKD,82.65,82.95,81.5,82.95,82.95,32300
5244858,2004-10-11,MNKD,83.0,89.7,82.3,89.35,89.35,60200
5244859,2004-10-12,MNKD,89.75,92.35,87.8,87.95,87.95,47200
5244860,2004-10-13,MNKD,91.25,91.4,81.25,82.7,82.7,40700
5244861,2004-10-14,MNKD,83.9,83.9,79.1,79.35,79.35,20300
5244862,2004-10-15,MNKD,80.6,86.0,80.0,82.3,82.3,17400
5244863,2004-10-18,MNKD,79.4,82.05,77.05,77.85,77.85,55600
5244864,2004-10-19,MNKD,76.0,78.75,71.6,74.65,74.65,111700
5244865,2004-10-20,MNKD,75.0,76.85,72.75,74.9,74.9,17700
5244866,2004-10-21,MNKD,73.5,81.15,73.5,77.75,77.75,13100
5244867,2004-10-22,MNKD,77.5,79.7,76.25,79.5,79.5,25200
5244868,2004-10-25,MNKD,77.5,80.15,76.9,80.1,80.1,20000
5244869,2004-10-26,MNKD,81.4,84.25,78.8,83.0,83.0,33800
5244870,2004-10-27,MNKD,84.15,84.5,82.6,83.5,83.5,15200
5244871,2004-10-28,MNKD,83.5,89.25,83.5,86.8,86.8,37200
5244872,2004-10-29,MNKD,87.15,89.3,85.65,87.6,87.6,35900
5244873,2004-11-01,MNKD,87.1,88.0,85.25,85.55,85.55,11100
5244874,2004-11-02,MNKD,86.25,88.4,85.0,85.75,85.75,13500
5244875,2004-11-03,MNKD,86.0,88.5,85.15,87.35,87.35,9600
5244876,2004-11-04,MNKD,88.1,88.25,83.5,86.5,86.5,22100
5244877,2004-11-05,MNKD,86.0,87.5,85.1,85.1,85.1,9200
5244878,2004-11-08,MNKD,85.6,85.6,83.8,83.9,83.9,8600
5244879,2004-11-09,MNKD,84.75,92.75,84.0,89.45,89.45,64900
5244880,2004-11-10,MNKD,91.2,91.2,86.25,87.8,87.8,18400
5244881,2004-11-11,MNKD,89.5,89.5,87.0,87.35,87.35,12600
5244882,2004-11-12,MNKD,88.5,88.5,85.0,86.65,86.65,11000
5244883,2004-11-15,MNKD,87.7,87.7,81.5,83.0,83.0,27200
5244884,2004-11-16,MNKD,83.25,83.25,80.25,80.45,80.45,16700
5244885,2004-11-17,MNKD,81.0,81.0,79.0,80.0,80.0,8700
5244886,2004-11-18,MNKD,80.7,81.0,79.35,80.0,80.0,7800
5244887,2004-11-19,MNKD,79.0,80.5,76.45,76.95,76.95,7000
5244888,2004-11-22,MNKD,77.4,77.65,74.1,75.0,75.0,45800
5244889,2004-11-23,MNKD,75.6,81.7,72.8,78.55,78.55,28900
5244890,2004-11-24,MNKD,79.5,80.0,76.8,79.45,79.45,25100
5244891,2004-11-26,MNKD,79.5,79.5,77.25,79.45,79.45,2800
5244892,2004-11-29,MNKD,79.85,79.85,76.35,78.5,78.5,4700
5244893,2004-11-30,MNKD,79.0,79.2,76.85,78.5,78.5,6200
5244894,2004-12-01,MNKD,78.75,82.4,77.7,81.5,81.5,25000
5244895,2004-12-02,MNKD,80.0,82.0,79.1,81.55,81.55,14100
5244896,2004-12-03,MNKD,80.6,81.5,80.1,80.55,80.55,6400
5244897,2004-12-06,MNKD,80.0,80.1,76.25,79.5,79.5,9700
5244898,2004-12-07,MNKD,78.1,80.35,76.55,76.55,76.55,6600
5244899,2004-12-08,MNKD,77.5,82.0,76.3,79.95,79.95,18300
5244900,2004-12-09,MNKD,78.0,80.7,77.6,79.45,79.45,13500
5244901,2004-12-10,MNKD,80.4,87.25,78.0,87.25,87.25,26900
5244902,2004-12-13,MNKD,88.75,90.3,83.8,87.85,87.85,23900
5244903,2004-12-14,MNKD,87.85,99.5,87.35,91.5,91.5,84900
5244904,2004-12-15,MNKD,91.5,93.0,89.5,89.6,89.6,23100
5244905,2004-12-16,MNKD,90.75,94.5,89.2,91.0,91.0,14800
5244906,2004-12-17,MNKD,92.35,96.4,90.75,96.4,96.4,31600
5244907,2004-12-20,MNKD,93.2,99.7,92.95,94.4,94.4,15000
5244908,2004-12-21,MNKD,93.95,97.35,90.55,90.95,90.95,15200
5244909,2004-12-22,MNKD,92.7,93.1,86.5,87.45,87.45,32600
5244910,2004-12-23,MNKD,90.0,90.0,79.65,81.1,81.1,96700
5244911,2004-12-27,MNKD,81.05,83.75,80.25,81.2,81.2,29400
5244912,2004-12-28,MNKD,80.95,82.0,79.5,81.5,81.5,21800
5244913,2004-12-29,MNKD,80.15,81.75,77.75,78.7,78.7,13900
5244914,2004-12-30,MNKD,80.0,80.0,78.45,78.9,78.9,9400
5244915,2004-12-31,MNKD,81.1,81.1,77.5,78.75,78.75,16500
5244916,2005-01-03,MNKD,77.75,80.4,77.45,79.75,79.75,15300
5244917,2005-01-04,MNKD,79.75,80.75,76.25,78.0,78.0,22700
5244918,2005-01-05,MNKD,77.75,77.75,73.0,73.55,73.55,45900
5244919,2005-01-06,MNKD,73.8,75.35,73.8,74.4,74.4,15400
5244920,2005-01-07,MNKD,75.6,76.1,73.35,76.1,76.1,16300
5244921,2005-01-10,MNKD,76.0,76.0,74.0,74.1,74.1,11200
5244922,2005-01-11,MNKD,74.75,74.75,70.75,70.75,70.75,45400
5244923,2005-01-12,MNKD,72.9,72.9,67.5,70.4,70.4,23600
5244924,2005-01-13,MNKD,69.55,73.85,69.45,71.75,71.75,19900
5244925,2005-01-14,MNKD,73.0,73.85,69.5,73.85,73.85,23800
5244926,2005-01-18,MNKD,73.9,73.95,71.0,72.1,72.1,10500
5244927,2005-01-19,MNKD,72.75,73.7,71.05,71.5,71.5,13200
5244928,2005-01-20,MNKD,73.95,73.95,70.5,70.75,70.75,11900
5244929,2005-01-21,MNKD,71.45,72.35,69.5,69.75,69.75,11400
5244930,2005-01-24,MNKD,69.75,70.0,67.5,67.55,67.55,19200
5244931,2005-01-25,MNKD,69.25,69.25,64.3,65.75,65.75,49800
5244932,2005-01-26,MNKD,65.85,65.85,61.8,62.6,62.6,54900
5244933,2005-01-27,MNKD,62.5,72.15,62.3,68.9,68.9,53100
5244934,2005-01-28,MNKD,70.0,70.0,65.0,66.95,66.95,29600
5244935,2005-01-31,MNKD,66.95,70.5,66.5,70.45,70.45,19700
5244936,2005-02-01,MNKD,71.55,74.4,69.95,73.5,73.5,23700
5244937,2005-02-02,MNKD,73.25,73.95,71.85,73.75,73.75,29700
5244938,2005-02-03,MNKD,73.5,74.45,71.25,71.25,71.25,31000
5244939,2005-02-04,MNKD,71.7,80.0,71.7,74.75,74.75,54300
5244940,2005-02-07,MNKD,75.75,75.95,72.5,74.55,74.55,32500
5244941,2005-02-08,MNKD,73.8,74.5,71.55,72.15,72.15,9500
5244942,2005-02-09,MNKD,71.55,72.1,67.85,69.0,69.0,26600
5244943,2005-02-10,MNKD,75.7,76.0,68.65,70.0,70.0,83500
5244944,2005-02-11,MNKD,72.5,74.7,70.0,73.6,73.6,58600
5244945,2005-02-14,MNKD,72.5,73.55,69.8,73.15,73.15,29200
5244946,2005-02-15,MNKD,71.4,73.0,70.8,72.05,72.05,16000
5244947,2005-02-16,MNKD,72.0,72.45,70.6,71.7,71.7,25300
5244948,2005-02-17,MNKD,70.2,72.5,70.05,70.05,70.05,12600
5244949,2005-02-18,MNKD,70.7,74.1,70.15,70.95,70.95,8400
5244950,2005-02-22,MNKD,70.25,71.55,66.25,67.65,67.65,23500
5244951,2005-02-23,MNKD,70.3,71.0,68.25,68.55,68.55,24200
5244952,2005-02-24,MNKD,69.55,70.5,68.15,69.4,69.4,16800
5244953,2005-02-25,MNKD,68.75,71.8,68.75,70.6,70.6,16800
5244954,2005-02-28,MNKD,71.0,71.05,66.95,67.55,67.55,25700
5244955,2005-03-01,MNKD,68.45,69.75,66.7,67.4,67.4,11300
5244956,2005-03-02,MNKD,68.0,68.0,64.95,65.25,65.25,12800
5244957,2005-03-03,MNKD,64.95,64.95,58.5,60.3,60.3,57600
5244958,2005-03-04,MNKD,59.15,63.3,59.15,61.1,61.1,15600
5244959,2005-03-07,MNKD,60.65,61.85,58.6,59.3,59.3,22600
5244960,2005-03-08,MNKD,59.75,61.5,59.25,60.5,60.5,18800
5244961,2005-03-09,MNKD,59.85,61.25,58.95,60.45,60.45,19300
5244962,2005-03-10,MNKD,59.3,60.55,59.3,59.8,59.8,18400
5244963,2005-03-11,MNKD,59.15,62.25,58.35,61.3,61.3,14900
5244964,2005-03-14,MNKD,60.7,61.3,59.0,60.55,60.55,14900
5244965,2005-03-15,MNKD,60.55,63.1,60.0,62.05,62.05,9600
5244966,2005-03-16,MNKD,63.0,65.6,61.85,64.45,64.45,30900
5244967,2005-03-17,MNKD,64.45,65.4,63.0,65.1,65.1,24000
5244968,2005-03-18,MNKD,65.4,65.4,61.5,65.0,65.0,24800
5244969,2005-03-21,MNKD,65.0,65.0,61.6,63.9,63.9,16500
5244970,2005-03-22,MNKD,63.5,63.9,63.1,63.6,63.6,7200
5244971,2005-03-23,MNKD,63.2,65.4,63.2,64.7,64.7,18100
5244972,2005-03-24,MNKD,65.4,67.6,63.6,66.0,66.0,20600
5244973,2005-03-28,MNKD,66.85,66.85,65.95,66.55,66.55,21900
5244974,2005-03-29,MNKD,66.65,67.0,66.0,66.85,66.85,27700
5244975,2005-03-30,MNKD,67.05,71.0,67.0,70.0,70.0,34200
5244976,2005-03-31,MNKD,70.7,71.3,69.0,71.15,71.15,19400
5244977,2005-04-01,MNKD,71.45,71.95,68.05,71.35,71.35,30400
5244978,2005-04-04,MNKD,71.95,72.6,70.6,72.0,72.0,15100
5244979,2005-04-05,MNKD,71.35,72.65,70.5,72.3,72.3,22200
5244980,2005-04-06,MNKD,72.5,73.95,71.85,72.95,72.95,26500
5244981,2005-04-07,MNKD,72.3,75.9,72.15,75.9,75.9,33400
5244982,2005-04-08,MNKD,75.9,78.75,75.4,78.15,78.15,35700
5244983,2005-04-11,MNKD,78.9,80.0,77.7,78.55,78.55,16700
5244984,2005-04-12,MNKD,78.35,78.75,76.9,78.55,78.55,16700
5244985,2005-04-13,MNKD,77.75,80.0,77.1,79.6,79.6,12200
5244986,2005-04-14,MNKD,79.1,79.7,77.1,78.85,78.85,16100
5244987,2005-04-15,MNKD,78.75,79.75,75.15,75.5,75.5,24300
5244988,2005-04-18,MNKD,75.1,79.9,74.8,77.05,77.05,26200
5244989,2005-04-19,MNKD,77.8,77.8,75.5,76.25,76.25,37800
5244990,2005-04-20,MNKD,76.25,77.0,72.8,73.6,73.6,45300
5244991,2005-04-21,MNKD,72.7,75.0,72.7,74.7,74.7,16100
5244992,2005-04-22,MNKD,75.4,75.4,71.75,73.25,73.25,14000
5244993,2005-04-25,MNKD,73.5,73.5,72.05,73.35,73.35,9100
5244994,2005-04-26,MNKD,73.1,74.85,71.25,74.85,74.85,34600
5244995,2005-04-27,MNKD,73.9,74.6,72.25,72.85,72.85,36300
5244996,2005-04-28,MNKD,73.75,73.75,71.3,71.35,71.35,12700
5244997,2005-04-29,MNKD,71.7,71.7,66.75,69.25,69.25,61900
5244998,2005-05-02,MNKD,69.4,70.95,69.4,70.15,70.15,17100
5244999,2005-05-03,MNKD,70.15,71.25,68.65,69.1,69.1,16500
5245000,2005-05-04,MNKD,70.45,70.5,67.05,69.25,69.25,16100
5245001,2005-05-05,MNKD,68.75,70.5,68.05,70.45,70.45,8900
5245002,2005-05-06,MNKD,68.55,69.8,66.35,67.85,67.85,42100
5245003,2005-05-09,MNKD,68.5,68.5,66.2,67.0,67.0,27800
5245004,2005-05-10,MNKD,65.45,66.35,65.25,66.0,66.0,30200
5245005,2005-05-11,MNKD,66.15,66.5,65.1,65.75,65.75,57100
5245006,2005-05-12,MNKD,65.05,65.7,62.3,62.65,62.65,30800
5245007,2005-05-13,MNKD,63.0,63.2,58.8,60.25,60.25,62900
5245008,2005-05-16,MNKD,60.95,60.95,59.1,59.75,59.75,31600
5245009,2005-05-17,MNKD,60.0,60.65,58.5,58.85,58.85,18200
5245010,2005-05-18,MNKD,60.3,60.3,59.35,60.0,60.0,23300
5245011,2005-05-19,MNKD,60.15,61.0,57.9,59.45,59.45,11200
5245012,2005-05-20,MNKD,60.5,65.5,59.5,61.2,61.2,93700
5245013,2005-05-23,MNKD,61.15,64.95,61.0,62.6,62.6,41200
5245014,2005-05-24,MNKD,61.75,63.75,61.3,62.0,62.0,21200
5245015,2005-05-25,MNKD,61.45,62.9,60.75,61.2,61.2,35200
5245016,2005-05-26,MNKD,61.65,62.25,61.25,61.65,61.65,5200
5245017,2005-05-27,MNKD,61.4,62.5,61.4,61.65,61.65,7900
5245018,2005-05-31,MNKD,61.5,65.35,60.7,64.9,64.9,37600
5245019,2005-06-01,MNKD,65.15,66.15,64.8,66.1,66.1,11600
5245020,2005-06-02,MNKD,65.0,66.25,64.95,65.6,65.6,10700
5245021,2005-06-03,MNKD,65.55,65.55,60.6,60.95,60.95,20500
5245022,2005-06-06,MNKD,60.9,61.7,60.15,61.7,61.7,11300
5245023,2005-06-07,MNKD,61.8,62.15,59.5,60.65,60.65,15200
5245024,2005-06-08,MNKD,60.7,60.7,56.3,58.5,58.5,29400
5245025,2005-06-09,MNKD,59.1,59.1,56.8,58.4,58.4,14900
5245026,2005-06-10,MNKD,58.65,58.65,56.75,57.05,57.05,12300
5245027,2005-06-13,MNKD,55.6,55.6,47.75,49.15,49.15,115300
5245028,2005-06-14,MNKD,49.65,50.4,47.45,49.55,49.55,85500
5245029,2005-06-15,MNKD,47.5,47.5,42.9,44.85,44.85,102100
5245030,2005-06-16,MNKD,45.45,48.15,45.0,47.2,47.2,70200
5245031,2005-06-17,MNKD,47.45,48.55,45.55,47.05,47.05,56600
5245032,2005-06-20,MNKD,46.95,53.05,46.95,47.65,47.65,60900
5245033,2005-06-21,MNKD,48.4,48.95,47.5,48.4,48.4,35400
5245034,2005-06-22,MNKD,48.5,48.55,45.55,46.45,46.45,31900
5245035,2005-06-23,MNKD,46.45,47.9,46.15,47.3,47.3,9500
5245036,2005-06-24,MNKD,47.3,50.35,46.4,50.35,50.35,55900
5245037,2005-06-27,MNKD,50.75,52.25,50.35,51.85,51.85,27300
5245038,2005-06-28,MNKD,51.3,52.5,50.85,51.75,51.75,23000
5245039,2005-06-29,MNKD,52.2,52.5,50.65,50.7,50.7,18000
5245040,2005-06-30,MNKD,50.9,51.7,49.55,50.25,50.25,24000
5245041,2005-07-01,MNKD,50.5,51.0,47.65,49.05,49.05,17500
5245042,2005-07-05,MNKD,48.55,51.15,48.5,50.3,50.3,24400
5245043,2005-07-06,MNKD,50.45,52.7,49.9,51.85,51.85,29200
5245044,2005-07-07,MNKD,51.45,52.0,50.0,52.0,52.0,11800
5245045,2005-07-08,MNKD,52.0,54.85,51.7,54.55,54.55,15600
5245046,2005-07-11,MNKD,50.7,53.1,50.55,52.2,52.2,41400
5245047,2005-07-12,MNKD,51.75,55.55,51.2,55.35,55.35,33800
5245048,2005-07-13,MNKD,55.3,56.25,54.75,55.0,55.0,21500
5245049,2005-07-14,MNKD,56.2,56.75,54.6,55.05,55.05,17700
5245050,2005-07-15,MNKD,54.4,56.05,53.55,54.5,54.5,27900
5245051,2005-07-18,MNKD,53.95,54.85,50.9,51.7,51.7,19800
5245052,2005-07-19,MNKD,51.9,52.55,50.0,50.25,50.25,23500
5245053,2005-07-20,MNKD,50.0,52.45,50.0,51.45,51.45,29800
5245054,2005-07-21,MNKD,51.55,51.75,47.55,48.7,48.7,55900
5245055,2005-07-22,MNKD,48.7,48.7,45.8,48.1,48.1,28000
5245056,2005-07-25,MNKD,48.15,49.2,47.0,47.55,47.55,17000
5245057,2005-07-26,MNKD,47.65,48.25,45.0,46.15,46.15,28200
5245058,2005-07-27,MNKD,46.55,46.55,43.6,44.65,44.65,43600
5245059,2005-07-28,MNKD,44.2,48.1,43.6,43.95,43.95,31000
5245060,2005-07-29,MNKD,44.05,45.25,42.1,43.0,43.0,34100
5245061,2005-08-01,MNKD,43.15,46.0,43.15,45.2,45.2,32800
5245062,2005-08-02,MNKD,45.2,51.35,45.0,51.15,51.15,35300
5245063,2005-08-03,MNKD,51.9,58.75,50.5,57.15,57.15,117300
5245064,2005-08-04,MNKD,57.55,57.6,54.45,55.7,55.7,101500
5245065,2005-08-05,MNKD,55.7,59.25,54.65,55.0,55.0,71500
5245066,2005-08-08,MNKD,57.0,57.0,54.15,54.75,54.75,51900
5245067,2005-08-09,MNKD,55.4,55.75,51.85,53.05,53.05,33800
5245068,2005-08-10,MNKD,53.6,55.2,53.05,54.65,54.65,48800
5245069,2005-08-11,MNKD,55.05,55.5,53.0,54.85,54.85,22800
5245070,2005-08-12,MNKD,54.75,55.0,53.5,54.7,54.7,17600
5245071,2005-08-15,MNKD,55.0,58.7,54.85,58.0,58.0,45300
5245072,2005-08-16,MNKD,58.3,59.5,58.15,58.3,58.3,36500
5245073,2005-08-17,MNKD,58.35,58.35,53.65,55.75,55.75,63300
5245074,2005-08-18,MNKD,55.2,55.75,54.8,55.3,55.3,8600
5245075,2005-08-19,MNKD,55.15,55.8,54.85,54.85,54.85,5500
5245076,2005-08-22,MNKD,56.15,56.45,54.8,55.45,55.45,14600
5245077,2005-08-23,MNKD,55.7,59.75,55.5,58.2,58.2,42700
