,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5361521,1998-06-11,MSTR,80.0,122.5,79.38,105.63,105.63,1009400
5361522,1998-06-12,MSTR,116.88,121.88,100.0,104.38,104.38,332100
5361523,1998-06-15,MSTR,102.5,107.5,93.75,102.19,102.19,114800
5361524,1998-06-16,MSTR,102.5,106.88,100.63,103.75,103.75,33600
5361525,1998-06-17,MSTR,105.63,115.31,103.75,114.38,114.38,72900
5361526,1998-06-18,MSTR,115.63,133.75,115.0,130.0,130.0,108100
5361527,1998-06-19,MSTR,134.06,148.75,130.0,140.63,140.63,109100
5361528,1998-06-22,MSTR,149.38,155.0,139.38,140.0,140.0,47700
5361529,1998-06-23,MSTR,138.75,140.0,129.38,130.0,130.0,83900
5361530,1998-06-24,MSTR,131.25,133.75,121.25,126.88,126.88,44100
5361531,1998-06-25,MSTR,126.88,130.0,126.88,129.38,129.38,25500
5361532,1998-06-26,MSTR,130.0,137.5,127.5,136.88,136.88,15100
5361533,1998-06-29,MSTR,134.38,142.5,133.75,142.5,142.5,24000
5361534,1998-06-30,MSTR,137.5,146.25,137.5,141.25,141.25,13700
5361535,1998-07-01,MSTR,140.94,143.13,138.75,138.75,138.75,6000
5361536,1998-07-02,MSTR,140.94,140.94,128.75,131.25,131.25,13800
5361537,1998-07-06,MSTR,135.63,142.5,135.0,141.25,141.25,43000
5361538,1998-07-07,MSTR,141.56,143.13,131.25,137.19,137.19,36400
5361539,1998-07-08,MSTR,138.75,141.25,137.5,139.38,139.38,8700
5361540,1998-07-09,MSTR,140.63,141.88,136.88,140.31,140.31,5300
5361541,1998-07-10,MSTR,141.25,156.25,137.5,156.25,156.25,35800
5361542,1998-07-13,MSTR,165.0,203.13,159.38,196.25,196.25,52100
5361543,1998-07-14,MSTR,213.13,222.5,186.88,195.0,195.0,128600
5361544,1998-07-15,MSTR,197.5,197.5,175.0,183.75,183.75,42500
5361545,1998-07-16,MSTR,182.81,182.81,167.19,168.13,168.13,39800
5361546,1998-07-17,MSTR,175.0,175.63,165.0,167.5,167.5,15900
5361547,1998-07-20,MSTR,172.5,195.0,171.88,188.44,188.44,44100
5361548,1998-07-21,MSTR,193.75,201.25,185.0,191.25,191.25,37000
5361549,1998-07-22,MSTR,190.63,193.13,180.63,185.0,185.0,7200
5361550,1998-07-23,MSTR,182.5,204.69,182.5,195.0,195.0,25100
5361551,1998-07-24,MSTR,200.0,201.25,176.25,190.0,190.0,17300
5361552,1998-07-27,MSTR,187.5,189.06,172.5,180.0,180.0,26000
