,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5468419,1995-03-14,NATI,3.75,4.49,3.65,3.95,2.92,19447300
5468420,1995-03-15,NATI,4.0,4.1,3.8,3.9,2.88,2430000
5468421,1995-03-16,NATI,3.9,4.1,3.9,4.02,2.97,2272900
5468422,1995-03-17,NATI,4.1,4.1,3.95,4.02,2.97,872700
5468423,1995-03-20,NATI,4.05,4.05,3.9,4.0,2.95,1445800
5468424,1995-03-21,NATI,3.95,4.2,3.95,4.0,2.95,1812600
5468425,1995-03-22,NATI,4.0,4.1,3.95,4.05,2.99,1858200
5468426,1995-03-23,NATI,4.05,4.05,3.9,4.05,2.99,194400
5468427,1995-03-24,NATI,4.05,4.05,3.9,3.9,2.88,1286100
5468428,1995-03-27,NATI,4.05,4.05,3.85,3.85,2.84,448300
5468429,1995-03-28,NATI,3.85,4.0,3.75,3.75,2.77,637800
5468430,1995-03-29,NATI,3.75,3.9,3.7,3.7,2.74,520600
5468431,1995-03-30,NATI,3.7,3.8,3.46,3.51,2.59,1205700
5468432,1995-03-31,NATI,3.46,3.56,3.41,3.56,2.63,690700
5468433,1995-04-03,NATI,3.56,3.65,3.41,3.65,2.7,186400
5468434,1995-04-04,NATI,3.7,3.9,3.56,3.78,2.79,367300
5468435,1995-04-05,NATI,3.9,3.9,3.7,3.85,2.84,150000
5468436,1995-04-06,NATI,3.9,3.9,3.75,3.85,2.84,485200
5468437,1995-04-07,NATI,3.85,3.85,3.7,3.8,2.81,26200
5468438,1995-04-10,NATI,3.8,3.8,3.65,3.75,2.77,24400
5468439,1995-04-11,NATI,3.65,3.8,3.65,3.68,2.72,292500
5468440,1995-04-12,NATI,3.7,3.85,3.65,3.85,2.84,98100
5468441,1995-04-13,NATI,3.7,3.85,3.7,3.7,2.74,463900
5468442,1995-04-17,NATI,3.7,3.85,3.7,3.7,2.74,69000
5468443,1995-04-18,NATI,3.65,3.75,3.56,3.6,2.66,963100
5468444,1995-04-19,NATI,3.6,3.6,3.56,3.56,2.63,101200
5468445,1995-04-20,NATI,3.6,3.6,3.56,3.58,2.64,345100
5468446,1995-04-21,NATI,3.6,3.6,3.56,3.56,2.63,78300
5468447,1995-04-24,NATI,3.6,3.6,3.56,3.56,2.63,30300
5468448,1995-04-25,NATI,3.6,3.75,3.56,3.6,2.66,272200
5468449,1995-04-26,NATI,3.6,3.75,3.6,3.68,2.72,742000
5468450,1995-04-27,NATI,3.65,3.75,3.56,3.68,2.72,70800
5468451,1995-04-28,NATI,3.75,3.75,3.56,3.7,2.74,89100
5468452,1995-05-01,NATI,3.56,3.7,3.31,3.36,2.48,992400
5468453,1995-05-02,NATI,3.46,3.75,3.41,3.75,2.77,481900
5468454,1995-05-03,NATI,3.75,3.75,3.65,3.65,2.7,19000
5468455,1995-05-04,NATI,3.75,3.75,3.6,3.6,2.66,139600
5468456,1995-05-05,NATI,3.56,3.65,3.56,3.6,2.66,267300
5468457,1995-05-08,NATI,3.65,3.75,3.56,3.73,2.75,98100
5468458,1995-05-09,NATI,3.75,3.75,3.6,3.63,2.68,162900
5468459,1995-05-10,NATI,3.56,3.56,3.51,3.51,2.59,74800
5468460,1995-05-11,NATI,3.65,3.7,3.51,3.51,2.59,47400
