,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
5915500,2018-05-24,ONCY,0.79,0.82,0.74,0.74,0.74,442300
5915501,2018-05-30,ONCY,7.65,7.68,7.53,7.55,7.55,35500
5915502,2018-05-31,ONCY,7.92,7.92,6.06,6.1,6.1,244400
5915503,2018-06-01,ONCY,5.85,6.39,5.8,6.26,6.26,704300
5915504,2018-06-04,ONCY,6.34,6.4,6.11,6.25,6.25,91200
5915505,2018-06-05,ONCY,6.45,6.97,6.2,6.97,6.97,118600
5915506,2018-06-06,ONCY,6.97,7.33,6.88,7.15,7.15,153900
5915507,2018-06-07,ONCY,7.4,7.4,7.09,7.2,7.2,78900
5915508,2018-06-08,ONCY,7.24,7.24,6.95,6.97,6.97,74400
5915509,2018-06-11,ONCY,7.0,7.08,6.95,6.98,6.98,71200
5915510,2018-06-12,ONCY,7.0,7.04,6.51,6.56,6.56,87700
5915511,2018-06-13,ONCY,6.6,6.76,6.3,6.34,6.34,57700
5915512,2018-06-14,ONCY,6.41,6.5,5.86,6.2,6.2,108200
5915513,2018-06-15,ONCY,6.23,6.32,6.12,6.16,6.16,28300
5915514,2018-06-25,ONCY,5.85,5.93,5.56,5.63,5.63,49700
5915515,2018-06-26,ONCY,5.63,5.68,5.33,5.35,5.35,69000
5915516,2018-06-27,ONCY,5.26,5.36,4.9,4.9,4.9,119500
5915517,2018-06-28,ONCY,4.89,5.34,4.89,5.22,5.22,33400
5915518,2018-06-29,ONCY,5.22,5.67,5.08,5.5,5.5,21400
5915519,2018-07-02,ONCY,5.65,5.65,5.18,5.44,5.44,8200
5915520,2018-07-03,ONCY,5.4,5.48,5.4,5.41,5.41,6700
5915521,2018-07-05,ONCY,5.41,5.45,5.15,5.43,5.43,25800
5915522,2018-07-06,ONCY,5.51,5.6,5.43,5.6,5.6,14200
5915523,2018-07-09,ONCY,5.65,6.02,5.65,5.92,5.92,72800
5915524,2018-07-10,ONCY,5.93,6.04,5.62,5.7,5.7,22100
5915525,2018-07-11,ONCY,5.59,5.94,5.59,5.7,5.7,21100
5915526,2018-07-12,ONCY,5.68,5.74,5.5,5.53,5.53,44100
5915527,2018-07-13,ONCY,5.5,5.5,5.37,5.4,5.4,29500
5915528,2018-07-16,ONCY,5.37,5.47,5.37,5.41,5.41,8900
5915529,2018-07-17,ONCY,5.35,5.43,5.33,5.37,5.37,18800
5915530,2018-07-18,ONCY,5.33,5.35,5.25,5.25,5.25,16400
5915531,2018-07-19,ONCY,5.47,5.47,5.25,5.3,5.3,8500
5915532,2018-07-20,ONCY,5.3,5.35,5.2,5.25,5.25,13800
5915533,2018-07-23,ONCY,5.28,5.37,5.17,5.22,5.22,26200
5915534,2018-07-24,ONCY,5.2,5.29,5.08,5.08,5.08,27100
5915535,2018-07-25,ONCY,5.01,5.13,4.99,5.02,5.02,43700
5915536,2018-07-26,ONCY,5.05,5.05,4.9,4.91,4.91,30300
5915537,2018-07-27,ONCY,4.89,4.93,4.72,4.77,4.77,48100
5915538,2018-07-30,ONCY,4.7,4.81,4.7,4.75,4.75,17400
5915539,2018-07-31,ONCY,4.82,5.04,4.75,4.96,4.96,17100
5915540,2018-08-01,ONCY,4.99,5.0,4.75,4.78,4.78,37900
5915541,2018-08-02,ONCY,4.79,4.81,4.73,4.8,4.8,19800
5915542,2018-08-03,ONCY,4.8,4.83,4.34,4.39,4.39,110500
5915543,2018-08-06,ONCY,4.31,4.42,4.05,4.18,4.18,239200
5915544,2018-08-07,ONCY,4.27,4.53,4.27,4.4,4.4,64900
5915545,2018-08-08,ONCY,4.49,4.49,4.0,4.19,4.19,114400
5915546,2018-08-09,ONCY,4.27,4.32,4.19,4.3,4.3,63200
5915547,2018-08-10,ONCY,4.5,4.84,4.46,4.84,4.84,130900
5915548,2018-08-13,ONCY,5.31,5.31,4.5,4.8,4.8,75800
5915549,2018-08-14,ONCY,4.8,4.98,4.75,4.77,4.77,29500
5915550,2018-08-15,ONCY,4.66,4.8,4.35,4.47,4.47,48300
5915551,2018-08-16,ONCY,4.46,4.57,4.24,4.27,4.27,67400
5915552,2018-08-17,ONCY,4.16,4.4,4.16,4.34,4.34,19200
5915553,2018-08-20,ONCY,4.34,4.59,4.34,4.43,4.43,33900
5915554,2018-08-21,ONCY,4.41,4.49,4.37,4.49,4.49,45500
5915555,2018-08-22,ONCY,4.42,4.59,4.42,4.54,4.54,47500
5915556,2018-08-23,ONCY,4.48,4.55,4.36,4.36,4.36,20600
5915557,2018-08-24,ONCY,4.4,4.47,4.11,4.27,4.27,33600
5915558,2018-08-27,ONCY,4.26,4.33,4.16,4.19,4.19,28000
5915559,2018-08-28,ONCY,4.12,4.27,4.07,4.1,4.1,31100
5915560,2018-08-29,ONCY,4.04,4.1,4.0,4.08,4.08,54900
5915561,2018-08-30,ONCY,4.02,4.2,4.02,4.06,4.06,16400
5915562,2018-08-31,ONCY,4.01,4.24,4.01,4.18,4.18,30100
5915563,2018-09-04,ONCY,4.08,4.12,3.87,3.9,3.9,54800
5915564,2018-09-05,ONCY,3.81,3.96,3.77,3.83,3.83,39400
5915565,2018-09-06,ONCY,3.98,4.14,3.88,4.14,4.14,43700
5915566,2018-09-07,ONCY,4.1,4.5,4.0,4.5,4.5,93100
5915567,2018-09-10,ONCY,4.6,4.7,4.18,4.25,4.25,61500
5915568,2018-09-11,ONCY,4.15,4.17,4.0,4.06,4.06,36300
5915569,2018-09-12,ONCY,4.04,4.15,3.92,4.1,4.1,47400
5915570,2018-09-13,ONCY,4.15,4.67,4.15,4.49,4.49,134200
5915571,2018-09-14,ONCY,4.36,5.12,4.36,4.99,4.99,120700
5915572,2018-09-17,ONCY,5.05,5.1,4.36,4.49,4.49,105700
5915573,2018-09-18,ONCY,4.71,4.71,4.32,4.39,4.39,37600
5915574,2018-09-19,ONCY,4.39,4.58,4.22,4.22,4.22,57300
5915575,2018-09-20,ONCY,4.46,4.65,4.2,4.4,4.4,96200
5915576,2018-09-21,ONCY,4.37,4.47,4.05,4.2,4.2,151957
5915577,2018-09-24,ONCY,4.29,4.29,4.1,4.15,4.15,66000
5915578,2018-09-25,ONCY,4.11,4.17,4.03,4.04,4.04,81100
