,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
6336722,1996-11-15,PLUS,4.75,5.13,4.56,4.75,4.47,2454800
6336723,1996-11-18,PLUS,4.88,4.88,4.63,4.63,4.35,289000
6336724,1996-11-19,PLUS,4.63,4.75,4.5,4.53,4.26,170400
6336725,1996-11-20,PLUS,4.5,4.69,4.5,4.56,4.29,87400
6336726,1996-11-21,PLUS,4.5,4.63,4.5,4.5,4.24,189200
6336727,1996-11-22,PLUS,4.5,4.56,4.38,4.38,4.12,26800
6336728,1996-11-25,PLUS,4.38,4.38,4.38,4.38,4.12,38800
6336729,1996-11-26,PLUS,4.5,4.5,4.38,4.38,4.12,37200
6336730,1996-11-27,PLUS,4.5,4.69,4.5,4.56,4.29,161200
6336731,1996-11-29,PLUS,4.56,4.56,4.56,4.56,4.29,10000
6336732,1996-12-02,PLUS,4.56,4.69,4.56,4.56,4.29,30400
6336733,1996-12-03,PLUS,4.56,4.63,4.56,4.56,4.29,91000
6336734,1996-12-04,PLUS,4.69,4.81,4.56,4.81,4.53,102200
6336735,1996-12-05,PLUS,4.63,4.75,4.63,4.75,4.47,10400
6336736,1996-12-06,PLUS,4.69,4.75,4.63,4.63,4.35,56200
6336737,1996-12-09,PLUS,4.63,4.75,4.63,4.75,4.47,50200
6336738,1996-12-10,PLUS,4.63,4.75,4.63,4.75,4.47,18000
6336739,1996-12-11,PLUS,4.69,4.69,4.63,4.63,4.35,22000
6336740,1996-12-12,PLUS,4.63,4.75,4.63,4.75,4.47,42000
6336741,1996-12-13,PLUS,4.63,4.63,4.63,4.63,4.35,21000
6336742,1996-12-16,PLUS,4.63,4.63,4.63,4.63,4.35,0
6336743,1996-12-17,PLUS,4.56,4.56,4.56,4.56,4.29,14800
6336744,1996-12-18,PLUS,4.56,4.56,4.56,4.56,4.29,2000
6336745,1996-12-19,PLUS,4.56,4.56,4.56,4.56,4.29,2000
6336746,1996-12-20,PLUS,4.56,4.69,4.56,4.69,4.41,151600
6336747,1996-12-23,PLUS,4.69,4.69,4.69,4.69,4.41,90000
6336748,1996-12-24,PLUS,4.69,4.69,4.69,4.69,4.41,0
6336749,1996-12-26,PLUS,4.69,4.69,4.69,4.69,4.41,0
6336750,1996-12-27,PLUS,4.69,4.69,4.69,4.69,4.41,0
6336751,1996-12-30,PLUS,4.69,4.69,4.69,4.69,4.41,0
6336752,1996-12-31,PLUS,4.88,4.88,4.69,4.75,4.47,36800
6336753,1997-01-02,PLUS,4.69,4.88,4.69,4.75,4.47,30000
6336754,1997-01-03,PLUS,4.69,4.69,4.69,4.69,4.41,1000
6336755,1997-01-06,PLUS,4.69,4.69,4.69,4.69,4.41,0
6336756,1997-01-07,PLUS,4.69,4.81,4.69,4.78,4.5,234400
6336757,1997-01-08,PLUS,4.88,4.88,4.81,4.81,4.53,2400
6336758,1997-01-09,PLUS,4.69,4.88,4.69,4.69,4.41,16200
6336759,1997-01-10,PLUS,4.69,4.81,4.69,4.81,4.53,26000
6336760,1997-01-13,PLUS,4.88,5.31,4.88,5.31,5.0,30800
6336761,1997-01-14,PLUS,5.31,5.31,5.25,5.25,4.94,8000
6336762,1997-01-15,PLUS,5.38,5.5,5.25,5.5,5.18,7000
6336763,1997-01-16,PLUS,5.5,5.5,5.5,5.5,5.18,0
6336764,1997-01-17,PLUS,5.25,5.44,5.25,5.44,5.12,40400
6336765,1997-01-20,PLUS,5.63,5.63,5.38,5.63,5.29,5600
6336766,1997-01-21,PLUS,5.75,6.06,5.69,5.75,5.41,28200
6336767,1997-01-22,PLUS,6.06,6.13,5.88,5.94,5.59,43600
6336768,1997-01-23,PLUS,6.13,6.5,6.13,6.5,6.12,35000
6336769,1997-01-24,PLUS,6.5,6.5,6.25,6.5,6.12,12400
6336770,1997-01-27,PLUS,6.5,6.88,6.31,6.88,6.47,26000
6336771,1997-01-28,PLUS,7.0,7.25,6.5,6.75,6.35,29800
6336772,1997-01-29,PLUS,6.75,6.75,6.75,6.75,6.35,2000
6336773,1997-01-30,PLUS,6.5,6.5,6.5,6.5,6.12,32000
6336774,1997-01-31,PLUS,6.75,6.88,6.5,6.75,6.35,13600
6336775,1997-02-03,PLUS,7.0,7.25,6.75,7.25,6.82,48600
6336776,1997-02-04,PLUS,7.25,7.25,6.63,6.63,6.24,8000
6336777,1997-02-05,PLUS,6.63,7.13,6.63,7.13,6.71,35000
6336778,1997-02-06,PLUS,6.63,7.13,6.63,6.63,6.24,33000
6336779,1997-02-07,PLUS,6.63,6.63,6.63,6.63,6.24,200
6336780,1997-02-10,PLUS,7.13,7.13,6.63,7.0,6.59,32800
6336781,1997-02-11,PLUS,7.0,7.0,6.63,6.63,6.24,20800
6336782,1997-02-12,PLUS,7.0,7.0,7.0,7.0,6.59,200
6336783,1997-02-13,PLUS,6.75,6.75,6.38,6.56,6.18,106600
6336784,1997-02-14,PLUS,7.0,7.0,6.5,6.5,6.12,147200
6336785,1997-02-18,PLUS,6.5,7.0,6.5,6.75,6.35,8800
6336786,1997-02-19,PLUS,6.63,6.63,6.5,6.5,6.12,32600
6336787,1997-02-20,PLUS,6.56,6.56,6.5,6.5,6.12,189600
