,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7540812,2006-07-14,SSBI,12.2,12.39,12.0,12.0,6.08,224600
7540813,2006-07-17,SSBI,12.16,12.16,12.0,12.0,6.08,32300
7540814,2006-07-18,SSBI,12.2,12.2,12.0,12.0,6.08,19500
7540815,2006-07-19,SSBI,12.0,12.08,12.0,12.0,6.08,11300
7540816,2006-07-20,SSBI,12.0,12.0,12.0,12.0,6.08,10500
7540817,2006-07-21,SSBI,12.0,12.08,12.0,12.0,6.08,9500
7540818,2006-07-24,SSBI,12.0,13.12,12.0,12.08,6.12,35500
7540819,2006-07-25,SSBI,12.0,12.04,12.0,12.0,6.08,10000
7540820,2006-07-26,SSBI,12.31,12.31,12.0,12.04,6.1,22800
7540821,2006-07-27,SSBI,12.0,12.01,12.0,12.0,6.08,25500
7540822,2006-07-28,SSBI,12.12,12.12,12.0,12.0,6.08,16000
7540823,2006-07-31,SSBI,12.01,12.06,12.0,12.0,6.08,8000
7540824,2006-08-01,SSBI,12.0,12.0,12.0,12.0,6.08,17000
7540825,2006-08-02,SSBI,12.0,12.0,12.0,12.0,6.08,39100
7540826,2006-08-03,SSBI,12.0,12.1,11.92,12.0,6.08,14200
7540827,2006-08-04,SSBI,12.0,12.0,12.0,12.0,6.08,12800
7540828,2006-08-07,SSBI,12.0,12.0,12.0,12.0,6.08,39800
7540829,2006-08-08,SSBI,12.0,12.16,12.0,12.16,6.2,23300
7540830,2006-08-09,SSBI,12.0,12.0,12.0,12.0,6.12,6500
7540831,2006-08-10,SSBI,12.01,12.01,12.0,12.0,6.12,7500
7540832,2006-08-11,SSBI,12.0,12.01,11.36,11.42,5.82,71200
7540833,2006-08-14,SSBI,11.21,11.27,10.48,10.68,5.45,44200
7540834,2006-08-15,SSBI,10.64,11.38,10.64,11.38,5.8,6500
7540835,2006-08-16,SSBI,10.8,10.97,10.8,10.94,5.58,8000
7540836,2006-08-17,SSBI,10.94,10.94,10.94,10.94,5.58,3800
7540837,2006-08-18,SSBI,10.94,11.0,10.94,10.96,5.59,7100
7540838,2006-08-21,SSBI,11.11,11.21,11.11,11.12,5.67,5100
7540839,2006-08-22,SSBI,11.04,11.2,11.01,11.06,5.65,11300
7540840,2006-08-23,SSBI,11.06,11.06,11.06,11.06,5.65,0
7540841,2006-08-24,SSBI,11.06,11.06,11.06,11.06,5.65,0
7540842,2006-08-25,SSBI,11.12,11.2,11.01,11.17,5.7,4700
7540843,2006-08-28,SSBI,11.2,11.33,11.16,11.17,5.7,3300
7540844,2006-08-29,SSBI,11.04,11.14,11.04,11.14,5.68,41500
7540845,2006-08-30,SSBI,11.1,11.28,11.03,11.28,5.76,2500
7540846,2006-08-31,SSBI,11.02,11.2,11.02,11.02,5.62,4800
7540847,2006-09-01,SSBI,11.18,11.2,11.14,11.19,5.71,2600
7540848,2006-09-05,SSBI,11.02,11.19,11.02,11.19,5.71,1100
7540849,2006-09-06,SSBI,11.06,11.06,11.06,11.06,5.64,500
7540850,2006-09-07,SSBI,11.12,11.12,10.97,10.97,5.6,21100
7540851,2006-09-08,SSBI,10.98,11.0,10.98,11.0,5.61,1200
7540852,2006-09-11,SSBI,11.04,11.04,11.04,11.04,5.63,1200
7540853,2006-09-12,SSBI,11.04,11.04,10.88,10.93,5.58,11800
7540854,2006-09-13,SSBI,10.88,10.93,10.6,10.8,5.51,11300
7540855,2006-09-14,SSBI,10.52,10.84,10.0,10.28,5.25,22500
7540856,2006-09-15,SSBI,10.2,10.52,10.2,10.51,5.36,34100
7540857,2006-09-18,SSBI,10.4,10.52,10.4,10.52,5.37,17300
7540858,2006-09-19,SSBI,10.54,10.54,10.44,10.48,5.35,20500
