,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7782037,1990-03-26,TCCO,11.75,11.75,11.25,11.5,6.73,3000
7782038,1990-03-27,TCCO,11.25,11.5,11.25,11.5,6.73,1200
7782039,1990-03-28,TCCO,11.5,11.5,11.0,11.0,6.44,3500
7782040,1990-03-29,TCCO,11.0,11.25,11.0,11.0,6.44,1800
7782041,1990-03-30,TCCO,11.0,11.0,11.0,11.0,6.44,1600
7782042,1990-04-02,TCCO,11.0,11.25,10.75,11.25,6.58,7300
7782043,1990-04-03,TCCO,11.25,11.5,11.0,11.0,6.44,27000
7782044,1990-04-04,TCCO,11.25,11.5,11.0,11.25,6.58,6800
7782045,1990-04-05,TCCO,11.25,11.25,10.75,11.0,6.44,6000
7782046,1990-04-06,TCCO,10.75,11.25,10.75,11.0,6.44,10500
7782047,1990-04-09,TCCO,11.25,11.25,10.5,10.5,6.14,15700
7782048,1990-04-10,TCCO,11.0,11.0,10.5,10.5,6.14,8000
7782049,1990-04-11,TCCO,11.0,11.25,10.88,11.25,6.58,11400
7782050,1990-04-12,TCCO,11.25,11.25,11.0,11.0,6.44,16300
7782051,1990-04-16,TCCO,11.25,11.25,10.75,10.75,6.29,500
7782052,1990-04-17,TCCO,11.0,11.0,10.88,10.88,6.36,4400
7782053,1990-04-18,TCCO,11.13,11.13,11.13,11.13,6.51,500
7782054,1990-04-19,TCCO,11.13,11.13,10.75,11.0,6.44,8500
7782055,1990-04-20,TCCO,10.75,11.13,10.75,10.88,6.36,2400
7782056,1990-04-23,TCCO,11.0,11.0,10.0,10.5,6.14,13700
7782057,1990-04-24,TCCO,10.5,10.5,10.25,10.5,6.14,16100
7782058,1990-04-25,TCCO,10.75,11.25,10.5,11.25,6.58,23300
7782059,1990-04-26,TCCO,11.5,11.5,11.0,11.25,6.58,12200
7782060,1990-04-27,TCCO,11.25,11.5,11.0,11.25,6.58,23300
7782061,1990-04-30,TCCO,11.25,11.5,11.0,11.5,6.73,4800
7782062,1990-05-01,TCCO,11.5,11.75,11.5,11.5,6.73,7500
7782063,1990-05-02,TCCO,11.75,11.75,11.5,11.75,6.87,8700
7782064,1990-05-03,TCCO,11.75,12.25,11.5,11.63,6.8,5700
7782065,1990-05-04,TCCO,12.25,12.25,11.75,12.0,7.02,13600
7782066,1990-05-07,TCCO,12.0,12.0,12.0,12.0,7.02,2000
7782067,1990-05-08,TCCO,12.13,12.25,12.0,12.25,7.17,4600
7782068,1990-05-09,TCCO,12.25,12.25,12.25,12.25,7.17,400
7782069,1990-05-10,TCCO,11.88,12.25,11.88,11.88,6.95,5700
7782070,1990-05-11,TCCO,11.88,12.25,11.75,12.0,7.02,2400
7782071,1990-05-14,TCCO,12.25,12.25,11.75,11.75,6.87,6200
7782072,1990-05-15,TCCO,11.75,12.0,11.5,12.0,7.02,30500
7782073,1990-05-16,TCCO,11.75,12.0,11.75,12.0,7.02,1600
7782074,1990-05-17,TCCO,12.0,12.25,11.75,11.75,6.87,8500
7782075,1990-05-18,TCCO,12.25,12.25,12.25,12.25,7.17,2800
7782076,1990-05-21,TCCO,12.25,13.25,12.0,13.25,7.75,43900
7782077,1990-05-22,TCCO,13.25,13.75,13.0,13.25,7.75,27200
7782078,1990-05-23,TCCO,13.5,13.75,13.25,13.25,7.75,16700
7782079,1990-05-24,TCCO,13.75,14.0,13.25,13.75,8.05,28100
7782080,1990-05-25,TCCO,14.0,15.5,13.75,15.0,8.78,84500
