,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
7797907,1996-04-30,TCX,57.0,57.0,49.0,53.0,48.72,406400
7797908,1996-05-01,TCX,53.0,53.0,45.0,49.0,45.04,96100
7797909,1996-05-02,TCX,47.0,49.0,47.0,48.0,44.13,30200
7797910,1996-05-03,TCX,47.0,49.0,45.0,45.5,41.83,26700
7797911,1996-05-06,TCX,46.5,46.5,45.0,45.0,41.37,50000
7797912,1996-05-07,TCX,45.0,46.0,45.0,45.0,41.37,20800
7797913,1996-05-08,TCX,45.0,46.0,45.0,45.0,41.37,29100
7797914,1996-05-09,TCX,46.0,46.0,44.0,44.0,40.45,11500
7797915,1996-05-10,TCX,46.0,46.0,44.0,45.0,41.37,25200
7797916,1996-05-13,TCX,46.0,50.0,44.0,49.25,45.27,92200
7797917,1996-05-14,TCX,49.0,50.0,48.0,48.5,44.58,20100
7797918,1996-05-15,TCX,50.0,50.0,48.0,48.0,44.13,46000
7797919,1996-05-16,TCX,50.0,50.0,47.0,48.0,44.13,26800
7797920,1996-05-17,TCX,49.0,51.0,49.0,49.0,45.04,15100
7797921,1996-05-20,TCX,50.0,53.0,49.0,52.0,47.8,17800
7797922,1996-05-21,TCX,53.0,58.0,52.0,56.0,51.48,67200
7797923,1996-05-22,TCX,56.0,56.0,54.0,56.0,51.48,16200
7797924,1996-05-23,TCX,56.0,56.0,51.0,51.0,46.88,23400
7797925,1996-05-24,TCX,51.0,53.0,51.0,53.0,48.72,1400
7797926,1996-05-28,TCX,54.0,57.0,52.0,53.0,48.72,55100
7797927,1996-05-29,TCX,53.0,54.0,52.0,53.0,48.72,58300
7797928,1996-05-30,TCX,52.0,54.0,51.0,51.0,46.88,13800
7797929,1996-05-31,TCX,50.0,53.0,50.0,50.0,45.96,12800
7797930,1996-06-03,TCX,50.0,52.0,50.0,52.0,47.8,10700
7797931,1996-06-04,TCX,52.0,52.0,50.0,52.0,47.8,9700
7797932,1996-06-05,TCX,50.0,52.0,50.0,52.0,47.8,7500
7797933,1996-06-06,TCX,50.0,52.0,49.0,49.0,45.04,11400
7797934,1996-06-07,TCX,49.0,49.0,47.0,47.0,43.21,38000
7797935,1996-06-10,TCX,49.0,50.0,48.0,48.0,44.13,11200
7797936,1996-06-11,TCX,50.0,50.0,46.0,46.0,42.29,13700
7797937,1996-06-12,TCX,49.0,49.0,43.0,44.0,40.45,9700
7797938,1996-06-13,TCX,44.0,45.0,41.0,44.0,40.45,5700
7797939,1996-06-14,TCX,41.0,44.0,41.0,41.0,37.69,1800
7797940,1996-06-17,TCX,41.0,44.0,41.0,42.0,38.61,6900
7797941,1996-06-18,TCX,44.0,44.0,41.0,41.0,37.69,2600
7797942,1996-06-19,TCX,44.0,44.0,38.0,38.0,34.93,12100
7797943,1996-06-20,TCX,37.0,39.0,34.0,36.0,33.09,12000
7797944,1996-06-21,TCX,34.0,36.0,34.0,34.0,31.26,2800
7797945,1996-06-24,TCX,37.0,37.0,32.0,32.0,29.42,8500
7797946,1996-06-25,TCX,34.5,35.0,32.0,34.0,31.26,17800
7797947,1996-06-26,TCX,35.0,35.0,32.0,32.0,29.42,8600
7797948,1996-06-27,TCX,34.0,34.0,32.0,33.0,30.34,16200
7797949,1996-06-28,TCX,32.0,34.0,31.0,32.0,29.42,3100
7797950,1996-07-01,TCX,31.0,33.0,31.0,31.0,28.5,3700
7797951,1996-07-02,TCX,31.0,33.0,31.0,33.0,30.34,600
7797952,1996-07-03,TCX,33.0,33.0,31.0,32.0,29.42,3200
7797953,1996-07-05,TCX,32.0,32.0,31.0,32.0,29.42,500
7797954,1996-07-08,TCX,31.0,32.0,31.0,31.0,28.5,900
7797955,1996-07-09,TCX,33.0,33.0,31.0,33.0,30.34,12800
7797956,1996-07-10,TCX,31.0,33.0,31.0,31.25,28.73,11000
7797957,1996-07-11,TCX,31.0,33.0,29.0,29.0,26.66,14200
7797958,1996-07-12,TCX,29.0,31.0,29.0,29.5,27.12,2100
7797959,1996-07-15,TCX,31.0,31.0,26.0,26.0,23.9,6700
7797960,1996-07-16,TCX,26.0,27.0,23.0,23.0,21.14,18600
7797961,1996-07-17,TCX,25.0,26.0,23.0,23.0,21.14,57400
