,Date,symbolid,Open,High,Low,Close,AdjClose,Volume
8025831,2016-09-21,TTD,28.75,30.4,27.8,30.1,30.1,6343800
8025832,2016-09-22,TTD,31.0,31.7,28.41,28.9,28.9,2272800
8025833,2016-09-23,TTD,28.85,28.9,26.84,27.66,27.66,1058700
8025834,2016-09-26,TTD,27.1,28.42,27.0,27.77,27.77,306100
8025835,2016-09-27,TTD,28.33,30.85,27.34,29.98,29.98,1015800
8025836,2016-09-28,TTD,30.73,33.4,30.02,33.39,33.39,2056500
8025837,2016-09-29,TTD,32.6,33.19,28.8,28.99,28.99,1703300
8025838,2016-09-30,TTD,29.35,30.95,29.19,29.21,29.21,949000
8025839,2016-10-03,TTD,29.12,29.32,26.19,26.38,26.38,1080400
8025840,2016-10-04,TTD,26.39,27.25,23.63,23.83,23.83,1338100
8025841,2016-10-05,TTD,24.42,25.2,23.5,24.78,24.78,963400
8025842,2016-10-06,TTD,25.12,26.94,24.61,26.08,26.08,855300
8025843,2016-10-07,TTD,25.28,26.49,25.02,26.26,26.26,448500
8025844,2016-10-10,TTD,25.77,26.37,25.1,25.28,25.28,364500
8025845,2016-10-11,TTD,25.06,25.92,23.5,25.52,25.52,539400
8025846,2016-10-12,TTD,25.32,26.96,25.32,26.9,26.9,331800
8025847,2016-10-13,TTD,26.4,26.73,25.5,25.97,25.97,245300
8025848,2016-10-14,TTD,26.11,27.24,26.05,26.36,26.36,222900
8025849,2016-10-17,TTD,27.02,27.25,26.14,26.27,26.27,337600
8025850,2016-10-18,TTD,26.27,26.51,25.81,25.88,25.88,171600
8025851,2016-10-20,TTD,25.1,26.66,25.05,26.49,26.49,104100
8025852,2016-10-21,TTD,26.51,27.5,26.24,27.48,27.48,235900
8025853,2016-10-24,TTD,27.38,28.7,27.05,28.52,28.52,272800
8025854,2016-10-25,TTD,28.61,29.47,28.57,28.8,28.8,280500
8025855,2016-10-26,TTD,28.95,29.09,27.89,28.18,28.18,182500
8025856,2016-10-27,TTD,28.16,28.6,25.44,25.52,25.52,367400
8025857,2016-10-28,TTD,25.75,26.75,25.5,25.61,25.61,168500
8025858,2016-10-31,TTD,26.01,26.01,24.17,25.18,25.18,176500
8025859,2016-11-01,TTD,25.44,25.7,25.0,25.24,25.24,88900
8025860,2016-11-02,TTD,25.02,26.0,24.2,24.43,24.43,182500
8025861,2016-11-03,TTD,24.26,24.51,22.01,22.9,22.9,401900
8025862,2016-11-04,TTD,22.93,24.19,22.79,23.87,23.87,153700
8025863,2016-11-07,TTD,24.16,24.34,22.27,22.9,22.9,206800
8025864,2016-11-08,TTD,24.26,24.3,22.55,22.8,22.8,577400
8025865,2016-11-10,TTD,23.9,24.34,23.18,23.43,23.43,562000
8025866,2016-11-11,TTD,25.01,26.49,24.02,25.45,25.45,1126400
8025867,2016-11-14,TTD,25.57,27.35,25.5,25.77,25.77,693900
8025868,2016-11-15,TTD,25.84,26.12,25.03,25.25,25.25,544100
8025869,2016-11-16,TTD,25.0,25.97,24.8,25.36,25.36,468100
8025870,2016-11-18,TTD,25.97,29.25,25.97,29.1,29.1,824700
8025871,2016-11-21,TTD,28.86,30.48,28.0,29.33,29.33,748300
8025872,2016-11-22,TTD,29.4,29.6,28.32,28.73,28.73,383300
8025873,2016-11-23,TTD,28.71,30.5,28.19,30.19,30.19,527500
8025874,2016-11-25,TTD,29.99,30.48,28.66,29.08,29.08,257600
8025875,2016-11-28,TTD,29.28,29.28,25.71,26.7,26.7,905700
8025876,2016-11-29,TTD,26.65,27.78,25.5,27.12,27.12,460300
8025877,2016-11-30,TTD,26.94,27.84,25.82,26.58,26.58,313700
8025878,2016-12-01,TTD,26.4,27.0,25.48,26.08,26.08,486200
8025879,2016-12-02,TTD,25.87,26.48,25.62,26.2,26.2,305500
8025880,2016-12-05,TTD,26.2,27.21,26.09,26.62,26.62,279500
8025881,2016-12-06,TTD,26.61,28.41,26.08,28.1,28.1,503300
8025882,2016-12-07,TTD,28.12,28.52,27.46,27.58,27.58,208200
8025883,2016-12-08,TTD,27.53,28.64,27.0,27.41,27.41,166400
8025884,2016-12-09,TTD,27.56,28.43,27.06,27.47,27.47,362500
