MSE, Q-LIKE
   0.00021,   1.94088
   0.17437,   1.78438
   0.31249,   1.72949
   0.04890,   2.03228
   0.68135,   1.62609
   0.00017,   1.94136
   0.00399,   1.97097
   0.05710,   2.03919
   0.95304,   2.32534
   0.00899,   1.90965
   0.00265,   1.96643
   0.79336,   2.29215
   0.30894,   2.16218
   0.06289,   2.04378
   0.16179,   1.79034
   1.22630,   1.51666
   3.42855,   1.22780
   0.52882,   1.66422
   0.10093,   1.82315
   1.07026,   1.54493
   0.35728,   1.71446
   2.54206,   2.56526
   0.04788,   1.86153
   0.38942,   1.70426
   0.15835,   2.10089
   0.11447,   1.81514
   0.53320,   1.66305
   0.73153,   2.27841
   0.67242,   2.26471
   1.73128,   2.45713
   0.00095,   1.93447
   0.07490,   1.84024
   0.01077,   1.98674
   0.38821,   2.18827
   0.79169,   1.60112
   0.35107,   2.17642
   0.18549,   1.77930
   0.00358,   1.96967
   1.72279,   2.45587
   0.00269,   1.96657
   0.00006,   1.94342
   0.00005,   1.94381
   0.21343,   2.12576
   0.14885,   1.79671
   0.24326,   2.13788
   0.65065,   1.63339
   0.42905,   2.20067
   0.67633,   1.62727
   0.21129,   1.76805
   0.05595,   1.85465
   0.11895,   1.81260
   2.58681,   1.32222
   0.16243,   2.10288
   1.35089,   1.49535
   3.17772,   1.25459
   0.26968,   1.74490
   0.75756,   1.60865
   2.68948,   1.30996
   0.54573,   1.65974
   1.62418,   1.45183
   0.64218,   1.63543
   0.03043,   1.87875
   0.27699,   1.74219
   1.42786,   1.48268
   0.78285,   1.60305
   2.05241,   1.39043
   1.04216,   1.55024
   0.41442,   1.69660
   0.80742,   1.59771
   0.43459,   1.69059
   0.00063,   1.93671
   1.87635,   1.41481
   0.08028,   1.83648
   0.00280,   1.92593
   0.00025,   1.95255
   0.37625,   1.70839
   0.03267,   2.01660
   2.07823,   1.38694
   1.92837,   1.40749
   3.30393,   1.24099
   3.73982,   1.19589
   2.97199,   1.27736
   3.72038,   1.19784
   2.17731,   1.37376
   4.48820,   1.12422
   2.52584,   1.32963
   2.23696,   1.36597
   1.48106,   1.47412
   3.42260,   1.22843
   3.38631,   1.23225
   0.42807,   1.69252
   2.07111,   1.38790
   1.34728,   1.49596
   2.71129,   1.30738
   2.05541,   1.39002
   0.42255,   2.19874
   1.78032,   1.42860
   2.83305,   1.29319
   3.24274,   1.24755
   3.44868,   1.22570
   2.04531,   1.39139
   0.80475,   1.59828
   0.02276,   1.88790
   2.48178,   1.33503
   2.19625,   1.37128
   2.44655,   1.33938
   2.99151,   1.27517
   0.80649,   1.59791
   3.24895,   1.24688
   2.03998,   1.39212
   1.52101,   1.46779
   0.36775,   2.18182
   0.98270,   1.56171
   3.23653,   1.24822
   0.49234,   1.67412
   0.04491,   2.02871
   1.69158,   1.44167
   2.16638,   1.37520
   3.59944,   1.21011
   2.41061,   1.34386
   3.47642,   1.22281
   0.53237,   1.66327
   2.25735,   1.36333
   2.68567,   1.31041
   2.94552,   1.28035
   0.65083,   1.63334
   1.15043,   1.53017
   2.94770,   1.28010
   2.38910,   1.34655
   2.85588,   1.29056
   1.42648,   1.48291
   1.56691,   1.46062
   1.20042,   1.52122
   3.04524,   1.26917
   3.03310,   1.27052
   4.30494,   1.14118
   1.78271,   1.42825
   2.02388,   1.39431
   0.93380,   1.57140
   4.20316,   1.15075
   1.82911,   1.42155
   3.86360,   1.18357
   2.28663,   1.35956
   2.67078,   1.31217
   3.29640,   1.24179
   2.00038,   1.39752
   2.30811,   1.35681
   2.34065,   1.35267
   2.68794,   1.31014
   1.61703,   1.45292
   2.48937,   1.33409
   1.67542,   1.44408
   2.39251,   1.34613
   2.75850,   1.30184
   3.95928,   1.17418
   3.55306,   1.21487
   3.99933,   1.17029
   2.24328,   1.36515
   0.00134,   1.96063
   0.21072,   1.76829
   1.35314,   1.49498
   0.55745,   1.65668
   0.33557,   1.72162
   2.79498,   1.29759
   3.82744,   1.18715
   0.33616,   2.17148
   0.52913,   1.66413
   1.01623,   1.55520
   2.90440,   1.28502
   4.62658,   1.11164
   4.39065,   1.13320
   1.48350,   1.47373
   3.51494,   2.67410
   3.73196,   1.19668
   2.59397,   1.32136
   2.91339,   1.28399
   2.65528,   1.31402
   0.01582,   1.89764
   2.63664,   1.31624
   3.52043,   1.21824
   0.55250,   2.23494
   1.88304,   1.41387
   3.74416,   1.19546
   1.23652,   1.51487
   3.60406,   1.20964
   0.91343,   1.57552
   4.10573,   1.16003
   0.00853,   1.91062
   2.65431,   1.31413
   4.63529,   1.11085
   4.01776,   1.16850
   3.15157,   1.25744
   3.63208,   1.20678
