MSE, Q-LIKE
   0.37841,   2.08283
   0.21373,   2.12629
   1.00687,   1.97245
   4.72852,   1.63951
   4.97273,   1.62374
   2.88251,   1.77504
   5.61072,   1.58430
   6.41382,   2.97773
   0.82970,   1.99876
   0.03493,   2.20459
   1.61433,   1.89650
   0.02707,   2.21094
   1.68096,   1.88912
   0.00035,   2.26301
   1.17228,   1.94990
   0.56846,   2.47207
   1.78262,   1.87814
   1.94250,   1.86148
   0.68436,   2.02253
   1.26830,   1.93755
   1.17737,   1.94924
   3.89002,   1.69699
   3.11471,   1.75597
 856.73533,  10.57922
  12.07453,   3.24562
   4.14837,   2.83677
   2.61983,   1.79756
   0.42014,   2.07344
   0.04430,   2.19789
   2.58503,   1.80062
   0.69838,   2.02013
   0.15947,   2.37125
   0.00238,   2.24385
   2.27026,   1.82935
   3.56045,   1.72127
 445.30689,   8.25712
   0.41603,   2.44110
   4.06931,   2.83123
   0.90411,   2.52805
   0.36838,   2.43028
   1.34119,   1.92847
   1.26794,   1.93759
   3.08264,   1.75856
   4.27888,   1.66963
   0.66923,   2.02515
   5.45794,   1.59353
   2.65481,   1.79449
   0.84996,   1.99562
   1.68144,   1.88907
   3.93825,   1.69353
   0.77469,   2.00749
   0.07632,   2.17918
   0.23626,   2.11953
   0.62388,   2.03316
   1.47496,   1.91244
   6.95473,   1.50797
   3.69393,   1.71131
   0.29979,   2.10206
   0.42701,   2.07194
   5.86754,   2.94638
  18.49597,   3.48041
   0.82893,   1.99888
   1.98724,   1.85694
   0.52693,   2.05135
   0.96422,   1.97855
   0.15059,   2.14739
   2.99700,   1.76554
   1.73880,   1.88283
   0.02861,   2.20963
   0.04140,   2.31557
  16.24219,   3.40350
   0.85738,   1.99447
   0.30466,   2.10080
   0.11691,   2.16051
   1.00937,   1.97209
   0.59337,   2.03872
   0.66127,   2.02653
   0.59270,   2.03885
   2.55085,   2.71179
   0.38439,   2.43399
   3.97894,   1.69062
   1.49138,   1.91053
   0.00007,   2.26012
   4.47015,   1.65663
   6.52315,   1.53160
   4.77278,   1.63662
   5.46717,   1.59297
   2.35281,   1.82164
   0.03361,   2.20560
   7.26531,   1.49141
   5.05854,   1.61830
   1.75616,   1.88097
   4.93684,   1.62603
   6.85012,   1.51363
