MSE, Q-LIKE
   0.50686,   2.34159
   0.03913,   2.19095
   0.46576,   1.96037
   1.10417,   2.26414
   1.29832,   1.81236
   0.20958,   1.78999
   0.38659,   1.58681
   0.02695,   1.65263
   3.91877,   2.68512
   1.89625,   1.67983
   0.10282,   1.95883
  17.76461,   2.14071
   0.10354,   1.60198
   0.50625,   1.96737
   0.01726,   2.19528
   1.46828,   1.47885
   0.30481,   1.96944
   0.34789,   1.74013
   0.00077,   1.67742
   0.10922,   1.78978
   0.73421,   1.44483
   0.09344,   1.86242
   0.23255,   1.53582
   0.07764,   1.94417
   0.94246,   1.30171
   0.03681,   1.62205
   0.05112,   1.34483
   4.17105,   2.73509
   0.91144,   2.19860
   0.13725,   1.66784
   0.23967,   1.90180
   0.73737,   1.45799
   0.13020,   1.52207
   0.02757,   1.74556
   0.04653,   1.86553
   0.30565,   1.52245
   0.00700,   1.41703
   0.16917,   1.38760
   0.29219,   1.24699
   0.01528,   1.42988
   0.27900,   1.78898
   0.00016,   1.46569
   1.32505,   2.17399
   0.64251,   1.83683
   0.15301,   1.60621
   0.98344,   1.02838
   0.00138,   1.45666
   0.69837,   1.13256
   0.00114,   1.50067
   0.00085,   1.70354
   0.04129,   1.52123
   0.57086,   1.23075
   0.16700,   1.26809
   0.74717,   1.12516
   0.04212,   1.45101
   2.88616,   1.65287
   0.72085,   1.20611
   0.84667,   1.02960
   0.12010,   1.31544
   0.35403,   1.36102
   0.07155,   1.10006
   0.02077,   1.11398
   0.18004,   1.18196
   0.13110,   1.08415
   0.07442,   1.22268
   0.00832,   1.10793
   0.19132,   0.89021
   0.01395,   1.35354
   0.02343,   1.32917
   0.05058,   1.15086
   0.02540,   1.34489
   0.01202,   1.43772
   0.24533,   1.28820
   0.14912,   0.88829
   0.09322,   0.81436
   0.01322,   1.18415
   0.17131,   0.91151
   0.03173,   0.96963
   0.40182,   0.54846
   0.00807,   1.00595
   0.19987,   1.01561
   0.01098,   0.98330
   0.32562,   0.77933
   0.04470,   0.85701
   0.09857,   1.39424
   0.07700,   1.09678
   1.25216,   2.16042
   0.20071,   1.65506
   0.01818,   1.35615
   6.95007,   3.25714
   1.07219,   0.95936
   4.75975,   3.14622
   1.20478,   2.17289
   0.56722,   1.88377
   0.02534,   1.50648
   0.09727,   1.59280
   0.09137,   1.29955
   0.16156,   0.87235
   0.00003,   1.02828
   0.00141,   1.00883
   0.00046,   1.03038
   0.00002,   1.03166
   0.24694,   0.73629
   0.09798,   1.13145
   0.00380,   0.45418
   0.10084,   0.77190
   0.52295,   1.70059
   0.06343,   1.05304
   0.07206,   0.84240
   2.46446,   2.62586
   0.89249,   0.53557
   0.08621,   1.14509
   0.00378,   1.02032
   0.08886,   1.25011
   0.00167,   1.15938
   0.24118,   0.84559
   0.01367,   1.11625
   0.13823,   0.77795
   0.03852,   0.65932
   0.00874,   0.78085
   0.00446,   1.07920
   0.05581,   1.26252
   0.15084,   0.76319
   0.00131,   0.77407
   0.72487,   1.84428
   0.10847,   0.52555
   0.04478,   0.65677
   0.00960,   0.83354
   0.12140,   0.74669
   1.28763,   2.13604
   0.19981,   1.53303
   0.02179,   1.11171
   0.03030,   1.48086
   4.45070,   2.86306
   1.46370,   1.22093
   0.68308,   0.90604
   0.38340,   1.70917
   0.36157,   0.79492
   0.65982,   1.79693
   0.11804,   1.50333
   0.34046,   1.63101
   0.04369,   1.35088
   0.06197,   0.84806
   0.29991,   1.47963
   0.10323,   0.67853
   0.76988,   1.88918
   0.03119,   1.51463
   0.05073,   1.01043
   0.21746,   0.70717
  10.51609,   4.04084
   0.04046,   1.57687
   0.02019,   1.50437
   0.44687,   0.99862
   0.00197,   1.18770
   0.26527,   1.64311
   0.05898,   1.60026
   0.14699,   1.63679
   0.29085,   0.84504
   0.08572,   0.97114
   0.00018,   1.06331
   0.02287,   1.30698
   0.79746,   1.93520
   0.54024,   1.00888
   0.00489,   1.02755
   0.00493,   1.03880
   0.42433,   0.60539
