MSE, Q-LIKE
   0.68021,   2.38749
   0.47452,   2.07803
   0.63378,   1.83940
   0.49133,   1.54710
   0.25591,   1.86679
   0.23498,   1.64573
   0.00801,   1.78193
   0.06139,   1.60385
   1.26777,   2.29894
   1.43012,   1.62764
   0.38998,   1.97454
   5.77696,   2.15872
   0.26681,   1.90109
   1.62142,   1.62164
   0.00245,   1.99763
   0.67195,   1.64466
   0.59597,   2.03441
   0.09241,   1.71298
   0.06815,   1.47427
   0.08298,   1.73070
   7.32306,   3.02733
   0.03720,   1.75040
   0.46243,   2.02649
   0.51486,   1.53164
   0.27299,   1.53044
   0.57135,   1.41773
   0.06641,   1.41187
   0.02177,   1.64023
   0.00968,   1.72570
   0.50548,   1.37456
   0.58622,   2.02069
   0.01635,   1.79886
   0.23842,   1.86257
   0.37536,   1.94203
   0.22720,   1.93136
   0.09906,   1.53753
   0.25160,   1.74487
   0.54492,   1.95756
   0.70423,   2.06014
   0.19693,   1.33137
   0.01332,   1.46961
   0.04440,   1.37649
   2.48017,   2.45605
   1.82250,   1.97329
   0.00309,   1.93822
   0.06561,   1.61607
   0.13933,   1.76315
   0.68730,   1.25951
   2.38987,   2.44853
   0.08019,   1.94804
   0.00056,   1.76410
   0.58463,   1.39379
   0.00178,   1.66604
   0.20001,   1.47996
   1.31947,   2.26507
   5.77499,   1.83601
   0.46735,   1.50542
   0.00564,   1.68263
   0.01775,   1.58119
   1.65041,   1.18513
   0.14692,   1.29359
   0.08402,   1.62613
   0.06438,   1.76246
   0.26126,   1.84364
   0.05640,   1.52541
   0.01016,   1.49886
   0.00382,   1.53904
   1.44422,   2.24152
   0.25072,   2.02275
   0.00043,   1.63848
   0.02873,   1.63566
   0.46938,   2.03299
   2.16387,   1.35191
   0.00381,   1.59180
   0.09740,   1.70279
   0.11496,   1.75746
   0.06392,   1.56385
   0.42695,   1.23822
   0.53959,   1.14342
   0.00060,   1.56348
   1.01110,   1.41609
   0.28793,   1.86811
   2.91034,   0.89670
   0.79641,   0.99197
   0.25717,   1.86477
   0.01556,   1.76896
   0.00217,   1.79013
   0.02734,   1.72621
   0.01320,   1.76287
   0.04742,   1.64949
   1.65043,   1.47773
   0.53124,   1.93309
   2.46473,   1.26562
   0.32804,   1.34971
   0.15284,   1.90538
   0.20715,   1.93541
   0.26687,   1.51474
   1.19188,   0.89055
   0.08430,   1.11016
   0.08069,   1.16109
   0.03075,   1.13942
   0.13998,   1.56712
   1.59477,   0.64024
   0.49176,   0.26718
   0.74596,   1.91805
   0.37461,   0.98985
   0.20096,   1.52950
   0.85182,   0.92456
   0.10785,   1.09531
   0.09504,   1.39078
   0.87887,   0.85971
   0.10803,   1.27939
   0.34806,   0.67414
   0.38471,   1.61542
   0.01455,   1.29426
   0.44650,   0.94895
   0.14935,   1.48514
   0.54420,   0.76402
   0.07135,   0.75532
   0.04453,   1.26981
   0.00041,   1.24460
   0.03012,   1.35444
   0.35059,   0.91250
   0.25973,   0.85630
   0.00692,   0.87016
   0.21930,   0.52951
   0.01610,   0.87797
   0.01384,   0.92057
   0.02942,   1.33038
   0.01519,   1.27759
   0.11811,   1.01979
   0.08317,   1.53284
   0.17318,   1.14887
   1.20299,   2.11909
   0.22329,   1.58565
   0.00034,   1.42416
   0.00151,   1.28862
   0.29746,   0.96594
   0.20859,   1.42020
   0.01591,   1.38929
   0.19924,   1.56499
   0.00001,   1.28653
   0.37780,   0.56884
   0.00561,   0.76018
   0.00819,   1.18321
   1.14911,   2.07846
   0.11363,   1.22873
   0.14518,   0.95200
   0.12250,   0.79770
   0.06643,   0.93865
   0.58013,   1.90022
   0.19145,   1.71153
   0.68686,   0.95104
   0.19157,   0.80358
   0.05848,   1.05278
   0.28493,   1.22797
   0.37714,   0.97220
   0.01784,   1.27154
   0.13632,   0.80120
   0.00019,   0.94060
   0.01863,   1.23003
   0.01555,   1.03034
   0.10892,   1.02456
   0.11677,   0.60698
   0.02204,   0.77452
   0.03191,   0.81426
   0.06351,   1.25862
   0.00631,   1.41530
   0.07577,   1.16740
   0.01936,   1.31117
   0.00082,   1.09299
   0.47234,   0.74402
   0.17601,   0.72836
   0.00730,   0.94997
   0.05494,   0.82634
   0.09230,   1.31129
   0.06426,   0.90231
   0.04175,   1.13536
   0.08992,   0.77353
   0.29844,   0.44414
   0.01423,   1.06651
   0.01086,   0.96155
   0.08113,   0.63386
   0.07788,   1.21084
   0.59503,   1.77122
   0.00685,   1.09390
   0.44588,   1.72117
   0.00336,   1.05849
   0.01981,   1.14913
   0.34100,   1.59198
   0.05068,   1.18226
   0.24324,   1.52095
   0.29800,   0.50073
   0.18037,   0.27066
   0.09405,   0.51645
   1.22757,   2.14099
   0.53593,   0.52403
   0.07913,   0.68431
   0.01566,   1.10343
   0.31733,   0.60671
   0.02704,   0.91436
   0.14793,   1.13358
   0.02455,   1.21760
   0.00023,   1.20635
   0.77930,   1.87694
   0.01084,   1.46186
   1.36138,   2.15446
   0.55630,   1.89712
   0.06350,   1.67002
   0.01213,   1.41371
   0.00064,   1.31125
   0.03681,   1.10795
   0.63352,   0.97679
   0.00062,   1.77341
   1.77200,   1.11786
   0.07761,   1.54861
   0.37550,   1.22070
   0.14270,   1.49515
   0.68296,   0.85406
   0.88308,   1.97744
   0.30878,   0.98869
   0.03657,   1.26390
   0.66075,   1.83791
   0.68529,   0.97587
   0.12812,   1.40377
   0.00051,   1.21689
   0.00423,   1.21361
   0.26672,   0.54645
   0.09227,   0.87644
   2.61670,   2.52666
   5.33756,   3.01940
   0.25920,   1.37189
   3.92181,   2.80138
   0.00562,   1.31986
   0.07182,   1.03663
   0.17709,   0.80740
   0.06421,   1.46021
   0.39910,   0.61617
   0.00344,   0.86920
   0.51197,   1.12651
   0.03333,   1.24818
   0.05642,   1.45128
   1.72681,   2.32230
   1.69856,   1.57978
   0.31052,   1.89136
   1.99518,   2.39809
   0.98632,   1.24993
   0.41646,   1.70992
   1.00542,   2.16035
   3.09795,   2.58879
   1.03337,   1.35323
   0.04317,   1.35267
   1.21373,   1.13640
   0.07460,   1.07461
   0.01897,   1.29643
   0.04474,   1.32191
   0.36314,   1.65836
   0.03859,   1.13560
   0.01282,   1.30781
   0.02656,   1.15235
   0.13672,   0.79570
   0.03140,   1.19297
   0.14719,   0.82897
   0.77273,   0.47905
   0.02232,   1.03073
   0.00178,   1.20972
   0.01473,   1.45898
   0.32984,   1.13788
   0.19102,   0.76081
   0.08555,   1.38808
   6.02541,   3.30666
   0.00135,   1.84768
   0.01742,   1.57911
   0.18172,   1.02357
   0.12922,   1.02232
   0.11334,   1.14627
   0.63034,   1.98526
   0.29883,   1.56124
   1.33885,   1.16921
   0.12445,   1.55132
   0.98776,   1.04342
   0.08783,   0.91344
   0.21371,   1.63084
   0.04697,   1.73852
   1.65535,   1.22798
   0.27831,   1.69299
   0.05470,   1.52399
   0.44246,   1.17190
   0.00083,   1.48982
   1.56229,   0.77166
   0.00926,   0.95590
   0.04431,   1.36960
   0.05626,   1.26031
   0.03082,   1.18304
   0.01523,   0.99061
   0.22660,   0.64660
   0.02458,   0.71582
   0.21437,   0.47444
   0.00003,   0.77384
   0.03902,   0.64073
   0.06205,   0.49743
   0.03392,   0.59913
   0.13918,   0.38028
   0.02763,   0.39082
   0.12710,   0.21935
   0.07993,   0.23208
   0.10376,  -0.04355
   0.02414,   0.84639
   0.17790,   0.15819
   0.01605,   0.31453
   0.22408,   1.27077
   0.02688,   0.52447
   0.02977,   0.92335
   0.00207,   0.64187
   0.01903,   0.51068
   0.02056,   0.82061
   0.00003,   0.72616
   0.03616,   1.02999
   0.00468,   0.80897
   0.02523,   0.62347
   0.03278,   0.83280
   0.00691,   0.66700
   0.02443,   0.92171
   0.00021,   0.73187
   1.09876,   2.04738
   0.02569,   0.94569
   0.07489,   0.40488
   0.47915,   1.63921
   0.15635,   0.40492
   0.00109,   0.76241
   0.03197,   1.19975
   0.00316,   1.11135
   2.68205,   2.70217
   0.65054,   1.86183
   0.87253,   1.39192
   0.29184,   1.25796
   0.14579,   1.19193
   0.00110,   1.17529
   0.04297,   1.22959
   0.03514,   0.91211
   0.13540,   0.68905
   0.13176,   0.83456
   0.00193,   0.80692
   0.06816,   1.11471
   0.01665,   1.24363
   0.21605,   0.97984
   0.01170,   0.81672
   0.64935,   1.79086
   0.19286,   0.84801
   0.01546,   1.13918
   0.22582,   1.43630
   0.00874,   0.73847
   0.00078,   0.79251
   0.02868,   0.65516
   0.08764,   1.08399
   0.05065,   0.37063
   0.00338,   0.73598
   0.04885,   0.96956
   0.01859,   0.52405
   0.07915,   0.22948
   0.12872,   1.06374
   0.00830,   0.68788
   0.09210,   1.10627
   0.07753,   0.70517
   0.01073,   0.53230
   0.01286,   0.83320
   0.20955,   0.15052
   0.02637,   0.44916
   0.00006,   0.64941
   0.01933,   0.48957
   0.02417,   0.40311
   0.10100,   0.08561
   0.03977,   0.26961
   0.01934,   0.30691
   0.05439,   0.92210
   0.05567,   0.37802
   0.03288,   0.85040
   0.02533,   0.82609
   0.08608,   0.20680
   0.00115,   0.61108
   0.33571,   1.45999
   0.04511,   0.68803
   0.01054,   0.96786
   0.03549,   0.79278
   0.09654,   1.13832
   0.17496,   0.10959
   0.00267,   0.65889
   0.03669,   0.32333
   0.05633,   0.42040
   0.15176,   0.38974
   0.02063,   0.77303
   0.63819,   1.77954
   0.02677,   0.93160
   0.19811,   1.61283
   0.01738,   1.36386
   0.41132,   1.75685
  10.41454,   3.66029
   0.81395,   2.10807
   2.05893,   1.28396
   0.10482,   1.21466
   0.11152,   1.20023
   0.02026,   1.14039
   0.54092,   1.08650
   0.03116,   1.39260
   0.22485,   1.57605
   0.00000,   1.29866
   0.81417,   1.94252
   0.40352,   1.27579
   0.16626,   1.14826
   0.57188,   0.75088
   0.11230,   0.63880
   0.00846,   0.64519
   0.19643,   0.42353
   0.09234,   0.26280
   0.01116,   0.41090
   0.12801,   0.39270
   0.00618,   0.39935
   0.04932,   0.45014
   0.07984,   0.36272
   0.11375,   0.08470
   0.02581,   0.13567
   0.00060,   0.46650
   0.09973,   0.97292
   0.06438,   0.54330
   1.14634,   2.13828
   0.06570,   1.09763
   0.01393,   1.05984
   0.04198,   0.67159
   0.85991,   2.01881
   0.45306,   1.62342
   1.68495,   2.42960
   0.13017,   1.43440
   0.00900,   0.72223
   0.01103,   0.40259
   0.09236,   0.21586
   0.00250,   0.45992
   2.11119,   2.62520
   0.20086,   0.97784
   0.03201,   0.61974
   0.00626,   0.70732
   0.14512,   0.03875
   0.01608,   0.69496
   0.00564,   0.37423
   0.01326,   0.23493
   0.02372,   0.01552
   0.01847,   0.10884
   0.75752,   2.10217
   0.00005,   0.83693
   0.27043,   1.45942
   0.02999,   1.17435
   0.34845,   1.53883
   0.07452,   1.25985
   0.01915,   0.86987
   1.07943,   2.11234
   0.00184,   0.94194
   0.17667,   1.35991
   0.51295,   1.67974
   0.08166,   1.28199
   1.10301,   2.10106
   0.54251,   1.86363
   0.02661,   1.08564
   0.00360,   1.27439
   0.07673,   0.62195
   0.05225,   1.05625
   0.49935,   1.74975
   2.25102,   1.34164
   0.98647,   0.54167
   0.23543,   1.46213
   0.00002,   0.85441
   0.00944,   0.82106
   0.00372,   0.55439
   0.07082,   1.01765
   0.00534,   0.56552
   0.49821,   1.65177
   0.07224,   1.11057
   0.15792,   0.52287
   0.00009,   0.68268
   0.07656,   0.29313
   0.12306,   1.15531
   0.02561,   0.61845
   0.75034,   1.25356
   0.43160,   0.95847
   0.06984,   1.24691
   0.00239,   0.96090
   0.00030,   1.08774
   0.10172,   0.91644
   0.00864,   0.99171
   0.00567,   1.15563
   0.02009,   1.27630
   0.28984,   1.51210
   0.00000,   0.93421
   0.11022,   1.20375
   0.59787,   0.92519
   0.53844,   1.04738
   0.01414,   1.21697
   0.00082,   1.16568
   0.01197,   1.14746
   0.40312,   1.12670
   0.75106,   1.90149
   0.00001,   1.27978
   0.00369,   1.12469
   0.13264,   1.06180
   0.43385,   0.90694
   0.16310,   0.76189
   0.34184,   1.56423
   0.00775,   1.35415
   0.60214,   1.01559
   0.28216,   1.59072
   0.23645,   1.22882
   2.24281,   1.24524
   0.54503,   0.78856
   0.04542,   0.78865
   0.04535,   0.76158
   0.00018,   0.72535
   0.70581,   1.83805
   0.05955,   1.37963
   0.03154,   1.41828
   0.04922,   1.64252
   0.40241,   1.72592
   3.13076,   1.20777
   7.21289,   3.21757
   0.25547,   1.49509
   0.02291,   1.54290
   0.44763,   1.18786
   0.49280,   1.75291
   0.01833,   1.50447
   0.05094,   1.48487
   0.05807,   1.53075
   0.34373,   1.31474
   0.00267,   1.24208
   0.04409,   1.23336
   0.12162,   0.99561
   0.13343,   0.96226
   0.00085,   0.79553
   0.04360,   0.95903
   0.39245,   1.60524
   0.04805,   0.95944
   0.48536,   1.79416
   0.13047,   1.26197
   0.05596,   1.24972
   0.02982,   1.12052
   0.28023,   0.59350
   0.00070,   0.75374
   0.23727,   1.31879
   0.08870,   1.02078
   0.03052,   0.26293
   0.01511,   0.38724
   0.04803,   0.07070
   0.00178,   0.42487
   0.02990,   0.77843
   0.17199,   0.29626
   0.02424,   0.08296
   0.00013,   0.42338
   0.07646,   0.86540
   0.05010,   0.24983
   0.08576,   0.95013
   0.00920,   0.81043
   1.19247,   2.16802
   0.24231,   1.41493
   0.64186,   1.79419
   0.00416,   0.46316
   0.66358,   1.85648
   0.01157,   0.95856
   0.04349,   0.83712
   0.00695,   0.69159
   0.08678,   1.13892
   0.02126,   1.14851
   0.00463,   1.17354
   0.01947,   1.07135
   0.13757,   1.25868
   1.68857,   2.32238
   0.19575,   1.16584
   0.00127,   1.23583
   0.17722,   1.50270
   0.57468,   1.76543
   0.13179,   1.33848
   0.00484,   1.17344
   0.02668,   1.10278
   0.00321,   1.00238
   1.23546,   2.18593
   0.00008,   1.19909
   0.00529,   0.86590
   0.18087,   1.50033
   0.97118,   1.98538
   0.50455,   1.79936
   0.27274,   1.31427
   0.00612,   1.16626
   0.18600,   0.46771
   0.00374,   1.17125
   0.01397,   0.82502
   0.06607,   0.75327
   0.23213,   0.33697
   0.04140,   0.54346
   0.20127,   0.11564
   0.02666,   0.46919
   0.09900,   1.11673
   0.08344,   0.33113
   0.12791,   1.17546
   0.19631,   1.29920
   1.64674,   2.25643
   0.02450,   1.14168
   0.00709,   0.76891
   0.00835,   0.90498
   0.03159,   1.11581
   0.01150,   1.29393
   0.35966,   0.64833
   0.18027,   1.02286
   0.00070,   1.12381
   0.04256,   1.12644
   0.21044,   0.62787
   0.00003,   0.77313
   0.00744,   0.86125
   0.02039,   0.92218
   0.00598,   1.23439
   0.00653,   1.32603
   0.88779,   0.98746
   0.00129,   1.10794
   0.03245,   0.71660
