MSE, Q-LIKE
   1.38594,   2.19598
   0.49610,   2.19355
   0.00409,   1.83126
   2.05685,   2.50282
   0.08478,   2.15486
   0.90430,   1.77921
   0.07584,   1.65001
   0.32416,   1.95035
   2.23055,   2.53504
   4.34647,   1.65636
   0.00919,   1.62842
   0.01093,   1.91712
   0.38049,   2.21466
   0.35489,   1.84236
   0.57895,   2.28884
   2.03544,   1.84003
   0.15364,   1.81824
   1.15651,   1.55607
   0.02245,   1.37188
   0.07688,   1.79780
   0.63732,   1.45459
   0.07774,   1.46909
   0.98640,   2.22999
   0.09332,   1.81699
   0.30607,   1.66070
   0.07569,   1.55728
   0.02799,   1.68739
   0.00552,   1.75779
   0.05960,   1.74360
   0.03630,   2.03405
   0.04551,   1.88600
   1.10154,   1.44780
   0.27780,   1.38640
   0.06939,   1.65197
   0.00015,   1.67114
   0.24778,   1.29140
   0.11449,   0.92216
   0.00241,   1.29870
   0.13545,   1.51346
   0.00210,   1.30385
   0.05175,   1.21152
   0.03353,   1.09161
   0.76185,   1.96737
   0.02599,   1.63400
   0.26192,   1.57480
   0.82184,   0.89954
   0.10190,   1.34242
   0.00133,   1.48612
   0.26203,   1.76773
   0.21842,   1.55221
   0.00650,   1.57161
   0.03832,   1.45181
   0.05031,   1.25173
   0.01419,   1.53560
   0.01365,   1.71997
   2.78150,   1.26568
   0.17690,   1.19486
   0.01440,   1.20584
   0.09412,   1.74019
   0.00634,   1.54286
   0.04180,   1.14034
   0.21915,   1.56239
   0.00067,   1.29317
   0.79863,   2.02221
   0.36971,   1.14169
   0.66184,   1.41535
   0.18030,   0.87869
   0.61476,   1.90933
   1.09967,   1.29401
   0.62927,   1.95250
   0.83234,   2.04462
   1.51600,   2.28109
   0.07498,   1.67861
   0.12312,   1.59500
   0.00005,   1.24590
   0.13247,   1.56779
   0.26610,   1.90025
   1.37974,   2.22862
   0.00110,   1.60130
   0.03899,   1.69968
   1.11401,   1.44015
   1.32394,   2.22784
   0.12714,   1.57195
   0.11430,   1.36775
   0.31899,   1.91047
   1.36168,   1.39540
   0.70340,   2.09083
   0.45959,   1.50562
   0.83396,   2.18784
   0.00626,   1.79697
   0.65299,   1.60907
   5.91979,   2.95008
   1.21185,   1.79105
   0.63184,   2.15613
   0.00000,   1.92599
   0.06713,   1.83680
   0.52283,   1.64243
   0.87338,   1.13593
   0.38002,   1.69944
   0.02257,   1.39770
   0.00787,   1.17485
   0.53522,   1.80793
   0.46233,   1.04782
   0.01841,   0.98055
   2.04290,   2.40964
   0.00112,   1.57816
   0.00035,   1.30353
   0.73301,   1.22370
   0.95662,   1.02585
   0.05496,   1.36101
   1.36406,   0.74310
   0.21002,   1.28005
   0.00567,   1.16765
   0.26108,   1.52242
   0.13533,   1.35776
   0.67421,   1.02989
   0.24427,   0.79583
   0.58929,   0.88907
   0.00674,   1.18684
   0.02266,   0.70450
   0.06184,   0.86441
   0.00000,   1.08257
   0.13995,   0.96135
   0.25046,   1.42026
   0.19102,   1.34885
   0.21574,   0.71063
   0.00397,   0.96672
   0.00866,   1.04261
   0.01898,   1.04552
   0.02510,   1.21679
   0.00057,   1.39178
   0.04964,   1.63372
   0.07054,   1.51111
   1.17310,   2.14606
   0.79453,   1.48919
   0.16897,   1.24283
   0.16580,   1.63612
   0.68777,   0.89149
   0.07512,   0.64470
   0.02132,   1.10675
   0.00120,   1.04033
   0.31596,   0.80233
   0.60810,   1.75635
   0.20043,   1.30863
   0.01759,   0.97247
   0.00022,   1.08723
   0.00051,   1.17795
   0.13046,   0.80778
   0.03581,   0.79912
   0.09093,   1.19908
   0.00009,   1.20599
   0.13450,   1.03792
   0.28530,   0.86853
   0.01384,   0.73208
   0.26515,   1.50895
   0.25110,   1.58749
   0.28790,   0.80764
   0.01768,   1.05728
   0.01083,   0.64860
   0.00954,   0.75642
   0.00076,   0.64986
   0.04184,   1.04393
   0.42888,   0.43072
   0.09422,   0.12757
   0.90691,   2.04210
   0.05586,   1.08124
   0.00815,   1.02954
   0.00243,   1.26627
   0.09175,   0.99978
   0.71288,   1.86073
   1.17505,   2.08166
   0.19403,   1.09955
   0.04854,   0.91152
   0.01989,   0.99565
   0.07275,   1.21438
   0.00857,   1.13025
   0.17974,   0.72865
   0.00010,   0.75905
   0.03874,   0.79258
   0.14991,   1.38841
   0.22853,   0.54388
   0.00998,   0.90712
   0.71157,   0.33118
   0.01018,   0.94225
   0.06339,   1.16893
   0.06706,   1.07655
   0.00353,   1.18474
   0.06690,   0.73759
   0.04290,   0.44864
   0.01320,   0.91955
   0.04398,   0.64205
   0.00558,   0.63538
   0.03434,   0.20775
   0.00549,   0.20703
   0.01260,   0.46782
   0.20012,   1.22601
   0.16556,   0.46841
   0.06856,   0.24761
   0.03474,   0.77095
   0.00474,   0.63638
   0.00010,   0.86614
   0.62771,   0.46039
   0.53108,   1.68623
   0.15998,   0.52338
   0.62509,   1.79321
   0.12542,   1.52589
   0.00018,   0.93792
   0.52035,   1.67716
   0.02287,   1.29002
   0.03863,   1.30771
   0.13507,   0.97317
   0.01108,   1.18982
   0.75720,   1.90539
   0.02662,   1.69131
   0.32974,   1.41783
   0.64663,   1.90766
   0.68070,   1.10632
   0.89090,   1.94682
   0.03106,   1.27594
   0.02854,   1.38371
   0.48948,   0.68655
   0.17779,   1.31693
   1.29316,   2.14930
   0.64582,   0.85984
   0.00002,   0.84386
   0.43074,   0.70036
   0.01313,   0.57257
   0.00508,   0.83701
   0.02134,   0.90071
   0.02083,   1.18319
   0.51389,   1.76594
   0.42878,   1.04406
   0.12427,   0.49408
   0.01091,   0.68743
   0.00029,   0.77189
   0.13825,   1.19780
   0.06569,   0.65535
   0.15161,   0.31123
   0.41951,   1.56573
   0.47824,   0.87358
   0.00713,   0.88358
   0.02118,   1.04936
   3.69431,   2.68576
   2.88189,   1.44218
   1.82443,   2.31050
   0.00554,   1.62927
   1.35917,   0.73820
   0.02563,   1.01530
   0.17403,   1.15902
