MSE, Q-LIKE
   0.00060,   2.69349
   4.15509,   2.31154
   1.64523,   2.65880
   0.16631,   2.17280
   1.73696,   2.25374
   2.30754,   2.00519
   0.01248,   2.19330
   3.49347,   2.71078
   0.55950,   2.09117
   0.46940,   2.28012
   0.00653,   2.10296
   0.51736,   2.12183
   0.22770,   2.19808
   0.14068,   2.45232
   0.62705,   2.15229
   0.46035,   2.19210
   1.53259,   1.83783
   1.31336,   2.52047
   0.38924,   2.26713
   0.27796,   1.87440
   0.03599,   2.04048
   0.36867,   2.23774
   0.05343,   2.04472
   0.00844,   2.21347
   0.09999,   2.06204
   1.63988,   1.75558
   0.44175,   2.29075
   0.21523,   2.31480
   0.63897,   2.04718
   1.06208,   2.06422
   0.29814,   2.26543
   0.00163,   2.16402
   0.76570,   2.38110
   1.55366,   1.67301
   1.30078,   1.75489
   1.07169,   1.61446
   1.19137,   2.24621
   0.08814,   1.80024
   0.00392,   1.87436
   0.00044,   1.88354
   0.45917,   1.61268
   0.10921,   1.97337
   0.08757,   2.01122
   2.69234,   1.70867
   2.52273,   1.62566
   0.04386,   1.77173
   0.15527,   1.83778
   0.01058,   1.90774
   0.09838,   1.77304
   0.28429,   1.93005
   0.23233,   1.75198
   0.00175,   1.97762
   1.05582,   2.32868
  13.09235,   3.33097
   0.48619,   2.40812
   3.11830,   2.02594
   0.49007,   1.87087
   0.06547,   2.02786
   1.04031,   1.71206
   1.90926,   1.47046
   0.17099,   1.56482
   0.10353,   1.87534
   1.25467,   2.34893
   0.61649,   1.67107
   0.21766,   1.71944
   1.09855,   1.61498
   8.05879,   3.12533
   0.27293,   1.76531
   1.51475,   1.74695
   0.26582,   1.66084
   3.30210,   2.61217
   0.62478,   1.67864
   1.99512,   1.51362
   0.13910,   1.51942
   0.03678,   1.46652
   0.07849,   1.73564
   0.55156,   1.53730
   0.13203,   1.88769
   0.19814,   1.95454
   9.35044,   3.17519
   0.48522,   1.87932
   1.84375,   1.33263
   0.00000,   1.85929
   2.62763,   2.51082
   0.67549,   1.52312
   0.18439,   1.83486
   0.65013,   1.59091
   1.43155,   2.40123
   0.03393,   2.05924
   1.12769,   1.60877
   0.62825,   2.30051
   7.90936,   3.06488
   2.84877,   2.71115
   0.04295,   2.15508
   0.02349,   2.05343
   1.40998,   1.73335
   1.62000,   1.69576
   0.24809,   1.69365
   0.40109,   1.34402
   0.00662,   1.54695
   0.18436,   1.31317
   0.20663,   1.15959
   1.21769,   1.05993
   0.03622,   1.31555
   0.00052,   1.29412
   0.32701,   1.86123
   0.07285,   1.65908
   0.06532,   1.62017
   0.01236,   1.79139
   0.84199,   1.06742
   0.29724,   1.45461
   0.10767,   0.96126
   0.07722,   1.68969
   0.00400,   1.51721
   1.51429,   1.27232
   1.05496,   1.33071
   0.09169,   1.38988
   1.06154,   1.16454
   0.00599,   1.48355
   0.10354,   0.97647
   0.15038,   1.13123
   0.13882,   1.14304
   0.28120,   1.15511
   0.17875,   0.64666
   0.41794,   1.67239
   0.08048,   1.61796
   0.07063,   1.56581
   0.60152,   1.93869
   0.02790,   1.68902
   0.08318,   1.65747
   1.75906,   2.39777
   0.42038,   1.62909
   0.60082,   2.24002
   0.29923,   1.62276
   0.66988,   1.74467
   0.00638,   1.84374
   0.78277,   1.32544
   0.14706,   1.46979
   0.08752,   1.28445
   0.13455,   1.40763
   0.47500,   0.97751
   0.54136,   1.11420
   0.08066,   1.46711
   0.14575,   1.45050
   0.00305,   1.27541
   0.06683,   1.18167
   0.02712,   1.35672
   0.00181,   1.35076
   0.72008,   1.95960
   0.00880,   1.36983
   0.03766,   1.46514
   0.54244,   1.28426
   0.44094,   1.18841
   0.00866,   1.55246
   0.18245,   1.33097
   0.21217,   1.30300
   0.61979,   0.98768
   0.25360,   0.92782
   0.00020,   1.20787
   0.20675,   0.71098
   0.00170,   1.06314
   0.06953,   0.83907
   0.27838,   0.93295
   0.04453,   0.69748
   0.01215,   0.77529
   0.13944,   1.38989
   0.10205,   1.31970
   0.00231,   1.23717
   0.00741,   1.21925
   1.04152,   2.03086
   0.17710,   0.86182
   0.72293,   0.89762
   0.00240,   1.19853
   0.03359,   1.19180
   0.11450,   0.78703
   0.01464,   0.98080
   0.05031,   1.00924
   0.05043,   0.75008
   0.02072,   1.03952
   0.01558,   0.92093
   0.48404,   1.67003
   0.00318,   0.94710
   0.04223,   0.93256
   0.07347,   0.58023
   0.10285,   1.24170
   0.20485,   0.41331
   0.01048,   0.99309
   0.87452,   1.93319
   0.36700,   1.55989
   0.39190,   0.30843
   0.31725,   0.46125
   0.03142,   0.39746
   0.34595,  -0.22042
   0.02540,  -0.16421
   0.22560,   1.25613
   0.00015,   0.52803
   0.01548,   0.74724
   0.00172,   0.78418
   0.00510,   0.69617
   0.41219,   1.57635
   0.00036,   0.97572
   0.21183,   0.76351
   0.07765,   0.37144
   3.38845,   2.83427
   0.22626,   0.47659
   0.83887,   0.92071
   0.05003,   1.25093
   0.00045,   1.11017
   0.14334,   1.07287
   0.18208,   0.83899
   0.52151,   0.71416
   0.00575,   1.15264
   2.38578,   2.46613
   0.28278,   1.41905
   0.59658,   1.29005
   0.02963,   1.19915
   0.05345,   1.22963
   0.06608,   1.34316
   0.09445,   1.10257
   0.16159,   0.78532
   0.08519,   0.81427
   0.06350,   1.11509
   0.00267,   0.87284
   0.16615,   1.53992
   0.15217,   0.47637
   0.38470,   0.51022
   0.00022,   0.79463
   0.14701,   1.25106
   0.07957,   0.73688
   0.33731,   1.55395
   0.53916,   0.57792
   0.32861,   0.79650
   0.01247,   0.99002
   0.05301,   0.44147
   0.01059,   0.90666
   0.02543,   0.52615
   0.05428,   0.36994
   5.26745,   3.92696
   0.02509,   0.99386
   0.06661,   1.44135
   0.22586,   1.41101
   0.07543,   1.37407
   0.02771,   1.21967
   0.13631,   1.46995
   0.01010,   1.38202
   0.37437,   0.85686
   0.02715,   1.00735
   0.05870,   1.04920
   0.85519,   1.95594
   0.07493,   1.39409
   0.10163,   1.18445
   0.03013,   1.05732
   0.09355,   0.99011
   0.05382,   0.73042
   0.04395,   0.73502
   0.00136,   0.71101
   0.17197,   0.42713
   3.66537,   3.14341
   0.15976,   0.69911
   0.50931,   0.71715
   0.05972,   0.59650
   0.00188,   0.64007
   0.13023,   0.25137
   0.45314,   1.61481
   0.13051,   1.17941
   4.73248,   3.11718
   0.29549,   1.08492
   0.17545,   0.99178
   0.01233,   1.01987
   0.81016,   1.90154
   0.74506,   1.89406
   0.77806,   1.18416
   0.05291,   1.36362
   0.02467,   1.11723
   0.02097,   1.21801
   2.26960,   2.50750
   0.02684,   1.44566
   1.10046,   1.23029
   0.00413,   1.63523
   0.03496,   1.44796
   0.06298,   1.40320
   1.81590,   2.30046
   7.40478,   3.10337
   0.28317,   1.55774
   0.89579,   2.19744
   1.37887,   2.25920
   1.13563,   2.29381
   0.90978,   2.21132
   1.95033,   1.18630
   0.36774,   1.28817
