MSE, Q-LIKE
   0.97248,   2.58968
   0.05976,   2.36860
   2.85562,   2.74105
   0.02263,   2.60942
   3.74846,   2.85598
   0.80337,   2.03708
   0.34695,   2.18110
   0.09145,   2.09646
   1.82964,   2.68374
   4.20306,   1.94953
   0.22719,   2.41510
   0.05239,   2.11199
   2.46688,   2.68298
   0.00000,   2.16412
   6.96520,   2.97351
   0.51340,   2.14283
   1.06951,   2.48554
   3.15063,   1.70296
   0.00660,   2.07660
   0.61512,   2.37471
   1.57831,   1.81080
   0.01887,   2.10570
   1.27072,   2.45298
   0.09621,   2.02150
  10.31364,   3.16676
   0.00001,   2.28360
   0.00005,   2.12726
   0.40394,   2.43778
   0.06726,   2.23166
   0.26132,   2.43883
   0.18894,   2.17087
   0.08358,   2.36574
   0.04576,   2.09293
   0.17767,   2.03127
   1.44414,   1.75353
   0.02139,   1.92160
   0.02230,   1.96923
   0.02738,   1.75186
   0.00384,   1.84086
   0.00114,   1.70738
   0.35708,   2.03892
   0.00242,   1.82556
   0.23168,   2.07058
   0.04904,   2.18887
   0.40580,   2.00957
   0.81567,   1.69577
   0.28150,   1.65101
   0.18151,   2.01941
   0.21483,   2.11694
   0.06108,   1.95055
   1.51151,   2.48943
   0.53453,   2.37539
   0.18303,   1.93521
   1.20594,   2.41816
   4.55026,   2.79664
   5.26848,   1.72536
   0.79135,   1.66164
   0.43069,   1.62780
   0.89295,   2.29010
   0.08463,   1.77186
   0.89515,   1.54504
   0.02013,   1.92746
   0.22158,   2.12927
   0.05679,   1.88578
   0.00002,   1.93893
   0.24313,   1.68610
   0.00059,   1.77679
   0.01828,   1.95934
   0.16609,   1.81733
   0.05124,   1.72247
   0.37027,   1.61086
   0.20898,   2.06455
   0.31303,   1.74607
   1.37393,   1.31526
   0.03822,   1.56236
   1.40188,   2.29408
   0.15336,   1.67285
   0.30707,   1.52055
   0.02876,   1.65717
   0.13521,   1.54191
   1.72897,   1.33479
   0.00528,   1.77983
   0.81369,   1.42310
   0.07775,   1.48378
   0.02624,   1.76104
   0.32861,   1.31339
   2.50581,   2.46393
   0.00273,   1.76911
   0.21303,   1.59289
   0.01717,   1.87206
   1.82279,   1.35211
   1.86885,   2.42233
   0.15873,   2.03157
   0.06967,   2.12021
   0.08338,   1.87159
   0.05107,   1.85367
   2.48683,   1.29454
   1.24679,   0.99397
   0.12727,   1.42726
   0.18537,   1.15172
   0.00245,   1.34026
   0.12349,   1.64246
   0.00871,   1.49473
   0.14007,   1.07136
   0.09634,   1.34124
   0.04480,   1.06770
   1.91683,   2.35098
   0.05639,   1.38338
   0.01334,   1.10815
   1.23167,   2.12453
   0.35653,   0.93135
   0.04278,   1.35742
   0.20170,   0.99466
   1.88480,   2.32399
   0.17667,   1.66948
   0.00013,   1.28102
   0.01149,   1.22882
   0.11155,   1.19987
   0.00107,   1.33400
   0.14910,   1.14519
   0.17196,   1.13742
   0.96525,   1.99796
   0.03518,   1.23054
   0.04859,   1.27978
   0.22448,   0.86267
   0.08368,   1.33242
   0.02274,   0.99964
   0.07893,   1.36940
   0.13648,   1.53684
   1.16733,   2.09651
   0.25708,   1.21377
   0.28769,   1.83664
   0.01439,   1.60066
   0.01608,   1.72569
   0.63108,   1.48168
   0.31482,   1.51425
   0.17288,   1.85429
   1.10842,   1.23020
   0.10995,   1.54688
   0.02434,   1.45440
   0.36007,   1.07383
   0.52318,   1.01233
   0.12160,   1.00642
   0.01233,   0.96640
   0.32868,   1.63514
   0.07271,   1.44972
   0.15187,   1.08787
   0.22299,   1.63186
   0.19832,   0.99025
   0.04109,   1.10995
   2.79907,   2.53060
   0.61429,   1.98678
   0.15530,   1.26666
   0.53787,   1.17086
   0.72192,   0.83660
   0.01593,   1.45533
   0.78086,   1.22912
   0.22136,   1.10030
   0.22899,   1.00384
   0.15850,   1.41049
   0.50596,   0.65515
   0.01652,   1.12555
   0.00961,   1.08672
   0.10385,   0.74032
   0.00965,   1.02635
   0.05747,   0.74928
   0.15254,   1.31405
   0.01360,   1.39957
   0.01254,   1.23798
   0.05550,   1.53994
   0.51462,   1.80866
   0.08342,   1.56475
   0.08225,   1.14628
   0.00035,   1.19880
   0.00006,   1.20040
   0.00046,   1.16246
   0.00636,   1.08621
