MSE, Q-LIKE
   2.26763,   2.82395
   5.52035,   3.05585
   3.00889,   2.17033
   0.13808,   2.71246
   0.03322,   2.58323
   0.00096,   2.45343
   3.51960,   2.08674
   0.97039,   2.61214
   0.23272,   2.53988
   0.10254,   2.66464
   0.00369,   2.56410
   0.57974,   2.33589
   2.06214,   2.26024
   0.67426,   2.17642
   0.27919,   2.48691
   0.58820,   2.30802
   7.06596,   3.04809
   2.77528,   2.10321
   0.72112,   2.12345
   0.28192,   2.10268
   0.71586,   2.01705
   3.03789,   1.96340
   0.32688,   2.42226
   1.85012,   2.61168
   0.20037,   2.17642
   0.25875,   1.98052
   0.03434,   1.88238
   2.12502,   1.70639
   1.23411,   1.75621
   2.57667,   1.59947
   0.83755,   2.31268
   0.91038,   2.51141
   0.44735,   1.94716
   0.61578,   2.39568
   1.99186,   1.77722
   2.07434,   1.70403
   0.10883,   2.21071
   1.05184,   1.75470
   0.13940,   1.79027
   0.04348,   1.96841
   0.11177,   1.87886
   0.15514,   1.79869
   0.00634,   2.08814
   0.37665,   2.24840
   1.00654,   1.84744
  14.82852,   3.47502
   0.00606,   2.09885
   0.77086,   2.32888
   0.07939,   2.11245
   0.01805,   1.99260
   0.68895,   2.42170
   2.81887,   1.68261
   3.13028,   2.66416
   0.52985,   2.35731
   1.10227,   2.55466
   1.08470,   2.63304
   2.15823,   2.61769
   2.43537,   2.67402
   0.05289,   2.28274
   1.48168,   1.87853
   1.33900,   1.82172
   0.07567,   1.92780
   0.41060,   1.84063
   0.19740,   1.81863
   1.45185,   1.52663
   0.03278,   1.99946
   0.19881,   2.09249
   0.52059,   2.23315
   0.05476,   2.12136
   0.90122,   1.65834
   1.90174,   2.46739
   2.36844,   2.60776
   4.60380,   1.53039
   1.61224,   1.56253
   0.26619,   1.59929
   0.01519,   1.96682
   0.39956,   1.51284
   0.17032,   1.75439
   0.00007,   1.87043
   0.65815,   2.19093
   0.02655,   2.14178
   0.20601,   1.82255
   0.01309,   2.11152
   0.72294,   2.28588
   0.19785,   2.24509
  34.34088,   4.13118
   0.60161,   1.74841
   0.20143,   2.30696
   1.50463,   1.81103
   0.09343,   2.24641
   3.13197,   1.71574
   0.63375,   1.94590
   3.11592,   1.77183
   0.00368,   2.07172
   0.01174,   2.00199
   0.10051,   2.17660
   1.34585,   1.88407
   0.12081,   1.75197
   0.81223,   1.70554
   0.14793,   1.71524
   0.00564,   1.68626
   0.13727,   1.63147
   1.02529,   1.29318
   0.07315,   1.36974
   0.00174,   1.41058
   0.00001,   1.51618
   2.21005,   2.39968
   0.49472,   1.96556
   0.09375,   1.62626
   0.18824,   1.90041
   0.00510,   1.46544
   1.35218,   2.22981
   0.49356,   1.56261
   0.00669,   1.61957
   1.46748,   2.34067
   0.05779,   1.76423
   0.05894,   1.83579
   0.98833,   1.40355
   0.11599,   1.53326
   0.37267,   2.02530
   0.02879,   1.88357
   0.00015,   1.63995
   0.10618,   1.66200
   0.86070,   1.37879
