MSE, Q-LIKE
   2.44666,   2.78757
   0.65355,   2.25671
   0.27176,   2.07776
   0.48085,   2.36585
   0.47461,   2.09631
   0.90077,   1.82166
   1.45137,   1.80156
   0.06149,   1.99759
   0.14340,   1.96070
   3.16884,   1.73506
   0.00913,   1.96149
   0.37895,   1.71691
   0.06576,   2.14174
   0.04804,   1.71938
   5.09358,   2.82113
   0.21745,   1.87443
   0.32337,   2.11755
   0.13286,   1.80831
   0.36565,   2.10845
   0.29813,   2.11837
   0.16477,   1.78858
   0.66312,   1.65104
   0.20525,   2.06181
   0.45351,   1.65485
   0.01701,   1.91769
   0.31942,   1.60876
   0.01560,   1.56864
   1.43680,   2.32839
   0.22190,   2.15850
   0.09055,   2.08880
   0.00255,   2.02700
   1.79214,   1.56750
   0.06147,   1.68079
   0.06130,   1.65978
   0.41402,   1.53392
   0.17591,   1.42262
   0.26544,   1.30210
   0.00161,   1.40133
   0.02243,   1.41818
   0.13892,   1.58503
   0.00508,   1.50269
   0.01317,   1.48077
   1.32651,   2.19523
   0.55944,   2.07811
   0.10661,   1.60099
   0.46881,   1.12667
   0.00748,   1.43248
   1.53826,   2.23763
   0.05743,   1.40098
   0.82729,   2.07044
   0.00370,   1.75037
   0.10418,   1.63491
   0.13095,   1.48160
   0.27732,   1.85948
   0.35418,   2.10020
   2.16365,   1.41450
   0.02057,   1.55824
   0.03003,   1.41277
   0.05466,   1.65274
   0.03477,   1.57811
   0.11504,   1.36066
   0.06897,   1.32300
   0.02158,   1.49392
   0.02591,   1.61303
   0.09242,   1.36621
   0.04281,   1.36875
   0.31317,   1.73934
   1.66797,   2.31496
   0.43610,   1.51374
   0.03882,   1.75329
   0.00138,   1.61189
   0.09840,   1.86073
   0.36796,   1.51933
   0.65474,   1.32955
   0.00157,   1.39676
   0.18912,   1.74884
   0.00168,   1.65455
   0.46764,   1.32119
   0.01069,   1.55973
   0.40747,   1.87912
   0.45083,   1.38981
   0.01273,   1.59316
   0.66808,   1.23364
   0.05289,   1.27692
   1.93553,   2.34179
   0.24473,   1.27643
   0.01076,   1.47525
   0.09416,   1.38551
   0.01241,   1.54408
   0.01785,   1.73896
   0.28113,   1.50438
   0.72493,   2.08395
   0.52568,   1.93877
   0.44151,   2.13242
   0.18550,   2.02045
   0.19733,   1.74277
   0.94467,   1.41964
   0.34039,   1.20493
   0.62409,   1.13700
   0.04930,   1.20764
   0.00071,   1.32198
   0.00216,   1.28364
   0.56682,   0.69971
   0.16598,   1.38753
   0.13682,   1.31555
   0.26819,   0.75551
   0.55876,   1.77000
   1.63581,   2.25837
   0.01849,   1.04847
   0.00001,   1.26340
   0.14476,   0.86847
   0.16498,   1.38459
   0.08294,   1.02280
   0.39464,   1.68747
   0.10015,   1.63872
   0.11542,   0.97006
   0.19314,   1.59663
   0.00009,   1.36193
   0.00193,   1.23358
   0.06340,   1.08176
   0.20214,   0.87396
   0.00172,   1.12685
   0.21066,   0.82957
   0.09168,   0.89311
   0.04034,   0.71007
   0.09833,   1.27812
   0.00116,   0.94178
   0.00050,   0.94338
   0.00100,   1.09379
   0.32302,   1.61835
   0.15390,   1.57238
   1.48253,   2.21427
   0.05743,   1.48991
   0.07115,   1.72974
   1.09810,   1.37418
   0.01323,   1.47540
   0.21914,   1.72751
   0.48824,   1.16727
   0.01270,   1.28243
   0.03313,   1.19572
   0.20517,   0.93078
   0.39385,   0.81854
   0.00953,   0.90665
   0.05933,   1.17491
   0.27099,   1.51798
   0.02827,   1.25801
   0.00413,   1.24313
   0.74015,   1.92145
   0.16149,   1.56117
   0.35905,   0.75195
   0.07741,   1.45932
   0.01127,   1.33234
   0.01311,   1.48976
   0.37677,   0.98606
   0.01568,   1.35351
   0.05855,   1.24520
   0.59297,   0.97693
   0.19279,   0.83656
   0.03329,   1.25075
   0.04082,   0.67923
   0.07939,   0.56892
   0.33645,   1.56091
   0.29064,   0.64349
   0.12853,   0.44669
   0.01280,   0.85066
   0.04928,   0.55210
   0.03550,   0.94076
   0.00000,   1.12179
   0.16681,   1.51900
   0.00446,   1.26483
   1.96565,   2.35772
   0.19858,   1.01547
   0.21328,   0.70158
   0.00841,   1.05379
   0.00719,   1.11826
   0.03384,   0.85973
   0.01042,   0.85696
   0.00423,   0.93041
   0.08052,   0.58201
   0.13418,   1.23727
   0.06446,   0.82509
   0.04686,   1.02553
   0.02841,   0.79333
   0.09112,   1.23527
   0.09172,   0.66365
   0.02701,   0.69055
   0.21570,   0.59871
   0.12080,   0.62023
   0.00783,   0.61309
   0.01718,   0.52177
   0.25647,   0.16185
   0.02442,   0.23007
   0.11454,   0.03960
   0.00011,   0.26416
   0.00731,   0.43967
   0.01085,   0.51964
   0.00123,   0.48803
   0.03316,   0.12860
   0.05672,  -0.06568
   0.02110,   0.09157
   0.06335,   0.85512
   0.02121,   0.33614
   0.02345,   0.65912
   0.08190,   0.07225
   0.37548,   1.52267
   0.36275,   1.50509
   0.08123,   1.23244
   0.08070,   1.01455
   0.64840,   1.79375
   0.09488,   1.26372
   0.03727,   0.81417
   0.07126,   1.09900
   3.51937,   2.99682
   0.77450,   1.92070
   0.42896,   1.08283
   0.35217,   1.62216
   0.54986,   0.74734
   0.03819,   0.96069
   0.33778,   1.64870
   0.06882,   1.03161
   0.06786,   0.71619
   0.12096,   0.31005
   0.43326,   1.58622
   0.02687,   0.61523
   0.20361,   1.32804
   0.34118,   0.42153
   0.02120,   0.98354
   0.11860,   1.10504
   0.06231,   1.12799
   0.04775,   1.02390
   0.15721,   0.83650
   0.43839,   0.48847
   0.16073,   0.40435
   0.00631,   0.57787
   0.00220,   0.55096
   0.17888,   1.19397
   0.00479,   0.77523
   0.11145,   1.16620
   0.62860,   1.77859
   0.00796,   0.35541
   0.04631,   0.90667
   0.04447,   1.16586
   1.22576,   2.10592
   0.03916,   1.43481
   0.00156,   1.41443
