MSE, Q-LIKE
   1.53297,   2.42152
   0.20838,   2.23423
   0.12267,   1.57310
   0.29961,   1.88740
   0.92446,   2.26053
   0.00176,   1.81699
   0.23031,   2.02553
   0.09169,   1.91324
   0.11692,   2.03801
   1.45022,   1.56990
   0.17375,   1.51899
   1.61122,   2.29488
   0.00089,   1.75904
   0.04229,   1.55962
   4.41901,   2.77048
   0.11534,   1.76488
   0.23824,   1.59207
   0.31235,   1.42484
   0.35316,   1.10445
   0.00159,   1.55829
   0.42187,   1.34116
   8.09613,   3.18209
   0.68106,   2.01613
   0.00191,   1.73559
   0.34266,   1.51337
   0.57887,   2.03058
   0.18195,   1.86536
   0.30284,   1.99936
   0.08174,   1.96359
   0.84893,   2.25505
   0.11986,   1.85265
   0.38472,   1.62027
   0.14007,   1.53921
   0.27914,   1.39902
   0.14335,   1.38251
   0.44864,   0.98164
   0.06409,   1.40970
   0.03215,   0.92743
   0.00081,   1.01650
   0.01991,   0.90702
   0.09721,   0.84549
  27.83487,   6.21733
   5.92049,   3.26503
   2.53788,   2.46609
   0.22175,   1.91771
   0.00124,   1.51848
   0.19441,   1.65354
   0.00614,   1.40538
   0.09514,   1.73914
   0.06308,   1.64348
   0.07207,   1.43453
   0.21228,   1.30382
   0.26237,   1.17286
   0.62169,   1.88269
   5.53544,   2.99222
   0.75519,   1.36433
   0.06464,   1.32665
   0.01006,   1.34118
   0.03918,   1.24663
   0.01181,   1.19407
   0.00413,   1.33185
   1.01785,   2.08041
   1.06454,   2.13596
   0.16282,   1.40018
   0.40433,   1.16670
   0.35303,   0.97001
   0.75404,   1.92052
   0.00076,   1.57019
   0.46828,   1.39701
   0.00267,   1.48163
   0.46434,   1.91070
   0.08460,   1.72944
   0.92382,   1.24849
   0.13438,   1.23249
   0.12421,   1.03611
   0.06121,   1.53557
   0.10925,   1.28449
   0.09763,   1.18934
   0.00355,   1.18581
   0.24768,   1.63173
   0.08368,   1.22009
   0.11325,   1.63931
   0.28106,   1.16165
   0.00874,   1.24576
  10.90682,   3.81557
   1.26963,   2.13815
   0.11535,   1.64611
   0.30285,   1.80754
   0.00001,   1.56528
   1.11640,   2.20269
   0.01783,   1.81081
   6.27108,   2.93694
   0.11704,   1.99794
   0.52239,   2.22520
   0.05553,   1.87345
   0.08463,   1.83757
   0.26778,   1.63441
   0.86414,   1.12335
   0.03626,   1.42900
   0.01495,   1.27909
   0.21277,   1.62209
   0.43708,   1.85293
   0.07779,   1.62830
   0.59620,   0.79953
   0.05587,   0.92361
   0.25115,   1.66791
   1.21676,   2.11461
   0.20971,   1.62703
   0.05442,   1.23258
   0.23929,   1.03178
   0.36188,   0.87635
   0.00617,   0.99967
   0.13406,   0.78657
   0.38550,   1.61577
   0.00074,   1.24162
   0.15232,   1.49420
   0.22293,   1.64825
   0.01876,   1.31104
   0.00178,   1.33363
   0.11709,   1.51916
   0.37446,   1.01927
   0.00109,   1.26989
   0.61279,   0.79808
   0.45194,   0.84903
   0.03207,   0.95911
   0.09165,   0.81045
   0.00511,   0.91688
   0.00031,   0.98894
   0.09945,   0.79588
   0.03445,   1.18281
   0.15088,   0.80812
   0.02385,   1.35254
   0.00986,   1.41716
   1.11585,   2.09544
   0.12648,   1.40443
   0.24642,   1.12965
   1.15791,   2.09353
   0.83222,   0.89796
   0.00889,   0.94827
   0.60704,   0.55619
   0.26864,   1.52044
   0.15960,   0.82879
   0.14417,   0.52770
   0.02068,   0.65690
   0.00369,   0.74407
   0.01757,   0.62124
   0.18281,   0.48543
   0.00015,   0.95029
   0.06491,   1.20815
   4.47774,   3.19854
   0.28222,   1.61120
   0.14655,   0.97117
   0.49620,   0.80831
   0.18966,   1.58721
   0.08221,   1.42428
   0.00429,   0.98424
   0.06373,   1.13735
   0.25269,   0.77799
   0.01833,   0.84784
   0.10093,   1.12010
   0.13179,   1.32586
   0.14582,   1.36473
   0.00106,   1.04353
   0.01651,   0.93583
   1.08715,   2.04649
   2.71861,   2.61333
   1.69268,   2.28292
   0.24294,   1.35471
   0.33419,   1.80684
   0.11282,   1.74426
   0.17487,   1.77505
   0.74335,   2.12746
   1.37976,   1.21424
   0.20426,   1.71040
   0.26672,   1.20532
   0.03171,   1.54741
   0.29012,   1.07321
   0.02739,   1.11362
   0.02629,   1.41234
   0.13601,   1.14692
   0.14492,   1.18723
   0.04699,   1.14214
   0.19229,   0.89359
   0.36059,   0.74659
   0.13549,   0.79447
   0.09765,   1.34740
   0.33768,   0.95674
   0.26863,   0.64910
   0.02568,   0.94686
   0.18242,   1.35725
   0.23988,   0.46334
   0.01131,   0.66051
   0.08262,   0.47955
   0.02467,   0.36171
   0.00287,   0.47110
   0.25257,   1.32445
   0.04710,   1.13289
   0.09719,   0.42188
   0.01373,   0.57808
   0.00746,   0.70673
   0.47629,   1.64360
   0.12950,   1.31908
   0.00088,   0.92354
   0.04296,   0.86367
   0.38744,   1.54778
   0.19971,   0.52055
   0.07073,   0.87062
   0.21554,   0.41749
   0.13424,   0.48300
   0.18421,   0.34070
   0.37358,   1.54477
   0.03702,   1.03620
   0.03048,   1.10073
   0.12519,   1.16797
   0.35182,   0.96451
   0.00497,   1.15962
   0.78643,   0.79090
   0.08903,   1.31041
   0.00086,   1.23959
   0.09379,   0.91128
   0.02280,   1.09037
   0.40589,   0.24338
   0.07697,   1.02563
   0.14548,   1.26918
   0.39813,   1.59488
   0.35718,   0.56972
   0.60070,   0.11521
   0.13969,   0.02446
   0.02619,   0.88440
   0.01114,   0.94776
   0.15097,   0.50163
   0.01626,   0.80048
   0.12357,   0.41897
   0.30229,   1.43283
   0.00509,   0.83291
   0.07461,   0.99981
   0.07169,   0.53435
   0.04100,   1.06092
   0.49948,   1.65337
   0.00972,   0.29563
   0.04430,   0.40625
   0.76861,   1.86844
   0.50225,   1.86755
   0.44453,   0.73542
   0.29193,   0.96392
   0.44038,   0.73061
   0.01676,   0.94113
   0.35479,   1.58463
   0.21628,   0.88823
   0.00012,   1.13200
   0.11140,   0.78747
   0.26936,   1.59045
   0.24113,   1.02957
   0.00668,   0.82350
   0.00177,   0.89265
   0.00375,   0.86761
   0.15347,   1.18204
   0.00257,   0.84636
   0.00027,   0.90310
   0.24453,   0.50067
   0.16504,   0.22120
   0.04686,   0.27783
   0.00048,   0.58942
   0.07326,   0.40871
   0.05142,   0.96914
   1.01082,   2.10285
   0.23369,   1.52076
   0.09038,   1.36710
   0.11961,   0.82490
   0.00692,   0.86411
   0.72738,   1.84085
   1.19116,   2.09152
   0.00141,   1.15804
   0.10449,   0.69723
   0.00016,   0.91404
   0.30547,   0.47335
   0.05407,   1.14085
   0.18783,   1.10672
   0.32114,   0.92997
   0.00774,   0.91204
   0.29803,   0.64405
   0.00000,   1.09645
   0.08460,   1.31543
   0.30222,   1.83331
   0.11849,   1.54168
   3.25296,   2.63303
   0.13062,   1.41158
   1.32011,   2.18314
   0.03788,   1.48481
   1.34325,   0.84014
   0.03264,   0.94825
   0.22148,   1.03708
   0.00000,   1.07610
   0.00374,   1.07144
