MSE, Q-LIKE
   7.77905,   2.13244
  17.92312,   1.91538
  12.47300,   1.80484
   8.00437,   1.84643
  25.46469,   1.69291
  24.20429,   1.95795
   2.66190,   1.71836
   2.49379,   1.51068
   3.07244,   1.51701
  13.84526,   1.93484
   6.23834,   1.55353
  58.96915,   2.72369
   6.93688,   1.86202
   2.24100,   1.32639
  12.01435,   2.13697
   2.17584,   1.09943
  23.44974,   2.05188
   1.64260,   1.13267
   6.24316,   1.72054
   0.94029,   1.15787
  10.06378,   1.64851
   5.59909,   1.66214
   0.62611,   0.92626
   0.67819,   0.59714
   9.91449,   1.91430
   2.90207,   1.46757
   9.22291,   1.80990
   2.18854,   1.37710
   1.99522,   1.42365
